    nm         	pN
0.000000e+000	5.941567e+002
8.653768e-002	5.923954e+002
6.651724e-002	5.853522e+002
6.425181e-002	5.791891e+002
1.152794e-001	5.756677e+002
9.525900e-002	5.686245e+002
4.199426e-003	5.580602e+002
-3.357604e-002	5.501369e+002
-1.807749e-002	5.448544e+002
-1.446561e-001	5.325294e+002
-1.469125e-001	5.263668e+002
-1.136567e-001	5.219644e+002
-9.815816e-002	5.166819e+002
-8.265064e-002	5.113998e+002
-1.204351e-001	5.034761e+002
-5.165129e-002	5.008348e+002
-8.942788e-002	4.929115e+002
-1.449685e-001	4.841077e+002
-1.827529e-001	4.761840e+002
-2.027644e-001	4.691413e+002
-1.872658e-001	4.638588e+002
-8.297143e-002	4.629776e+002
-1.207475e-001	4.550544e+002
-1.230039e-001	4.488918e+002
-1.607884e-001	4.409681e+002
-2.163284e-001	4.321643e+002
-2.185848e-001	4.260017e+002
-2.741243e-001	4.171980e+002
-3.119003e-001	4.092747e+002
-2.786366e-001	4.048727e+002
-3.164216e-001	3.969491e+002
-2.654035e-001	3.934271e+002
-2.321399e-001	3.890251e+002
-2.343963e-001	3.828625e+002
-3.076998e-001	3.731783e+002
-3.277208e-001	3.661351e+002
-3.122127e-001	3.608530e+002
-3.677527e-001	3.520493e+002
-3.700181e-001	3.458862e+002
-3.900291e-001	3.388435e+002
-4.278140e-001	3.309198e+002
-3.945509e-001	3.265178e+002
-3.968074e-001	3.203552e+002
-4.345918e-001	3.124315e+002
-5.078868e-001	3.027477e+002
-4.923872e-001	2.974652e+002
-5.656828e-001	2.877813e+002
-5.679482e-001	2.816183e+002
-4.636454e-001	2.807375e+002
-4.481469e-001	2.754550e+002
-6.102450e-001	2.613694e+002
-5.769819e-001	2.569674e+002
-5.792384e-001	2.508047e+002
-6.347784e-001	2.420010e+002
-6.192793e-001	2.367185e+002
-6.392997e-001	2.296753e+002
-6.770752e-001	2.217521e+002
-6.260565e-001	2.182302e+002
-6.638325e-001	2.103070e+002
-7.016170e-001	2.023833e+002
-6.683539e-001	1.979813e+002
-6.528548e-001	1.926988e+002
-6.906302e-001	1.847755e+002
-7.106506e-001	1.777324e+002
-7.484262e-001	1.698092e+002
-7.684471e-001	1.627660e+002
-6.819089e-001	1.610047e+002
-6.131352e-001	1.583629e+002
-6.153917e-001	1.522003e+002
-6.531671e-001	1.442770e+002
-6.199125e-001	1.398746e+002
-6.399329e-001	1.328315e+002
-6.777084e-001	1.249082e+002
-6.977288e-001	1.178651e+002
-6.467112e-001	1.143432e+002
-6.489666e-001	1.081806e+002
-6.334681e-001	1.028980e+002
-6.002044e-001	9.849604e+001
-6.024698e-001	9.233299e+001
-7.112844e-001	8.088851e+001
-7.135409e-001	7.472591e+001
-7.158063e-001	6.856284e+001
-7.535818e-001	6.063961e+001
-7.558382e-001	5.447700e+001
-7.758587e-001	4.743386e+001
-7.781140e-001	4.127125e+001
-7.981344e-001	3.422809e+001
-8.003999e-001	2.806504e+001
-8.559315e-001	1.926172e+001
-8.937159e-001	1.133805e+001
-8.604523e-001	6.936061e+000
-8.804728e-001	-1.070808e-001
-8.294541e-001	-3.628981e+000
-7.429164e-001	-5.390273e+000
-7.451717e-001	-1.155290e+001
-7.474372e-001	-1.771595e+001
-8.384878e-001	-2.827989e+001
-8.229892e-001	-3.356241e+001
-8.430097e-001	-4.060555e+001
-8.630301e-001	-4.764870e+001
-9.008055e-001	-5.557194e+001
-9.385810e-001	-6.349517e+001
-8.520433e-001	-6.525646e+001
-8.543077e-001	-7.141951e+001
-9.453683e-001	-8.198389e+001
-9.298597e-001	-8.726597e+001
-9.143600e-001	-9.254849e+001
-8.988615e-001	-9.783102e+001
-8.656079e-001	-1.022335e+002
-9.211384e-001	-1.110368e+002
-1.029962e+000	-1.224817e+002
-1.067737e+000	-1.304049e+002
-1.087758e+000	-1.374481e+002
-1.036739e+000	-1.409700e+002
-9.857216e-001	-1.444919e+002
-9.879769e-001	-1.506545e+002
-9.547133e-001	-1.550565e+002
-9.214597e-001	-1.594589e+002
-8.881961e-001	-1.638609e+002
-8.904525e-001	-1.700235e+002
-8.571979e-001	-1.744260e+002
-8.594543e-001	-1.805886e+002
-8.261996e-001	-1.849910e+002
-7.396619e-001	-1.867523e+002
-5.643200e-001	-1.841119e+002
-6.020967e-001	-1.920351e+002
-6.931551e-001	-2.025995e+002
-7.486957e-001	-2.114032e+002
-7.331959e-001	-2.166858e+002
-7.176974e-001	-2.219683e+002
-8.442682e-001	-2.342928e+002
-7.754933e-001	-2.369347e+002
-7.422308e-001	-2.413366e+002
-6.912121e-001	-2.448586e+002
-7.467527e-001	-2.536623e+002
-7.845271e-001	-2.615855e+002
-8.045486e-001	-2.686287e+002
-8.068140e-001	-2.747918e+002
-6.492372e-001	-2.730318e+002
-5.094143e-001	-2.721520e+002
-4.939146e-001	-2.774345e+002
-4.961711e-001	-2.835971e+002
-3.918773e-001	-2.844783e+002
-2.343005e-001	-2.827183e+002
-2.010380e-001	-2.871204e+002
-1.855383e-001	-2.924029e+002
-1.167646e-001	-2.950447e+002
-4.798191e-002	-2.976861e+002
3.036766e-003	-3.012080e+002
1.428585e-001	-3.003282e+002
3.181904e-001	-2.976881e+002
4.402482e-001	-2.976888e+002
6.866203e-001	-2.915276e+002
9.685203e-001	-2.836052e+002
8.596968e-001	-2.950501e+002
7.686461e-001	-3.056141e+002
7.841447e-001	-3.108966e+002
8.884385e-001	-3.117778e+002
1.152575e+000	-3.047360e+002
1.629827e+000	-2.871305e+002
2.018276e+000	-2.739268e+002
2.300167e+000	-2.660049e+002
2.582066e+000	-2.580826e+002
3.165869e+000	-2.351957e+002
3.287926e+000	-2.351963e+002
3.090309e+000	-2.510426e+002
2.874936e+000	-2.677689e+002
2.943719e+000	-2.704102e+002
3.261129e+000	-2.607278e+002
3.436470e+000	-2.580873e+002
3.487488e+000	-2.616092e+002
3.520743e+000	-2.660117e+002
3.411928e+000	-2.774561e+002
3.320869e+000	-2.880205e+002
3.158780e+000	-3.021056e+002
2.961161e+000	-3.179519e+002
3.225296e+000	-3.109101e+002
3.311835e+000	-3.126714e+002
3.274060e+000	-3.205946e+002
3.555951e+000	-3.126727e+002
4.104233e+000	-2.915465e+002
4.528210e+000	-2.765817e+002
4.632504e+000	-2.774629e+002
4.434886e+000	-2.933091e+002
4.183994e+000	-3.117960e+002
4.465893e+000	-3.038737e+002
4.907618e+000	-2.880293e+002
5.047440e+000	-2.871494e+002
4.778783e+000	-3.065169e+002
5.078438e+000	-2.977145e+002
5.164976e+000	-2.994758e+002
5.091680e+000	-3.091596e+002
