    nm         	pN
0.000000e+000	4.276892e+002
1.398235e-001	4.285692e+002
2.618897e-001	4.285689e+002
2.241114e-001	4.206456e+002
3.639343e-001	4.215255e+002
5.037578e-001	4.224054e+002
4.837357e-001	4.153622e+002
4.104440e-001	4.056785e+002
3.193782e-001	3.951138e+002
4.236877e-001	3.942334e+002
7.233562e-001	4.030365e+002
9.519979e-001	4.083189e+002
8.609316e-001	3.977542e+002
9.474671e-001	3.959928e+002
9.807329e-001	3.915909e+002
1.013998e+000	3.871890e+002
1.242622e+000	3.924706e+002
1.222600e+000	3.854274e+002
9.361758e-001	3.651792e+002
8.451100e-001	3.546145e+002
9.316461e-001	3.528531e+002
1.249088e+000	3.625372e+002
1.673088e+000	3.775031e+002
1.599797e+000	3.678194e+002
1.402155e+000	3.519720e+002
1.488709e+000	3.502115e+002
1.575244e+000	3.484501e+002
1.484177e+000	3.378853e+002
1.517443e+000	3.334835e+002
1.515196e+000	3.273213e+002
1.441886e+000	3.176367e+002
1.652754e+000	3.220381e+002
1.739307e+000	3.202776e+002
1.790330e+000	3.167559e+002
1.912396e+000	3.167557e+002
2.052219e+000	3.176356e+002
1.961153e+000	3.070709e+002
1.870087e+000	2.965062e+002
2.169773e+000	3.053101e+002
2.433910e+000	3.123519e+002
2.502707e+000	3.097113e+002
2.376110e+000	2.973854e+002
2.125198e+000	2.788975e+002
2.122951e+000	2.727354e+002
2.440376e+000	2.824186e+002
2.331553e+000	2.709737e+002
2.258262e+000	2.612900e+002
2.255996e+000	2.551270e+002
2.147173e+000	2.436821e+002
1.949532e+000	2.278347e+002
2.249218e+000	2.366387e+002
2.602174e+000	2.480831e+002
2.653196e+000	2.445613e+002
2.650930e+000	2.383982e+002
2.595395e+000	2.295947e+002
2.841794e+000	2.357573e+002
3.088174e+000	2.419190e+002
3.139196e+000	2.383973e+002
3.065905e+000	2.287137e+002
2.992595e+000	2.190291e+002
2.794972e+000	2.031826e+002
3.023596e+000	2.084641e+002
3.216707e+000	2.119854e+002
2.948038e+000	1.926174e+002
2.910261e+000	1.846941e+002
3.369773e+000	2.014202e+002
3.509597e+000	2.023001e+002
3.631663e+000	2.022999e+002
3.576128e+000	1.934964e+002
3.467305e+000	1.820515e+002
3.607128e+000	1.829314e+002
3.729195e+000	1.829312e+002
3.602616e+000	1.706062e+002
3.849014e+000	1.767688e+002
4.166438e+000	1.864520e+002
4.164173e+000	1.802889e+002
4.144169e+000	1.732466e+002
3.893258e+000	1.547588e+002
3.677860e+000	1.380312e+002
4.013059e+000	1.485955e+002
4.046325e+000	1.441936e+002
4.168391e+000	1.441934e+002
4.432546e+000	1.512361e+002
4.838772e+000	1.653210e+002
5.227259e+000	1.785265e+002
5.367082e+000	1.794064e+002
5.293790e+000	1.697228e+002
5.362569e+000	1.670812e+002
4.969570e+000	1.415504e+002
4.825216e+000	1.283443e+002
5.107128e+000	1.362672e+002
5.229194e+000	1.362670e+002
5.138146e+000	1.257032e+002
5.153637e+000	1.204203e+002
5.435548e+000	1.283432e+002
5.735235e+000	1.371471e+002
5.981615e+000	1.433088e+002
5.997124e+000	1.380268e+002
5.941589e+000	1.292233e+002
5.584102e+000	1.054527e+002
5.386479e+000	8.960625e+001
5.899279e+000	1.089738e+002
6.021346e+000	1.089735e+002
6.125656e+000	1.080931e+002
6.070104e+000	9.928874e+001
5.890237e+000	8.432240e+001
5.941259e+000	8.080067e+001
5.796923e+000	6.759551e+001
5.883459e+000	6.583408e+001
5.898968e+000	6.055206e+001
5.949990e+000	5.703034e+001
6.231901e+000	6.495323e+001
6.425012e+000	6.847448e+001
6.635879e+000	7.287589e+001
6.917791e+000	8.079879e+001
7.093145e+000	8.343990e+001
6.913278e+000	6.847355e+001
6.946544e+000	6.407168e+001
7.104123e+000	6.583174e+001
7.297234e+000	6.935300e+001
7.667964e+000	8.167842e+001
7.612411e+000	7.287401e+001
7.432545e+000	5.790767e+001
7.590142e+000	5.966862e+001
7.463544e+000	4.734272e+001
7.425766e+000	3.941936e+001
7.530076e+000	3.853897e+001
7.598855e+000	3.589741e+001
7.685409e+000	3.413686e+001
8.020607e+000	4.470110e+001
8.160431e+000	4.558101e+001
7.873989e+000	2.533199e+001
7.907254e+000	2.093012e+001
8.029320e+000	2.092988e+001
8.044830e+000	1.564785e+001
7.971520e+000	5.963292e+000
8.164631e+000	9.484547e+000
8.339986e+000	1.212566e+001
8.373234e+000	7.722892e+000
8.246654e+000	-4.602099e+000
8.493052e+000	1.560484e+000
8.632876e+000	2.440398e+000
8.612854e+000	-4.602797e+000
8.628363e+000	-9.884834e+000
8.590584e+000	-1.780820e+001
8.499518e+000	-2.837290e+001
8.603810e+000	-2.925418e+001
9.010054e+000	-1.516844e+001
9.416297e+000	-1.082724e+000
9.520607e+000	-1.963108e+000
9.553873e+000	-6.364976e+000
9.640408e+000	-8.126403e+000
9.780232e+000	-7.246489e+000
9.689183e+000	-1.781031e+001
9.509298e+000	-3.277754e+001
9.666896e+000	-3.101658e+001
1.001985e+001	-1.957220e+001
1.024849e+001	-1.428975e+001
1.006861e+001	-2.925700e+001
1.015516e+001	-3.101752e+001
1.040156e+001	-2.485493e+001
1.052363e+001	-2.485517e+001
1.068121e+001	-2.309510e+001
1.078552e+001	-2.397548e+001
1.071221e+001	-3.366003e+001
1.072772e+001	-3.894207e+001
1.079649e+001	-4.158364e+001
1.068767e+001	-5.302850e+001
1.088078e+001	-4.950725e+001
1.084300e+001	-5.743061e+001
1.062761e+001	-7.415815e+001
1.069639e+001	-7.679972e+001
1.096054e+001	-6.975697e+001
1.101156e+001	-7.327870e+001
1.109812e+001	-7.503923e+001
1.129123e+001	-7.151798e+001
1.159089e+001	-6.271493e+001
1.176625e+001	-6.007381e+001
1.171071e+001	-6.887733e+001
1.163740e+001	-7.856190e+001
1.151083e+001	-9.088690e+001
1.136647e+001	-1.040929e+002
1.171943e+001	-9.264856e+001
1.168165e+001	-1.005719e+002
1.175043e+001	-1.032135e+002
1.233429e+001	-8.032361e+001
1.270500e+001	-6.799906e+001
1.305796e+001	-5.655467e+001
1.325107e+001	-5.303341e+001
1.317776e+001	-6.271798e+001
