    nm         	pN
0.000000e+000	6.542275e+002
2.110199e-001	6.586365e+002
2.620767e-001	6.551165e+002
1.887240e-001	6.454298e+002
1.331420e-001	6.366239e+002
9.533627e-002	6.286992e+002
9.307308e-002	6.225362e+002
1.971926e-002	6.128495e+002
-3.586051e-002	6.040438e+002
-2.576692e-003	5.996428e+002
-4.837638e-003	5.934799e+002
1.067436e-002	5.881980e+002
2.618747e-002	5.829162e+002
2.392428e-002	5.767533e+002
3.890399e-003	5.697094e+002
-8.723637e-002	5.591417e+002
-1.605913e-001	5.494549e+002
-1.806241e-001	5.424112e+002
-2.539779e-001	5.327244e+002
-1.318260e-001	5.327284e+002
-8.076816e-002	5.292085e+002
-4.748322e-002	5.248075e+002
-1.419717e-002	5.204067e+002
-1.646035e-002	5.142437e+002
-1.872018e-002	5.080809e+002
-5.652588e-002	5.001562e+002
-7.656313e-002	4.931122e+002
-1.499158e-001	4.834255e+002
-8.108502e-002	4.807865e+002
-1.011200e-001	4.737427e+002
-1.566998e-001	4.649369e+002
-1.589591e-001	4.587742e+002
-1.789957e-001	4.517302e+002
-1.457097e-001	4.473293e+002
-2.190652e-001	4.376425e+002
-2.035526e-001	4.323606e+002
-2.235854e-001	4.253169e+002
-2.080751e-001	4.200349e+002
-2.814284e-001	4.103482e+002
-2.125976e-001	4.077092e+002
-1.615374e-001	4.041893e+002
-2.171200e-001	3.953835e+002
-2.727003e-001	3.865777e+002
-3.460547e-001	3.768909e+002
-4.016350e-001	3.680852e+002
-3.683507e-001	3.636842e+002
-3.528370e-001	3.584024e+002
-3.551002e-001	3.522395e+002
-3.218130e-001	3.478386e+002
-3.063021e-001	3.425567e+002
-3.974295e-001	3.319890e+002
-4.352368e-001	3.240642e+002
-4.374972e-001	3.179013e+002
-4.930775e-001	3.090956e+002
-5.308866e-001	3.011707e+002
-4.976000e-001	2.967699e+002
-4.643156e-001	2.923689e+002
-3.954843e-001	2.897299e+002
-3.266507e-001	2.870911e+002
-2.400458e-001	2.853331e+002
-2.245349e-001	2.800511e+002
-3.689822e-001	2.668405e+002
-4.067901e-001	2.589156e+002
-3.912759e-001	2.536339e+002
-4.290860e-001	2.457089e+002
-3.957994e-001	2.413081e+002
-3.625145e-001	2.369072e+002
-4.003219e-001	2.289824e+002
-4.025823e-001	2.228196e+002
-4.048444e-001	2.166566e+002
-4.248782e-001	2.096128e+002
-5.160056e-001	1.990451e+002
-5.360411e-001	1.920012e+002
-5.383010e-001	1.858384e+002
-5.050171e-001	1.814374e+002
-5.250488e-001	1.743937e+002
-6.161778e-001	1.638259e+002
-6.184410e-001	1.576630e+002
-6.562456e-001	1.497383e+002
-6.762817e-001	1.426944e+002
-7.674073e-001	1.321267e+002
-8.052164e-001	1.242018e+002
-8.074785e-001	1.180389e+002
-7.741947e-001	1.136380e+002
-8.119992e-001	1.057133e+002
-8.675812e-001	9.690740e+001
-8.165233e-001	9.338744e+001
-7.832351e-001	8.898672e+001
-7.499502e-001	8.458578e+001
-8.233062e-001	7.489891e+001
-8.433378e-001	6.785521e+001
-8.278270e-001	6.257329e+001
-8.656361e-001	5.464839e+001
-8.856677e-001	4.760469e+001
-7.279733e-001	4.937043e+001
-6.413640e-001	4.761267e+001
-6.080801e-001	4.321173e+001
-6.636621e-001	3.440585e+001
-5.948313e-001	3.176687e+001
-4.549065e-001	3.265185e+001
-4.038475e-001	2.913190e+001
-2.106027e-001	3.265984e+001
3.596419e-002	3.883074e+001
1.592807e-002	3.178684e+001
-2.187652e-002	2.386217e+001
-5.968671e-002	1.593727e+001
-1.508157e-001	5.369410e+000
-9.975336e-002	1.849673e+000
-1.314848e-002	9.168571e-002
-6.873161e-002	-8.714186e+000
1.787327e-002	-1.047217e+001
1.222522e-001	-1.134916e+001
4.889949e-002	-2.103582e+001
2.886449e-002	-2.807972e+001
6.214830e-002	-3.248066e+001
