    nm         	pN
0.000000e+000	4.867931e+002
1.753497e-001	4.894339e+002
1.908595e-001	4.841519e+002
1.708368e-001	4.771087e+002
1.508141e-001	4.700654e+002
1.840811e-001	4.656636e+002
3.239085e-001	4.665437e+002
3.216515e-001	4.603811e+002
3.904325e-001	4.577396e+002
2.283265e-001	4.436536e+002
3.503966e-001	4.436536e+002
5.790277e-001	4.489355e+002
6.122941e-001	4.445337e+002
5.212251e-001	4.339688e+002
3.768758e-001	4.207630e+002
3.213307e-001	4.119590e+002
4.434008e-001	4.119589e+002
6.009939e-001	4.137196e+002
6.697838e-001	4.110786e+002
7.030419e-001	4.066764e+002
8.784011e-001	4.093177e+002
1.089274e+000	4.137194e+002
1.033729e+000	4.049154e+002
9.959493e-001	3.969920e+002
1.153542e+000	3.987527e+002
1.133520e+000	3.917094e+002
1.166786e+000	3.873076e+002
1.253333e+000	3.855468e+002
1.268834e+000	3.802643e+002
1.106719e+000	3.661779e+002
1.104463e+000	3.600153e+002
9.956365e-001	3.485702e+002
9.045679e-001	3.380054e+002
9.911145e-001	3.362445e+002
1.184231e+000	3.397661e+002
1.217498e+000	3.353642e+002
1.144186e+000	3.256796e+002
1.106407e+000	3.177562e+002
1.157431e+000	3.142346e+002
1.084128e+000	3.045503e+002
1.223955e+000	3.054304e+002
1.097372e+000	2.931052e+002
9.530138e-001	2.798990e+002
1.021804e+000	2.772579e+002
1.268200e+000	2.834205e+002
1.727736e+000	3.001477e+002
1.743246e+000	2.948657e+002
1.740981e+000	2.887027e+002
1.756482e+000	2.834203e+002
1.896317e+000	2.843008e+002
2.142714e+000	2.904633e+002
2.300307e+000	2.922241e+002
2.404621e+000	2.913438e+002
2.295786e+000	2.798984e+002
2.435622e+000	2.807790e+002
2.255749e+000	2.658123e+002
1.951542e+000	2.446827e+002
2.002566e+000	2.411611e+002
2.160159e+000	2.429218e+002
2.246706e+000	2.411610e+002
2.208926e+000	2.332375e+002
2.206670e+000	2.270749e+002
2.399786e+000	2.305964e+002
2.557371e+000	2.323567e+002
2.555114e+000	2.261941e+002
2.552858e+000	2.200315e+002
2.532835e+000	2.129882e+002
2.477289e+000	2.041842e+002
2.652649e+000	2.068256e+002
2.685907e+000	2.024233e+002
2.630361e+000	1.936192e+002
2.628104e+000	1.874566e+002
2.554802e+000	1.777724e+002
2.286117e+000	1.584036e+002
2.390430e+000	1.575233e+002
2.654593e+000	1.645665e+002
2.599047e+000	1.557624e+002
2.561259e+000	1.478386e+002
2.630048e+000	1.451975e+002
2.911968e+000	1.531208e+002
3.229420e+000	1.628054e+002
3.120585e+000	1.513599e+002
2.851909e+000	1.319915e+002
2.849645e+000	1.258285e+002
2.953958e+000	1.249482e+002
3.200354e+000	1.311108e+002
3.393471e+000	1.346323e+002
3.266888e+000	1.223071e+002
3.353434e+000	1.205463e+002
3.457739e+000	1.196656e+002
3.668621e+000	1.240677e+002
3.790692e+000	1.240677e+002
3.735146e+000	1.152636e+002
3.839450e+000	1.143830e+002
4.139136e+000	1.231869e+002
4.119113e+000	1.161437e+002
3.832672e+000	9.589465e+001
3.865938e+000	9.149282e+001
3.934719e+000	8.885135e+001
4.074555e+000	8.973192e+001
3.930206e+000	7.652610e+001
3.785849e+000	6.331984e+001
4.014488e+000	6.860219e+001
4.260893e+000	7.476515e+001
4.081021e+000	5.979853e+001
3.865617e+000	4.307067e+001
3.987687e+000	4.307061e+001
4.074234e+000	4.130976e+001
4.249593e+000	4.395113e+001
4.389421e+000	4.483125e+001
4.387164e+000	3.866862e+001
4.527001e+000	3.954920e+001
4.595782e+000	3.690772e+001
4.575759e+000	2.986447e+001
4.413653e+000	1.577848e+001
4.358107e+000	6.974441e+000
4.675550e+000	1.665855e+001
4.886424e+000	2.106027e+001
4.777598e+000	9.615244e+000
4.704296e+000	-6.895571e-002
4.755319e+000	-3.590614e+000
4.877389e+000	-3.590667e+000
4.875132e+000	-9.753290e+000
4.943914e+000	-1.239477e+001
5.137030e+000	-8.873229e+000
5.330147e+000	-5.351678e+000
5.505497e+000	-2.710767e+000
5.432194e+000	-1.239498e+001
5.305611e+000	-2.472017e+001
5.498718e+000	-2.119908e+001
5.496462e+000	-2.736170e+001
5.707336e+000	-2.296000e+001
5.705080e+000	-2.912262e+001
5.862672e+000	-2.736187e+001
6.162359e+000	-1.855794e+001
6.319952e+000	-1.679720e+001
6.246649e+000	-2.648141e+001
6.173337e+000	-3.616608e+001
6.171081e+000	-4.232870e+001
6.488523e+000	-3.264460e+001
6.504024e+000	-3.792704e+001
6.501768e+000	-4.408966e+001
6.748165e+000	-3.792714e+001
6.870235e+000	-3.792720e+001
6.992305e+000	-3.792725e+001
6.865722e+000	-5.025246e+001
6.614803e+000	-6.874066e+001
6.843434e+000	-6.345877e+001
7.018794e+000	-6.081741e+001
7.016528e+000	-6.698047e+001
7.032038e+000	-7.226248e+001
7.100818e+000	-7.490396e+001
7.063039e+000	-8.282738e+001
7.522575e+000	-6.610007e+001
7.804495e+000	-5.817676e+001
7.962088e+000	-5.641602e+001
7.871019e+000	-6.698086e+001
8.010855e+000	-6.610028e+001
8.559195e+000	-4.497121e+001
8.556938e+000	-5.113384e+001
8.252739e+000	-7.226302e+001
8.463612e+000	-6.786131e+001
8.869868e+000	-5.377497e+001
8.903126e+000	-5.817725e+001
8.652208e+000	-7.666547e+001
8.454578e+000	-9.251225e+001
8.665451e+000	-8.811053e+001
8.929614e+000	-8.106740e+001
9.247057e+000	-7.138328e+001
9.369128e+000	-7.138333e+001
9.100452e+000	-9.075172e+001
9.133710e+000	-9.515399e+001
9.202500e+000	-9.779502e+001
9.040384e+000	-1.118815e+002
9.020362e+000	-1.189247e+002
9.391094e+000	-1.065992e+002
9.530922e+000	-1.057191e+002
9.688515e+000	-1.039583e+002
9.952677e+000	-9.691518e+001
1.009251e+001	-9.603462e+001
1.009025e+001	-1.021977e+002
1.010575e+001	-1.074801e+002
1.038768e+001	-9.955637e+001
1.034989e+001	-1.074802e+002
1.017002e+001	-1.224469e+002
1.007896e+001	-1.330113e+002
1.036088e+001	-1.250879e+002
1.042966e+001	-1.277294e+002
1.049845e+001	-1.303704e+002
1.053172e+001	-1.347723e+002
1.040512e+001	-1.470979e+002
1.065152e+001	-1.409354e+002
1.073807e+001	-1.426962e+002
1.073581e+001	-1.488589e+002
1.123087e+001	-1.303708e+002
1.133518e+001	-1.312510e+002
1.111978e+001	-1.479789e+002
1.076229e+001	-1.717494e+002
1.065346e+001	-1.831945e+002
1.077553e+001	-1.831945e+002
1.107522e+001	-1.743906e+002
1.125057e+001	-1.717497e+002
1.110622e+001	-1.849555e+002
1.106844e+001	-1.928789e+002
1.151022e+001	-1.770318e+002
1.179214e+001	-1.691085e+002
1.193197e+001	-1.682284e+002
1.200076e+001	-1.708694e+002
1.210506e+001	-1.717501e+002
1.242251e+001	-1.620655e+002
1.233144e+001	-1.726303e+002
1.197396e+001	-1.964010e+002
1.222035e+001	-1.902384e+002
1.257333e+001	-1.787931e+002
1.235793e+001	-1.955205e+002
1.230239e+001	-2.043245e+002
1.253103e+001	-1.990422e+002
1.259981e+001	-2.016837e+002
1.268635e+001	-2.034445e+002
1.277290e+001	-2.052054e+002
1.269960e+001	-2.148896e+002
1.248420e+001	-2.316170e+002
1.248194e+001	-2.377801e+002
1.310133e+001	-2.131290e+002
1.364967e+001	-1.919999e+002
1.366518e+001	-1.972819e+002
1.366291e+001	-2.034450e+002
1.378498e+001	-2.034450e+002
1.392482e+001	-2.025644e+002
1.397585e+001	-2.060861e+002
1.388478e+001	-2.166509e+002
1.384700e+001	-2.245744e+002
1.391578e+001	-2.272158e+002
1.419771e+001	-2.192921e+002
1.449738e+001	-2.104886e+002
1.454841e+001	-2.140102e+002
1.472377e+001	-2.113689e+002
1.513002e+001	-1.972825e+002
1.521657e+001	-1.990434e+002
1.512550e+001	-2.096082e+002
1.515876e+001	-2.140105e+002
1.544069e+001	-2.060867e+002
1.556276e+001	-2.060868e+002
1.577363e+001	-2.016851e+002
1.589570e+001	-2.016852e+002
1.592897e+001	-2.060870e+002
1.612209e+001	-2.025654e+002
1.617311e+001	-2.060871e+002
1.615308e+001	-2.131303e+002
1.629291e+001	-2.122502e+002
1.655708e+001	-2.052071e+002
1.666139e+001	-2.060873e+002
1.649927e+001	-2.201737e+002
1.637268e+001	-2.324994e+002
1.640595e+001	-2.369012e+002
1.651025e+001	-2.377818e+002
1.657904e+001	-2.404229e+002
1.671888e+001	-2.395423e+002
1.692975e+001	-2.351406e+002
1.696302e+001	-2.395424e+002
1.703180e+001	-2.421839e+002
1.710059e+001	-2.448250e+002
1.693847e+001	-2.589114e+002
1.677636e+001	-2.729978e+002
1.680963e+001	-2.773997e+002
1.682513e+001	-2.826821e+002
1.685839e+001	-2.870839e+002
1.715807e+001	-2.782804e+002
1.751105e+001	-2.668351e+002
1.793506e+001	-2.518686e+002
1.835907e+001	-2.369021e+002
1.825024e+001	-2.483471e+002
1.796380e+001	-2.685961e+002
1.799706e+001	-2.729983e+002
1.795928e+001	-2.809218e+002
1.843658e+001	-2.633139e+002
1.875403e+001	-2.536298e+002
1.860968e+001	-2.668356e+002
1.826995e+001	-2.897260e+002
1.846306e+001	-2.862044e+002
1.888707e+001	-2.712380e+002
1.897362e+001	-2.729988e+002
1.881152e+001	-2.870848e+002
1.854283e+001	-3.064536e+002
1.893132e+001	-2.932479e+002
1.935533e+001	-2.782815e+002
1.979711e+001	-2.624343e+002
1.999023e+001	-2.589128e+002
1.988140e+001	-2.703578e+002
1.936406e+001	-3.020517e+002
1.957494e+001	-2.976500e+002
1.994567e+001	-2.853245e+002
2.013879e+001	-2.818029e+002
2.038518e+001	-2.756404e+002
2.050725e+001	-2.756405e+002
2.062932e+001	-2.756405e+002
2.062707e+001	-2.818032e+002
2.039391e+001	-2.994112e+002
2.021403e+001	-3.143778e+002
2.049595e+001	-3.064545e+002
2.072459e+001	-3.011722e+002
2.065129e+001	-3.108564e+002
2.070231e+001	-3.143781e+002
2.089543e+001	-3.108565e+002
2.121287e+001	-3.011724e+002
2.140599e+001	-2.976508e+002
2.142149e+001	-3.029333e+002
2.157908e+001	-3.011725e+002
2.134592e+001	-3.187806e+002
2.113053e+001	-3.355080e+002
2.135917e+001	-3.302257e+002
2.178318e+001	-3.152592e+002
2.162107e+001	-3.293452e+002
2.158328e+001	-3.372690e+002
2.179417e+001	-3.328668e+002
2.202281e+001	-3.275845e+002
2.212711e+001	-3.284652e+002
2.235575e+001	-3.231828e+002
2.258439e+001	-3.179005e+002
2.270646e+001	-3.179006e+002
2.288181e+001	-3.152597e+002
2.277298e+001	-3.267047e+002
2.282401e+001	-3.302263e+002
2.324802e+001	-3.152598e+002
2.340561e+001	-3.134991e+002
2.303037e+001	-3.381498e+002
2.288602e+001	-3.513557e+002
2.281271e+001	-3.610403e+002
2.289925e+001	-3.628012e+002
2.341208e+001	-3.434324e+002
2.351638e+001	-3.443132e+002
2.354965e+001	-3.487150e+002
2.352963e+001	-3.557582e+002
2.359842e+001	-3.583993e+002
2.350735e+001	-3.689641e+002
2.357614e+001	-3.716051e+002
2.403567e+001	-3.548778e+002
2.440640e+001	-3.425527e+002
2.461728e+001	-3.381506e+002
2.449069e+001	-3.504762e+002
2.436410e+001	-3.628018e+002
2.441513e+001	-3.663230e+002
2.459048e+001	-3.636821e+002
2.499674e+001	-3.495958e+002
2.517208e+001	-3.469549e+002
2.493892e+001	-3.645629e+002
2.504324e+001	-3.654431e+002
2.514755e+001	-3.663234e+002
2.526962e+001	-3.663234e+002
2.544497e+001	-3.636825e+002
2.560257e+001	-3.619217e+002
2.602658e+001	-3.469553e+002
2.614865e+001	-3.469553e+002
2.632400e+001	-3.443144e+002
2.655264e+001	-3.390321e+002
2.624844e+001	-3.601612e+002
2.603304e+001	-3.768886e+002
2.603078e+001	-3.830517e+002
2.643703e+001	-3.689654e+002
2.677224e+001	-3.584006e+002
2.689431e+001	-3.584007e+002
2.701638e+001	-3.584008e+002
2.697860e+001	-3.663242e+002
2.681649e+001	-3.804106e+002
2.676094e+001	-3.892147e+002
2.670540e+001	-3.980187e+002
2.679194e+001	-3.997795e+002
2.680744e+001	-4.050620e+002
2.700056e+001	-4.015405e+002
2.756667e+001	-3.795308e+002
2.781307e+001	-3.733678e+002
2.802394e+001	-3.689661e+002
2.835915e+001	-3.584014e+002
2.832137e+001	-3.663248e+002
2.819478e+001	-3.786504e+002
2.849447e+001	-3.698465e+002
2.969998e+001	-3.161429e+002
3.086997e+001	-2.642001e+002
3.198668e+001	-2.148982e+002
3.281921e+001	-1.796828e+002
3.308337e+001	-1.726396e+002
3.301006e+001	-1.823239e+002
3.299004e+001	-1.893671e+002
3.305882e+001	-1.920086e+002
3.330523e+001	-1.858456e+002
3.362267e+001	-1.761615e+002
3.374474e+001	-1.761616e+002
3.345830e+001	-1.964106e+002
3.331395e+001	-2.096164e+002
3.338273e+001	-2.122579e+002
3.407317e+001	-1.840851e+002
3.479913e+001	-1.541521e+002
3.492120e+001	-1.541521e+002
3.491894e+001	-1.603148e+002
3.468578e+001	-1.779228e+002
3.525188e+001	-1.559131e+002
3.608441e+001	-1.206976e+002
3.688141e+001	-8.724298e+001
3.744752e+001	-6.523328e+001
3.769392e+001	-5.907033e+001
3.797584e+001	-5.114701e+001
3.824000e+001	-4.410387e+001
3.818446e+001	-5.290792e+001
3.821772e+001	-5.730974e+001
3.805561e+001	-7.139619e+001
3.801783e+001	-7.931961e+001
3.801556e+001	-8.548267e+001
3.836854e+001	-7.403732e+001
3.841956e+001	-7.755897e+001
3.825745e+001	-9.164541e+001
3.804205e+001	-1.083728e+002
3.853711e+001	-8.988473e+001
3.910322e+001	-6.787503e+001
3.892335e+001	-8.284164e+001
3.861914e+001	-1.039713e+002
3.859912e+001	-1.110141e+002
3.909418e+001	-9.252597e+001
3.942938e+001	-8.196169e+001
3.948041e+001	-8.548333e+001
3.940711e+001	-9.516756e+001
3.970679e+001	-8.636362e+001
4.030842e+001	-6.259313e+001
4.069691e+001	-4.938741e+001
4.065913e+001	-5.731085e+001
4.051478e+001	-7.051666e+001
4.060132e+001	-7.227751e+001
4.104310e+001	-5.643083e+001
4.118293e+001	-5.555027e+001
4.086097e+001	-7.756008e+001
4.092975e+001	-8.020153e+001
4.133600e+001	-6.611521e+001
4.147583e+001	-6.523510e+001
4.173999e+001	-5.819195e+001
4.184431e+001	-5.907219e+001
4.184204e+001	-6.523526e+001
4.175098e+001	-7.579966e+001
4.189081e+001	-7.491953e+001
4.201288e+001	-7.491958e+001
4.209943e+001	-7.668044e+001
4.215045e+001	-8.020209e+001
4.214819e+001	-8.636471e+001
4.244788e+001	-7.756077e+001
4.269427e+001	-7.139826e+001
4.288739e+001	-6.787672e+001
4.315156e+001	-6.083358e+001
4.352229e+001	-4.850805e+001
4.328912e+001	-6.611608e+001
4.319806e+001	-7.668093e+001
4.278729e+001	-1.030925e+002
4.298040e+001	-9.957097e+001
4.345770e+001	-8.196348e+001
4.377515e+001	-7.227894e+001
4.357751e+001	-8.812617e+001
4.361078e+001	-9.252799e+001
4.375061e+001	-9.164788e+001
4.365954e+001	-1.022127e+002
4.403027e+001	-8.988719e+001
4.429443e+001	-8.284404e+001
4.450531e+001	-7.844233e+001
4.450305e+001	-8.460495e+001
4.441198e+001	-9.516980e+001
