    nm         	pN
0.000000e+000	5.608120e+002
8.665639e-002	5.590565e+002
4.882941e-002	5.511308e+002
2.878096e-002	5.440862e+002
6.208942e-002	5.396865e+002
9.539003e-002	5.352863e+002
1.286985e-001	5.308866e+002
1.442183e-001	5.256051e+002
1.241710e-001	5.185606e+002
1.219112e-001	5.123978e+002
6.629556e-002	5.035903e+002
6.403574e-002	4.974275e+002
1.151250e-001	4.939091e+002
1.128562e-001	4.877458e+002
7.502920e-002	4.798201e+002
7.276937e-002	4.736573e+002
5.272205e-002	4.666128e+002
-2.067210e-002	4.569241e+002
-5.152824e-003	4.516425e+002
2.814667e-002	4.472423e+002
-9.679755e-003	4.393166e+002
-1.008642e-001	4.287460e+002
-1.031229e-001	4.225833e+002
-1.231708e-001	4.155388e+002
-1.432187e-001	4.084943e+002
-1.632666e-001	4.014498e+002
-1.477462e-001	3.961683e+002
-2.389200e-001	3.855982e+002
-2.589684e-001	3.785537e+002
-2.256689e-001	3.741535e+002
-2.101390e-001	3.688725e+002
-1.946192e-001	3.635910e+002
-2.324557e-001	3.556648e+002
-2.347144e-001	3.495020e+002
-2.014065e-001	3.451023e+002
-2.392424e-001	3.371760e+002
-2.415017e-001	3.310133e+002
-2.793287e-001	3.230875e+002
-2.460292e-001	3.186873e+002
-2.838562e-001	3.107615e+002
-2.861160e-001	3.045987e+002
-3.595191e-001	2.949095e+002
-3.439993e-001	2.896280e+002
-2.929022e-001	2.861100e+002
-2.596033e-001	2.817098e+002
-3.329980e-001	2.720210e+002
-4.063927e-001	2.623322e+002
-3.730932e-001	2.579320e+002
-4.109207e-001	2.500062e+002
-4.309680e-001	2.429618e+002
-3.265236e-001	2.420880e+002
-2.754360e-001	2.385696e+002
-3.844080e-001	2.271173e+002
-4.044463e-001	2.200733e+002
-3.889259e-001	2.147918e+002
-3.911947e-001	2.086286e+002
-3.756738e-001	2.033471e+002
-3.423653e-001	1.989473e+002
-4.157606e-001	1.892585e+002
-4.358085e-001	1.822140e+002
-4.558564e-001	1.751696e+002
-3.869796e-001	1.725328e+002
-3.181119e-001	1.698956e+002
-3.915071e-001	1.602068e+002
-4.649024e-001	1.505181e+002
-5.027384e-001	1.425918e+002
-5.227773e-001	1.355478e+002
-5.072568e-001	1.302663e+002
-5.095251e-001	1.241031e+002
-5.473527e-001	1.161773e+002
-5.140436e-001	1.117776e+002
-5.340915e-001	1.047331e+002
-5.363597e-001	9.856985e+001
-5.919669e-001	8.976277e+001
-6.120143e-001	8.271829e+001
-6.320616e-001	7.567379e+001
-7.410251e-001	6.422197e+001
-7.255042e-001	5.894050e+001
-7.988994e-001	4.925171e+001
-8.189467e-001	4.220721e+001
-8.212155e-001	3.604399e+001
-8.768222e-001	2.723693e+001
-8.435227e-001	2.283674e+001
-8.280029e-001	1.755525e+001
-8.124819e-001	1.227378e+001
-7.613848e-001	8.755750e+000
-7.636536e-001	2.592549e+000
-7.481327e-001	-2.688924e+000
-7.326129e-001	-7.970396e+000
-7.348716e-001	-1.413317e+001
-7.371314e-001	-2.029594e+001
-7.216115e-001	-2.557741e+001
-7.238792e-001	-3.174062e+001
-6.550025e-001	-3.437736e+001
-6.039155e-001	-3.789583e+001
-6.239628e-001	-4.494033e+001
-6.617898e-001	-5.286610e+001
-7.529737e-001	-6.343663e+001
-7.374527e-001	-6.871811e+001
-7.041442e-001	-7.311787e+001
-6.708358e-001	-7.751761e+001
-6.908842e-001	-8.456211e+001
-7.642874e-001	-9.425134e+001
-7.843268e-001	-1.012954e+002
-7.154591e-001	-1.039326e+002
-7.177189e-001	-1.100953e+002
-8.266813e-001	-1.215471e+002
-9.000856e-001	-1.312364e+002
-8.489974e-001	-1.347548e+002
-7.801207e-001	-1.373916e+002
-7.823805e-001	-1.435544e+002
-7.846482e-001	-1.497176e+002
-8.224752e-001	-1.576434e+002
-8.425225e-001	-1.646878e+002
-8.447823e-001	-1.708506e+002
-9.003979e-001	-1.796581e+002
-8.493098e-001	-1.831766e+002
-9.049254e-001	-1.919841e+002
-9.249728e-001	-1.990286e+002
-9.450122e-001	-2.060726e+002
-9.472799e-001	-2.122359e+002
-1.002896e+000	-2.210434e+002
-9.695871e-001	-2.254431e+002
-9.007114e-001	-2.280799e+002
-8.674108e-001	-2.324800e+002
-8.696695e-001	-2.386428e+002
-9.252862e-001	-2.474503e+002
-9.453325e-001	-2.544948e+002
-8.408886e-001	-2.553685e+002
-8.431574e-001	-2.615317e+002
-8.454172e-001	-2.676945e+002
-9.188124e-001	-2.773833e+002
-9.744281e-001	-2.861908e+002
-8.166362e-001	-2.844203e+002
-7.477685e-001	-2.870574e+002
-8.033751e-001	-2.958645e+002
-7.700756e-001	-3.002647e+002
-7.545546e-001	-3.055461e+002
-7.212473e-001	-3.099459e+002
-6.879378e-001	-3.143457e+002
-7.257737e-001	-3.222719e+002
-7.991690e-001	-3.319607e+002
-8.192163e-001	-3.390052e+002
-8.748319e-001	-3.478127e+002
-9.126600e-001	-3.557385e+002
-9.504869e-001	-3.636643e+002
-8.638306e-001	-3.654197e+002
-7.771753e-001	-3.671752e+002
-8.150112e-001	-3.751014e+002
-7.994813e-001	-3.803824e+002
-8.550969e-001	-3.891899e+002
-8.751465e-001	-3.962344e+002
-8.596255e-001	-4.015159e+002
-7.551794e-001	-4.023896e+002
-7.574493e-001	-4.085528e+002
-8.308446e-001	-4.182416e+002
-8.153236e-001	-4.235231e+002
-7.820163e-001	-4.279229e+002
-7.842840e-001	-4.340861e+002
-7.509744e-001	-4.384858e+002
-6.998874e-001	-4.420043e+002
-6.665778e-001	-4.464040e+002
-6.688455e-001	-4.525672e+002
-6.888951e-001	-4.596118e+002
-6.733651e-001	-4.648928e+002
-6.934124e-001	-4.719373e+002
-7.312484e-001	-4.798635e+002
-7.690754e-001	-4.877893e+002
-7.713363e-001	-4.939520e+002
-7.380357e-001	-4.983522e+002
-6.869465e-001	-5.018707e+002
-7.425554e-001	-5.106778e+002
-7.626005e-001	-5.177223e+002
-8.182093e-001	-5.265293e+002
-8.560520e-001	-5.344560e+002
-8.583040e-001	-5.406183e+002
-7.005211e-001	-5.388482e+002
-5.960772e-001	-5.397219e+002
-5.983471e-001	-5.458852e+002
-6.183922e-001	-5.529296e+002
-6.028645e-001	-5.582107e+002
-4.095045e-001	-5.546771e+002
-2.517216e-001	-5.529069e+002
-1.650574e-001	-5.546619e+002
-2.206797e-001	-5.634699e+002
-1.162358e-001	-5.643436e+002
-6.514879e-002	-5.678621e+002
3.735779e-003	-5.704984e+002
3.393511e-001	-5.599136e+002
1.297416e+000	-5.184754e+002
2.931260e+000	-4.435404e+002
4.689588e+000	-3.624351e+002
6.216730e+000	-2.927891e+002
7.157006e+000	-2.522327e+002
7.528205e+000	-2.398840e+002
8.326210e+000	-2.063796e+002
9.124214e+000	-1.728752e+002
9.175302e+000	-1.763937e+002
9.012992e+000	-1.904898e+002
9.099648e+000	-1.922452e+002
9.293007e+000	-1.887116e+002
9.575283e+000	-1.807707e+002
9.857557e+000	-1.728298e+002
1.012205e+001	-1.657702e+002
1.045768e+001	-1.551846e+002
1.065104e+001	-1.516510e+002
1.087997e+001	-1.463544e+002
1.119781e+001	-1.366504e+002
1.105328e+001	-1.498653e+002
1.110437e+001	-1.533837e+002
1.113767e+001	-1.577839e+002
1.092200e+001	-1.745248e+002
1.097309e+001	-1.780433e+002
1.100640e+001	-1.824430e+002
1.128868e+001	-1.745021e+002
1.167766e+001	-1.612717e+002
1.185323e+001	-1.586198e+002
1.204659e+001	-1.550862e+002
1.179536e+001	-1.735901e+002
1.165083e+001	-1.868049e+002
1.161299e+001	-1.947312e+002
1.173522e+001	-1.947236e+002
1.191080e+001	-1.920713e+002
1.208637e+001	-1.894194e+002
1.235086e+001	-1.823598e+002
1.270427e+001	-1.708929e+002
1.314661e+001	-1.550182e+002
1.342888e+001	-1.470773e+002
1.355111e+001	-1.470697e+002
1.351328e+001	-1.549955e+002
1.347545e+001	-1.629213e+002
1.341984e+001	-1.717288e+002
1.325752e+001	-1.858253e+002
1.366428e+001	-1.717137e+002
1.428445e+001	-1.470243e+002
1.437111e+001	-1.487798e+002
1.449333e+001	-1.487722e+002
1.475782e+001	-1.417126e+002
1.502232e+001	-1.346530e+002
1.494893e+001	-1.443418e+002
1.483995e+001	-1.557940e+002
1.483769e+001	-1.619568e+002
1.490657e+001	-1.645935e+002
1.474425e+001	-1.786901e+002
1.470642e+001	-1.866159e+002
1.527324e+001	-1.645708e+002
1.546660e+001	-1.610373e+002
1.517979e+001	-1.813046e+002
1.530201e+001	-1.812970e+002
1.583327e+001	-1.610146e+002
1.624003e+001	-1.469033e+002
1.625555e+001	-1.521848e+002
1.641334e+001	-1.504142e+002
1.669563e+001	-1.424729e+002
1.680006e+001	-1.433471e+002
1.681558e+001	-1.486285e+002
1.677775e+001	-1.565543e+002
1.652652e+001	-1.750582e+002
1.647090e+001	-1.838657e+002
1.655756e+001	-1.856211e+002
1.673314e+001	-1.829688e+002
1.710433e+001	-1.706206e+002
1.745774e+001	-1.591537e+002
1.736657e+001	-1.697238e+002
1.736430e+001	-1.758870e+002
1.713085e+001	-1.935091e+002
1.714637e+001	-1.987906e+002
1.762427e+001	-1.811533e+002
1.794212e+001	-1.714490e+002
1.804655e+001	-1.723231e+002
1.822213e+001	-1.696708e+002
1.852220e+001	-1.608482e+002
1.875111e+001	-1.555520e+002
1.864215e+001	-1.670038e+002
1.858653e+001	-1.758114e+002
1.858428e+001	-1.819741e+002
1.847531e+001	-1.934259e+002
1.838413e+001	-2.039964e+002
1.834630e+001	-2.119222e+002
1.866415e+001	-2.022183e+002
1.887529e+001	-1.978034e+002
1.903308e+001	-1.960328e+002
1.913752e+001	-1.969066e+002
1.943758e+001	-1.880839e+002
1.961316e+001	-1.854321e+002
1.971760e+001	-1.863058e+002
1.975090e+001	-1.907060e+002
1.964194e+001	-2.021578e+002
1.956854e+001	-2.118466e+002
1.993973e+001	-1.994984e+002
2.036429e+001	-1.845050e+002
2.053986e+001	-1.818531e+002
2.035976e+001	-1.968310e+002
2.046419e+001	-1.977051e+002
2.065755e+001	-1.941715e+002
2.081535e+001	-1.924009e+002
2.107984e+001	-1.853413e+002
2.111315e+001	-1.897411e+002
2.114645e+001	-1.941413e+002
2.158878e+001	-1.782666e+002
2.158652e+001	-1.844293e+002
2.163761e+001	-1.879478e+002
2.190210e+001	-1.808886e+002
2.186427e+001	-1.888144e+002
2.179088e+001	-1.985032e+002
2.193088e+001	-1.976144e+002
2.212424e+001	-1.940808e+002
2.221090e+001	-1.958362e+002
2.227977e+001	-1.984729e+002
2.208188e+001	-2.143325e+002
2.207963e+001	-2.204953e+002
2.245083e+001	-2.081466e+002
2.264419e+001	-2.046130e+002
2.255300e+001	-2.151836e+002
2.274636e+001	-2.116500e+002
2.327761e+001	-1.913680e+002
2.345318e+001	-1.887161e+002
2.332643e+001	-2.010496e+002
2.355536e+001	-1.957530e+002
2.365980e+001	-1.966268e+002
2.363976e+001	-2.036712e+002
2.386868e+001	-1.983746e+002
2.404425e+001	-1.957228e+002
2.409534e+001	-1.992412e+002
2.407530e+001	-2.062853e+002
2.405526e+001	-2.133298e+002
2.417748e+001	-2.133222e+002
2.426413e+001	-2.150777e+002
2.410182e+001	-2.291742e+002
2.447301e+001	-2.168256e+002
2.466637e+001	-2.132920e+002
2.462854e+001	-2.212182e+002
2.501753e+001	-2.079878e+002
2.522866e+001	-2.035729e+002
2.531532e+001	-2.053284e+002
2.538420e+001	-2.079651e+002
2.563090e+001	-2.017872e+002
2.566421e+001	-2.061870e+002
2.582200e+001	-2.044164e+002
2.617542e+001	-1.929495e+002
2.624428e+001	-1.955866e+002
2.579743e+001	-2.237869e+002
2.591965e+001	-2.237793e+002
2.646868e+001	-2.026160e+002
2.682210e+001	-1.911486e+002
2.689097e+001	-1.937858e+002
2.708433e+001	-1.902522e+002
2.722434e+001	-1.893629e+002
2.711537e+001	-2.008152e+002
2.745100e+001	-1.902295e+002
2.769772e+001	-1.840512e+002
2.769545e+001	-1.902144e+002
2.774654e+001	-1.937329e+002
2.772649e+001	-2.007774e+002
2.788428e+001	-1.990068e+002
2.813099e+001	-1.928285e+002
2.823543e+001	-1.937026e+002
2.809090e+001	-2.069175e+002
2.799972e+001	-2.174880e+002
2.805080e+001	-2.210064e+002
2.811968e+001	-2.236432e+002
2.840196e+001	-2.157023e+002
2.879093e+001	-2.024723e+002
2.907322e+001	-1.945310e+002
2.930215e+001	-1.892344e+002
2.961999e+001	-1.795304e+002
2.947546e+001	-1.927453e+002
2.934870e+001	-2.050788e+002
2.959541e+001	-1.989009e+002
2.978877e+001	-1.953673e+002
3.003549e+001	-1.891890e+002
3.008658e+001	-1.927075e+002
2.983534e+001	-2.112113e+002
2.979751e+001	-2.191376e+002
2.997309e+001	-2.164852e+002
3.034429e+001	-2.041366e+002
3.064434e+001	-1.953144e+002
3.073099e+001	-1.970698e+002
3.095992e+001	-1.917732e+002
3.111771e+001	-1.900027e+002
3.136443e+001	-1.838243e+002
3.202016e+001	-1.573720e+002
3.251585e+001	-1.388530e+002
3.235353e+001	-1.529495e+002
3.187110e+001	-1.829128e+002
3.202890e+001	-1.811422e+002
3.243566e+001	-1.670305e+002
