    nm         	pN
0.000000e+000	6.293834e+002
-7.333479e-002	6.196976e+002
-1.999582e-001	6.073704e+002
-1.666799e-001	6.029691e+002
-8.011539e-002	6.012091e+002
-6.460115e-002	5.959274e+002
-1.356120e-002	5.924065e+002
-6.913312e-002	5.836012e+002
-2.312822e-001	5.695130e+002
-2.513105e-001	5.624695e+002
-1.825077e-001	5.598291e+002
-7.816123e-002	5.589506e+002
2.618411e-002	5.580719e+002
-2.938669e-002	5.492666e+002
-1.204855e-001	5.387003e+002
-1.760406e-001	5.298958e+002
-1.072378e-001	5.272554e+002
-5.619670e-002	5.237346e+002
-2.291961e-002	5.193333e+002
-2.518615e-002	5.131702e+002
-4.521444e-002	5.061266e+002
5.824400e-003	5.026057e+002
-4.972961e-002	4.938013e+002
-1.408261e-001	4.832351e+002
-8.978730e-002	4.797142e+002
-9.203481e-002	4.735520e+002
-1.120631e-001	4.665084e+002
-7.735676e-003	4.656289e+002
-2.776452e-002	4.585854e+002
-4.777601e-002	4.515427e+002
2.102737e-002	4.489023e+002
1.075925e-001	4.471424e+002
8.756364e-002	4.400988e+002
8.531557e-002	4.339366e+002
-7.685088e-002	4.198476e+002
9.714799e-003	4.180877e+002
2.028918e-001	4.216122e+002
2.539318e-001	4.180914e+002
2.872088e-001	4.136901e+002
2.494177e-001	4.057661e+002
2.471512e-001	3.996029e+002
2.093600e-001	3.916789e+002
2.603994e-001	3.881581e+002
4.358147e-001	3.908022e+002
4.513289e-001	3.855204e+002
4.313001e-001	3.784769e+002
3.934910e-001	3.705520e+002
2.135622e-001	3.555826e+002
1.402448e-001	3.458976e+002
1.379788e-001	3.397345e+002
1.179500e-001	3.326910e+002
9.792113e-002	3.256474e+002
1.489605e-001	3.221265e+002
1.289317e-001	3.150830e+002
1.799722e-001	3.115621e+002
1.777236e-001	3.053999e+002
1.576947e-001	2.983563e+002
2.620412e-001	2.974778e+002
1.353999e-001	2.851497e+002
1.509141e-001	2.798679e+002
2.730234e-001	2.798698e+002
2.352317e-001	2.719458e+002
2.152029e-001	2.649022e+002
2.306998e-001	2.596196e+002
3.172828e-001	2.578605e+002
3.327791e-001	2.525778e+002
3.482939e-001	2.472961e+002
3.460279e-001	2.411330e+002
3.970679e-001	2.376122e+002
3.948193e-001	2.314499e+002
4.103156e-001	2.261673e+002
4.080501e-001	2.200042e+002
4.235644e-001	2.147224e+002
3.502296e-001	2.050366e+002
3.657438e-001	1.997548e+002
4.700903e-001	1.988762e+002
5.211303e-001	1.953554e+002
4.833385e-001	1.874314e+002
4.633097e-001	1.803878e+002
4.788060e-001	1.751052e+002
4.943208e-001	1.698234e+002
4.565291e-001	1.618994e+002
4.009572e-001	1.530940e+002
3.631660e-001	1.451700e+002
3.608995e-001	1.390069e+002
3.586508e-001	1.328447e+002
3.208597e-001	1.249207e+002
3.718996e-001	1.213998e+002
5.295336e-001	1.231626e+002
5.805735e-001	1.196417e+002
6.671571e-001	1.178827e+002
6.115852e-001	1.090773e+002
5.560301e-001	1.002729e+002
5.893072e-001	9.587155e+001
7.114165e-001	9.587341e+001
6.913871e-001	8.882985e+001
5.647469e-001	7.650178e+001
4.914301e-001	6.681687e+001
4.536378e-001	5.889285e+001
6.290345e-001	6.153607e+001
7.689246e-001	6.241928e+001
6.778270e-001	5.185300e+001
7.111041e-001	4.745170e+001
7.976698e-001	4.569176e+001
7.776404e-001	3.864821e+001
7.220863e-001	2.984373e+001
7.908892e-001	2.720333e+001
8.952345e-001	2.632473e+001
8.218997e-001	1.663892e+001
8.018715e-001	9.595363e+000
9.062168e-001	8.716765e+000
8.684256e-001	7.927556e-001
8.306345e-001	-7.131253e+000
8.994373e-001	-9.771641e+000
9.327144e-001	-1.417296e+001
8.771425e-001	-2.297831e+001
9.814878e-001	-2.385690e+001
9.614595e-001	-3.090047e+001
9.769737e-001	-3.618223e+001
9.214018e-001	-4.498759e+001
1.061291e+000	-4.410438e+001
1.130094e+000	-4.674479e+001
1.074522e+000	-5.555014e+001
1.090036e+000	-6.083190e+001
1.212144e+000	-6.083005e+001
1.280947e+000	-6.347044e+001
1.331987e+000	-6.699130e+001
1.454095e+000	-6.698944e+001
1.611748e+000	-6.522579e+001
1.591719e+000	-7.226934e+001
1.553928e+000	-8.019335e+001
1.551661e+000	-8.635646e+001
1.513870e+000	-9.428047e+001
1.618215e+000	-9.515908e+001
1.829156e+000	-9.075406e+001
1.826890e+000	-9.691716e+001
1.877930e+000	-1.004380e+002
1.786832e+000	-1.110043e+002
1.802347e+000	-1.162861e+002
1.871149e+000	-1.189264e+002
2.064327e+000	-1.154019e+002
2.008772e+000	-1.242064e+002
1.757775e+000	-1.426985e+002
1.595608e+000	-1.567875e+002
1.468986e+000	-1.691146e+002
1.555550e+000	-1.708746e+002
1.855322e+000	-1.620664e+002
1.959668e+000	-1.629450e+002
1.850808e+000	-1.743917e+002
1.937391e+000	-1.761508e+002
2.308231e+000	-1.638199e+002
2.679072e+000	-1.514890e+002
2.641281e+000	-1.594130e+002
2.532420e+000	-1.708597e+002
2.476866e+000	-1.796642e+002
2.439074e+000	-1.875882e+002
2.561183e+000	-1.875863e+002
2.452305e+000	-1.990340e+002
2.556650e+000	-1.999126e+002
2.483333e+000	-2.095975e+002
2.552136e+000	-2.122379e+002
2.692008e+000	-2.113556e+002
2.814116e+000	-2.113537e+002
2.882919e+000	-2.139941e+002
2.809603e+000	-2.236790e+002
2.771810e+000	-2.316031e+002
2.840613e+000	-2.342435e+002
2.856109e+000	-2.395261e+002
2.853862e+000	-2.456883e+002
3.029259e+000	-2.430451e+002
3.311285e+000	-2.351165e+002
3.362325e+000	-2.386373e+002
3.271228e+000	-2.492036e+002
3.180130e+000	-2.597699e+002
3.248933e+000	-2.624103e+002
3.246667e+000	-2.685734e+002
3.155586e+000	-2.791387e+002
3.259916e+000	-2.800182e+002
3.346498e+000	-2.817773e+002
3.344232e+000	-2.879404e+002
3.235372e+000	-2.993871e+002
3.250886e+000	-3.046689e+002
3.284146e+000	-3.090711e+002
3.530630e+000	-3.029043e+002
3.563906e+000	-3.073055e+002
3.508353e+000	-3.161100e+002
3.612681e+000	-3.169895e+002
3.681500e+000	-3.196290e+002
3.696996e+000	-3.249117e+002
3.463761e+000	-3.425233e+002
3.443734e+000	-3.495669e+002
3.725760e+000	-3.416383e+002
3.865633e+000	-3.407560e+002
3.898909e+000	-3.451573e+002
3.861100e+000	-3.530822e+002
3.912140e+000	-3.566030e+002
4.052029e+000	-3.557198e+002
4.120830e+000	-3.583602e+002
4.118565e+000	-3.645233e+002
4.311742e+000	-3.609988e+002
4.487156e+000	-3.583547e+002
4.662573e+000	-3.557105e+002
4.997888e+000	-3.451406e+002
4.995621e+000	-3.513037e+002
5.064424e+000	-3.539441e+002
5.044395e+000	-3.609877e+002
4.988840e+000	-3.697921e+002
5.110949e+000	-3.697903e+002
5.304126e+000	-3.662657e+002
5.337404e+000	-3.706670e+002
5.530580e+000	-3.671425e+002
5.759285e+000	-3.618569e+002
6.201193e+000	-3.460034e+002
6.376610e+000	-3.433592e+002
6.409886e+000	-3.477606e+002
6.460926e+000	-3.512814e+002
6.387591e+000	-3.609672e+002
6.438631e+000	-3.644881e+002
6.667351e+000	-3.592017e+002
6.771699e+000	-3.600803e+002
6.573987e+000	-3.759311e+002
6.500670e+000	-3.856160e+002
6.818206e+000	-3.759274e+002
6.833720e+000	-3.812091e+002
6.902521e+000	-3.838495e+002
6.918035e+000	-3.891313e+002
7.128976e+000	-3.847263e+002
7.375442e+000	-3.785603e+002
7.248820e+000	-3.908875e+002
7.317622e+000	-3.935279e+002
7.635175e+000	-3.838384e+002
7.473007e+000	-3.979274e+002
7.293079e+000	-4.128968e+002
7.539561e+000	-4.067300e+002
7.643909e+000	-4.076086e+002
7.694949e+000	-4.111294e+002
7.657137e+000	-4.190543e+002
7.743721e+000	-4.208134e+002
8.203413e+000	-4.040784e+002
8.592013e+000	-3.908671e+002
8.785192e+000	-3.873425e+002
8.658570e+000	-3.996697e+002
8.780677e+000	-3.996679e+002
9.222587e+000	-3.838143e+002
9.469069e+000	-3.776475e+002
9.537873e+000	-3.802879e+002
9.375707e+000	-3.943768e+002
9.320152e+000	-4.031813e+002
9.531092e+000	-3.987763e+002
9.955238e+000	-3.838031e+002
1.025501e+001	-3.749949e+002
1.062587e+001	-3.626632e+002
1.058808e+001	-3.705872e+002
1.060357e+001	-3.758699e+002
1.076123e+001	-3.741062e+002
1.086555e+001	-3.749857e+002
1.088107e+001	-3.802674e+002
1.094987e+001	-3.829078e+002
1.108976e+001	-3.820246e+002
1.154943e+001	-3.652906e+002
1.241775e+001	-3.283007e+002
1.323279e+001	-2.939523e+002
1.344373e+001	-2.895472e+002
1.344146e+001	-2.957103e+002
1.361688e+001	-2.930662e+002
1.407655e+001	-2.763322e+002
1.442963e+001	-2.648818e+002
1.439183e+001	-2.728058e+002
1.426521e+001	-2.851329e+002
1.451169e+001	-2.789661e+002
1.456274e+001	-2.824870e+002
1.447164e+001	-2.930532e+002
1.461151e+001	-2.921709e+002
1.487575e+001	-2.851236e+002
1.514000e+001	-2.780764e+002
1.531542e+001	-2.754323e+002
1.536645e+001	-2.789531e+002
1.532865e+001	-2.868780e+002
1.520202e+001	-2.992052e+002
1.523530e+001	-3.036065e+002
1.578382e+001	-2.824684e+002
1.654553e+001	-2.507631e+002
1.712958e+001	-2.278641e+002
1.810451e+001	-1.855897e+002
1.875963e+001	-1.591680e+002
1.932591e+001	-1.371494e+002
1.987443e+001	-1.160113e+002
2.026305e+001	-1.027991e+002
2.040292e+001	-1.019168e+002
2.057832e+001	-9.927358e+001
2.098471e+001	-8.518088e+001
2.135556e+001	-7.284911e+001
2.154874e+001	-6.932455e+001
2.174192e+001	-6.579999e+001
2.182848e+001	-6.755992e+001
2.198614e+001	-6.579626e+001
2.219708e+001	-6.139125e+001
2.207044e+001	-7.371932e+001
2.203264e+001	-8.164333e+001
2.203040e+001	-8.780555e+001
2.234793e+001	-7.811692e+001
2.261218e+001	-7.106964e+001
2.260991e+001	-7.723275e+001
2.260766e+001	-8.339496e+001
2.251656e+001	-9.396123e+001
2.237216e+001	-1.071697e+002
2.242320e+001	-1.106906e+002
2.282958e+001	-9.659791e+001
2.314714e+001	-8.690839e+001
2.348245e+001	-7.633840e+001
2.383553e+001	-6.488798e+001
2.397540e+001	-6.400566e+001
2.409751e+001	-6.400381e+001
2.434399e+001	-5.783700e+001
2.437727e+001	-6.223830e+001
2.417956e+001	-7.808907e+001
2.408846e+001	-8.865533e+001
2.421057e+001	-8.865348e+001
2.451036e+001	-7.984441e+001
2.470354e+001	-7.631985e+001
2.498555e+001	-6.839212e+001
2.496552e+001	-7.543568e+001
2.498103e+001	-8.071745e+001
2.508536e+001	-8.159693e+001
2.499426e+001	-9.216319e+001
2.500978e+001	-9.744496e+001
2.493644e+001	-1.071308e+002
2.495196e+001	-1.124125e+002
2.507407e+001	-1.124107e+002
2.544491e+001	-1.000798e+002
2.585129e+001	-8.598710e+001
2.618660e+001	-7.541713e+001
2.632648e+001	-7.453481e+001
2.598665e+001	-9.743011e+001
2.609099e+001	-9.830870e+001
2.662173e+001	-7.805195e+001
2.685045e+001	-7.276559e+001
2.667053e+001	-8.773501e+001
2.666826e+001	-9.389812e+001
2.721678e+001	-7.276001e+001
2.728558e+001	-7.540042e+001
2.705235e+001	-9.301210e+001
2.729883e+001	-8.684527e+001
2.729657e+001	-9.300839e+001
2.729430e+001	-9.917149e+001
2.732758e+001	-1.035728e+002
2.727202e+001	-1.123773e+002
2.710986e+001	-1.264662e+002
2.739186e+001	-1.185385e+002
2.767387e+001	-1.106108e+002
2.800919e+001	-1.000408e+002
2.839781e+001	-8.682858e+001
2.848438e+001	-8.858851e+001
2.837552e+001	-1.000352e+002
2.835549e+001	-1.070788e+002
2.847759e+001	-1.070769e+002
2.879515e+001	-9.738741e+001
2.884619e+001	-1.009083e+002
2.905713e+001	-9.650326e+001
2.933914e+001	-8.857552e+001
2.942572e+001	-9.033459e+001
2.915696e+001	-1.097072e+002
2.917246e+001	-1.149898e+002
2.924126e+001	-1.176302e+002
2.922125e+001	-1.246729e+002
2.907684e+001	-1.378814e+002
2.896798e+001	-1.493281e+002
2.910785e+001	-1.484458e+002
