    nm         	pN
0.000000e+000	5.432595e+002
8.656344e-002	5.414995e+002
1.908897e-001	5.406199e+002
2.774509e-001	5.388598e+002
3.284830e-001	5.353386e+002
2.374011e-001	5.247731e+002
1.640842e-001	5.150881e+002
1.618255e-001	5.089254e+002
1.062737e-001	5.001211e+002
-2.573332e-003	4.886750e+002
4.845879e-002	4.851538e+002
2.416061e-001	4.886768e+002
2.393452e-001	4.825140e+002
1.127352e-001	4.701874e+002
5.718234e-002	4.613830e+002
5.492364e-002	4.552203e+002
1.237203e-001	4.525796e+002
1.214610e-001	4.464168e+002
1.261508e-002	4.349708e+002
1.169414e-001	4.340913e+002
9.691533e-002	4.270478e+002
4.136244e-002	4.182434e+002
2.167458e-001	4.208860e+002
2.855425e-001	4.182453e+002
2.122250e-001	4.085604e+002
1.566732e-001	3.997560e+002
2.254699e-001	3.971153e+002
1.699170e-001	3.883109e+002
1.498938e-001	3.812676e+002
1.831613e-001	3.768658e+002
5.655085e-002	3.645393e+002
8.982123e-002	3.601376e+002
2.119109e-001	3.601386e+002
3.162367e-001	3.592590e+002
3.672688e-001	3.557377e+002
3.472450e-001	3.486944e+002
3.272195e-001	3.416510e+002
2.894312e-001	3.337272e+002
3.582278e-001	3.310865e+002
3.737337e-001	3.258043e+002
2.471232e-001	3.134777e+002
1.738057e-001	3.037928e+002
2.603669e-001	3.020326e+002
3.291636e-001	2.993919e+002
3.624340e-001	2.949903e+002
3.601724e-001	2.888274e+002
3.579132e-001	2.826646e+002
4.800035e-001	2.826656e+002
5.132716e-001	2.782638e+002
4.754855e-001	2.703401e+002
4.021664e-001	2.606551e+002
3.466113e-001	2.518505e+002
2.200036e-001	2.395241e+002
3.065648e-001	2.377640e+002
4.464190e-001	2.386454e+002
3.020462e-001	2.254384e+002
2.820202e-001	2.183950e+002
4.218750e-001	2.192765e+002
5.439647e-001	2.192774e+002
5.772329e-001	2.148757e+002
5.572068e-001	2.078323e+002
5.194213e-001	1.999085e+002
5.882174e-001	1.972678e+002
8.168949e-001	2.025520e+002
8.323979e-001	1.972697e+002
7.768428e-001	1.884652e+002
5.969415e-001	1.734971e+002
5.413869e-001	1.646926e+002
7.345348e-001	1.682157e+002
6.789847e-001	1.594115e+002
7.833099e-001	1.585319e+002
7.810489e-001	1.523690e+002
7.254938e-001	1.435645e+002
7.054728e-001	1.365213e+002
7.209758e-001	1.312390e+002
7.009504e-001	1.241956e+002
7.519870e-001	1.206746e+002
9.096013e-001	1.224364e+002
9.428733e-001	1.180348e+002
9.939054e-001	1.145136e+002
9.916440e-001	1.083507e+002
9.893830e-001	1.021878e+002
1.004891e+000	9.690573e+001
9.848645e-001	8.986232e+001
1.106955e+000	8.986326e+001
1.264574e+000	9.162528e+001
1.333371e+000	8.898458e+001
1.029118e+000	6.785272e+001
8.669809e-001	5.376520e+001
1.184475e+000	6.345187e+001
1.093396e+000	5.288650e+001
1.037841e+000	4.408202e+001
1.159931e+000	4.408294e+001
1.282022e+000	4.408388e+001
1.279760e+000	3.792102e+001
1.295267e+000	3.263892e+001
1.452887e+000	3.440093e+001
1.326274e+000	2.207426e+001
1.252960e+000	1.238946e+001
1.303992e+000	8.868218e+000
1.283966e+000	1.824807e+000
1.352762e+000	-8.158751e-001
1.314976e+000	-8.739602e+000
1.241657e+000	-1.842464e+001
1.417041e+000	-1.578207e+001
1.663482e+000	-9.617354e+000
1.838866e+000	-6.974790e+000
1.818841e+000	-1.401820e+001
1.798815e+000	-2.106161e+001
1.938669e+000	-2.018014e+001
1.794296e+000	-3.338711e+001
1.720977e+000	-4.307214e+001
1.896360e+000	-4.042959e+001
1.805282e+000	-5.099494e+001
1.749726e+000	-5.979944e+001
1.836288e+000	-6.155960e+001
1.816262e+000	-6.860301e+001
1.920587e+000	-6.948261e+001
1.776215e+000	-8.268960e+001
1.791718e+000	-8.797191e+001
2.020395e+000	-8.268773e+001
2.053663e+000	-8.708952e+001
1.962583e+000	-9.765487e+001
2.209020e+000	-9.149036e+001
2.224527e+000	-9.677247e+001
2.009098e+000	-1.135016e+002
1.918014e+000	-1.240672e+002
2.199984e+000	-1.161414e+002
2.286545e+000	-1.179015e+002
2.319812e+000	-1.223033e+002
2.441903e+000	-1.223024e+002
2.333054e+000	-1.337485e+002
2.241976e+000	-1.443139e+002
2.435123e+000	-1.407908e+002
2.770382e+000	-1.302235e+002
2.768126e+000	-1.363862e+002
2.730336e+000	-1.443101e+002
2.728075e+000	-1.504730e+002
2.601466e+000	-1.627994e+002
2.474853e+000	-1.751261e+002
2.525890e+000	-1.786471e+002
2.736798e+000	-1.742437e+002
2.770070e+000	-1.786453e+002
2.750044e+000	-1.856887e+002
3.156361e+000	-1.715993e+002
3.438332e+000	-1.636735e+002
3.222901e+000	-1.804026e+002
2.900884e+000	-2.024150e+002
3.058503e+000	-2.006530e+002
3.180593e+000	-2.006521e+002
2.876340e+000	-2.217839e+002
2.643141e+000	-2.393939e+002
2.889582e+000	-2.332291e+002
3.331428e+000	-2.173787e+002
3.169291e+000	-2.314662e+002
3.095972e+000	-2.411512e+002
3.235826e+000	-2.402697e+002
3.286863e+000	-2.437907e+002
3.515536e+000	-2.385068e+002
4.223848e+000	-2.094482e+002
4.683459e+000	-1.927172e+002
4.823313e+000	-1.918357e+002
4.785528e+000	-1.997594e+002
4.818795e+000	-2.041612e+002
4.923121e+000	-2.050408e+002
5.453789e+000	-1.847876e+002
5.344941e+000	-1.962338e+002
5.165040e+000	-2.112018e+002
5.482539e+000	-2.015149e+002
5.728976e+000	-1.953504e+002
5.762248e+000	-1.997520e+002
5.724458e+000	-2.076759e+002
5.668903e+000	-2.164804e+002
5.790993e+000	-2.164795e+002
6.108492e+000	-2.067926e+002
6.372698e+000	-1.997473e+002
6.317143e+000	-2.085518e+002
6.368175e+000	-2.120731e+002
6.401443e+000	-2.164748e+002
6.452475e+000	-2.199961e+002
6.645624e+000	-2.164730e+002
6.696655e+000	-2.199942e+002
6.783220e+000	-2.217541e+002
7.029657e+000	-2.155896e+002
6.903050e+000	-2.279161e+002
6.492209e+000	-2.543312e+002
6.489948e+000	-2.604941e+002
6.860741e+000	-2.481655e+002
7.178236e+000	-2.384788e+002
7.406913e+000	-2.331947e+002
7.315834e+000	-2.437600e+002
7.224750e+000	-2.543256e+002
7.506721e+000	-2.463998e+002
7.628810e+000	-2.463989e+002
7.750899e+000	-2.463980e+002
7.766404e+000	-2.516803e+002
7.977316e+000	-2.472766e+002
8.223752e+000	-2.411121e+002
8.310318e+000	-2.428720e+002
8.396880e+000	-2.446322e+002
8.252502e+000	-2.578394e+002
8.054836e+000	-2.736880e+002
8.265748e+000	-2.692844e+002
8.707594e+000	-2.534339e+002
8.811920e+000	-2.543135e+002
8.667548e+000	-2.675205e+002
8.558700e+000	-2.789666e+002
8.556443e+000	-2.851293e+002
8.696293e+000	-2.842480e+002
9.013791e+000	-2.745611e+002
9.011530e+000	-2.807240e+002
9.364558e+000	-2.692760e+002
9.486649e+000	-2.692751e+002
9.164632e+000	-2.912875e+002
9.091313e+000	-3.009725e+002
9.426577e+000	-2.904051e+002
9.850658e+000	-2.754351e+002
1.004380e+001	-2.719120e+002
9.899432e+000	-2.851190e+002
9.808350e+000	-2.956846e+002
9.557390e+000	-3.141749e+002
9.448542e+000	-3.256209e+002
9.766040e+000	-3.159341e+002
9.728251e+000	-3.238580e+002
9.939163e+000	-3.194544e+002
1.055865e+001	-2.947985e+002
1.055639e+001	-3.009614e+002
1.026990e+001	-3.212126e+002
1.033870e+001	-3.238534e+002
1.067396e+001	-3.132859e+002
1.086711e+001	-3.097628e+002
1.091814e+001	-3.132840e+002
1.095141e+001	-3.176858e+002
1.118009e+001	-3.124016e+002
1.139100e+001	-3.079980e+002
1.110451e+001	-3.282493e+002
1.058709e+001	-3.599477e+002
1.054930e+001	-3.678716e+002
1.088456e+001	-3.573042e+002
1.123758e+001	-3.458565e+002
1.153732e+001	-3.370501e+002
1.169494e+001	-3.352881e+002
1.188809e+001	-3.317650e+002
1.211676e+001	-3.264810e+002
1.223885e+001	-3.264801e+002
1.220106e+001	-3.344038e+002
1.214551e+001	-3.432083e+002
1.189455e+001	-3.616985e+002
1.185676e+001	-3.696225e+002
1.220979e+001	-3.581745e+002
1.265163e+001	-3.423240e+002
1.268490e+001	-3.467258e+002
1.243394e+001	-3.652161e+002
1.259156e+001	-3.634540e+002
1.289129e+001	-3.546477e+002
1.319102e+001	-3.458415e+002
1.329535e+001	-3.467212e+002
1.323980e+001	-3.555254e+002
1.311319e+001	-3.678521e+002
1.305764e+001	-3.766564e+002
1.323302e+001	-3.740138e+002
1.365710e+001	-3.590439e+002
1.408118e+001	-3.440740e+002
1.418551e+001	-3.449536e+002
1.418325e+001	-3.511162e+002
1.423428e+001	-3.546375e+002
1.421426e+001	-3.616809e+002
1.470940e+001	-3.431887e+002
1.547100e+001	-3.114885e+002
1.596614e+001	-2.929965e+002
1.642575e+001	-2.762654e+002
1.700972e+001	-2.533706e+002
1.773579e+001	-2.234315e+002
1.830199e+001	-2.014172e+002
1.837079e+001	-2.040579e+002
1.867052e+001	-1.952518e+002
1.905907e+001	-1.820427e+002
1.946539e+001	-1.679533e+002
1.990724e+001	-1.521028e+002
2.011815e+001	-1.476992e+002
2.013365e+001	-1.529815e+002
2.014916e+001	-1.582636e+002
2.028901e+001	-1.573822e+002
2.026899e+001	-1.644256e+002
2.051543e+001	-1.582608e+002
2.077963e+001	-1.512158e+002
2.093725e+001	-1.494538e+002
2.059747e+001	-1.723467e+002
2.050639e+001	-1.829121e+002
2.071730e+001	-1.785084e+002
2.083939e+001	-1.785075e+002
2.110359e+001	-1.714625e+002
2.133227e+001	-1.661783e+002
2.156095e+001	-1.608941e+002
2.168304e+001	-1.608931e+002
2.182289e+001	-1.600117e+002
2.187392e+001	-1.635329e+002
2.180061e+001	-1.732180e+002
2.210034e+001	-1.644116e+002
2.255995e+001	-1.476806e+002
2.282416e+001	-1.406353e+002
2.287519e+001	-1.441565e+002
2.303281e+001	-1.423946e+002
2.356348e+001	-1.221414e+002
2.386321e+001	-1.133350e+002
2.402083e+001	-1.115732e+002
2.428503e+001	-1.045279e+002
2.465582e+001	-9.219943e+001
2.472462e+001	-9.484012e+001
2.461577e+001	-1.062862e+002
2.486221e+001	-1.001215e+002
2.484219e+001	-1.071649e+002
2.501757e+001	-1.045224e+002
2.524625e+001	-9.923817e+001
2.515516e+001	-1.098038e+002
2.483315e+001	-1.318162e+002
2.475983e+001	-1.415010e+002
2.518392e+001	-1.265310e+002
2.567905e+001	-1.080389e+002
2.608538e+001	-9.394934e+001
2.613641e+001	-9.747058e+001
2.608085e+001	-1.062751e+002
2.607859e+001	-1.124379e+002
2.644938e+001	-1.001094e+002
2.673135e+001	-9.218360e+001
2.681791e+001	-9.394376e+001
2.697553e+001	-9.218173e+001
2.706209e+001	-9.394190e+001
2.697101e+001	-1.045075e+002
2.682664e+001	-1.177144e+002
2.705531e+001	-1.124305e+002
2.746163e+001	-9.834088e+001
2.769031e+001	-9.305669e+001
2.790122e+001	-8.865328e+001
2.805884e+001	-8.689126e+001
2.784341e+001	-1.036204e+002
2.752139e+001	-1.256328e+002
2.775007e+001	-1.203486e+002
2.765898e+001	-1.309142e+002
2.763896e+001	-1.379574e+002
2.816963e+001	-1.177042e+002
2.852265e+001	-1.062564e+002
2.860921e+001	-1.080166e+002
2.855366e+001	-1.168209e+002
2.846258e+001	-1.273864e+002
2.851361e+001	-1.309077e+002
2.865347e+001	-1.300262e+002
2.882885e+001	-1.273837e+002
2.914635e+001	-1.176968e+002
2.903750e+001	-1.291429e+002
2.891089e+001	-1.414693e+002
2.890863e+001	-1.476322e+002
2.920837e+001	-1.388258e+002
2.963245e+001	-1.238559e+002
2.970124e+001	-1.264966e+002
2.985886e+001	-1.247346e+002
3.026518e+001	-1.106452e+002
3.017410e+001	-1.212106e+002
2.999420e+001	-1.361786e+002
2.995641e+001	-1.441026e+002
2.981204e+001	-1.573096e+002
3.021836e+001	-1.432202e+002
3.074902e+001	-1.229670e+002
3.087111e+001	-1.229661e+002
3.088661e+001	-1.282484e+002
3.123964e+001	-1.168004e+002
3.152161e+001	-1.088748e+002
3.166146e+001	-1.079933e+002
3.151709e+001	-1.212003e+002
3.169248e+001	-1.185578e+002
3.200997e+001	-1.088711e+002
3.170572e+001	-1.300030e+002
3.211204e+001	-1.159133e+002
3.269600e+001	-9.301854e+001
3.297797e+001	-8.509295e+001
3.356193e+001	-6.219814e+001
3.364849e+001	-6.395830e+001
3.364623e+001	-7.012116e+001
3.351962e+001	-8.244760e+001
3.346407e+001	-9.125209e+001
3.333746e+001	-1.035785e+002
3.337072e+001	-1.079803e+002
3.359940e+001	-1.026961e+002
3.405901e+001	-8.596511e+001
3.412781e+001	-8.860580e+001
3.389462e+001	-1.062155e+002
3.408776e+001	-1.026924e+002
3.420985e+001	-1.026915e+002
3.433194e+001	-1.026905e+002
3.466721e+001	-9.212309e+001
3.477153e+001	-9.300272e+001
3.494691e+001	-9.036038e+001
3.537100e+001	-7.539024e+001
3.527991e+001	-8.595581e+001
3.506448e+001	-1.026850e+002
3.468917e+001	-1.273390e+002
3.484679e+001	-1.255770e+002
3.551957e+001	-9.827946e+001
3.626341e+001	-6.745999e+001
3.631445e+001	-7.098101e+001
3.609901e+001	-8.771037e+001
3.620334e+001	-8.858999e+001
3.618332e+001	-9.563317e+001
3.639423e+001	-9.122975e+001
3.651632e+001	-9.122882e+001
3.670946e+001	-8.770572e+001
3.695590e+001	-8.154100e+001
3.681153e+001	-9.474798e+001
3.654281e+001	-1.141188e+002
3.684254e+001	-1.053126e+002
3.714228e+001	-9.650626e+001
3.722883e+001	-9.826643e+001
3.743975e+001	-9.386277e+001
3.745525e+001	-9.914511e+001
3.743522e+001	-1.061885e+002
3.734414e+001	-1.167539e+002
3.721753e+001	-1.290805e+002
3.758833e+001	-1.167520e+002
3.817229e+001	-9.385720e+001
3.845425e+001	-8.593160e+001
3.820329e+001	-1.044218e+002
3.807668e+001	-1.167483e+002
3.798560e+001	-1.273139e+002
3.821428e+001	-1.220297e+002
3.869165e+001	-1.044181e+002
3.900915e+001	-9.473123e+001
3.913124e+001	-9.473029e+001
3.911122e+001	-1.017737e+002
3.923331e+001	-1.017728e+002
3.963962e+001	-8.768339e+001
3.960184e+001	-9.560711e+001
3.970617e+001	-9.648671e+001
3.979272e+001	-9.824688e+001
4.009246e+001	-8.944074e+001
4.016126e+001	-9.208122e+001
4.008794e+001	-1.017663e+002
3.990804e+001	-1.167343e+002
3.994130e+001	-1.211361e+002
4.047197e+001	-1.008829e+002
4.091382e+001	-8.503245e+001
4.124908e+001	-7.446500e+001
4.135341e+001	-7.534463e+001
4.119127e+001	-8.943237e+001
4.097583e+001	-1.061615e+002
4.099134e+001	-1.114438e+002
4.102461e+001	-1.158454e+002
4.089800e+001	-1.281721e+002
4.089573e+001	-1.343349e+002
4.135535e+001	-1.176037e+002
4.183273e+001	-9.999213e+001
4.152847e+001	-1.211240e+002
4.092223e+001	-1.572249e+002
4.093773e+001	-1.625072e+002
4.153946e+001	-1.387318e+002
4.189248e+001	-1.272841e+002
4.213893e+001	-1.211193e+002
4.226101e+001	-1.211184e+002
4.250746e+001	-1.149537e+002
4.266508e+001	-1.131917e+002
4.284045e+001	-1.105493e+002
4.274937e+001	-1.211147e+002
4.269382e+001	-1.299192e+002
4.285144e+001	-1.281572e+002
4.320447e+001	-1.167092e+002
4.318444e+001	-1.237526e+002
4.328876e+001	-1.246322e+002
4.371285e+001	-1.096623e+002
4.406587e+001	-9.821430e+001
4.424126e+001	-9.557174e+001
4.407912e+001	-1.096595e+002
4.397027e+001	-1.211054e+002
4.418118e+001	-1.167017e+002
4.419669e+001	-1.219841e+002
4.410560e+001	-1.325496e+002
4.426322e+001	-1.307876e+002
4.408332e+001	-1.457557e+002
4.392119e+001	-1.598432e+002
4.432750e+001	-1.457538e+002
4.455618e+001	-1.404696e+002
4.480262e+001	-1.343051e+002
4.481813e+001	-1.395872e+002
4.479810e+001	-1.466306e+002
4.476031e+001	-1.545546e+002
4.514887e+001	-1.413455e+002
4.544859e+001	-1.325394e+002
4.517987e+001	-1.519102e+002
4.537302e+001	-1.483871e+002
4.560169e+001	-1.431029e+002
4.545732e+001	-1.563099e+002
4.566823e+001	-1.519065e+002
4.575479e+001	-1.536666e+002
4.569924e+001	-1.624709e+002
4.573251e+001	-1.668727e+002
4.587237e+001	-1.659912e+002
4.610104e+001	-1.607070e+002
4.643630e+001	-1.501398e+002
4.671827e+001	-1.422140e+002
4.685813e+001	-1.413325e+002
4.685587e+001	-1.474954e+002
4.680031e+001	-1.562996e+002
4.683358e+001	-1.607014e+002
4.676026e+001	-1.703865e+002
4.709553e+001	-1.598190e+002
4.750184e+001	-1.457296e+002
4.751735e+001	-1.510120e+002
4.712427e+001	-1.765465e+002
4.685555e+001	-1.959173e+002
4.711976e+001	-1.888720e+002
4.757936e+001	-1.721410e+002
4.798569e+001	-1.580514e+002
4.819659e+001	-1.536480e+002
4.830092e+001	-1.545276e+002
4.845854e+001	-1.527656e+002
4.810099e+001	-1.765391e+002
4.800991e+001	-1.871044e+002
4.838070e+001	-1.747761e+002
4.850279e+001	-1.747752e+002
4.855383e+001	-1.782962e+002
4.867592e+001	-1.782953e+002
4.858483e+001	-1.888609e+002
4.861810e+001	-1.932627e+002
4.891784e+001	-1.844563e+002
4.884452e+001	-1.941413e+002
4.875344e+001	-2.047067e+002
4.907093e+001	-1.950200e+002
4.928184e+001	-1.906164e+002
4.954605e+001	-1.835711e+002
4.954379e+001	-1.897340e+002
4.941718e+001	-2.020604e+002
4.929057e+001	-2.143871e+002
4.971465e+001	-1.994169e+002
5.019203e+001	-1.818054e+002
5.029635e+001	-1.826850e+002
5.020527e+001	-1.932505e+002
5.006090e+001	-2.064575e+002
5.004087e+001	-2.135009e+002
5.025178e+001	-2.090973e+002
5.078245e+001	-1.888441e+002
5.113548e+001	-1.773961e+002
5.127533e+001	-1.765149e+002
5.120202e+001	-1.861997e+002
5.143070e+001	-1.809155e+002
5.215677e+001	-1.509766e+002
5.242097e+001	-1.439313e+002
5.309376e+001	-1.166338e+002
5.341125e+001	-1.069471e+002
5.348005e+001	-1.095878e+002
5.374426e+001	-1.025426e+002
5.388411e+001	-1.016611e+002
5.404173e+001	-9.989906e+001
5.412829e+001	-1.016592e+002
5.425038e+001	-1.016583e+002
5.447906e+001	-9.637410e+001
5.451232e+001	-1.007759e+002
5.447453e+001	-1.086998e+002
5.418805e+001	-1.289512e+002
5.418579e+001	-1.351138e+002
5.432564e+001	-1.342325e+002
5.457208e+001	-1.280678e+002
5.504945e+001	-1.104563e+002
5.545578e+001	-9.636666e+001
5.579104e+001	-8.579944e+001
5.582430e+001	-9.020121e+001
5.564440e+001	-1.051693e+002
5.548226e+001	-1.192568e+002
5.581752e+001	-1.086896e+002
5.656137e+001	-7.786991e+001
5.670122e+001	-7.698842e+001
5.650356e+001	-9.283704e+001
5.644800e+001	-1.016415e+002
5.649903e+001	-1.051628e+002
5.694088e+001	-8.931230e+001
5.729391e+001	-7.786433e+001
5.729164e+001	-8.402719e+001
5.753809e+001	-7.786245e+001
5.767794e+001	-7.698098e+001
5.790662e+001	-7.169679e+001
5.802871e+001	-7.169587e+001
5.795539e+001	-8.138090e+001
5.781101e+001	-9.458789e+001
5.789758e+001	-9.634804e+001
5.809072e+001	-9.282494e+001
5.823058e+001	-9.194347e+001
5.822832e+001	-9.810634e+001
5.851028e+001	-9.018074e+001
5.888108e+001	-7.785222e+001
5.919857e+001	-6.816555e+001
5.917855e+001	-7.520873e+001
5.919405e+001	-8.049106e+001
5.958261e+001	-6.728221e+001
5.995340e+001	-5.495368e+001
6.009326e+001	-5.407221e+001
6.032192e+001	-4.878825e+001
6.021308e+001	-6.023415e+001
6.024635e+001	-6.463594e+001
6.027962e+001	-6.903771e+001
6.017077e+001	-8.048361e+001
5.963559e+001	-1.130623e+002
5.933133e+001	-1.341944e+002
5.941790e+001	-1.359543e+002
5.961104e+001	-1.324314e+002
5.994630e+001	-1.218640e+002
6.013945e+001	-1.183409e+002
6.063459e+001	-9.984881e+001
6.111196e+001	-8.223725e+001
6.087877e+001	-9.984694e+001
6.046793e+001	-1.262621e+002
6.051896e+001	-1.297833e+002
6.092528e+001	-1.156937e+002
6.127831e+001	-1.042459e+002
6.173792e+001	-8.751491e+001
6.196660e+001	-8.223074e+001
6.217751e+001	-7.782709e+001
6.260159e+001	-6.285716e+001
6.290132e+001	-5.405081e+001
6.277471e+001	-6.637747e+001
6.279022e+001	-7.165957e+001
6.273466e+001	-8.046406e+001
6.306992e+001	-6.989685e+001
6.319201e+001	-6.989592e+001
6.274565e+001	-9.807189e+001
6.276115e+001	-1.033542e+002
6.322076e+001	-8.662320e+001
6.343168e+001	-8.221956e+001
6.385576e+001	-6.724963e+001
6.417326e+001	-5.756274e+001
6.418876e+001	-6.284506e+001
6.388451e+001	-8.397692e+001
6.397106e+001	-8.573708e+001
6.446621e+001	-6.724498e+001
6.448171e+001	-7.252709e+001
6.469262e+001	-6.812366e+001
6.492130e+001	-6.283948e+001
6.472364e+001	-7.868808e+001
6.450820e+001	-9.541724e+001
6.482570e+001	-8.573057e+001
6.524979e+001	-7.076042e+001
