    nm         	pN
0.000000e+000	7.124382e+002
3.300608e-002	7.080235e+002
-3.972396e-002	6.983676e+002
-2.434523e-002	6.930791e+002
2.628035e-002	6.895378e+002
-4.645752e-002	6.798815e+002
-6.631558e-002	6.728464e+002
-3.331735e-002	6.684313e+002
-3.101467e-004	6.640166e+002
1.506858e-002	6.587281e+002
3.044954e-002	6.534397e+002
-7.036989e-003	6.455309e+002
-2.690177e-002	6.384954e+002
-4.676879e-002	6.314599e+002
-1.723708e-001	6.191833e+002
-1.746094e-001	6.130216e+002
-1.239849e-001	6.094801e+002
-1.086050e-001	6.041917e+002
-1.108447e-001	5.980299e+002
-1.307106e-001	5.909944e+002
-1.505754e-001	5.839590e+002
-1.880619e-001	5.760501e+002
-1.902993e-001	5.698884e+002
-1.925469e-001	5.637262e+002
-1.771681e-001	5.584377e+002
-1.617883e-001	5.531493e+002
-1.816463e-001	5.461142e+002
-2.015122e-001	5.390787e+002
-1.508855e-001	5.355374e+002
-1.002611e-001	5.319959e+002
-1.553727e-001	5.232134e+002
-1.752386e-001	5.161779e+002
-1.951056e-001	5.091424e+002
-1.444699e-001	5.056015e+002
-9.384548e-002	5.020601e+002
-7.975268e-003	5.002657e+002
-1.022277e-002	4.941035e+002
5.157070e-003	4.888150e+002
-3.232722e-002	4.809063e+002
-5.219424e-002	4.738707e+002
-1.249232e-001	4.642149e+002
-1.976532e-001	4.545591e+002
-1.999018e-001	4.483969e+002
-1.316489e-001	4.457292e+002
-1.515148e-001	4.386937e+002
-6.564400e-002	4.368994e+002
-1.207557e-001	4.281168e+002
-2.287314e-001	4.167140e+002
-2.133516e-001	4.114255e+002
-1.979723e-001	4.061371e+002
-2.002114e-001	3.999753e+002
-2.553231e-001	3.911928e+002
-2.399438e-001	3.859043e+002
-1.540724e-001	3.841100e+002
-6.820166e-002	3.823156e+002
-1.756711e-002	3.787747e+002
-5.506092e-002	3.708654e+002
-1.806641e-001	3.585888e+002
-1.124122e-001	3.559211e+002
2.633220e-002	3.567475e+002
9.457618e-002	3.540794e+002
1.099555e-001	3.487910e+002
7.247117e-002	3.408822e+002
-5.313196e-002	3.286056e+002
-2.012476e-002	3.241909e+002
1.186101e-001	3.250168e+002
1.339894e-001	3.197284e+002
2.198608e-001	3.179340e+002
2.352490e-001	3.126460e+002
2.506283e-001	3.073576e+002
2.307624e-001	3.003221e+002
1.932781e-001	2.924133e+002
1.910300e-001	2.862511e+002
2.240378e-001	2.818364e+002
8.081571e-002	2.686865e+002
-2.716959e-002	2.572831e+002
7.632910e-002	2.563625e+002
1.445725e-001	2.536944e+002
2.480712e-001	2.527738e+002
2.986968e-001	2.492324e+002
3.669486e-001	2.465647e+002
5.056847e-001	2.473907e+002
6.620464e-001	2.490904e+002
5.011969e-001	2.350668e+002
3.403570e-001	2.210435e+002
4.262283e-001	2.192492e+002
4.239808e-001	2.130870e+002
4.393696e-001	2.077990e+002
5.957235e-001	2.094983e+002
6.287296e-001	2.050836e+002
7.322283e-001	2.041630e+002
8.357169e-001	2.032419e+002
7.453595e-001	1.927123e+002
6.550110e-001	1.821832e+002
6.880093e-001	1.777680e+002
5.976519e-001	1.672384e+002
5.777950e-001	1.602034e+002
5.755474e-001	1.540412e+002
6.966634e-001	1.539939e+002
6.767975e-001	1.469584e+002
6.569406e-001	1.399233e+002
7.075651e-001	1.363819e+002
9.167920e-001	1.407020e+002
1.161265e+000	1.467691e+002
1.141407e+000	1.397341e+002
1.051049e+000	1.292045e+002
1.066429e+000	1.239161e+002
1.011317e+000	1.151335e+002
9.738331e-001	1.072247e+002
9.892119e-001	1.019363e+002
1.004592e+000	9.664780e+001
1.072845e+000	9.398016e+001
1.035351e+000	8.607090e+001
9.450030e-001	7.554177e+001
9.956275e-001	7.200036e+001
1.081499e+000	7.020601e+001
1.255479e+000	7.277903e+001
1.376596e+000	7.273171e+001
1.444849e+000	7.006407e+001
1.424983e+000	6.302857e+001
1.405117e+000	5.599307e+001
1.438123e+000	5.157836e+001
1.488749e+000	4.803696e+001
1.539374e+000	4.449556e+001
1.572371e+000	4.008041e+001
1.587760e+000	3.479239e+001
1.497403e+000	2.426282e+001
1.618520e+000	2.421550e+001
1.545790e+000	1.455966e+001
1.525923e+000	7.524165e+000
1.523675e+000	1.361986e+000
1.556683e+000	-3.052724e+000
1.624927e+000	-5.720825e+000
1.657933e+000	-1.013554e+001
1.673312e+000	-1.542399e+001
1.741565e+000	-1.809164e+001
1.774564e+000	-2.250678e+001
1.789951e+000	-2.779481e+001
1.752458e+000	-3.570403e+001
1.626855e+000	-4.798065e+001
1.659862e+000	-5.239537e+001
1.745734e+000	-5.418973e+001
1.813985e+000	-5.685740e+001
1.970348e+000	-5.515765e+001
2.232438e+000	-4.821726e+001
2.300691e+000	-5.088489e+001
2.298453e+000	-5.704667e+001
2.243341e+000	-6.582918e+001
2.205857e+000	-7.373797e+001
2.168362e+000	-8.164723e+001
2.289479e+000	-8.169453e+001
2.269613e+000	-8.873004e+001
2.267375e+000	-9.489177e+001
2.300381e+000	-9.930649e+001
2.333379e+000	-1.037216e+002
2.401632e+000	-1.063893e+002
2.328902e+000	-1.160451e+002
2.203299e+000	-1.283218e+002
2.271542e+000	-1.309899e+002
2.234058e+000	-1.388987e+002
2.161328e+000	-1.485545e+002
2.335309e+000	-1.459815e+002
2.350687e+000	-1.512699e+002
2.454186e+000	-1.521905e+002
2.910132e+000	-1.356412e+002
3.119359e+000	-1.313211e+002
3.328595e+000	-1.270005e+002
3.537821e+000	-1.226805e+002
3.465090e+000	-1.323363e+002
3.498097e+000	-1.367510e+002
3.742570e+000	-1.306839e+002
4.110407e+000	-1.185019e+002
4.090540e+000	-1.255374e+002
3.982564e+000	-1.369403e+002
3.927453e+000	-1.457228e+002
3.819477e+000	-1.571257e+002
3.711492e+000	-1.685290e+002
3.726872e+000	-1.738175e+002
3.795124e+000	-1.764851e+002
3.986732e+000	-1.730384e+002
4.266449e+000	-1.652242e+002
4.334702e+000	-1.678919e+002
4.261964e+000	-1.775481e+002
4.418325e+000	-1.758484e+002
4.662807e+000	-1.697809e+002
5.435965e+000	-1.375081e+002
6.173868e+000	-1.069827e+002
