    nm         	pN
0.000000e+000	4.037116e+002
-1.065381e-002	3.984185e+002
-4.683762e-003	3.937883e+002
1.287682e-003	3.891582e+002
-9.248545e-002	3.805502e+002
-3.664450e-002	3.779089e+002
-1.404989e-002	3.739417e+002
-8.077754e-003	3.693116e+002
-1.873157e-002	3.640184e+002
-6.263172e-002	3.573994e+002
-7.328553e-002	3.521062e+002
-8.393795e-002	3.468131e+002
-6.134403e-002	3.428459e+002
-3.875012e-002	3.388787e+002
-8.265027e-002	3.322597e+002
-1.431757e-001	3.249776e+002
-1.372042e-001	3.203475e+002
-1.312356e-001	3.157172e+002
-1.917575e-001	3.084353e+002
-2.190359e-001	3.024792e+002
-2.296890e-001	2.971860e+002
-2.403428e-001	2.918929e+002
-2.011229e-001	2.885887e+002
-2.284013e-001	2.826326e+002
-1.559351e-001	2.806543e+002
-2.164612e-001	2.733722e+002
-2.437361e-001	2.674162e+002
-2.377668e-001	2.627860e+002
-3.149146e-001	2.548410e+002
-3.588155e-001	2.482219e+002
-2.863486e-001	2.462437e+002
-2.637547e-001	2.422764e+002
-2.744078e-001	2.369833e+002
-2.019450e-001	2.350049e+002
-2.125978e-001	2.297118e+002
-2.731201e-001	2.224299e+002
-2.339040e-001	2.191255e+002
-2.113073e-001	2.151584e+002
-2.552103e-001	2.085393e+002
-3.157357e-001	2.012572e+002
-3.596334e-001	1.946383e+002
-4.035367e-001	1.880191e+002
-4.141895e-001	1.827260e+002
-4.580872e-001	1.761071e+002
-4.687406e-001	1.708139e+002
-4.295221e-001	1.675097e+002
-3.570580e-001	1.655313e+002
-3.677111e-001	1.602382e+002
-3.118702e-001	1.575969e+002
-3.557731e-001	1.509778e+002
-4.329210e-001	1.430328e+002
-4.601959e-001	1.370768e+002
-4.542272e-001	1.324465e+002
-5.147471e-001	1.251647e+002
-5.087784e-001	1.205345e+002
-4.529368e-001	1.178932e+002
-4.635899e-001	1.126000e+002
-3.246324e-001	1.132735e+002
-4.017796e-001	1.053285e+002
-4.955499e-001	9.672064e+001
-4.895806e-001	9.209042e+001
-4.171172e-001	9.011204e+001
-4.111423e-001	8.548203e+001
-4.716676e-001	7.819997e+001
-4.823208e-001	7.290684e+001
-4.763521e-001	6.827661e+001
-5.036277e-001	6.232058e+001
-5.309026e-001	5.636454e+001
-4.750617e-001	5.372325e+001
-4.192200e-001	5.108196e+001
-3.966289e-001	4.711464e+001
-2.576707e-001	4.778810e+001
-2.018297e-001	4.514681e+001
-3.122219e-001	3.587603e+001
-4.059915e-001	2.726815e+001
-4.166446e-001	2.197502e+001
-4.937925e-001	1.403005e+001
-4.379516e-001	1.138876e+001
-3.987380e-001	8.084348e+000
-4.260136e-001	2.128309e+000
-4.366660e-001	-3.164811e+000
-3.808250e-001	-5.806102e+000
-4.080999e-001	-1.176213e+001
-4.187537e-001	-1.705526e+001
-4.127844e-001	-2.168549e+001
-2.738262e-001	-2.101203e+001
-1.847354e-001	-2.232729e+001
-2.286384e-001	-2.894645e+001
-2.891582e-001	-3.622829e+001
-2.831888e-001	-4.085852e+001
-1.941036e-001	-4.217400e+001
-1.050122e-001	-4.348926e+001
-1.322878e-001	-4.944530e+001
-2.260630e-001	-5.805340e+001
-2.200881e-001	-6.268339e+001
-1.974969e-001	-6.665071e+001
-2.247732e-001	-7.260675e+001
-2.520481e-001	-7.856278e+001
