    nm         	pN
0.000000e+000	5.199849e+002
3.875427e-002	5.166622e+002
-7.033571e-002	5.074433e+002
-1.301317e-001	5.001903e+002
-1.406589e-001	4.949022e+002
-1.347668e-001	4.902689e+002
-1.617132e-001	4.843260e+002
-1.722389e-001	4.790380e+002
-1.663468e-001	4.744047e+002
-1.275926e-001	4.710820e+002
-6.707252e-003	4.710347e+002
-6.651511e-002	4.637812e+002
-4.419123e-002	4.598032e+002
6.027483e-002	4.591011e+002
4.662691e-004	4.518476e+002
8.850195e-002	4.504903e+002
1.765251e-001	4.491324e+002
1.659980e-001	4.438443e+002
1.062026e-001	4.365914e+002
-1.931774e-002	4.267173e+002
-4.626484e-002	4.207743e+002
-7.322167e-002	4.148310e+002
-1.001792e-001	4.088876e+002
-7.784558e-002	4.049100e+002
-5.552100e-002	4.009321e+002
3.251398e-002	3.995747e+002
8.768819e-002	3.969068e+002
1.100107e-001	3.929288e+002
2.144767e-001	3.922267e+002
1.546682e-001	3.849732e+002
1.441417e-001	3.796851e+002
1.993152e-001	3.770172e+002
1.559385e-001	3.704190e+002
1.454113e-001	3.651309e+002
1.020338e-001	3.585327e+002
1.243577e-001	3.545547e+002
1.302617e-001	3.499219e+002
2.347166e-001	3.492194e+002
3.063212e-001	3.472067e+002
3.286444e-001	3.432287e+002
3.838290e-001	3.405612e+002
2.583205e-001	3.306876e+002
2.149326e-001	3.240890e+002
3.358179e-001	3.240417e+002
3.910025e-001	3.213742e+002
2.983443e-001	3.128107e+002
2.713868e-001	3.068673e+002
3.265715e-001	3.041999e+002
4.474568e-001	3.041526e+002
4.040689e-001	2.975540e+002
3.771225e-001	2.916110e+002
3.830153e-001	2.869778e+002
3.396378e-001	2.803796e+002
3.126802e-001	2.744362e+002
2.693028e-001	2.678380e+002
3.080571e-001	2.645153e+002
3.796609e-001	2.625026e+002
4.019848e-001	2.585246e+002
2.929067e-001	2.493063e+002
2.987995e-001	2.446730e+002
3.868345e-001	2.433156e+002
3.598769e-001	2.373723e+002
4.150623e-001	2.347048e+002
4.045351e-001	2.294167e+002
3.775776e-001	2.234734e+002
6.791568e-001	2.306322e+002
7.671918e-001	2.292748e+002
8.387964e-001	2.272622e+002
9.432506e-001	2.265596e+002
9.327241e-001	2.212715e+002
8.729156e-001	2.140181e+002
8.623884e-001	2.087300e+002
8.518627e-001	2.034419e+002
8.741963e-001	1.994643e+002
7.979574e-001	1.915556e+002
7.217310e-001	1.836474e+002
7.112038e-001	1.783593e+002
6.513952e-001	1.711058e+002
6.244384e-001	1.651625e+002
7.617548e-001	1.657704e+002
8.169283e-001	1.631025e+002
8.228316e-001	1.584697e+002
8.615858e-001	1.551470e+002
9.167601e-001	1.524791e+002
9.226639e-001	1.478462e+002
8.957065e-001	1.419029e+002
9.344600e-001	1.385801e+002
9.075136e-001	1.326372e+002
1.110531e+000	1.358654e+002
1.132854e+000	1.318874e+002
1.188028e+000	1.292195e+002
1.308913e+000	1.291722e+002
1.166974e+000	1.186433e+002
1.287859e+000	1.185960e+002
1.458026e+000	1.205141e+002
1.529630e+000	1.185014e+002
1.535534e+000	1.138686e+002
1.541438e+000	1.092358e+002
1.547331e+000	1.046025e+002
1.388972e+000	9.341876e+001
1.329164e+000	8.616531e+001
1.269356e+000	7.891186e+001
1.357391e+000	7.755448e+001
1.478277e+000	7.750720e+001
1.533450e+000	7.483928e+001
1.785748e+000	8.003279e+001
2.021627e+000	8.457148e+001
2.011100e+000	7.928339e+001
1.885580e+000	6.940933e+001
1.990046e+000	6.870721e+001
2.176632e+000	7.128011e+001
2.149674e+000	6.533674e+001
2.106298e+000	5.873856e+001
2.062919e+000	5.214038e+001
2.003112e+000	4.488692e+001
1.943305e+000	3.763348e+001
2.064190e+000	3.758619e+001
2.185076e+000	3.753890e+001
2.338811e+000	3.880170e+001
2.131172e+000	2.565262e+001
1.923520e+000	1.250310e+001
1.912993e+000	7.215005e+000
2.017459e+000	6.512890e+000
2.154764e+000	7.120433e+000
2.127817e+000	1.177506e+000
2.199423e+000	-8.351246e-001
2.287457e+000	-2.192497e+000
2.244069e+000	-8.791127e+000
2.118560e+000	-1.866476e+001
2.140884e+000	-2.264276e+001
2.327481e+000	-2.006943e+001
2.399086e+000	-2.208208e+001
2.322847e+000	-2.999079e+001
2.213770e+000	-3.920916e+001
2.301793e+000	-4.056697e+001
2.439110e+000	-3.995900e+001
2.412152e+000	-4.590236e+001
2.335925e+000	-5.381064e+001
2.391098e+000	-5.647854e+001
2.298440e+000	-6.504209e+001
2.353625e+000	-6.770955e+001
2.458080e+000	-6.841212e+001
2.431133e+000	-7.435503e+001
2.469876e+000	-7.767820e+001
2.623622e+000	-7.641496e+001
2.744509e+000	-7.646225e+001
2.783262e+000	-7.978498e+001
2.805586e+000	-8.376298e+001
2.877190e+000	-8.577564e+001
2.899514e+000	-8.975364e+001
2.856137e+000	-9.635182e+001
2.960592e+000	-9.705438e+001
3.180038e+000	-9.317095e+001
3.251644e+000	-9.518359e+001
3.224697e+000	-1.011265e+002
3.132028e+000	-1.096905e+002
3.006519e+000	-1.195641e+002
3.028843e+000	-1.235421e+002
3.116878e+000	-1.248995e+002
3.155631e+000	-1.282222e+002
3.292947e+000	-1.276143e+002
3.479534e+000	-1.250414e+002
3.485437e+000	-1.296742e+002
3.507761e+000	-1.336522e+002
3.579365e+000	-1.356649e+002
3.634551e+000	-1.383323e+002
3.656874e+000	-1.423103e+002
3.728479e+000	-1.443230e+002
3.668671e+000	-1.515764e+002
3.707425e+000	-1.548991e+002
3.861160e+000	-1.536364e+002
3.916346e+000	-1.563038e+002
3.922238e+000	-1.609371e+002
3.944573e+000	-1.649147e+002
3.934046e+000	-1.702027e+002
4.005650e+000	-1.722154e+002
3.978692e+000	-1.781588e+002
4.099579e+000	-1.782060e+002
4.269744e+000	-1.762880e+002
4.489193e+000	-1.724045e+002
4.462235e+000	-1.783479e+002
4.369577e+000	-1.869115e+002
4.211206e+000	-1.980956e+002
4.167830e+000	-2.046938e+002
4.403696e+000	-2.001555e+002
4.508162e+000	-2.008576e+002
4.464785e+000	-2.074558e+002
4.569240e+000	-2.081584e+002
4.624414e+000	-2.108263e+002
4.548186e+000	-2.187346e+002
4.554090e+000	-2.233674e+002
4.691395e+000	-2.227599e+002
4.861560e+000	-2.208418e+002
4.982447e+000	-2.208891e+002
5.119763e+000	-2.202811e+002
5.076375e+000	-2.268797e+002
4.950867e+000	-2.367534e+002
5.285296e+000	-2.282844e+002
5.849700e+000	-2.106439e+002
6.134847e+000	-2.041403e+002
6.403575e+000	-1.982915e+002
6.458750e+000	-2.009594e+002
6.513935e+000	-2.036269e+002
6.831934e+000	-1.958132e+002
7.429199e+000	-1.768622e+002
