    nm         	pN
0.000000e+000	4.636873e+002
1.557087e-001	4.650288e+002
1.284081e-001	4.590718e+002
8.447173e-002	4.524513e+002
1.070851e-001	4.484848e+002
1.629713e-001	4.458453e+002
1.689483e-001	4.412154e+002
1.749219e-001	4.365854e+002
9.771135e-002	4.286379e+002
1.535982e-001	4.259984e+002
1.595725e-001	4.213684e+002
4.909055e-002	4.120941e+002
1.881615e-001	4.127720e+002
3.937808e-001	4.161040e+002
2.666632e-001	4.061662e+002
2.560017e-001	4.008727e+002
3.451600e-001	3.995601e+002
3.844098e-001	3.962571e+002
2.739230e-001	3.869826e+002
1.967118e-001	3.790351e+002
2.858763e-001	3.777227e+002
3.750346e-001	3.764102e+002
4.974698e-001	3.764247e+002
5.699979e-001	3.744489e+002
5.260588e-001	3.678283e+002
4.987610e-001	3.618713e+002
4.880995e-001	3.565779e+002
2.611566e-001	3.426590e+002
2.504944e-001	3.373655e+002
3.729297e-001	3.373800e+002
4.787236e-001	3.367309e+002
5.678875e-001	3.354185e+002
5.572253e-001	3.301250e+002
5.631995e-001	3.254950e+002
6.689984e-001	3.248460e+002
5.917892e-001	3.168986e+002
5.811264e-001	3.116051e+002
5.371880e-001	3.049845e+002
5.098908e-001	2.990276e+002
6.656030e-001	3.003693e+002
9.044936e-001	3.050281e+002
1.060206e+000	3.063697e+002
1.132728e+000	3.043937e+002
1.138703e+000	2.997637e+002
1.044856e+000	2.911527e+002
9.177326e-001	2.812147e+002
9.237124e-001	2.765849e+002
1.079420e+000	2.779263e+002
1.301680e+000	2.819219e+002
1.474023e+000	2.839268e+002
1.496638e+000	2.799604e+002
1.502612e+000	2.753304e+002
1.308940e+000	2.627384e+002
1.314920e+000	2.581086e+002
1.437354e+000	2.581231e+002
1.310232e+000	2.481851e+002
1.216386e+000	2.395741e+002
1.205724e+000	2.342807e+002
1.444614e+000	2.389395e+002
1.533778e+000	2.376271e+002
1.539752e+000	2.329971e+002
1.445906e+000	2.243862e+002
1.352061e+000	2.157753e+002
1.341398e+000	2.104818e+002
1.380644e+000	2.071786e+002
1.519720e+000	2.078568e+002
1.575607e+000	2.052174e+002
1.648129e+000	2.032413e+002
1.803836e+000	2.045827e+002
1.893000e+000	2.032703e+002
1.915610e+000	1.993038e+002
1.921589e+000	1.946740e+002
1.910927e+000	1.893805e+002
1.866988e+000	1.827599e+002
1.756507e+000	1.734855e+002
1.845665e+000	1.721729e+002
2.001378e+000	1.735146e+002
1.957438e+000	1.668940e+002
1.896863e+000	1.596100e+002
2.052576e+000	1.609516e+002
2.341380e+000	1.676010e+002
2.463815e+000	1.676155e+002
2.303420e+000	1.563506e+002
2.342671e+000	1.530477e+002
2.265461e+000	1.451002e+002
2.204886e+000	1.378162e+002
2.244137e+000	1.345132e+002
2.499669e+000	1.398358e+002
2.605469e+000	1.391868e+002
2.628078e+000	1.352202e+002
2.650694e+000	1.312539e+002
2.523570e+000	1.213159e+002
2.512908e+000	1.160224e+002
2.585431e+000	1.140463e+002
2.558134e+000	1.080894e+002
2.647292e+000	1.067768e+002
2.803004e+000	1.081185e+002
2.942075e+000	1.087964e+002
3.014598e+000	1.068204e+002
2.970664e+000	1.002000e+002
2.943367e+000	9.424311e+001
3.015890e+000	9.226707e+001
3.038499e+000	8.830048e+001
3.011202e+000	8.234356e+001
3.050452e+000	7.904064e+001
3.089703e+000	7.573772e+001
3.245410e+000	7.707912e+001
3.268025e+000	7.311276e+001
