    nm         	pN
0.000000e+000	5.884122e+002
8.879567e-002	5.870851e+002
1.113130e-001	5.831148e+002
1.280722e-003	5.738584e+002
-1.087502e-001	5.646020e+002
-1.525056e-001	5.579888e+002
-1.962610e-001	5.513755e+002
-2.400164e-001	5.447622e+002
-1.180843e-001	5.447567e+002
-9.556556e-002	5.407865e+002
-1.227500e-001	5.348341e+002
-1.333690e-001	5.295423e+002
-1.274184e-001	5.249113e+002
-2.374508e-001	5.156549e+002
-3.309107e-001	5.070594e+002
-3.746661e-001	5.004461e+002
-4.018547e-001	4.944936e+002
-3.627650e-001	4.911842e+002
-2.739707e-001	4.898571e+002
-2.680201e-001	4.852261e+002
-1.792258e-001	4.838990e+002
-1.567057e-001	4.799289e+002
-2.170293e-001	4.726549e+002
-2.110801e-001	4.680238e+002
-3.211117e-001	4.587674e+002
-3.482975e-001	4.528150e+002
-3.092099e-001	4.495055e+002
-3.529660e-001	4.428923e+002
-3.138755e-001	4.395829e+002
-2.582190e-001	4.369343e+002
-2.191314e-001	4.336248e+002
-2.960252e-001	4.256900e+002
-4.060562e-001	4.164336e+002
-5.160864e-001	4.071773e+002
-5.101351e-001	4.025463e+002
-4.544772e-001	3.998977e+002
-4.485280e-001	3.952667e+002
-4.425761e-001	3.906358e+002
-4.863315e-001	3.840225e+002
-4.803816e-001	3.793915e+002
-4.744303e-001	3.747606e+002
-5.513242e-001	3.668258e+002
-6.116498e-001	3.595517e+002
-5.891297e-001	3.555815e+002
-5.500400e-001	3.522722e+002
-5.606583e-001	3.469804e+002
-5.712766e-001	3.416887e+002
-5.487565e-001	3.377185e+002
-5.759451e-001	3.317659e+002
-5.699931e-001	3.271350e+002
-5.474737e-001	3.231649e+002
-5.746616e-001	3.172123e+002
-5.521421e-001	3.132421e+002
-5.130524e-001	3.099328e+002
-5.402403e-001	3.039802e+002
-4.845838e-001	3.013316e+002
-4.786311e-001	2.967007e+002
-5.555250e-001	2.887658e+002
-5.330049e-001	2.847957e+002
-5.104854e-001	2.808255e+002
-5.873793e-001	2.728907e+002
-7.139798e-001	2.629735e+002
-7.080278e-001	2.583426e+002
-7.683542e-001	2.510684e+002
-8.121095e-001	2.444552e+002
-8.061576e-001	2.398243e+002
-7.505004e-001	2.371756e+002
-6.617047e-001	2.358486e+002
-6.888912e-001	2.298961e+002
-6.995088e-001	2.246044e+002
-7.764020e-001	2.166696e+002
-9.195706e-001	2.060916e+002
-9.798971e-001	1.988175e+002
-1.007083e+000	1.928651e+002
-9.845654e-001	1.888948e+002
-9.951838e-001	1.836030e+002
-9.560934e-001	1.802937e+002
-9.170036e-001	1.769844e+002
-8.944870e-001	1.730141e+002
-8.885378e-001	1.683831e+002
-9.488579e-001	1.611092e+002
-9.594763e-001	1.558174e+002
-9.535270e-001	1.511864e+002
-8.978698e-001	1.485378e+002
-8.919206e-001	1.439068e+002
-8.528310e-001	1.405974e+002
-7.474657e-001	1.399312e+002
-8.077921e-001	1.326571e+002
-9.675275e-001	1.214184e+002
-9.450102e-001	1.174481e+002
-8.727855e-001	1.154602e+002
-8.999713e-001	1.095078e+002
-8.443148e-001	1.068591e+002
-8.549324e-001	1.015674e+002
-7.827077e-001	9.957951e+001
-8.596008e-001	9.164468e+001
-8.702198e-001	8.635295e+001
-8.145619e-001	8.370432e+001
-8.748827e-001	7.643042e+001
-9.020741e-001	7.047776e+001
-8.629830e-001	6.716841e+001
-8.404615e-001	6.319834e+001
-8.013773e-001	5.988877e+001
-7.457194e-001	5.724013e+001
-7.397646e-001	5.260935e+001
-8.995071e-001	4.137048e+001
-9.101247e-001	3.607875e+001
-9.041700e-001	3.144796e+001
-7.159624e-001	3.408553e+001
-6.106027e-001	3.341906e+001
-5.880798e-001	2.944899e+001
-4.827145e-001	2.878274e+001
-4.767653e-001	2.415173e+001
-4.708162e-001	1.952071e+001
-2.494681e-001	2.347995e+001
-6.126048e-002	2.611751e+001
-1.215855e-001	1.884341e+001
-1.819118e-001	1.156929e+001
-1.925294e-001	6.277566e+000
-7.059738e-002	6.272035e+000
-1.806255e-001	-2.984227e+000
-3.072274e-001	-1.290143e+001
-1.355866e-001	-1.092458e+001
8.575594e-002	-6.965580e+000
1.082789e-001	-1.093565e+001
3.138571e-002	-1.887047e+001
-4.550744e-002	-2.680531e+001
1.261264e-001	-2.482868e+001
3.806095e-001	-1.954801e+001
4.196992e-001	-2.285737e+001
2.765305e-001	-3.343529e+001
2.824811e-001	-3.806629e+001
3.547100e-001	-4.005399e+001
3.109518e-001	-4.666738e+001
3.334747e-001	-5.063745e+001
4.885418e-001	-4.932154e+001
5.441997e-001	-5.197017e+001
5.004457e-001	-5.858335e+001
6.223791e-001	-5.858888e+001
6.448951e-001	-6.255917e+001
5.182946e-001	-7.247637e+001
5.573843e-001	-7.578572e+001
5.136303e-001	-8.239889e+001
5.030127e-001	-8.769062e+001
5.752374e-001	-8.967853e+001
8.131537e-001	-8.505859e+001
1.017928e+000	-8.176030e+001
9.907437e-001	-8.771275e+001
9.635522e-001	-9.366541e+001
9.695070e-001	-9.829620e+001
9.920244e-001	-1.022665e+002
1.213373e+000	-9.830727e+001
1.219322e+000	-1.029383e+002
1.109288e+000	-1.121948e+002
1.247794e+000	-1.115394e+002
1.154327e+000	-1.201351e+002
1.110574e+000	-1.267483e+002
1.265641e+000	-1.254324e+002
1.337872e+000	-1.274201e+002
1.327254e+000	-1.327118e+002
1.316635e+000	-1.380035e+002
1.322585e+000	-1.426345e+002
1.461084e+000	-1.419794e+002
1.450467e+000	-1.472711e+002
1.605539e+000	-1.459550e+002
1.992573e+000	-1.353881e+002
2.097933e+000	-1.360546e+002
1.888489e+000	-1.492756e+002
1.861303e+000	-1.552280e+002
2.082651e+000	-1.512688e+002
2.204585e+000	-1.512743e+002
2.376219e+000	-1.492977e+002
2.647276e+000	-1.433561e+002
3.199994e+000	-1.261816e+002
3.156242e+000	-1.327948e+002
2.913657e+000	-1.473375e+002
2.671079e+000	-1.618799e+002
2.544477e+000	-1.717971e+002
2.616702e+000	-1.737851e+002
2.606083e+000	-1.790768e+002
2.628606e+000	-1.830469e+002
3.065343e+000	-1.704978e+002
3.468948e+000	-1.592700e+002
3.508034e+000	-1.625796e+002
3.547123e+000	-1.658889e+002
3.602780e+000	-1.685376e+002
3.824128e+000	-1.645784e+002
3.846646e+000	-1.685486e+002
3.587493e+000	-1.837520e+002
3.576875e+000	-1.890438e+002
3.831358e+000	-1.837631e+002
3.837313e+000	-1.883939e+002
3.942672e+000	-1.890604e+002
3.865779e+000	-1.969952e+002
3.838593e+000	-2.029477e+002
3.943959e+000	-2.036139e+002
3.933341e+000	-2.089056e+002
4.370083e+000	-1.963564e+002
5.187902e+000	-1.686095e+002
5.608077e+000	-1.567210e+002
5.647161e+000	-1.600305e+002
5.553701e+000	-1.686261e+002
5.824751e+000	-1.626847e+002
5.946683e+000	-1.626902e+002
5.720672e+000	-1.765720e+002
5.809469e+000	-1.778989e+002
5.682869e+000	-1.878162e+002
5.904211e+000	-1.838571e+002
6.092419e+000	-1.812196e+002
6.032099e+000	-1.884935e+002
6.170600e+000	-1.878383e+002
6.408515e+000	-1.832183e+002
6.497306e+000	-1.845455e+002
6.503257e+000	-1.891765e+002
6.393227e+000	-1.984328e+002
6.515160e+000	-1.984383e+002
6.603953e+000	-1.997655e+002
6.626475e+000	-2.037356e+002
7.013509e+000	-1.931687e+002
7.069166e+000	-1.958173e+002
6.677463e+000	-2.163070e+002
6.699986e+000	-2.202770e+002
6.838486e+000	-2.196218e+002
6.943852e+000	-2.202881e+002
7.198335e+000	-2.150074e+002
7.519093e+000	-2.070836e+002
7.723868e+000	-2.037854e+002
7.845800e+000	-2.037909e+002
7.851750e+000	-2.084219e+002
7.725149e+000	-2.183391e+002
7.797379e+000	-2.203268e+002
7.853036e+000	-2.229754e+002
7.842417e+000	-2.282672e+002
8.047193e+000	-2.249689e+002
8.285109e+000	-2.203489e+002
8.357333e+000	-2.223369e+002
8.181024e+000	-2.342364e+002
8.070995e+000	-2.434927e+002
8.292339e+000	-2.395337e+002
8.745648e+000	-2.263237e+002
9.165823e+000	-2.144352e+002
9.420305e+000	-2.091546e+002
9.459395e+000	-2.124639e+002
9.233378e+000	-2.263459e+002
8.924522e+000	-2.435314e+002
9.228715e+000	-2.362684e+002
9.996828e+000	-2.105039e+002
1.045014e+001	-1.972939e+002
1.057207e+001	-1.972994e+002
1.026322e+001	-2.144850e+002
1.038515e+001	-2.144905e+002
1.058992e+001	-2.111922e+002
1.072842e+001	-2.105370e+002
1.085036e+001	-2.105426e+002
1.095572e+001	-2.112088e+002
1.137589e+001	-1.993203e+002
1.224342e+001	-1.695910e+002
1.271330e+001	-1.557204e+002
1.301749e+001	-1.484573e+002
1.338796e+001	-1.385512e+002
1.382469e+001	-1.260021e+002
1.424487e+001	-1.141136e+002
1.453249e+001	-1.075115e+002
1.468756e+001	-1.061954e+002
1.477635e+001	-1.075226e+002
1.516338e+001	-9.695570e+001
1.566640e+001	-8.176337e+001
1.590432e+001	-7.714341e+001
1.577772e+001	-8.706062e+001
1.580024e+001	-9.103069e+001
1.602158e+001	-8.707169e+001
1.645832e+001	-7.452244e+001
1.702761e+001	-5.668700e+001
1.763004e+001	-3.753012e+001
1.768570e+001	-4.017876e+001
1.775792e+001	-4.216667e+001
1.771417e+001	-4.877983e+001
1.752129e+001	-6.134014e+001
1.749411e+001	-6.729259e+001
1.750006e+001	-7.192359e+001
1.729061e+001	-8.514463e+001
1.749539e+001	-8.184634e+001
1.798184e+001	-6.731472e+001
1.823632e+001	-6.203405e+001
1.820913e+001	-6.798672e+001
1.808253e+001	-7.790371e+001
1.807192e+001	-8.319544e+001
1.826012e+001	-8.055787e+001
1.861402e+001	-7.131266e+001
1.885193e+001	-6.669271e+001
1.938809e+001	-5.017893e+001
1.967571e+001	-4.357661e+001
1.938342e+001	-6.010168e+001
1.930652e+001	-6.803650e+001
1.936218e+001	-7.068513e+001
1.933500e+001	-7.663758e+001
1.970546e+001	-6.673144e+001
1.991024e+001	-6.343315e+001
2.021443e+001	-5.617010e+001
1.980616e+001	-7.732042e+001
1.943102e+001	-9.714931e+001
1.980149e+001	-8.724316e+001
2.055304e+001	-6.213915e+001
2.064183e+001	-6.346634e+001
2.058151e+001	-7.074045e+001
2.063716e+001	-7.338907e+001
2.037802e+001	-8.859227e+001
2.035083e+001	-9.454493e+001
2.062188e+001	-8.860333e+001
2.077695e+001	-8.728742e+001
2.116398e+001	-7.672055e+001
2.130248e+001	-7.606536e+001
2.109304e+001	-8.928639e+001
2.129782e+001	-8.598788e+001
2.211564e+001	-5.824098e+001
2.235356e+001	-5.362104e+001
2.239265e+001	-5.693039e+001
2.263056e+001	-5.231066e+001
2.250396e+001	-6.222765e+001
2.260932e+001	-6.289413e+001
2.281410e+001	-5.959562e+001
2.282005e+001	-6.422663e+001
2.287571e+001	-6.687526e+001
2.296450e+001	-6.820245e+001
2.298702e+001	-7.217252e+001
2.267816e+001	-8.935831e+001
2.263441e+001	-9.597147e+001
2.277291e+001	-9.531628e+001
2.302739e+001	-9.003562e+001
2.333158e+001	-8.277257e+001
2.330440e+001	-8.872502e+001
2.372457e+001	-7.683671e+001
2.432699e+001	-5.767983e+001
2.456491e+001	-5.305989e+001
2.448802e+001	-6.099472e+001
2.406318e+001	-8.280576e+001
2.426795e+001	-7.950748e+001
2.452244e+001	-7.422681e+001
2.454496e+001	-7.819688e+001
2.436865e+001	-9.009647e+001
2.422548e+001	-1.006744e+002
2.406574e+001	-1.119130e+002
2.395571e+001	-1.211695e+002
2.437589e+001	-1.092810e+002
2.482919e+001	-9.607103e+001
2.503397e+001	-9.277275e+001
2.500678e+001	-9.872521e+001
2.511215e+001	-9.939145e+001
2.521751e+001	-1.000579e+002
2.509091e+001	-1.099749e+002
2.517971e+001	-1.113021e+002
2.545076e+001	-1.053607e+002
2.525788e+001	-1.179208e+002
2.562835e+001	-1.080149e+002
2.609823e+001	-9.414397e+001
2.630300e+001	-9.084569e+001
2.611013e+001	-1.034060e+002
2.608294e+001	-1.093584e+002
2.625458e+001	-1.073816e+002
2.632681e+001	-1.093695e+002
2.646531e+001	-1.087143e+002
2.640498e+001	-1.159884e+002
2.627839e+001	-1.259054e+002
2.653287e+001	-1.206247e+002
2.680392e+001	-1.146834e+002
2.687614e+001	-1.166713e+002
2.691523e+001	-1.199806e+002
2.708687e+001	-1.180038e+002
2.747391e+001	-1.074369e+002
2.728103e+001	-1.199972e+002
2.710472e+001	-1.318968e+002
2.762431e+001	-1.160437e+002
2.779595e+001	-1.140669e+002
2.747052e+001	-1.319134e+002
2.749304e+001	-1.358835e+002
2.797949e+001	-1.213521e+002
2.843279e+001	-1.081421e+002
2.845532e+001	-1.121122e+002
2.826244e+001	-1.246725e+002
2.808614e+001	-1.365719e+002
2.809209e+001	-1.412029e+002
2.829686e+001	-1.379046e+002
2.826967e+001	-1.438570e+002
2.867328e+001	-1.326294e+002
2.891119e+001	-1.280095e+002
2.906626e+001	-1.266936e+002
2.940359e+001	-1.181089e+002
2.974092e+001	-1.095244e+002
2.959775e+001	-1.201023e+002
2.965341e+001	-1.227509e+002
2.977534e+001	-1.227565e+002
3.022865e+001	-1.095465e+002
3.026774e+001	-1.128559e+002
3.032340e+001	-1.155045e+002
3.046189e+001	-1.148493e+002
3.073295e+001	-1.089079e+002
3.133537e+001	-8.975105e+001
3.185496e+001	-7.389798e+001
3.194376e+001	-7.522495e+001
3.193314e+001	-8.051668e+001
3.207164e+001	-7.986150e+001
3.242554e+001	-7.061607e+001
3.263031e+001	-6.731778e+001
3.223861e+001	-8.780739e+001
3.216172e+001	-9.574221e+001
3.236649e+001	-9.244393e+001
3.237244e+001	-9.707472e+001
3.242810e+001	-9.972335e+001
3.264945e+001	-9.576433e+001
3.268853e+001	-9.907369e+001
3.274419e+001	-1.017223e+002
3.319750e+001	-8.851236e+001
3.363424e+001	-7.596311e+001
3.370647e+001	-7.795103e+001
3.336447e+001	-9.645824e+001
3.308875e+001	-1.123224e+002
3.311127e+001	-1.162927e+002
3.341546e+001	-1.090296e+002
3.343798e+001	-1.129997e+002
3.355992e+001	-1.130052e+002
3.383096e+001	-1.070638e+002
3.358838e+001	-1.216065e+002
3.349492e+001	-1.302021e+002
3.391510e+001	-1.183136e+002
3.425242e+001	-1.097291e+002
3.473886e+001	-9.519766e+001
3.504306e+001	-8.793461e+001
3.514842e+001	-8.860086e+001
3.497211e+001	-1.005005e+002
3.484552e+001	-1.104174e+002
3.498402e+001	-1.097622e+002
3.550360e+001	-9.390919e+001
3.595691e+001	-8.069923e+001
3.614512e+001	-7.806166e+001
3.618421e+001	-8.137101e+001
3.614045e+001	-8.798440e+001
3.603042e+001	-9.724067e+001
3.601980e+001	-1.025324e+002
3.634056e+001	-9.460863e+001
3.671102e+001	-8.470270e+001
3.640217e+001	-1.018883e+002
3.632528e+001	-1.098231e+002
3.644721e+001	-1.098286e+002
3.665198e+001	-1.065303e+002
3.690647e+001	-1.012497e+002
3.701183e+001	-1.019159e+002
3.723317e+001	-9.795693e+001
3.727226e+001	-1.012663e+002
3.731135e+001	-1.045756e+002
3.738358e+001	-1.065635e+002
3.752208e+001	-1.059083e+002
3.787598e+001	-9.666291e+001
3.801448e+001	-9.600772e+001
3.843465e+001	-8.411920e+001
3.867256e+001	-7.949948e+001
3.874479e+001	-8.148717e+001
3.871760e+001	-8.743984e+001
3.880640e+001	-8.876681e+001
3.892833e+001	-8.877234e+001
3.906683e+001	-8.811715e+001
3.942073e+001	-7.887174e+001
3.922785e+001	-9.143204e+001
3.896870e+001	-1.066354e+002
3.904093e+001	-1.086234e+002
3.931198e+001	-1.026817e+002
3.935106e+001	-1.059913e+002
3.927417e+001	-1.139261e+002
3.886590e+001	-1.350765e+002
3.893813e+001	-1.370642e+002
3.919262e+001	-1.317835e+002
3.929797e+001	-1.324500e+002
3.913824e+001	-1.436886e+002
3.940929e+001	-1.377472e+002
3.994545e+001	-1.212332e+002
4.026620e+001	-1.133095e+002
4.043784e+001	-1.113328e+002
4.099056e+001	-9.415810e+001
4.139417e+001	-8.293052e+001
4.111845e+001	-9.879465e+001
4.090900e+001	-1.120157e+002
4.084868e+001	-1.192898e+002
4.075522e+001	-1.278853e+002
4.091029e+001	-1.265692e+002
4.094937e+001	-1.298788e+002
4.128670e+001	-1.212941e+002
4.150805e+001	-1.173351e+002
4.154714e+001	-1.206444e+002
4.193417e+001	-1.100775e+002
4.210581e+001	-1.081007e+002
4.201235e+001	-1.166965e+002
4.201830e+001	-1.213273e+002
4.215680e+001	-1.206721e+002
4.239472e+001	-1.160521e+002
4.240066e+001	-1.206831e+002
4.267172e+001	-1.147417e+002
4.254511e+001	-1.246590e+002
4.233567e+001	-1.378800e+002
4.257359e+001	-1.332600e+002
4.297719e+001	-1.220325e+002
4.276774e+001	-1.352535e+002
4.270742e+001	-1.425274e+002
4.294533e+001	-1.379076e+002
4.285187e+001	-1.465032e+002
4.244360e+001	-1.676535e+002
4.223416e+001	-1.808745e+002
4.238923e+001	-1.795584e+002
4.261057e+001	-1.755994e+002
4.286506e+001	-1.703187e+002
4.331837e+001	-1.571088e+002
4.380481e+001	-1.425772e+002
4.410900e+001	-1.353143e+002
4.414809e+001	-1.386237e+002
4.397179e+001	-1.505230e+002
4.376234e+001	-1.637441e+002
4.423222e+001	-1.498734e+002
4.458611e+001	-1.406282e+002
4.460864e+001	-1.445983e+002
4.459802e+001	-1.498900e+002
4.485250e+001	-1.446093e+002
4.499100e+001	-1.439541e+002
4.498038e+001	-1.492459e+002
4.483721e+001	-1.598238e+002
4.464434e+001	-1.723841e+002
4.493196e+001	-1.657818e+002
4.515330e+001	-1.618228e+002
4.519239e+001	-1.651321e+002
4.562914e+001	-1.525829e+002
4.583391e+001	-1.492846e+002
4.574045e+001	-1.578801e+002
4.561385e+001	-1.677973e+002
4.605059e+001	-1.552481e+002
4.670272e+001	-1.341088e+002
4.720574e+001	-1.189165e+002
4.782474e+001	-9.909889e+001
4.836089e+001	-8.258511e+001
4.881420e+001	-6.937514e+001
4.873730e+001	-7.730996e+001
4.839531e+001	-9.581719e+001
4.821901e+001	-1.077166e+002
4.842378e+001	-1.044183e+002
4.887709e+001	-9.120830e+001
4.923099e+001	-8.196289e+001
4.923694e+001	-8.659389e+001
4.925946e+001	-9.056418e+001
4.951394e+001	-8.528352e+001
4.966901e+001	-8.396739e+001
4.960869e+001	-9.124149e+001
4.958150e+001	-9.719395e+001
4.952117e+001	-1.044681e+002
4.969282e+001	-1.024912e+002
4.988102e+001	-9.985365e+001
5.001952e+001	-9.919846e+001
5.034028e+001	-9.127469e+001
5.018055e+001	-1.025133e+002
5.002081e+001	-1.137520e+002
5.020902e+001	-1.111144e+002
5.044692e+001	-1.064947e+002
5.066827e+001	-1.025355e+002
5.112159e+001	-8.932550e+001
5.152518e+001	-7.809792e+001
5.149800e+001	-8.405036e+001
5.125542e+001	-9.859306e+001
5.146019e+001	-9.529454e+001
5.149928e+001	-9.860412e+001
5.125670e+001	-1.131466e+002
5.175972e+001	-9.795424e+001
5.224616e+001	-8.342284e+001
5.193731e+001	-1.006084e+002
5.161188e+001	-1.184549e+002
5.143557e+001	-1.303545e+002
5.187231e+001	-1.178053e+002
5.235876e+001	-1.032736e+002
5.226530e+001	-1.118694e+002
5.266890e+001	-1.006416e+002
5.292339e+001	-9.536091e+001
5.256482e+001	-1.145291e+002
5.247136e+001	-1.231246e+002
5.214593e+001	-1.409711e+002
5.220159e+001	-1.436198e+002
5.243950e+001	-1.389998e+002
5.277683e+001	-1.304153e+002
5.327985e+001	-1.152230e+002
5.360060e+001	-1.072992e+002
5.383852e+001	-1.026793e+002
5.424212e+001	-9.145169e+001
5.459602e+001	-8.220628e+001
5.475109e+001	-8.089037e+001
5.487302e+001	-8.089590e+001
5.497839e+001	-8.156215e+001
5.531571e+001	-7.297766e+001
5.535480e+001	-7.628701e+001
5.526134e+001	-8.488256e+001
5.523415e+001	-9.083523e+001
5.550520e+001	-8.489363e+001
5.577626e+001	-7.895224e+001
5.589819e+001	-7.895777e+001
5.590414e+001	-8.358878e+001
5.581068e+001	-9.218432e+001
5.578349e+001	-9.813678e+001
5.588885e+001	-9.880326e+001
5.607706e+001	-9.616568e+001
5.634812e+001	-9.022407e+001
5.655289e+001	-8.692579e+001
5.652571e+001	-9.287823e+001
5.664764e+001	-9.288376e+001
5.698496e+001	-8.429928e+001
5.740513e+001	-7.241098e+001
5.760991e+001	-6.911247e+001
5.764900e+001	-7.242204e+001
5.735671e+001	-8.894688e+001
5.688216e+001	-1.127403e+002
5.695439e+001	-1.147282e+002
5.740770e+001	-1.015183e+002
5.767875e+001	-9.557664e+001
5.771784e+001	-9.888623e+001
5.782320e+001	-9.955248e+001
5.794514e+001	-9.955801e+001
5.824933e+001	-9.229496e+001
5.861979e+001	-8.238882e+001
5.870859e+001	-8.371601e+001
5.884709e+001	-8.306082e+001
5.863764e+001	-9.628184e+001
5.857732e+001	-1.035557e+002
5.899749e+001	-9.166743e+001
5.938453e+001	-8.110057e+001
5.939047e+001	-8.573157e+001
5.928045e+001	-9.498784e+001
5.963434e+001	-8.574264e+001
5.977284e+001	-8.508723e+001
5.926516e+001	-1.102023e+002
5.927111e+001	-1.148333e+002
5.975756e+001	-1.003017e+002
6.012802e+001	-9.039555e+001
6.034936e+001	-8.643655e+001
6.050444e+001	-8.512042e+001
6.054353e+001	-8.842999e+001
6.074831e+001	-8.513149e+001
6.085367e+001	-8.579795e+001
6.056138e+001	-1.023228e+002
6.055076e+001	-1.076145e+002
6.073897e+001	-1.049770e+002
6.097688e+001	-1.003570e+002
6.123137e+001	-9.507634e+001
6.155213e+001	-8.715258e+001
6.149180e+001	-9.442669e+001
6.156402e+001	-9.641460e+001
6.208361e+001	-8.056154e+001
6.215584e+001	-8.254923e+001
6.199610e+001	-9.378810e+001
6.228372e+001	-8.718577e+001
6.237251e+001	-8.851296e+001
6.224592e+001	-9.842995e+001
6.215245e+001	-1.070257e+002
6.239037e+001	-1.024058e+002
6.302594e+001	-8.192724e+001
6.319758e+001	-7.995039e+001
6.318696e+001	-8.524211e+001
