    nm         	pN
0.000000e+000	5.625284e+002
1.556252e-001	5.638666e+002
1.616008e-001	5.592366e+002
1.675667e-001	5.546062e+002
1.402876e-001	5.486501e+002
9.637773e-002	5.420306e+002
3.583562e-002	5.347479e+002
8.546806e-003	5.287913e+002
4.777712e-002	5.254876e+002
8.700742e-002	5.221839e+002
5.971861e-002	5.162273e+002
8.231670e-002	5.122602e+002
7.166010e-002	5.069670e+002
7.763572e-002	5.023370e+002
6.697912e-002	4.970437e+002
5.632392e-002	4.917505e+002
4.566732e-002	4.864573e+002
1.837851e-002	4.805007e+002
2.435552e-002	4.758708e+002
-5.280906e-002	4.679251e+002
-1.133519e-001	4.606424e+002
-5.750048e-002	4.580015e+002
-3.490239e-002	4.540344e+002
3.759305e-002	4.520573e+002
-2.295045e-002	4.447746e+002
-1.167466e-001	4.361656e+002
-1.440354e-001	4.302091e+002
-1.214373e-001	4.262420e+002
-1.487150e-001	4.202859e+002
-1.760038e-001	4.143293e+002
-1.534071e-001	4.103622e+002
-1.640623e-001	4.050690e+002
-2.079722e-001	3.984496e+002
-2.685150e-001	3.911668e+002
-2.791716e-001	3.858736e+002
-2.731959e-001	3.812436e+002
-3.171170e-001	3.746237e+002
-2.945078e-001	3.706571e+002
-2.885433e-001	3.660267e+002
-3.158195e-001	3.600706e+002
-2.932228e-001	3.561035e+002
-3.371327e-001	3.494841e+002
-3.976756e-001	3.422014e+002
-3.917097e-001	3.375710e+002
-4.688743e-001	3.296254e+002
-5.460493e-001	3.216793e+002
-5.400737e-001	3.170493e+002
-5.174756e-001	3.130823e+002
-4.948782e-001	3.091152e+002
-5.055341e-001	3.038220e+002
-5.161906e-001	2.985287e+002
-5.268466e-001	2.932355e+002
-4.876163e-001	2.899317e+002
-4.982729e-001	2.846385e+002
-5.421827e-001	2.780190e+002
-5.362064e-001	2.733891e+002
-5.136090e-001	2.694220e+002
-5.408978e-001	2.634654e+002
-5.515537e-001	2.581722e+002
-5.123227e-001	2.548685e+002
-4.730931e-001	2.515647e+002
-4.671168e-001	2.469348e+002
-4.944056e-001	2.409782e+002
-5.383155e-001	2.343588e+002
-6.321130e-001	2.257498e+002
-6.926552e-001	2.184671e+002
-6.201708e-001	2.164895e+002
-5.643194e-001	2.138486e+002
-5.583431e-001	2.092187e+002
-6.521399e-001	2.006098e+002
-6.461629e-001	1.959798e+002
-6.069444e-001	1.926756e+002
-6.841083e-001	1.847300e+002
-6.947649e-001	1.794368e+002
-6.555346e-001	1.761330e+002
-6.994445e-001	1.695136e+002
-7.433655e-001	1.628937e+002
-7.373899e-001	1.582637e+002
-7.147918e-001	1.542967e+002
-7.254484e-001	1.490034e+002
-7.527261e-001	1.430473e+002
-7.467602e-001	1.384169e+002
-7.407846e-001	1.337870e+002
-7.181865e-001	1.298199e+002
-6.789562e-001	1.265162e+002
-4.900777e-001	1.291805e+002
-4.841014e-001	1.245506e+002
-4.781251e-001	1.199206e+002
-4.388948e-001	1.166169e+002
-3.830434e-001	1.139760e+002
-2.939262e-001	1.126618e+002
-1.881879e-001	1.120104e+002
-1.323254e-001	1.093700e+002
-9.309505e-002	1.060662e+002
-5.387588e-002	1.027620e+002
3.524063e-002	1.014478e+002
3.072712e-001	1.074282e+002
3.631225e-001	1.047874e+002
3.358449e-001	9.883123e+001
3.584430e-001	9.486417e+001
3.311542e-001	8.890760e+001
2.373574e-001	8.029866e+001
1.103073e-001	7.036352e+001
1.827909e-001	6.838597e+001
2.053890e-001	6.441890e+001
2.279856e-001	6.045184e+001
3.669898e-001	6.112710e+001
4.561070e-001	5.981286e+001
4.953373e-001	5.650911e+001
4.181616e-001	4.856304e+001
3.742517e-001	4.194360e+001
3.469629e-001	3.598703e+001
4.693333e-001	3.599897e+001
5.750828e-001	3.534805e+001
5.311618e-001	2.872816e+001
5.205052e-001	2.343491e+001
5.763677e-001	2.079448e+001
4.659387e-001	1.152221e+001
4.885368e-001	7.555155e+000
4.113722e-001	-3.904597e-001
3.508301e-001	-7.673216e+000
3.900604e-001	-1.097696e+001
3.295169e-001	-1.825972e+001
2.523537e-001	-2.620534e+001
3.248373e-001	-2.818291e+001
3.640676e-001	-3.148665e+001
4.032868e-001	-3.479084e+001
5.755442e-001	-3.278940e+001
7.311791e-001	-3.145082e+001
7.703983e-001	-3.475502e+001
8.761477e-001	-3.540595e+001
1.031773e+000	-3.406781e+001
1.170776e+000	-3.339256e+001
1.210006e+000	-3.669631e+001
1.382252e+000	-3.469530e+001
1.338342e+000	-4.131474e+001
1.194659e+000	-5.191319e+001
1.383548e+000	-4.924842e+001
1.555806e+000	-4.724697e+001
1.428744e+000	-5.718255e+001
1.434720e+000	-6.181249e+001
1.490571e+000	-6.445336e+001
1.313634e+000	-7.637799e+001
1.436006e+000	-7.636605e+001
1.575009e+000	-7.569079e+001
1.813774e+000	-7.103697e+001
1.753231e+000	-7.831973e+001
1.559662e+000	-9.090768e+001
1.698665e+000	-9.023241e+001
1.887543e+000	-8.756810e+001
1.793746e+000	-9.617705e+001
1.866231e+000	-9.815460e+001
1.888840e+000	-1.021212e+002
2.027832e+000	-1.014464e+002
2.449521e+000	-8.949744e+001
2.522006e+000	-9.147500e+001
2.328437e+000	-1.040630e+002
2.267893e+000	-1.113457e+002
2.406898e+000	-1.106704e+002
2.512636e+000	-1.113218e+002
2.601752e+000	-1.126361e+002
2.807262e+000	-1.093084e+002
2.962887e+000	-1.079703e+002
3.035371e+000	-1.099479e+002
2.941576e+000	-1.185568e+002
2.980805e+000	-1.218605e+002
3.286089e+000	-1.145539e+002
3.674514e+000	-1.039316e+002
3.929912e+000	-9.861444e+001
3.902623e+000	-1.045710e+002
4.191275e+000	-9.792768e+001
4.363532e+000	-9.592623e+001
4.336255e+000	-1.018824e+002
4.441993e+000	-1.025337e+002
4.414704e+000	-1.084903e+002
4.304286e+000	-1.177621e+002
4.410025e+000	-1.184135e+002
4.648788e+000	-1.137597e+002
4.821046e+000	-1.117582e+002
4.827021e+000	-1.163881e+002
4.966026e+000	-1.157129e+002
5.038510e+000	-1.176905e+002
5.160881e+000	-1.176785e+002
5.449532e+000	-1.110352e+002
5.588535e+000	-1.103599e+002
5.611133e+000	-1.143270e+002
5.500704e+000	-1.235993e+002
5.423539e+000	-1.315449e+002
5.329731e+000	-1.401543e+002
5.202681e+000	-1.500894e+002
5.258544e+000	-1.527298e+002
5.364282e+000	-1.533812e+002
5.353626e+000	-1.586744e+002
5.126803e+000	-1.725886e+002
5.082892e+000	-1.792080e+002
5.221885e+000	-1.785332e+002
5.593687e+000	-1.685738e+002
5.699425e+000	-1.692251e+002
5.788543e+000	-1.705394e+002
6.326615e+000	-1.539490e+002
6.931208e+000	-1.347057e+002
7.236492e+000	-1.273991e+002
7.242468e+000	-1.320291e+002
7.564373e+000	-1.240595e+002
7.636868e+000	-1.260367e+002
7.626213e+000	-1.313299e+002
7.615556e+000	-1.366232e+002
7.555014e+000	-1.439059e+002
7.793778e+000	-1.392521e+002
7.749868e+000	-1.458715e+002
7.622807e+000	-1.558071e+002
7.745178e+000	-1.557952e+002
7.784408e+000	-1.590989e+002
7.640724e+000	-1.696974e+002
7.729842e+000	-1.710116e+002
7.636045e+000	-1.796205e+002
7.592135e+000	-1.862400e+002
8.013813e+000	-1.742915e+002
8.069665e+000	-1.769323e+002
8.158781e+000	-1.782466e+002
8.281152e+000	-1.782346e+002
8.054329e+000	-1.921488e+002
8.226587e+000	-1.901473e+002
8.515237e+000	-1.835040e+002
8.787267e+000	-1.775235e+002
