    nm         	pN
0.000000e+000	4.604548e+002
7.294503e-002	4.584956e+002
4.548779e-002	4.525323e+002
1.296033e-003	4.459016e+002
-5.962816e-002	4.386037e+002
-3.688461e-002	4.346424e+002
-1.312772e-001	4.260097e+002
-2.256690e-001	4.173770e+002
-2.531269e-001	4.114137e+002
-2.471165e-001	4.067851e+002
-2.243730e-001	4.028239e+002
-2.350964e-001	3.975280e+002
-2.123528e-001	3.935667e+002
-2.565453e-001	3.869360e+002
-3.844048e-001	3.769686e+002
-3.616613e-001	3.730074e+002
-3.723840e-001	3.677115e+002
-4.165757e-001	3.610808e+002
-4.440329e-001	3.551175e+002
-3.878217e-001	3.524910e+002
-3.316099e-001	3.498645e+002
-3.590678e-001	3.439012e+002
-3.865257e-001	3.379378e+002
-4.139830e-001	3.319746e+002
-4.247071e-001	3.266786e+002
-4.688981e-001	3.200480e+002
-5.800238e-001	3.107479e+002
-6.242156e-001	3.041173e+002
-6.684066e-001	2.974866e+002
-6.289292e-001	2.941927e+002
-6.061857e-001	2.902315e+002
-6.671106e-001	2.829335e+002
-8.117039e-001	2.722987e+002
-7.722266e-001	2.690048e+002
-7.327492e-001	2.657110e+002
-7.100056e-001	2.617497e+002
-8.211313e-001	2.524497e+002
-7.481863e-001	2.504905e+002
-6.417736e-001	2.498660e+002
-6.022969e-001	2.465721e+002
-7.134226e-001	2.372721e+002
-7.408809e-001	2.313087e+002
-7.850716e-001	2.246781e+002
-7.623280e-001	2.207169e+002
-9.236559e-001	2.094147e+002
-9.009130e-001	2.054535e+002
-7.945004e-001	2.048290e+002
-7.048215e-001	2.035371e+002
-6.486110e-001	2.009106e+002
-6.258667e-001	1.969494e+002
-6.198577e-001	1.923208e+002
-7.142495e-001	1.836881e+002
-7.919083e-001	1.757227e+002
-7.356971e-001	1.730962e+002
-7.296866e-001	1.684676e+002
-7.571446e-001	1.625043e+002
-7.009334e-001	1.598778e+002
-6.781892e-001	1.559165e+002
-7.558479e-001	1.479512e+002
-8.000389e-001	1.413205e+002
-8.107630e-001	1.360246e+002
-8.382209e-001	1.300613e+002
-9.493466e-001	1.207612e+002
-9.935377e-001	1.141306e+002
-1.037729e+000	1.074999e+002
-1.098654e+000	1.002020e+002
-1.042442e+000	9.757541e+001
-1.002966e+000	9.428151e+001
-1.147559e+000	8.364676e+001
-1.141549e+000	7.901817e+001
-1.051870e+000	7.772633e+001
-1.012393e+000	7.443244e+001
-1.056584e+000	6.780179e+001
-1.067308e+000	6.250585e+001
-1.027830e+000	5.921196e+001
-9.548852e-001	5.725277e+001
-1.015811e+000	4.995477e+001
-1.043268e+000	4.399148e+001
-9.870569e-001	4.136494e+001
-9.977803e-001	3.606900e+001
-1.075439e+000	2.810365e+001
-1.035960e+000	2.480981e+001
-9.128144e-001	2.485267e+001
-9.904731e-001	1.688732e+001
-1.034664e+000	1.025668e+001
-9.784530e-001	7.630144e+000
-9.389770e-001	4.336200e+000
-9.162334e-001	3.749551e-001
-9.269568e-001	-4.920981e+000
-8.874774e-001	-8.214814e+000
-9.316699e-001	-1.484546e+001
-9.591284e-001	-2.080881e+001
-9.865843e-001	-2.677206e+001
-8.969062e-001	-2.806389e+001
-8.741619e-001	-3.202513e+001
-9.183529e-001	-3.865578e+001
-9.625440e-001	-4.528643e+001
-9.230687e-001	-4.858037e+001
-8.835893e-001	-5.187421e+001
-8.273788e-001	-5.450074e+001
-8.715698e-001	-6.113138e+001
-8.655608e-001	-6.576004e+001
-7.758826e-001	-6.705187e+001
-6.862031e-001	-6.834371e+001
-8.475295e-001	-7.964576e+001
-8.415205e-001	-8.427441e+001
-8.020425e-001	-8.756824e+001
-7.960335e-001	-9.219690e+001
-7.398229e-001	-9.482343e+001
-7.170787e-001	-9.878468e+001
-6.775992e-001	-1.020785e+002
-5.209871e-001	-1.007010e+002
-4.480428e-001	-1.026602e+002
-4.754986e-001	-1.086234e+002
-3.021527e-001	-1.065786e+002
-1.455393e-001	-1.052010e+002
-2.231980e-001	-1.131664e+002
-2.171876e-001	-1.177949e+002
-1.609757e-001	-1.204214e+002
-2.721021e-001	-1.297215e+002
-3.832284e-001	-1.390215e+002
-2.266150e-001	-1.376440e+002
-8.673671e-002	-1.369338e+002
-1.141926e-001	-1.428970e+002
7.588857e-002	-1.401848e+002
1.990344e-001	-1.401419e+002
1.548433e-001	-1.467726e+002
1.273847e-001	-1.527359e+002
1.835966e-001	-1.553624e+002
1.896070e-001	-1.599910e+002
1.788836e-001	-1.652869e+002
3.354971e-001	-1.639094e+002
5.925121e-001	-1.585277e+002
5.985211e-001	-1.631563e+002
3.869918e-001	-1.764605e+002
3.595360e-001	-1.824237e+002
3.655450e-001	-1.870524e+002
3.380891e-001	-1.930156e+002
4.277673e-001	-1.943075e+002
5.007116e-001	-1.962667e+002
6.071250e-001	-1.968912e+002
6.298679e-001	-2.008524e+002
6.024092e-001	-2.068157e+002
7.590227e-001	-2.054382e+002
9.156362e-001	-2.040606e+002
1.005316e+000	-2.053525e+002
9.276570e-001	-2.133178e+002
8.499983e-001	-2.212831e+002
8.225410e-001	-2.272464e+002
9.624207e-001	-2.265362e+002
9.182296e-001	-2.331669e+002
8.740372e-001	-2.397975e+002
8.465813e-001	-2.457607e+002
7.354564e-001	-2.550608e+002
7.247316e-001	-2.603568e+002
7.307406e-001	-2.649854e+002
9.208217e-001	-2.622731e+002
1.010500e+000	-2.635650e+002
1.150381e+000	-2.628547e+002
1.173125e+000	-2.668159e+002
1.179134e+000	-2.714446e+002
1.185145e+000	-2.760731e+002
1.007083e+000	-2.880426e+002
8.624902e-001	-2.986773e+002
8.015640e-001	-3.059754e+002
8.410435e-001	-3.092692e+002
8.470511e-001	-3.138979e+002
9.032630e-001	-3.165244e+002
9.427410e-001	-3.198183e+002
8.818162e-001	-3.271163e+002
1.055163e+000	-3.250713e+002
1.312180e+000	-3.196897e+002
1.418589e+000	-3.203142e+002
1.374399e+000	-3.269449e+002
1.229807e+000	-3.375796e+002
1.235817e+000	-3.422081e+002
1.275293e+000	-3.455021e+002
1.214369e+000	-3.528000e+002
1.387715e+000	-3.507552e+002
1.460661e+000	-3.527143e+002
1.433202e+000	-3.586776e+002
1.472681e+000	-3.619715e+002
1.361556e+000	-3.712715e+002
1.283896e+000	-3.792369e+002
1.323373e+000	-3.825308e+002
1.295917e+000	-3.884941e+002
1.251725e+000	-3.951247e+002
1.274469e+000	-3.990860e+002
1.347412e+000	-4.010452e+002
1.504025e+000	-3.996676e+002
1.510037e+000	-4.042962e+002
1.432378e+000	-4.122615e+002
1.388187e+000	-4.188921e+002
1.410932e+000	-4.228534e+002
1.433676e+000	-4.268146e+002
1.422951e+000	-4.321106e+002
1.512629e+000	-4.334024e+002
1.585574e+000	-4.353617e+002
1.491182e+000	-4.439943e+002
1.413524e+000	-4.519597e+002
1.402800e+000	-4.572556e+002
1.375342e+000	-4.632190e+002
1.431552e+000	-4.658455e+002
1.454295e+000	-4.698067e+002
1.527242e+000	-4.717659e+002
1.717323e+000	-4.690536e+002
1.807001e+000	-4.703454e+002
1.712608e+000	-4.789782e+002
1.752087e+000	-4.822721e+002
1.707897e+000	-4.889026e+002
1.613501e+000	-4.975355e+002
1.736649e+000	-4.974925e+002
1.759392e+000	-5.014538e+002
1.648264e+000	-5.107539e+002
1.654276e+000	-5.153824e+002
1.643554e+000	-5.206783e+002
1.816899e+000	-5.186335e+002
2.107383e+000	-5.119171e+002
2.113395e+000	-5.165456e+002
2.186336e+000	-5.185049e+002
2.292751e+000	-5.191294e+002
2.148158e+000	-5.297641e+002
1.852958e+000	-5.464050e+002
1.909169e+000	-5.490316e+002
2.065785e+000	-5.476540e+002
2.239130e+000	-5.456092e+002
2.261872e+000	-5.495704e+002
2.200949e+000	-5.568684e+002
2.257159e+000	-5.594949e+002
2.463974e+000	-5.561153e+002
2.620588e+000	-5.547378e+002
2.660065e+000	-5.580316e+002
2.716278e+000	-5.606581e+002
2.772488e+000	-5.632846e+002
2.778497e+000	-5.679133e+002
2.817977e+000	-5.712071e+002
2.823983e+000	-5.758358e+002
2.863463e+000	-5.791296e+002
3.137210e+000	-5.730807e+002
3.109754e+000	-5.790439e+002
3.149231e+000	-5.823378e+002
3.205441e+000	-5.849644e+002
3.044115e+000	-5.962665e+002
3.066861e+000	-6.002277e+002
3.190006e+000	-6.001848e+002
3.296418e+000	-6.008093e+002
3.386097e+000	-6.021012e+002
3.475775e+000	-6.033931e+002
3.749525e+000	-5.973440e+002
4.123675e+000	-5.872909e+002
4.297025e+000	-5.852459e+002
4.319768e+000	-5.892072e+002
4.225374e+000	-5.978399e+002
4.281585e+000	-6.004665e+002
4.538601e+000	-5.950848e+002
4.762150e+000	-5.910378e+002
4.935497e+000	-5.889929e+002
5.008442e+000	-5.909521e+002
5.198523e+000	-5.882398e+002
5.137599e+000	-5.955378e+002
4.993006e+000	-6.061725e+002
4.999013e+000	-6.108012e+002
5.306234e+000	-6.034174e+002
5.496312e+000	-6.007052e+002
5.569256e+000	-6.026644e+002
5.474865e+000	-6.112971e+002
5.531076e+000	-6.139236e+002
5.587286e+000	-6.165501e+002
5.643499e+000	-6.191767e+002
5.867048e+000	-6.151297e+002
6.257932e+000	-6.044092e+002
6.682287e+000	-5.923540e+002
6.972769e+000	-5.856376e+002
7.179584e+000	-5.822581e+002
7.302729e+000	-5.822152e+002
7.576480e+000	-5.761662e+002
7.766561e+000	-5.734539e+002
8.006841e+000	-5.687396e+002
8.079788e+000	-5.706988e+002
8.052329e+000	-5.766621e+002
8.125273e+000	-5.786213e+002
8.181487e+000	-5.812478e+002
8.154028e+000	-5.872111e+002
8.143303e+000	-5.925071e+002
8.065646e+000	-6.004724e+002
8.222257e+000	-5.990949e+002
8.646611e+000	-5.870397e+002
8.953829e+000	-5.796559e+002
9.143911e+000	-5.769437e+002
9.317255e+000	-5.748988e+002
9.323267e+000	-5.795273e+002
9.513347e+000	-5.768150e+002
9.485889e+000	-5.827784e+002
9.424966e+000	-5.900764e+002
9.464443e+000	-5.933703e+002
9.554120e+000	-5.946622e+002
9.643799e+000	-5.959540e+002
9.683278e+000	-5.992478e+002
9.906826e+000	-5.952008e+002
9.996505e+000	-5.964927e+002
1.008618e+001	-5.977845e+002
1.066114e+001	-5.797233e+002
1.120263e+001	-5.629965e+002
1.244694e+001	-5.182411e+002
1.339003e+001	-4.854981e+002
1.398172e+001	-4.667694e+002
1.484115e+001	-4.373631e+002
1.774210e+001	-3.265400e+002
2.092751e+001	-2.043719e+002
2.257343e+001	-1.436002e+002
2.319858e+001	-1.235368e+002
2.302052e+001	-1.355063e+002
2.311020e+001	-1.367981e+002
2.388597e+001	-1.107285e+002
2.409278e+001	-1.073489e+002
2.399839e+001	-1.159816e+002
2.375339e+001	-1.306204e+002
2.370920e+001	-1.372511e+002
2.378214e+001	-1.392103e+002
2.400569e+001	-1.351634e+002
2.453045e+001	-1.191041e+002
2.493807e+001	-1.077162e+002
2.499428e+001	-1.103427e+002
2.528476e+001	-1.036264e+002
2.545811e+001	-1.015815e+002
2.538045e+001	-1.095469e+002
2.520239e+001	-1.215163e+002
2.472312e+001	-1.454981e+002
2.442793e+001	-1.621389e+002
2.481881e+001	-1.514184e+002
2.482482e+001	-1.560471e+002
2.479736e+001	-1.620103e+002
2.476991e+001	-1.679737e+002
2.487632e+001	-1.685981e+002
2.526720e+001	-1.578776e+002
