    nm         	pN
0.000000e+000	5.220618e+002
-9.414210e-003	5.162228e+002
-6.812000e-002	5.081950e+002
-1.432576e-001	4.994374e+002
-1.362400e-001	4.943282e+002
2.230526e-003	4.950564e+002
-4.004223e-002	4.877583e+002
-6.588697e-002	4.811898e+002
-2.600585e-002	4.775399e+002
-3.541881e-002	4.717010e+002
-2.839750e-002	4.665919e+002
-2.137681e-002	4.614828e+002
2.072533e-003	4.571033e+002
5.838417e-002	4.541831e+002
1.639918e-001	4.534519e+002
2.203059e-001	4.505318e+002
2.601889e-001	4.468821e+002
1.686177e-001	4.373947e+002
2.775490e-002	4.257185e+002
3.477559e-002	4.206094e+002
1.568149e-001	4.206080e+002
2.459895e-001	4.191471e+002
2.530102e-001	4.140380e+002
2.600309e-001	4.089289e+002
3.163432e-001	4.060087e+002
3.069321e-001	4.001699e+002
2.975198e-001	3.943310e+002
3.866931e-001	3.928701e+002
4.594390e-001	3.906797e+002
4.335949e-001	3.841112e+002
4.570467e-001	3.797317e+002
3.819091e-001	3.709742e+002
2.739087e-001	3.607573e+002
2.644957e-001	3.549184e+002
2.715139e-001	3.498092e+002
2.949657e-001	3.454297e+002
2.691216e-001	3.388612e+002
4.240233e-001	3.403191e+002
6.282184e-001	3.439660e+002
6.023774e-001	3.373976e+002
6.422604e-001	3.337478e+002
7.642992e-001	3.337464e+002
8.534731e-001	3.322855e+002
7.454732e-001	3.220686e+002
5.060236e-001	3.060144e+002
5.294729e-001	3.016348e+002
6.679434e-001	3.023631e+002
6.749610e-001	2.972538e+002
8.462956e-001	2.994415e+002
7.054316e-001	2.877652e+002
7.946093e-001	2.863045e+002
9.002150e-001	2.855733e+002
1.005824e+000	2.848422e+002
1.127863e+000	2.848408e+002
1.184176e+000	2.819206e+002
1.109039e+000	2.731631e+002
1.198216e+000	2.717023e+002
1.057353e+000	2.600261e+002
1.064371e+000	2.549169e+002
1.169979e+000	2.541858e+002
1.160567e+000	2.483469e+002
1.118292e+000	2.410487e+002
1.158174e+000	2.373989e+002
1.247352e+000	2.359382e+002
1.402252e+000	2.373960e+002
1.409272e+000	2.322869e+002
1.284839e+000	2.213403e+002
1.439742e+000	2.227982e+002
1.561781e+000	2.227968e+002
1.519504e+000	2.154985e+002
1.575819e+000	2.125785e+002
1.582839e+000	2.074693e+002
1.622720e+000	2.038194e+002
1.679036e+000	2.008994e+002
1.702485e+000	1.965199e+002
1.610916e+000	1.870326e+002
1.683660e+000	1.848421e+002
1.690678e+000	1.797329e+002
1.681266e+000	1.738941e+002
1.688285e+000	1.687849e+002
1.761032e+000	1.665945e+002
1.784481e+000	1.622149e+002
1.873659e+000	1.607542e+002
1.897109e+000	1.563747e+002
1.904127e+000	1.512655e+002
1.911147e+000	1.461564e+002
1.868872e+000	1.388581e+002
1.892324e+000	1.344787e+002
1.948637e+000	1.315586e+002
2.087108e+000	1.322868e+002
2.110557e+000	1.279072e+002
2.150440e+000	1.242575e+002
2.009577e+000	1.125812e+002
1.918007e+000	1.030940e+002
1.941458e+000	9.871446e+001
2.079930e+000	9.944276e+001
2.234830e+000	1.009006e+002
2.241849e+000	9.579146e+001
