    nm         	pN
0.000000e+000	5.868040e+002
1.385893e-001	5.875375e+002
2.113952e-001	5.853498e+002
3.499845e-001	5.860833e+002
3.241185e-001	5.795138e+002
2.982525e-001	5.729442e+002
2.888320e-001	5.671050e+002
2.958583e-001	5.619962e+002
3.028834e-001	5.568873e+002
4.579170e-001	5.583510e+002
4.813888e-001	5.539725e+002
4.719684e-001	5.481333e+002
4.625479e-001	5.422940e+002
5.846904e-001	5.422972e+002
5.752699e-001	5.364580e+002
4.671775e-001	5.262370e+002
4.742026e-001	5.211281e+002
4.318924e-001	5.138283e+002
3.237987e-001	5.036073e+002
3.472693e-001	4.992287e+002
4.529676e-001	4.985016e+002
5.586658e-001	4.977745e+002
5.492453e-001	4.919353e+002
5.727159e-001	4.875567e+002
6.619673e-001	4.860992e+002
5.867660e-001	4.773388e+002
4.622281e-001	4.663875e+002
5.843719e-001	4.663908e+002
8.051863e-001	4.707757e+002
8.286569e-001	4.663971e+002
7.041190e-001	4.554458e+002
6.124721e-001	4.459551e+002
8.497327e-001	4.510704e+002
9.225399e-001	4.488827e+002
7.815564e-001	4.372011e+002
6.405724e-001	4.255195e+002
7.133802e-001	4.233318e+002
9.506408e-001	4.284471e+002
9.905569e-001	4.247988e+002
9.811357e-001	4.189595e+002
1.004607e+000	4.145809e+002
1.060968e+000	4.116629e+002
1.002212e+000	4.036328e+002
1.075019e+000	4.014451e+002
1.098489e+000	3.970665e+002
1.121961e+000	3.926879e+002
1.112540e+000	3.868487e+002
1.053783e+000	3.788186e+002
9.456907e-001	3.685976e+002
9.527164e-001	3.634887e+002
1.222868e+000	3.700646e+002
1.180557e+000	3.627648e+002
1.154691e+000	3.561952e+002
1.095935e+000	3.481651e+002
9.878424e-001	3.379441e+002
1.142877e+000	3.394079e+002
1.265019e+000	3.394111e+002
1.222708e+000	3.321113e+002
1.163952e+000	3.240812e+002
1.220313e+000	3.211632e+002
1.178002e+000	3.138634e+002
1.250809e+000	3.116757e+002
1.372952e+000	3.116789e+002
1.396423e+000	3.073003e+002
1.633684e+000	3.124156e+002
1.739381e+000	3.116884e+002
1.581953e+000	2.992765e+002
1.539642e+000	2.919767e+002
1.579558e+000	2.883284e+002
1.734591e+000	2.897922e+002
1.642944e+000	2.803015e+002
1.584187e+000	2.722714e+002
1.673441e+000	2.708140e+002
1.680465e+000	2.657051e+002
1.523036e+000	2.532932e+002
1.398498e+000	2.423419e+002
1.421970e+000	2.379633e+002
1.626339e+000	2.416180e+002
1.797818e+000	2.438121e+002
1.887070e+000	2.423546e+002
1.926986e+000	2.387063e+002
1.966902e+000	2.350580e+002
2.056155e+000	2.336006e+002
2.013844e+000	2.263008e+002
2.070206e+000	2.233828e+002
2.060785e+000	2.175436e+002
2.429610e+000	2.285013e+002
2.699761e+000	2.350772e+002
2.756123e+000	2.321592e+002
2.796039e+000	2.285109e+002
3.000409e+000	2.321656e+002
2.974543e+000	2.255960e+002
2.981568e+000	2.204871e+002
3.185938e+000	2.241418e+002
3.061400e+000	2.131905e+002
3.117762e+000	2.102725e+002
3.387914e+000	2.168484e+002
3.510057e+000	2.168516e+002
3.500637e+000	2.110124e+002
3.359653e+000	1.993308e+002
3.465351e+000	1.986037e+002
3.719057e+000	2.044492e+002
3.808309e+000	2.029918e+002
