    nm         	pN
0.000000e+000	6.016339e+002
2.344059e-002	5.972539e+002
1.401763e-002	5.914146e+002
-1.180460e-002	5.848470e+002
6.087881e-002	5.826538e+002
1.335635e-001	5.804607e+002
7.491894e-002	5.724355e+002
9.833828e-002	5.680547e+002
1.381806e-001	5.644031e+002
1.123572e-001	5.578354e+002
2.088908e-002	5.483527e+002
4.430967e-002	5.439719e+002
3.490796e-002	5.381335e+002
-7.337302e-003	5.308366e+002
6.534862e-002	5.286435e+002
1.051885e-001	5.249918e+002
6.294572e-002	5.176951e+002
-7.776644e-002	5.060255e+002
-8.716815e-002	5.001871e+002
-4.734703e-002	4.965346e+002
-5.674874e-002	4.906962e+002
-1.810591e-001	4.797550e+002
-1.083757e-001	4.775618e+002
-3.571105e-002	4.753678e+002
4.130066e-003	4.717162e+002
9.323650e-002	4.702523e+002
1.659199e-001	4.680591e+002
1.729400e-001	4.629500e+002
6.503138e-002	4.527371e+002
2.278612e-002	4.454402e+002
6.262785e-002	4.417886e+002
3.682500e-002	4.352219e+002
-3.826194e-002	4.264666e+002
-3.124249e-002	4.213574e+002
2.502039e-002	4.184351e+002
1.633697e-001	4.191579e+002
2.524548e-001	4.176931e+002
1.773885e-001	4.089387e+002
5.307815e-002	3.979975e+002
9.291989e-002	3.943459e+002
8.351694e-002	3.885075e+002
9.053700e-002	3.833983e+002
1.139576e-001	3.790175e+002
8.813473e-002	3.724499e+002
1.279758e-001	3.687983e+002
5.292954e-002	3.600448e+002
-2.215802e-002	3.512894e+002
6.694779e-002	3.498255e+002
1.724548e-001	3.490900e+002
1.794736e-001	3.439808e+002
8.796611e-002	3.344963e+002
-1.992375e-002	3.242843e+002
1.991862e-002	3.206327e+002
1.051628e-002	3.147943e+002
9.962210e-002	3.133304e+002
1.558656e-001	3.104071e+002
8.079806e-002	3.016527e+002
2.215227e-002	2.936275e+002
-2.009237e-002	2.863306e+002
8.541460e-002	2.855950e+002
2.073427e-001	2.855887e+002
2.472051e-001	2.819380e+002
1.721381e-001	2.731836e+002
9.705058e-002	2.644283e+002
8.764887e-002	2.585899e+002
1.275112e-001	2.549392e+002
1.509318e-001	2.505584e+002
1.743718e-001	2.461784e+002
2.142135e-001	2.425268e+002
2.868782e-001	2.403328e+002
3.267193e-001	2.366811e+002
2.516730e-001	2.279276e+002
2.915147e-001	2.242760e+002
1.836055e-001	2.140632e+002
-2.279124e-002	1.994767e+002
-1.579243e-002	1.943666e+002
8.973453e-002	1.936319e+002
1.459974e-001	1.907096e+002
-1.115526e-002	1.783099e+002
-8.624282e-002	1.695546e+002
1.928415e-002	1.688199e+002
1.576134e-001	1.695419e+002
2.631404e-001	1.688072e+002
2.208964e-001	1.615103e+002
1.786717e-001	1.542144e+002
2.349346e-001	1.512920e+002
2.091118e-001	1.447244e+002
1.668671e-001	1.374275e+002
2.067289e-001	1.337768e+002
2.137277e-001	1.286668e+002
2.864123e-001	1.264736e+002
3.426565e-001	1.235504e+002
3.989381e-001	1.206289e+002
3.731159e-001	1.140613e+002
2.816278e-001	1.045776e+002
3.543112e-001	1.023845e+002
5.747469e-001	1.067526e+002
5.981675e-001	1.023717e+002
6.215881e-001	9.799091e+001
7.270950e-001	9.725534e+001
6.848710e-001	8.995936e+001
5.933829e-001	8.047573e+001
5.347171e-001	7.244966e+001
5.745782e-001	6.879893e+001
6.965070e-001	6.879258e+001
8.348363e-001	6.951456e+001
9.896073e-001	7.096665e+001
1.193621e+000	7.460554e+001
1.151377e+000	6.730869e+001
1.191238e+000	6.365797e+001
1.296745e+000	6.292239e+001
1.090328e+000	4.833506e+001
9.824386e-001	3.812308e+001
1.104367e+000	3.811672e+001
1.226295e+000	3.811036e+001
1.266137e+000	3.445875e+001
1.322400e+000	3.153638e+001
1.526414e+000	3.517526e+001
1.648343e+000	3.516890e+001
1.770270e+000	3.516254e+001
1.859375e+000	3.369862e+001
1.899198e+000	3.004614e+001
1.889796e+000	2.420773e+001
1.995323e+000	2.347304e+001
2.002322e+000	1.836298e+001
1.960098e+000	1.106702e+001
1.983518e+000	6.686198e+000
2.006939e+000	2.305364e+000
