    nm         	pN
0.000000e+000	5.808532e+002
8.926020e-002	5.793961e+002
1.456281e-001	5.764784e+002
-2.824888e-002	5.633361e+002
-7.055789e-002	5.560364e+002
-3.063802e-002	5.523882e+002
1.408523e-001	5.545828e+002
1.314356e-001	5.487438e+002
1.713567e-001	5.450957e+002
2.770612e-001	5.443689e+002
3.334278e-001	5.414511e+002
1.595521e-001	5.283088e+002
8.435079e-002	5.195485e+002
1.571642e-001	5.173610e+002
6.551737e-002	5.078704e+002
7.254618e-002	5.027616e+002
4.668395e-002	4.961923e+002
5.371276e-002	4.910835e+002
1.100794e-001	4.881657e+002
1.664473e-001	4.852480e+002
2.392595e-001	4.830605e+002
2.133972e-001	4.764912e+002
1.053049e-001	4.662702e+002
9.588878e-002	4.604312e+002
1.358086e-001	4.567830e+002
1.592836e-001	4.524046e+002
2.978816e-001	4.531385e+002
3.542502e-001	4.502208e+002
3.777226e-001	4.458423e+002
4.011988e-001	4.414639e+002
4.575648e-001	4.385461e+002
5.139334e-001	4.356284e+002
4.551782e-001	4.275984e+002
4.457615e-001	4.217593e+002
5.350192e-001	4.203022e+002
6.736159e-001	4.210360e+002
6.477544e-001	4.144667e+002
4.245408e-001	3.991335e+002
4.644601e-001	3.954853e+002
4.714907e-001	3.903766e+002
3.633984e-001	3.801557e+002
4.691029e-001	3.794288e+002
5.912541e-001	3.794324e+002
6.640662e-001	3.772449e+002
6.382034e-001	3.706755e+002
7.439085e-001	3.699488e+002
7.838302e-001	3.663007e+002
8.895347e-001	3.655739e+002
9.952392e-001	3.648471e+002
8.871474e-001	3.546261e+002
9.764064e-001	3.531690e+002
1.115003e+000	3.539029e+002
1.171369e+000	3.509850e+002
1.260630e+000	3.495280e+002
1.152536e+000	3.393070e+002
1.192457e+000	3.356589e+002
1.248824e+000	3.327411e+002
1.255854e+000	3.276324e+002
1.262883e+000	3.225237e+002
1.302805e+000	3.188757e+002
1.227604e+000	3.101153e+002
1.267523e+000	3.064671e+002
1.241663e+000	2.998979e+002
1.281583e+000	2.962497e+002
1.239273e+000	2.889500e+002
1.328535e+000	2.874930e+002
1.500021e+000	2.896874e+002
1.523497e+000	2.853090e+002
1.497634e+000	2.787396e+002
1.455325e+000	2.714399e+002
1.544584e+000	2.699828e+002
1.633845e+000	2.685258e+002
1.624425e+000	2.626866e+002
1.664347e+000	2.590385e+002
1.671377e+000	2.539298e+002
1.563286e+000	2.437089e+002
1.570312e+000	2.386001e+002
1.593788e+000	2.342217e+002
1.502143e+000	2.247311e+002
1.673631e+000	2.269255e+002
1.845120e+000	2.291201e+002
2.016607e+000	2.313145e+002
1.809840e+000	2.167116e+002
1.718192e+000	2.072209e+002
1.708776e+000	2.013818e+002
1.732252e+000	1.970035e+002
1.870849e+000	1.977374e+002
2.108121e+000	2.028531e+002
2.197379e+000	2.013960e+002
2.187963e+000	1.955569e+002
2.194993e+000	1.904482e+002
2.103346e+000	1.809576e+002
1.978807e+000	1.700062e+002
2.068067e+000	1.685492e+002
2.107987e+000	1.649010e+002
2.131463e+000	1.605227e+002
2.220721e+000	1.590655e+002
2.178412e+000	1.517658e+002
2.234781e+000	1.488481e+002
2.258254e+000	1.444696e+002
2.133716e+000	1.335183e+002
2.157192e+000	1.291399e+002
2.262897e+000	1.284131e+002
2.286373e+000	1.240348e+002
2.293400e+000	1.189260e+002
2.283984e+000	1.130869e+002
2.225230e+000	1.050570e+002
2.002015e+000	8.972365e+001
1.976152e+000	8.315427e+001
2.328548e+000	9.338239e+001
2.319129e+000	8.754324e+001
2.457726e+000	8.827711e+001
2.546986e+000	8.682008e+001
2.619798e+000	8.463261e+001
2.725504e+000	8.390580e+001
2.683195e+000	7.660609e+001
2.443535e+000	6.054254e+001
2.532794e+000	5.908541e+001
2.572716e+000	5.543737e+001
2.612636e+000	5.178923e+001
2.767679e+000	5.325343e+001
2.774708e+000	4.814472e+001
2.913305e+000	4.887859e+001
2.986117e+000	4.669112e+001
2.894470e+000	3.720038e+001
2.868609e+000	3.063112e+001
2.826300e+000	2.333139e+001
2.882666e+000	2.041358e+001
3.119938e+000	2.552936e+001
3.258535e+000	2.626322e+001
3.446471e+000	2.918810e+001
3.486391e+000	2.553996e+001
3.361853e+000	1.458867e+001
3.237315e+000	3.637378e+000
3.326574e+000	2.180244e+000
3.350049e+000	-2.198118e+000
3.340633e+000	-8.037167e+000
3.643687e+000	-1.559123e-004
3.732949e+000	-1.457190e+000
3.707085e+000	-8.026565e+000
3.845682e+000	-7.292697e+000
3.737588e+000	-1.751376e+001
3.695279e+000	-2.481348e+001
3.998336e+000	-1.677636e+001
4.136933e+000	-1.604249e+001
4.176855e+000	-1.969053e+001
4.364789e+000	-1.676576e+001
4.437601e+000	-1.895323e+001
4.461076e+000	-2.333161e+001
4.533891e+000	-2.551898e+001
4.836946e+000	-1.748197e+001
5.189342e+000	-7.253830e+000
5.064801e+000	-1.820523e+001
5.318519e+000	-1.235912e+001
5.391334e+000	-1.454648e+001
5.365471e+000	-2.111587e+001
5.487622e+000	-2.111234e+001
5.461759e+000	-2.768171e+001
5.485235e+000	-3.206009e+001
