    nm         	pN
0.000000e+000	5.131348e+002
1.388755e-001	5.138810e+002
1.294401e-001	5.080412e+002
1.200046e-001	5.022013e+002
7.761059e-002	4.948978e+002
1.176105e-001	4.912532e+002
1.740921e-001	4.883405e+002
1.976152e-001	4.839643e+002
1.387407e-001	4.759289e+002
4.691007e-002	4.664301e+002
8.691181e-002	4.627856e+002
1.269142e-001	4.591411e+002
1.998726e-001	4.569601e+002
2.893103e-001	4.555109e+002
3.787474e-001	4.540617e+002
3.363559e-001	4.467584e+002
3.104411e-001	4.401867e+002
3.174831e-001	4.350785e+002
3.739635e-001	4.321658e+002
2.656555e-001	4.219352e+002
2.067816e-001	4.138999e+002
1.973473e-001	4.080601e+002
1.714320e-001	4.014883e+002
2.938282e-001	4.015028e+002
3.173482e-001	3.971264e+002
3.079128e-001	3.912865e+002
2.984779e-001	3.854466e+002
3.220010e-001	3.810703e+002
3.290448e-001	3.759623e+002
3.031294e-001	3.693905e+002
2.112982e-001	3.598917e+002
2.018622e-001	3.540518e+002
1.759474e-001	3.474801e+002
1.335559e-001	3.401767e+002
1.405972e-001	3.350685e+002
1.641203e-001	3.306922e+002
1.711641e-001	3.255841e+002
1.782079e-001	3.204761e+002
2.182078e-001	3.168315e+002
3.076474e-001	3.153824e+002
4.465204e-001	3.161285e+002
4.206057e-001	3.095568e+002
4.441288e-001	3.051805e+002
5.994830e-001	3.066586e+002
5.900475e-001	3.008187e+002
4.323017e-001	2.883927e+002
3.239905e-001	2.781620e+002
2.815990e-001	2.708586e+002
2.721636e-001	2.650187e+002
3.616006e-001	2.635695e+002
3.521652e-001	2.577296e+002
2.932925e-001	2.496944e+002
3.662503e-001	2.475134e+002
4.227320e-001	2.446007e+002
5.121690e-001	2.431515e+002
5.192135e-001	2.380434e+002
6.086512e-001	2.365943e+002
6.156944e-001	2.314862e+002
6.062589e-001	2.256463e+002
5.309063e-001	2.168792e+002
5.873880e-001	2.139665e+002
6.768257e-001	2.125173e+002
6.509109e-001	2.059456e+002
6.744340e-001	2.015694e+002
6.979540e-001	1.971930e+002
7.709156e-001	1.950121e+002
7.285203e-001	1.877086e+002
7.190855e-001	1.818687e+002
7.590853e-001	1.782241e+002
8.320456e-001	1.760432e+002
8.555662e-001	1.716669e+002
8.626100e-001	1.665588e+002
9.355710e-001	1.643779e+002
1.008529e+000	1.621969e+002
1.097967e+000	1.607477e+002
1.072052e+000	1.541760e+002
1.079096e+000	1.490680e+002
1.069661e+000	1.432281e+002
1.043746e+000	1.366564e+002
1.067269e+000	1.322801e+002
9.919159e-001	1.235130e+002
1.015439e+000	1.191367e+002
1.121356e+000	1.184194e+002
1.194314e+000	1.162384e+002
1.267275e+000	1.140575e+002
1.224881e+000	1.067540e+002
1.264881e+000	1.031094e+002
1.222489e+000	9.580604e+001
1.196574e+000	8.923435e+001
1.154180e+000	8.193086e+001
1.375450e+000	8.633598e+001
1.679115e+000	9.440013e+001
1.768553e+000	9.295095e+001
1.594327e+000	7.979314e+001
1.568412e+000	7.322146e+001
1.657849e+000	7.177227e+001
1.533062e+000	6.080988e+001
1.606023e+000	5.862901e+001
1.596585e+000	5.278902e+001
1.636587e+000	4.914453e+001
1.676589e+000	4.550005e+001
1.716589e+000	4.185547e+001
1.723633e+000	3.674738e+001
1.681239e+000	2.944389e+001
1.737720e+000	2.653121e+001
1.893073e+000	2.800913e+001
1.916596e+000	2.363285e+001
1.907160e+000	1.779297e+001
1.996597e+000	1.634378e+001
2.003642e+000	1.123571e+001
2.010684e+000	6.127620e+000
2.166039e+000	7.605646e+000
2.337871e+000	9.815369e+000
2.344914e+000	4.707281e+000
2.417875e+000	2.526414e+000
2.457875e+000	-1.118169e+000
2.448440e+000	-6.958053e+000
2.406046e+000	-1.426154e+001
2.429569e+000	-1.863782e+001
2.519007e+000	-2.008700e+001
2.526050e+000	-2.519509e+001
2.467177e+000	-3.323039e+001
2.441262e+000	-3.980207e+001
2.365912e+000	-4.856906e+001
2.504788e+000	-4.782283e+001
2.660139e+000	-4.634491e+001
2.617745e+000	-5.364841e+001
2.740141e+000	-5.363398e+001
2.714229e+000	-6.020556e+001
2.704791e+000	-6.604556e+001
2.794231e+000	-6.749463e+001
2.933107e+000	-6.674840e+001
2.940148e+000	-7.185660e+001
2.963671e+000	-7.623287e+001
3.036628e+000	-7.841386e+001
3.076631e+000	-8.205834e+001
3.199027e+000	-8.204392e+001
3.107198e+000	-9.154270e+001
3.130718e+000	-9.591910e+001
3.302552e+000	-9.370926e+001
3.309596e+000	-9.881734e+001
3.349596e+000	-1.024619e+002
3.439036e+000	-1.039110e+002
3.347204e+000	-1.134099e+002
3.222416e+000	-1.243723e+002
3.427207e+000	-1.206990e+002
3.697912e+000	-1.140984e+002
3.836788e+000	-1.133522e+002
