    nm         	pN
0.000000e+000	4.981220e+002
-9.415460e-003	4.922830e+002
3.049941e-002	4.886347e+002
5.397125e-002	4.842561e+002
1.166974e-002	4.769568e+002
2.255527e-003	4.711178e+002
7.505269e-002	4.689297e+002
-1.657539e-002	4.594398e+002
-5.887628e-002	4.521405e+002
-3.540631e-002	4.477618e+002
-9.414897e-002	4.397323e+002
1.153612e-002	4.390047e+002
1.856369e-002	4.338959e+002
-2.373720e-002	4.265965e+002
1.617579e-002	4.229481e+002
8.897546e-002	4.207600e+002
3.097592e-001	4.251436e+002
5.141000e-001	4.287970e+002
5.375718e-001	4.244184e+002
3.472856e-001	4.105474e+002
1.405576e-001	3.959463e+002
1.804699e-001	3.922978e+002
1.710551e-001	3.864588e+002
1.780839e-001	3.813501e+002
3.659835e-001	3.842734e+002
5.209952e-001	3.857362e+002
4.786943e-001	3.784368e+002
3.706232e-001	3.682168e+002
3.118786e-001	3.601872e+002
2.531372e-001	3.521577e+002
3.094926e-001	3.492395e+002
4.151765e-001	3.485117e+002
6.852899e-001	3.550859e+002
7.087612e-001	3.507074e+002
6.006882e-001	3.404872e+002
4.268468e-001	3.273465e+002
5.654148e-001	3.280791e+002
6.546588e-001	3.266213e+002
5.959149e-001	3.185917e+002
6.687133e-001	3.164037e+002
7.579573e-001	3.149459e+002
8.143120e-001	3.120276e+002
7.062409e-001	3.018075e+002
7.297102e-001	2.974289e+002
8.518377e-001	2.974314e+002
9.575222e-001	2.967037e+002
1.260522e+000	3.047382e+002
1.481307e+000	3.091219e+002
1.669205e+000	3.120451e+002
1.709120e+000	3.083967e+002
1.749032e+000	3.047483e+002
1.591631e+000	2.923376e+002
1.335574e+000	2.755459e+002
1.293277e+000	2.682466e+002
1.431842e+000	2.689791e+002
1.553970e+000	2.689816e+002
1.692540e+000	2.697143e+002
1.814668e+000	2.697168e+002
2.117670e+000	2.777515e+002
1.993156e+000	2.668012e+002
2.098840e+000	2.660736e+002
2.434723e+000	2.755684e+002
2.441749e+000	2.704595e+002
2.498109e+000	2.675415e+002
2.472248e+000	2.609722e+002
2.199747e+000	2.434502e+002
2.272550e+000	2.412623e+002
2.279576e+000	2.361534e+002
2.368817e+000	2.346955e+002
2.490945e+000	2.346980e+002
2.432203e+000	2.266686e+002
2.422786e+000	2.208295e+002
2.396930e+000	2.142605e+002
2.354627e+000	2.069610e+002
2.443873e+000	2.055033e+002
2.796199e+000	2.157283e+002
2.967657e+000	2.179214e+002
3.024012e+000	2.150032e+002
3.261236e+000	2.201168e+002
3.449136e+000	2.230401e+002
3.604149e+000	2.245030e+002
3.594733e+000	2.186639e+002
3.667535e+000	2.164761e+002
3.806106e+000	2.172088e+002
3.829575e+000	2.128301e+002
3.836601e+000	2.077212e+002
3.761417e+000	1.989616e+002
3.916430e+000	2.004244e+002
4.285199e+000	2.113797e+002
4.177128e+000	2.011597e+002
4.217040e+000	1.975112e+002
4.240515e+000	1.931327e+002
4.247541e+000	1.880238e+002
4.238123e+000	1.821848e+002
4.212267e+000	1.756157e+002
4.334395e+000	1.756182e+002
4.555182e+000	1.800019e+002
4.693752e+000	1.807346e+002
4.766551e+000	1.785465e+002
4.691361e+000	1.697866e+002
4.731278e+000	1.661384e+002
4.853405e+000	1.661409e+002
4.564459e+000	1.478887e+002
4.653701e+000	1.464308e+002
5.071800e+000	1.595766e+002
5.111711e+000	1.559281e+002
5.151629e+000	1.522799e+002
5.125769e+000	1.457106e+002
5.330112e+000	1.493641e+002
5.649552e+000	1.581287e+002
5.755236e+000	1.574010e+002
5.745823e+000	1.515622e+002
5.703521e+000	1.442627e+002
6.055852e+000	1.544880e+002
6.161536e+000	1.537603e+002
6.152118e+000	1.479212e+002
6.027604e+000	1.369709e+002
6.018187e+000	1.311319e+002
5.926559e+000	1.216420e+002
5.982915e+000	1.187237e+002
6.170815e+000	1.216470e+002
6.473817e+000	1.296817e+002
6.579501e+000	1.289540e+002
6.553640e+000	1.223847e+002
6.659325e+000	1.216570e+002
6.617026e+000	1.143578e+002
6.920024e+000	1.223922e+002
6.927054e+000	1.172836e+002
6.687438e+000	1.012220e+002
6.826009e+000	1.019547e+002
7.129006e+000	1.099891e+002
7.316905e+000	1.129124e+002
7.159505e+000	1.005018e+002
7.413173e+000	1.063456e+002
7.699732e+000	1.136501e+002
7.756086e+000	1.107318e+002
7.598686e+000	9.832119e+001
7.589274e+000	9.248233e+001
7.711402e+000	9.248484e+001
7.784201e+000	9.029676e+001
7.873441e+000	8.883885e+001
8.077785e+000	9.249235e+001
8.167026e+000	9.103446e+001
8.289153e+000	9.103696e+001
8.197520e+000	8.154689e+001
8.155222e+000	7.424764e+001
8.260907e+000	7.351995e+001
8.284375e+000	6.914126e+001
8.291407e+000	6.403261e+001
8.512187e+000	6.841607e+001
8.634315e+000	6.841858e+001
8.444033e+000	5.454776e+001
8.385287e+000	4.651809e+001
8.392318e+000	4.140943e+001
8.563770e+000	4.360231e+001
8.800999e+000	4.871620e+001
8.692928e+000	3.849616e+001
8.897271e+000	4.214964e+001
9.233155e+000	5.164450e+001
9.059312e+000	3.850366e+001
9.115666e+000	3.558537e+001
9.204907e+000	3.412749e+001
9.228382e+000	2.974902e+001
8.988765e+000	1.368739e+001
9.242433e+000	1.953126e+001
9.578321e+000	2.902632e+001
9.700448e+000	2.902883e+001
9.641702e+000	2.099916e+001
9.796716e+000	2.246206e+001
1.014904e+001	3.268710e+001
1.041916e+001	3.926139e+001
1.037685e+001	3.196191e+001
1.040033e+001	2.758346e+001
1.044024e+001	2.393496e+001
1.048015e+001	2.028648e+001
1.065161e+001	2.247958e+001
1.052709e+001	1.152933e+001
1.046835e+001	3.499885e+000
