    nm         	pN
0.000000e+000	5.121037e+002
7.280342e-002	5.099158e+002
6.338921e-002	5.040769e+002
8.686230e-002	4.996984e+002
1.103354e-001	4.953199e+002
5.158710e-002	4.872902e+002
1.079487e-001	4.843722e+002
1.314193e-001	4.799935e+002
2.333947e-002	4.697731e+002
-2.520262e-003	4.632039e+002
4.509179e-003	4.580951e+002
6.086895e-002	4.551771e+002
1.830058e-001	4.551800e+002
2.886990e-001	4.544527e+002
3.615050e-001	4.522649e+002
3.849768e-001	4.478864e+002
3.426747e-001	4.405870e+002
2.674808e-001	4.318269e+002
2.087326e-001	4.237972e+002
1.664286e-001	4.164977e+002
1.076821e-001	4.084680e+002
1.804856e-001	4.062801e+002
2.039593e-001	4.019017e+002
1.945426e-001	3.960626e+002
2.180150e-001	3.916841e+002
1.428231e-001	3.829241e+002
1.662937e-001	3.785455e+002
1.568813e-001	3.727067e+002
9.812993e-002	3.646768e+002
7.227207e-002	3.581076e+002
9.574266e-002	3.537290e+002
2.178802e-001	3.537320e+002
3.235734e-001	3.530047e+002
3.470496e-001	3.486263e+002
2.882982e-001	3.405964e+002
2.624403e-001	3.340273e+002
1.872440e-001	3.252671e+002
2.271651e-001	3.216190e+002
2.177465e-001	3.157799e+002
2.412228e-001	3.114015e+002
2.318048e-001	3.055624e+002
2.388305e-001	3.004535e+002
3.116402e-001	2.982659e+002
3.844442e-001	2.960781e+002
3.421371e-001	2.887785e+002
3.656133e-001	2.844001e+002
3.561953e-001	2.785610e+002
3.796709e-001	2.741826e+002
3.866978e-001	2.690738e+002
4.266127e-001	2.654254e+002
3.843106e-001	2.581260e+002
3.091199e-001	2.493661e+002
3.161462e-001	2.442573e+002
2.738441e-001	2.369578e+002
2.644261e-001	2.311187e+002
2.056803e-001	2.230891e+002
2.127066e-001	2.179802e+002
1.704045e-001	2.106808e+002
1.609859e-001	2.048417e+002
1.844565e-001	2.004631e+002
1.585993e-001	1.938940e+002
2.642925e-001	1.931667e+002
3.206529e-001	1.902486e+002
2.947950e-001	1.836794e+002
3.018213e-001	1.785706e+002
3.417368e-001	1.749222e+002
3.158790e-001	1.683531e+002
3.886830e-001	1.661652e+002
4.121586e-001	1.617869e+002
3.862964e-001	1.552175e+002
3.768834e-001	1.493786e+002
3.839097e-001	1.442698e+002
4.567138e-001	1.420819e+002
3.650788e-001	1.325918e+002
2.898875e-001	1.238318e+002
2.969138e-001	1.187230e+002
4.354962e-001	1.194562e+002
3.603055e-001	1.106963e+002
3.179984e-001	1.033967e+002
3.908024e-001	1.012088e+002
4.636115e-001	9.902121e+001
5.857489e-001	9.902416e+001
6.421088e-001	9.610607e+001
6.162465e-001	8.953670e+001
6.890505e-001	8.734888e+001
7.618596e-001	8.516127e+001
6.537747e-001	7.494062e+001
6.443617e-001	6.910173e+001
7.007215e-001	6.618364e+001
6.913086e-001	6.034476e+001
7.147792e-001	5.596615e+001
7.875832e-001	5.377832e+001
7.781703e-001	4.793944e+001
6.865297e-001	3.844904e+001
7.100065e-001	3.407067e+001
7.663656e-001	3.115258e+001
8.391703e-001	2.896475e+001
8.955294e-001	2.604667e+001
8.367836e-001	1.801701e+001
7.615923e-001	9.257092e+000
9.166184e-001	1.072055e+001
8.907561e-001	4.151176e+000
8.484546e-001	-3.148214e+000
8.554810e-001	-8.257070e+000
9.282844e-001	-1.044490e+001
8.859828e-001	-1.774430e+001
8.436764e-001	-2.504392e+001
9.329303e-001	-2.650127e+001
9.564008e-001	-3.087988e+001
8.812096e-001	-3.963978e+001
8.882359e-001	-4.474864e+001
9.774849e-001	-4.620621e+001
1.033844e+000	-4.912430e+001
1.007987e+000	-5.569344e+001
9.985688e-001	-6.153256e+001
1.022044e+000	-6.591093e+001
9.961821e-001	-7.248030e+001
