    nm         	pN
0.000000e+000	4.871809e+002
3.988612e-002	4.835313e+002
1.783641e-001	4.842599e+002
2.018122e-001	4.798802e+002
2.252703e-001	4.755011e+002
1.829901e-001	4.682026e+002
2.557397e-001	4.660124e+002
2.956252e-001	4.623627e+002
3.519375e-001	4.594425e+002
2.439339e-001	4.492255e+002
2.180860e-001	4.426568e+002
2.251073e-001	4.375477e+002
1.828314e-001	4.302494e+002
7.482220e-002	4.200321e+002
4.897934e-002	4.134637e+002
1.217290e-001	4.112734e+002
1.123185e-001	4.054346e+002
7.003829e-002	3.981362e+002
1.263556e-001	3.952162e+002
6.764789e-002	3.871883e+002
1.075284e-001	3.835384e+002
2.460064e-001	3.842670e+002
3.187561e-001	3.820767e+002
2.929132e-001	3.755082e+002
2.670697e-001	3.689397e+002
3.069502e-001	3.652898e+002
3.139715e-001	3.601807e+002
2.388265e-001	3.514229e+002
2.129836e-001	3.448544e+002
8.854759e-002	3.339076e+002
1.777247e-001	3.324468e+002
2.504743e-001	3.302566e+002
2.739274e-001	3.258772e+002
3.302447e-001	3.229572e+002
3.043968e-001	3.163885e+002
2.621216e-001	3.090903e+002
2.855697e-001	3.047107e+002
3.090277e-001	3.003315e+002
3.653406e-001	2.974114e+002
4.380903e-001	2.952211e+002
5.108343e-001	2.930306e+002
5.014289e-001	2.871921e+002
5.084496e-001	2.820830e+002
4.990341e-001	2.762440e+002
6.210797e-001	2.762428e+002
7.266942e-001	2.755120e+002
7.830114e-001	2.725921e+002
6.421381e-001	2.609153e+002
5.341295e-001	2.506981e+002
4.754218e-001	2.426701e+002
3.838449e-001	2.331826e+002
3.908663e-001	2.280735e+002
4.964801e-001	2.273427e+002
5.363650e-001	2.236930e+002
5.433869e-001	2.185839e+002
5.011067e-001	2.112855e+002
4.752576e-001	2.047167e+002
5.973038e-001	2.047156e+002
7.193500e-001	2.047145e+002
8.742660e-001	2.061730e+002
8.484176e-001	1.996043e+002
8.390115e-001	1.937657e+002
8.788920e-001	1.901158e+002
9.187768e-001	1.864661e+002
9.093614e-001	1.806271e+002
8.342220e-001	1.718695e+002
7.919411e-001	1.645710e+002
8.811231e-001	1.631105e+002
9.538728e-001	1.609202e+002
8.951601e-001	1.528921e+002
8.857547e-001	1.470535e+002
9.584994e-001	1.448631e+002
1.096977e+000	1.455916e+002
1.054702e+000	1.382934e+002
1.028859e+000	1.317249e+002
1.101603e+000	1.295344e+002
1.240087e+000	1.302633e+002
1.411429e+000	1.324513e+002
1.418445e+000	1.273420e+002
1.326869e+000	1.178544e+002
1.383191e+000	1.149347e+002
1.390207e+000	1.098254e+002
1.594419e+000	1.134730e+002
1.617870e+000	1.090935e+002
1.476996e+000	9.741680e+001
1.451154e+000	9.084829e+001
1.556767e+000	9.011747e+001
1.563786e+000	8.500826e+001
1.406483e+000	7.260197e+001
1.380637e+000	6.603335e+001
1.436953e+000	6.311328e+001
1.542567e+000	6.238245e+001
1.566017e+000	5.800297e+001
1.671631e+000	5.727213e+001
1.777247e+000	5.654141e+001
1.734970e+000	4.924309e+001
1.774853e+000	4.559331e+001
1.781872e+000	4.048411e+001
1.772460e+000	3.464530e+001
1.680889e+000	2.515796e+001
1.819364e+000	2.588644e+001
1.908544e+000	2.442579e+001
1.981293e+000	2.223554e+001
2.152636e+000	2.442355e+001
2.159659e+000	1.931457e+001
2.035218e+000	8.367578e+000
2.107966e+000	6.177222e+000
2.262878e+000	7.635637e+000
2.253467e+000	1.796833e+000
2.194755e+000	-6.231302e+000
2.218206e+000	-1.061079e+001
2.258093e+000	-1.426035e+001
2.347276e+000	-1.572089e+001
2.452889e+000	-1.645172e+001
2.459908e+000	-2.156092e+001
2.450495e+000	-2.739982e+001
2.539674e+000	-2.886048e+001
2.826047e+000	-2.156427e+001
2.980957e+000	-2.010597e+001
2.955111e+000	-2.667459e+001
3.060725e+000	-2.740541e+001
3.232068e+000	-2.521741e+001
3.337681e+000	-2.594824e+001
3.459727e+000	-2.594935e+001
3.450316e+000	-3.178816e+001
3.210848e+000	-4.784322e+001
3.267168e+000	-5.076307e+001
3.553536e+000	-4.346709e+001
3.692014e+000	-4.273850e+001
3.731896e+000	-4.638828e+001
3.706053e+000	-5.295679e+001
3.745939e+000	-5.660645e+001
3.983013e+000	-5.149949e+001
4.121491e+000	-5.077090e+001
4.276401e+000	-4.931260e+001
4.382015e+000	-5.004342e+001
4.471196e+000	-5.150396e+001
4.461781e+000	-5.734299e+001
4.337344e+000	-6.828976e+001
4.377228e+000	-7.193953e+001
4.499273e+000	-7.194065e+001
4.637752e+000	-7.121206e+001
4.710500e+000	-7.340231e+001
4.635357e+000	-8.216017e+001
4.543785e+000	-9.164752e+001
4.353613e+000	-1.055135e+002
4.492092e+000	-1.047849e+002
4.712732e+000	-1.004076e+002
4.736183e+000	-1.047871e+002
4.891099e+000	-1.033286e+002
4.783090e+000	-1.135459e+002
4.428596e+000	-1.347089e+002
4.484916e+000	-1.376288e+002
4.689121e+000	-1.339814e+002
4.942626e+000	-1.281448e+002
5.113971e+000	-1.259566e+002
5.334613e+000	-1.215794e+002
5.440222e+000	-1.223104e+002
5.381514e+000	-1.303384e+002
5.372100e+000	-1.361773e+002
5.214797e+000	-1.485836e+002
5.041063e+000	-1.617196e+002
5.031650e+000	-1.675585e+002
5.170127e+000	-1.668299e+002
5.341469e+000	-1.646419e+002
5.545680e+000	-1.609943e+002
5.519834e+000	-1.675630e+002
5.362531e+000	-1.799693e+002
5.369550e+000	-1.850785e+002
5.540893e+000	-1.828905e+002
5.547910e+000	-1.879997e+002
5.620663e+000	-1.901898e+002
5.742709e+000	-1.901909e+002
5.700426e+000	-1.974895e+002
5.707450e+000	-2.025984e+002
6.026682e+000	-1.938430e+002
6.280187e+000	-1.880064e+002
6.139316e+000	-1.996830e+002
6.113470e+000	-2.062516e+002
6.005465e+000	-2.164687e+002
5.946754e+000	-2.244968e+002
5.970204e+000	-2.288763e+002
6.125116e+000	-2.274180e+002
6.460785e+000	-2.179326e+002
6.714290e+000	-2.120960e+002
6.688444e+000	-2.186646e+002
6.580436e+000	-2.288819e+002
6.505296e+000	-2.376395e+002
6.512315e+000	-2.427487e+002
6.716521e+000	-2.391013e+002
6.822135e+000	-2.398321e+002
6.763428e+000	-2.478600e+002
6.786879e+000	-2.522395e+002
6.826761e+000	-2.558893e+002
7.047403e+000	-2.515120e+002
7.300906e+000	-2.456755e+002
7.521547e+000	-2.412982e+002
7.512136e+000	-2.471370e+002
7.404128e+000	-2.573543e+002
7.361851e+000	-2.646525e+002
7.418168e+000	-2.675726e+002
7.622374e+000	-2.639252e+002
7.760851e+000	-2.631966e+002
7.702144e+000	-2.712245e+002
7.692731e+000	-2.770634e+002
7.880508e+000	-2.741456e+002
8.068283e+000	-2.712279e+002
8.058870e+000	-2.770668e+002
7.868702e+000	-2.909325e+002
7.809990e+000	-2.989606e+002
7.882742e+000	-3.011508e+002
7.906193e+000	-3.055303e+002
8.159696e+000	-2.996937e+002
8.347473e+000	-2.967759e+002
8.633842e+000	-2.894798e+002
9.133831e+000	-2.726974e+002
9.551661e+000	-2.595636e+002
9.854461e+000	-2.515378e+002
1.025586e+001	-2.391337e+002
1.044363e+001	-2.362159e+002
1.064784e+001	-2.325686e+002
1.098351e+001	-2.230832e+002
1.125344e+001	-2.165168e+002
1.150695e+001	-2.106803e+002
1.148110e+001	-2.172488e+002
1.150456e+001	-2.216283e+002
1.162660e+001	-2.216294e+002
1.158432e+001	-2.289277e+002
1.178853e+001	-2.252802e+002
1.205847e+001	-2.187138e+002
1.222981e+001	-2.165258e+002
1.228613e+001	-2.194457e+002
1.244104e+001	-2.179874e+002
1.254666e+001	-2.187183e+002
1.271800e+001	-2.165303e+002
1.285648e+001	-2.158017e+002
1.310998e+001	-2.099651e+002
1.326489e+001	-2.085066e+002
1.315689e+001	-2.187239e+002
1.332823e+001	-2.165358e+002
1.348314e+001	-2.150774e+002
1.362162e+001	-2.143488e+002
1.395728e+001	-2.048637e+002
1.399717e+001	-2.085133e+002
1.415208e+001	-2.070551e+002
1.437272e+001	-2.026778e+002
1.447833e+001	-2.034087e+002
1.446892e+001	-2.092477e+002
1.442664e+001	-2.165459e+002
1.441723e+001	-2.223848e+002
1.448998e+001	-2.245751e+002
1.464489e+001	-2.231168e+002
1.479980e+001	-2.216585e+002
1.500401e+001	-2.180109e+002
1.502746e+001	-2.223904e+002
1.480443e+001	-2.377155e+002
1.477858e+001	-2.442843e+002
1.480203e+001	-2.486636e+002
1.518700e+001	-2.369892e+002
1.560483e+001	-2.238554e+002
1.594050e+001	-2.143701e+002
1.594751e+001	-2.194793e+002
1.569162e+001	-2.362640e+002
1.563290e+001	-2.442921e+002
1.567279e+001	-2.479417e+002
1.584413e+001	-2.457538e+002
1.603191e+001	-2.428359e+002
1.602250e+001	-2.486747e+002
1.625957e+001	-2.435678e+002
1.648021e+001	-2.391908e+002
1.683230e+001	-2.289758e+002
1.710224e+001	-2.224094e+002
1.732288e+001	-2.180322e+002
1.744493e+001	-2.180333e+002
1.761627e+001	-2.158453e+002
1.750827e+001	-2.260623e+002
1.738383e+001	-2.370093e+002
1.742371e+001	-2.406591e+002
1.733214e+001	-2.501465e+002
1.747062e+001	-2.494179e+002
1.762553e+001	-2.479596e+002
1.787903e+001	-2.421230e+002
1.813254e+001	-2.362863e+002
1.832031e+001	-2.333686e+002
1.832733e+001	-2.384777e+002
1.867943e+001	-2.282629e+002
1.914656e+001	-2.129397e+002
1.933433e+001	-2.100221e+002
1.920989e+001	-2.209690e+002
1.888826e+001	-2.406725e+002
1.894458e+001	-2.435924e+002
1.911592e+001	-2.414045e+002
1.945159e+001	-2.319191e+002
1.939288e+001	-2.399473e+002
1.895623e+001	-2.647588e+002
1.907827e+001	-2.647599e+002
1.936464e+001	-2.574639e+002
1.965101e+001	-2.501677e+002
1.992095e+001	-2.436013e+002
2.017445e+001	-2.377648e+002
2.037866e+001	-2.341173e+002
2.064860e+001	-2.275510e+002
2.085281e+001	-2.239035e+002
2.092556e+001	-2.260937e+002
2.104760e+001	-2.260948e+002
2.120251e+001	-2.246366e+002
2.147245e+001	-2.180702e+002
2.170952e+001	-2.129632e+002
2.168368e+001	-2.195319e+002
2.180572e+001	-2.195330e+002
2.187847e+001	-2.217233e+002
2.183619e+001	-2.290216e+002
2.169532e+001	-2.406982e+002
2.153802e+001	-2.531045e+002
2.164363e+001	-2.538354e+002
2.202860e+001	-2.421610e+002
2.226567e+001	-2.370541e+002
2.227269e+001	-2.421633e+002
2.206609e+001	-2.567588e+002
2.208954e+001	-2.611382e+002
2.235948e+001	-2.545718e+002
2.231720e+001	-2.618701e+002
2.257070e+001	-2.560336e+002
2.274205e+001	-2.538454e+002
2.273264e+001	-2.596843e+002
2.264106e+001	-2.691718e+002
2.251662e+001	-2.801187e+002
2.306591e+001	-2.611471e+002
2.414103e+001	-2.188245e+002
2.485464e+001	-1.925558e+002
2.510814e+001	-1.867192e+002
2.536165e+001	-1.808825e+002
2.576305e+001	-1.684783e+002
2.608228e+001	-1.597228e+002
2.608930e+001	-1.648320e+002
2.591556e+001	-1.779680e+002
2.588972e+001	-1.845366e+002
2.612679e+001	-1.794297e+002
2.629814e+001	-1.772417e+002
2.648591e+001	-1.743240e+002
2.667368e+001	-1.714062e+002
2.646708e+001	-1.860018e+002
2.642481e+001	-1.933001e+002
2.697409e+001	-1.743285e+002
2.767127e+001	-1.487893e+002
2.771116e+001	-1.524391e+002
2.732380e+001	-1.750616e+002
2.724866e+001	-1.838192e+002
2.761719e+001	-1.728745e+002
2.783783e+001	-1.684973e+002
2.804204e+001	-1.648499e+002
2.836127e+001	-1.560943e+002
2.864764e+001	-1.487983e+002
2.835888e+001	-1.670424e+002
2.825087e+001	-1.772596e+002
2.847151e+001	-1.728823e+002
2.862642e+001	-1.714241e+002
2.866630e+001	-1.750739e+002
2.895268e+001	-1.677777e+002
2.915688e+001	-1.641303e+002
2.944326e+001	-1.568340e+002
2.943384e+001	-1.626732e+002
2.967091e+001	-1.575662e+002
3.003944e+001	-1.466215e+002
3.006290e+001	-1.510009e+002
2.992202e+001	-1.626776e+002
3.020840e+001	-1.553813e+002
3.047833e+001	-1.488151e+002
3.037033e+001	-1.590322e+002
3.018016e+001	-1.728979e+002
3.010501e+001	-1.816558e+002
3.027636e+001	-1.794677e+002
3.028338e+001	-1.845769e+002
3.066834e+001	-1.729024e+002
3.075752e+001	-1.743632e+002
3.074811e+001	-1.802019e+002
3.082086e+001	-1.823922e+002
3.089361e+001	-1.845825e+002
3.127857e+001	-1.729080e+002
3.149921e+001	-1.685309e+002
3.178558e+001	-1.612348e+002
3.195693e+001	-1.590468e+002
3.211183e+001	-1.575886e+002
3.229961e+001	-1.546707e+002
3.255311e+001	-1.488341e+002
3.246154e+001	-1.583216e+002
3.258359e+001	-1.583228e+002
3.265634e+001	-1.605129e+002
3.246616e+001	-1.743788e+002
3.229243e+001	-1.875149e+002
3.238161e+001	-1.889754e+002
3.278301e+001	-1.765712e+002
3.310224e+001	-1.678157e+002
3.325715e+001	-1.663574e+002
3.313271e+001	-1.773043e+002
3.304114e+001	-1.867918e+002
3.322891e+001	-1.838740e+002
3.344956e+001	-1.794968e+002
3.363733e+001	-1.765790e+002
3.392370e+001	-1.692831e+002
3.434153e+001	-1.561491e+002
3.446358e+001	-1.561502e+002
3.417481e+001	-1.743945e+002
3.398464e+001	-1.882602e+002
3.422172e+001	-1.831533e+002
3.455738e+001	-1.736679e+002
3.490948e+001	-1.634531e+002
3.483434e+001	-1.722108e+002
3.498925e+001	-1.707526e+002
3.527562e+001	-1.634565e+002
3.557842e+001	-1.554305e+002
3.558544e+001	-1.605397e+002
3.555959e+001	-1.671084e+002
3.556661e+001	-1.722176e+002
3.568866e+001	-1.722187e+002
3.589287e+001	-1.685711e+002
3.604778e+001	-1.671128e+002
3.603837e+001	-1.729516e+002
3.634117e+001	-1.649259e+002
3.670970e+001	-1.539813e+002
3.671672e+001	-1.590904e+002
3.651012e+001	-1.736858e+002
3.646784e+001	-1.809843e+002
3.665562e+001	-1.780664e+002
3.710631e+001	-1.634732e+002
3.740912e+001	-1.554473e+002
3.738327e+001	-1.620159e+002
3.765320e+001	-1.554495e+002
3.812033e+001	-1.401268e+002
3.797946e+001	-1.518033e+002
3.806864e+001	-1.532639e+002
3.823998e+001	-1.510759e+002
3.849349e+001	-1.452391e+002
3.859910e+001	-1.459700e+002
3.888547e+001	-1.386738e+002
3.874460e+001	-1.503505e+002
3.862016e+001	-1.612974e+002
3.872578e+001	-1.620282e+002
3.889712e+001	-1.598402e+002
3.905203e+001	-1.583820e+002
3.915764e+001	-1.591128e+002
3.916466e+001	-1.642220e+002
3.899093e+001	-1.773580e+002
3.888292e+001	-1.875752e+002
3.903783e+001	-1.861169e+002
3.953782e+001	-1.693345e+002
3.970916e+001	-1.671464e+002
3.955186e+001	-1.795527e+002
3.982180e+001	-1.729863e+002
3.999314e+001	-1.707984e+002
4.019735e+001	-1.671508e+002
4.015507e+001	-1.744493e+002
3.989917e+001	-1.912338e+002
3.995549e+001	-1.941539e+002
4.035688e+001	-1.817497e+002
4.088974e+001	-1.635079e+002
4.106108e+001	-1.613198e+002
4.121599e+001	-1.598615e+002
4.112442e+001	-1.693490e+002
4.081922e+001	-1.883228e+002
4.115489e+001	-1.788375e+002
4.114548e+001	-1.846764e+002
4.110320e+001	-1.919746e+002
4.137314e+001	-1.854084e+002
4.138016e+001	-1.905175e+002
4.132145e+001	-1.985456e+002
4.177214e+001	-1.839523e+002
4.245289e+001	-1.591429e+002
4.254207e+001	-1.606035e+002
4.223687e+001	-1.795773e+002
4.214530e+001	-1.890648e+002
4.216875e+001	-1.934443e+002
4.243869e+001	-1.868780e+002
4.234711e+001	-1.963653e+002
4.225554e+001	-2.058529e+002
4.252547e+001	-1.992865e+002
4.286114e+001	-1.898013e+002
4.298319e+001	-1.898024e+002
4.361464e+001	-1.671822e+002
4.480478e+001	-1.197516e+002
4.553483e+001	-9.275309e+001
4.601839e+001	-7.670036e+001
4.617330e+001	-7.524194e+001
4.619675e+001	-7.962144e+001
4.630236e+001	-8.035227e+001
4.662160e+001	-7.159675e+001
4.661218e+001	-7.743566e+001
4.663563e+001	-8.181515e+001
4.674125e+001	-8.254598e+001
4.727410e+001	-6.430413e+001
4.760977e+001	-5.481879e+001
4.738673e+001	-7.014415e+001
4.706511e+001	-8.984755e+001
4.698997e+001	-9.860519e+001
4.753926e+001	-7.963374e+001
4.752984e+001	-8.547254e+001
4.747113e+001	-9.350069e+001
4.770820e+001	-8.839383e+001
4.801101e+001	-8.036791e+001
4.795229e+001	-8.839608e+001
4.758137e+001	-1.102886e+002
4.770342e+001	-1.102897e+002
4.812125e+001	-9.715595e+001
4.812826e+001	-1.022651e+002
4.843107e+001	-9.423935e+001
4.899679e+001	-7.453795e+001
4.920099e+001	-7.089063e+001
4.899440e+001	-8.548596e+001
4.896855e+001	-9.205458e+001
4.928778e+001	-8.329918e+001
4.960702e+001	-7.454354e+001
4.999198e+001	-6.286919e+001
5.009760e+001	-6.359992e+001
5.026894e+001	-6.141201e+001
5.037455e+001	-6.214284e+001
5.016795e+001	-7.673838e+001
4.994492e+001	-9.206352e+001
4.996837e+001	-9.644301e+001
5.015615e+001	-9.352528e+001
5.017960e+001	-9.790467e+001
