    nm         	pN
0.000000e+000	5.268558e+002
3.993737e-002	5.232085e+002
9.632776e-002	5.202918e+002
1.527232e-001	5.173753e+002
1.597532e-001	5.122666e+002
1.503303e-001	5.064272e+002
3.383498e-001	5.093558e+002
1.973027e-001	4.976714e+002
-9.556578e-003	4.830644e+002
-1.897454e-002	4.772253e+002
3.741586e-002	4.743086e+002
9.380625e-002	4.713919e+002
-4.723967e-002	4.597075e+002
2.560438e-002	4.575214e+002
1.149064e-001	4.560662e+002
-9.690195e-003	4.451123e+002
7.961187e-002	4.436571e+002
3.005325e-001	4.480468e+002
2.253006e-001	4.392851e+002
6.780102e-002	4.268700e+002
7.483046e-002	4.217613e+002
1.147728e-001	4.181142e+002
1.053505e-001	4.122749e+002
1.366428e-002	4.027824e+002
8.650895e-002	4.005964e+002
1.758060e-001	3.991410e+002
1.828367e-001	3.940323e+002
2.227778e-001	3.903851e+002
2.791695e-001	3.874684e+002
4.178275e-001	3.882050e+002
5.235776e-001	3.874802e+002
4.318926e-001	3.779879e+002
2.743931e-001	3.655728e+002
2.649695e-001	3.597335e+002
2.061912e-001	3.517024e+002
2.132219e-001	3.465937e+002
1.379893e-001	3.378320e+002
4.630372e-002	3.283395e+002
1.026941e-001	3.254228e+002
2.413521e-001	3.261594e+002
1.825738e-001	3.181283e+002
1.896045e-001	3.130197e+002
2.295419e-001	3.093723e+002
1.872166e-001	3.020719e+002
1.942467e-001	2.969632e+002
2.835438e-001	2.955078e+002
2.083118e-001	2.867460e+002
2.482492e-001	2.830987e+002
3.539999e-001	2.823739e+002
3.774887e-001	2.779961e+002
3.351584e-001	2.706954e+002
2.599264e-001	2.619337e+002
2.011482e-001	2.539026e+002
2.904452e-001	2.524472e+002
3.468356e-001	2.495305e+002
4.032266e-001	2.466138e+002
4.760713e-001	2.444278e+002
6.147287e-001	2.451643e+002
6.217638e-001	2.400558e+002
5.794329e-001	2.327552e+002
6.358296e-001	2.298387e+002
5.605920e-001	2.210767e+002
6.498896e-001	2.196213e+002
7.391924e-001	2.181661e+002
7.133151e-001	2.115961e+002
6.874442e-001	2.050264e+002
7.438345e-001	2.021097e+002
7.179579e-001	1.955397e+002
6.262723e-001	1.860473e+002
6.826634e-001	1.831306e+002
6.238844e-001	1.750995e+002
4.334782e-001	1.612231e+002
6.050429e-001	1.634210e+002
7.601539e-001	1.648882e+002
7.507310e-001	1.590489e+002
7.742197e-001	1.546711e+002
8.141564e-001	1.510237e+002
9.199084e-001	1.502990e+002
