    nm         	pN
0.000000e+000	5.373007e+002
1.714953e-001	5.394955e+002
9.629401e-002	5.307351e+002
4.639671e-003	5.212441e+002
-8.700841e-002	5.117534e+002
-1.419375e-002	5.095660e+002
-7.161183e-003	5.044574e+002
-4.947519e-002	4.971575e+002
-7.533618e-002	4.905882e+002
1.392526e-002	4.891312e+002
1.360815e-001	4.891350e+002
1.431078e-001	4.840261e+002
1.501416e-001	4.789176e+002
9.138085e-002	4.708873e+002
1.148602e-001	4.665091e+002
1.383345e-001	4.621306e+002
4.668520e-002	4.526398e+002
8.660631e-002	4.489917e+002
2.581029e-001	4.511866e+002
3.802591e-001	4.511904e+002
3.215040e-001	4.431603e+002
3.778712e-001	4.402426e+002
3.520053e-001	4.336730e+002
3.425910e-001	4.278341e+002
3.167251e-001	4.212646e+002
4.553274e-001	4.219987e+002
3.801249e-001	4.132382e+002
1.075610e-001	3.957135e+002
1.803807e-001	3.935264e+002
4.341061e-001	3.993728e+002
3.589048e-001	3.906124e+002
3.001440e-001	3.825821e+002
3.400702e-001	3.789342e+002
4.128848e-001	3.767469e+002
5.021469e-001	3.752899e+002
4.269450e-001	3.665295e+002
4.833128e-001	3.636118e+002
7.534857e-001	3.701886e+002
9.249816e-001	3.723834e+002
8.826739e-001	3.650838e+002
8.732540e-001	3.592446e+002
7.487118e-001	3.482931e+002
6.899566e-001	3.402630e+002
6.969836e-001	3.351542e+002
7.369103e-001	3.315064e+002
7.439372e-001	3.263975e+002
8.167526e-001	3.242102e+002
9.224614e-001	3.234836e+002
8.143659e-001	3.132625e+002
8.378402e-001	3.088840e+002
9.271017e-001	3.074270e+002
9.834752e-001	3.045096e+002
9.247150e-001	2.964793e+002
9.153002e-001	2.906403e+002
9.881148e-001	2.884530e+002
1.159611e+000	2.906478e+002
9.857283e-001	2.775052e+002
9.434148e-001	2.702053e+002
1.098464e+000	2.716698e+002
1.121944e+000	2.672916e+002
1.128972e+000	2.621828e+002
1.119557e+000	2.563438e+002
1.093690e+000	2.497743e+002
1.100718e+000	2.446655e+002
1.173537e+000	2.424783e+002
1.164119e+000	2.366392e+002
1.072469e+000	2.271484e+002
1.046603e+000	2.205788e+002
1.135869e+000	2.191221e+002
1.192238e+000	2.162044e+002
1.215713e+000	2.118259e+002
1.272081e+000	2.089082e+002
1.312007e+000	2.052604e+002
1.302586e+000	1.994212e+002
1.358955e+000	1.965035e+002
1.497558e+000	1.972376e+002
1.537485e+000	1.935897e+002
1.577406e+000	1.899417e+002
1.584432e+000	1.848328e+002
1.492784e+000	1.753421e+002
1.598492e+000	1.746154e+002
1.819329e+000	1.790014e+002
1.793463e+000	1.724318e+002
1.751155e+000	1.651322e+002
1.939097e+000	1.680574e+002
2.028360e+000	1.666004e+002
1.969599e+000	1.585701e+002
1.943738e+000	1.520008e+002
2.065894e+000	1.520045e+002
2.171603e+000	1.512779e+002
2.244417e+000	1.490906e+002
2.415914e+000	1.512854e+002
2.488729e+000	1.490981e+002
2.545097e+000	1.461804e+002
