    nm         	nN
0.000000e+000	-2.619423e+000
-7.515006e-002	-2.628181e+000
-1.338696e-001	-2.636210e+000
-3.076278e-001	-2.649347e+000
-3.764184e-002	-2.642778e+000
2.487797e-001	-2.635480e+000
1.078875e-001	-2.647158e+000
-6.587572e-002	-2.660295e+000
1.876797e-001	-2.654456e+000
4.741012e-001	-2.647158e+000
6.290435e-001	-2.645698e+000
6.196356e-001	-2.651537e+000
3.472592e-001	-2.669053e+000
4.528949e-001	-2.669783e+000
2.298251e-001	-2.685110e+000
1.053685e-001	-2.696057e+000
4.082305e-001	-2.688029e+000
5.631678e-001	-2.686569e+000
5.044533e-001	-2.694598e+000
5.607824e-001	-2.697517e+000
6.335520e-001	-2.699706e+000
9.364091e-001	-2.691678e+000
1.025609e+000	-2.693138e+000
1.098374e+000	-2.695328e+000
1.088966e+000	-2.701166e+000
8.330251e-001	-2.717953e+000
6.592619e-001	-2.731090e+000
7.155911e-001	-2.734009e+000
8.540978e-001	-2.733280e+000
6.474636e-001	-2.747877e+000
5.230070e-001	-2.758824e+000
7.765624e-001	-2.752985e+000
8.493271e-001	-2.755175e+000
6.262573e-001	-2.770502e+000
4.524940e-001	-2.783639e+000
3.773440e-001	-2.792397e+000
4.829797e-001	-2.793127e+000
7.694012e-001	-2.785829e+000
9.079080e-001	-2.785099e+000
1.145028e+000	-2.779990e+000
1.464320e+000	-2.771232e+000
1.471348e+000	-2.776340e+000
1.379757e+000	-2.785829e+000
1.321043e+000	-2.793857e+000
1.426679e+000	-2.794587e+000
1.598056e+000	-2.792397e+000
1.539342e+000	-2.800425e+000
1.349143e+000	-2.814293e+000
1.306859e+000	-2.821591e+000
1.330322e+000	-2.825970e+000
1.304474e+000	-2.832539e+000
1.492287e+000	-2.829619e+000
1.729402e+000	-2.824511e+000
1.900780e+000	-2.822321e+000
1.891372e+000	-2.828160e+000
1.881959e+000	-2.833999e+000
1.856115e+000	-2.840567e+000
1.797396e+000	-2.848596e+000
1.870166e+000	-2.850785e+000
2.041538e+000	-2.848596e+000
2.081437e+000	-2.852245e+000
2.302116e+000	-2.847866e+000
2.539236e+000	-2.842757e+000
