    nm         	pN
0.000000e+000	5.455722e+002
7.028815e-003	5.404635e+002
-1.174366e-001	5.295154e+002
-1.268508e-001	5.236764e+002
1.166474e-002	5.244067e+002
5.156210e-002	5.207575e+002
4.215289e-002	5.149188e+002
-3.300217e-002	5.061605e+002
-9.172545e-002	4.981319e+002
-1.011347e-001	4.922932e+002
-2.836500e-002	4.901038e+002
1.101505e-001	4.908340e+002
-3.074914e-002	4.791562e+002
-1.223410e-001	4.696679e+002
-3.313579e-002	4.682084e+002
7.250618e-002	4.674788e+002
-1.908940e-002	4.579904e+002
-1.206184e-002	4.528816e+002
-8.721628e-002	4.441233e+002
-8.019371e-002	4.390143e+002
-8.960729e-002	4.331754e+002
-3.326940e-002	4.302563e+002
5.593642e-002	4.287969e+002
2.108887e-001	4.302570e+002
3.494036e-001	4.309872e+002
4.221733e-001	4.287979e+002
4.127597e-001	4.229590e+002
3.211691e-001	4.134708e+002
1.967037e-001	4.025227e+002
1.872901e-001	3.966838e+002
1.778815e-001	3.908451e+002
1.520318e-001	3.842763e+002
4.400382e-002	3.740582e+002
8.389931e-002	3.704090e+002
2.059787e-001	3.704093e+002
3.444942e-001	3.711396e+002
4.337056e-001	3.696803e+002
4.736018e-001	3.660311e+002
5.792443e-001	3.653016e+002
5.862669e-001	3.601926e+002
5.439860e-001	3.528941e+002
5.838822e-001	3.492449e+002
5.580368e-001	3.426763e+002
5.979329e-001	3.390271e+002
6.378290e-001	3.353779e+002
5.298010e-001	3.251598e+002
3.888995e-001	3.134818e+002
3.301812e-001	3.054534e+002
5.180014e-001	3.083732e+002
6.893905e-001	3.105632e+002
6.799819e-001	3.047246e+002
6.705683e-001	2.988856e+002
7.104644e-001	2.952364e+002
7.010558e-001	2.893978e+002
5.601549e-001	2.777198e+002
6.329240e-001	2.755304e+002
7.878763e-001	2.769906e+002
8.770821e-001	2.755311e+002
9.005420e-001	2.711520e+002
9.240064e-001	2.667732e+002
1.046086e+000	2.667735e+002
1.135292e+000	2.653140e+002
1.240934e+000	2.645845e+002
1.116469e+000	2.536364e+002
1.139929e+000	2.492573e+002
1.097647e+000	2.419588e+002
9.896193e-001	2.317407e+002
1.062388e+000	2.295513e+002
1.266645e+000	2.332010e+002
1.273674e+000	2.280922e+002
1.297133e+000	2.237131e+002
1.221978e+000	2.149548e+002
1.196128e+000	2.083860e+002
1.071663e+000	1.974379e+002
1.325236e+000	2.032775e+002
1.414441e+000	2.018181e+002
1.322849e+000	1.923298e+002
1.346309e+000	1.879507e+002
1.386206e+000	1.843016e+002
1.524721e+000	1.850318e+002
1.679674e+000	1.864920e+002
1.637392e+000	1.791935e+002
1.611541e+000	1.726247e+002
1.733620e+000	1.726250e+002
1.674902e+000	1.645966e+002
1.747671e+000	1.624072e+002
1.836878e+000	1.609478e+002
1.876774e+000	1.572986e+002
1.982421e+000	1.565692e+002
2.203114e+000	1.609488e+002
2.390940e+000	1.638688e+002
2.480146e+000	1.624093e+002
2.388554e+000	1.529211e+002
2.329831e+000	1.448924e+002
2.271113e+000	1.368640e+002
2.245268e+000	1.302954e+002
2.334473e+000	1.288360e+002
2.357934e+000	1.244569e+002
2.364961e+000	1.193481e+002
2.355548e+000	1.135092e+002
2.428317e+000	1.113198e+002
2.599706e+000	1.135099e+002
2.656039e+000	1.105906e+002
2.613757e+000	1.032921e+002
2.735836e+000	1.032924e+002
2.594935e+000	9.161448e+001
2.355413e+000	7.555709e+001
2.576113e+000	7.993688e+001
2.763933e+000	8.285663e+001
2.770961e+000	7.774784e+001
2.827294e+000	7.482857e+001
2.801448e+000	6.825997e+001
2.989269e+000	7.117973e+001
3.127784e+000	7.190998e+001
3.216991e+000	7.045051e+001
3.339070e+000	7.045086e+001
3.231041e+000	6.023272e+001
3.172323e+000	5.220431e+001
3.277966e+000	5.147475e+001
3.284989e+000	4.636575e+001
3.472814e+000	4.928572e+001
3.660639e+000	5.220570e+001
3.700536e+000	4.855652e+001
3.559634e+000	3.687857e+001
3.500916e+000	2.885015e+001
3.540812e+000	2.520096e+001
3.597145e+000	2.228168e+001
3.669915e+000	2.009230e+001
3.808430e+000	2.082256e+001
3.946945e+000	2.155281e+001
4.085461e+000	2.228307e+001
3.878814e+000	7.685495e+000
3.688608e+000	-6.181944e+000
3.662758e+000	-1.275076e+001
3.867020e+000	-9.100879e+000
3.890479e+000	-1.347998e+001
3.749578e+000	-2.515793e+001
3.723734e+000	-3.172652e+001
4.125229e+000	-1.931797e+001
4.197998e+000	-2.150734e+001
4.155712e+000	-2.880608e+001
4.064120e+000	-3.829429e+001
4.219072e+000	-3.683413e+001
4.423335e+000	-3.318425e+001
4.298869e+000	-4.413230e+001
4.420949e+000	-4.413194e+001
