    nm         	pN
0.000000e+000	4.832599e+002
3.193013e-001	4.920184e+002
4.413738e-001	4.920185e+002
2.511726e-001	4.781512e+002
1.267134e-001	4.672034e+002
3.145305e-001	4.701231e+002
4.366018e-001	4.701231e+002
5.258045e-001	4.686634e+002
4.013459e-001	4.577157e+002
3.754968e-001	4.511469e+002
4.975699e-001	4.511470e+002
5.210281e-001	4.467678e+002
4.787490e-001	4.394694e+002
6.008209e-001	4.394695e+002
6.900229e-001	4.380098e+002
6.313066e-001	4.299815e+002
7.040719e-001	4.277919e+002
8.918883e-001	4.307115e+002
8.167326e-001	4.219532e+002
6.922741e-001	4.110054e+002
5.678162e-001	4.000577e+002
6.241466e-001	3.971383e+002
7.133474e-001	3.956786e+002
7.861177e-001	3.934892e+002
7.767041e-001	3.876503e+002
7.837330e-001	3.825416e+002
6.921405e-001	3.730533e+002
7.320397e-001	3.694043e+002
7.061912e-001	3.628355e+002
9.268775e-001	3.672148e+002
1.328352e+000	3.796224e+002
1.466861e+000	3.803523e+002
1.194481e+000	3.628357e+002
9.385379e-001	3.460491e+002
9.126944e-001	3.394805e+002
1.018331e+000	3.387507e+002
9.924872e-001	3.321822e+002
1.098124e+000	3.314524e+002
1.138018e+000	3.278031e+002
1.243655e+000	3.270733e+002
1.283549e+000	3.234240e+002
1.323448e+000	3.197749e+002
1.478387e+000	3.212345e+002
1.584024e+000	3.205047e+002
1.607487e+000	3.161257e+002
1.532336e+000	3.073676e+002
1.490052e+000	3.000690e+002
1.677867e+000	3.029885e+002
1.635583e+000	2.956899e+002
1.774091e+000	2.964198e+002
1.863298e+000	2.949604e+002
1.771706e+000	2.854721e+002
1.877343e+000	2.847423e+002
1.917242e+000	2.810933e+002
1.858521e+000	2.730648e+002
1.668321e+000	2.591976e+002
1.675348e+000	2.540888e+002
1.912466e+000	2.591977e+002
1.935929e+000	2.548187e+002
1.893645e+000	2.475201e+002
1.949980e+000	2.446010e+002
2.137790e+000	2.475203e+002
2.111946e+000	2.409517e+002
2.069662e+000	2.336531e+002
2.043818e+000	2.270845e+002
2.248070e+000	2.307340e+002
2.403014e+000	2.321938e+002
2.311422e+000	2.227055e+002
2.186964e+000	2.117578e+002
2.424086e+000	2.168669e+002
2.546159e+000	2.168670e+002
2.553181e+000	2.117579e+002
2.346545e+000	1.971609e+002
2.254958e+000	1.876728e+002
2.294853e+000	1.840236e+002
2.712763e+000	1.971610e+002
2.686920e+000	1.905925e+002
2.693942e+000	1.854835e+002
2.750272e+000	1.825641e+002
2.888780e+000	1.832940e+002
2.879372e+000	1.774553e+002
2.837088e+000	1.701567e+002
