    nm         	pN
0.000000e+000	5.032124e+002
5.445748e-002	5.000547e+002
1.258276e-001	4.976868e+002
9.570757e-002	4.905790e+002
-1.899118e-002	4.795212e+002
3.546630e-002	4.763634e+002
8.992378e-002	4.732057e+002
4.288931e-002	4.653080e+002
6.351970e-002	4.605704e+002
1.687276e-001	4.597829e+002
1.893479e-001	4.550448e+002
1.930639e-001	4.495173e+002
2.982730e-001	4.487298e+002
2.343152e-001	4.400417e+002
1.210602e-003	4.234540e+002
-2.890944e-002	4.163462e+002
1.608671e-001	4.195083e+002
2.153341e-001	4.163510e+002
2.021267e-001	4.100331e+002
2.058343e-001	4.045052e+002
1.249716e-001	3.950276e+002
6.101435e-002	3.863395e+002
8.164414e-002	3.816019e+002
1.699293e-001	3.800240e+002
1.905591e-001	3.752864e+002
2.111889e-001	3.705488e+002
1.641544e-001	3.626511e+002
2.355263e-001	3.602833e+002
2.730700e-001	3.563356e+002
2.936998e-001	3.515980e+002
3.650711e-001	3.492302e+002
5.210199e-001	3.508124e+002
6.938933e-001	3.531850e+002
5.791940e-001	3.421271e+002
3.968310e-001	3.279092e+002
3.497965e-001	3.200115e+002
5.057459e-001	3.215937e+002
5.771172e-001	3.192259e+002
4.285908e-001	3.065882e+002
4.322979e-001	3.010603e+002
4.529283e-001	2.963227e+002
3.551422e-001	2.860547e+002
4.434374e-001	2.844773e+002
5.824730e-001	2.852696e+002
7.045948e-001	2.852719e+002
7.590523e-001	2.821142e+002
6.951045e-001	2.734266e+002
5.804052e-001	2.623687e+002
6.348627e-001	2.592110e+002
7.231478e-001	2.576331e+002
7.437777e-001	2.528955e+002
7.982357e-001	2.497378e+002
8.019511e-001	2.442102e+002
9.071501e-001	2.434222e+002
9.277805e-001	2.386847e+002
9.991512e-001	2.363168e+002
1.138196e+000	2.371095e+002
1.209568e+000	2.347417e+002
1.196361e+000	2.284238e+002
1.081662e+000	2.173660e+002
1.119206e+000	2.134183e+002
1.173663e+000	2.102606e+002
1.295786e+000	2.102630e+002
1.350243e+000	2.071052e+002
1.286294e+000	1.984176e+002
1.239260e+000	1.905199e+002
1.158389e+000	1.810419e+002
1.331261e+000	1.834145e+002
1.385719e+000	1.802567e+002
1.490918e+000	1.794687e+002
1.528461e+000	1.755210e+002
1.312271e+000	1.597233e+002
1.129908e+000	1.455053e+002
1.116700e+000	1.391875e+002
1.323401e+000	1.431399e+002
1.648516e+000	1.526226e+002
1.736810e+000	1.510451e+002
1.791268e+000	1.478873e+002
1.744224e+000	1.399892e+002
1.714103e+000	1.328814e+002
1.853148e+000	1.336741e+002
1.873768e+000	1.289361e+002
1.809821e+000	1.202485e+002
1.796614e+000	1.139306e+002
1.783407e+000	1.076127e+002
1.668708e+000	9.655492e+001
1.757002e+000	9.497745e+001
1.929875e+000	9.735001e+001
2.119652e+000	1.005121e+002
1.954211e+000	8.708446e+001
1.839513e+000	7.602664e+001
1.893971e+000	7.286891e+001
2.066833e+000	7.524101e+001
2.290457e+000	7.998378e+001
2.395656e+000	7.919579e+001
2.382458e+000	7.287836e+001
2.267759e+000	6.182053e+001
2.254552e+000	5.550267e+001
2.173681e+000	4.602469e+001
2.228139e+000	4.286693e+001
2.350260e+000	4.286929e+001
2.658462e+000	5.156208e+001
2.611427e+000	4.366438e+001
2.632048e+000	3.892636e+001
2.483522e+000	2.628869e+001
2.504142e+000	2.155067e+001
2.524772e+000	1.681308e+001
2.528479e+000	1.128513e+001
2.752103e+000	1.602788e+001
2.924965e+000	1.840000e+001
2.776439e+000	5.762343e+000
2.780145e+000	2.343906e-001
2.902268e+000	2.367644e-001
2.973648e+000	-2.130614e+000
3.095771e+000	-2.128253e+000
3.082564e+000	-8.446122e+000
3.120107e+000	-1.239379e+001
3.360635e+000	-6.861552e+000
3.550421e+000	-3.699074e+000
3.841699e+000	4.203342e+000
3.963820e+000	4.205716e+000
3.798382e+000	-9.221858e+000
3.700596e+000	-1.948976e+001
3.974960e+000	-1.237724e+001
4.316989e+000	-2.104611e+000
4.506776e+000	1.057866e+000
4.459732e+000	-6.840272e+000
4.361957e+000	-1.710773e+001
4.399491e+000	-2.105585e+001
4.724606e+000	-1.157314e+001
4.931306e+000	-7.620730e+000
4.833521e+000	-1.788863e+001
4.583493e+000	-3.526670e+001
4.756366e+000	-3.289412e+001
4.996902e+000	-2.736145e+001
5.085188e+000	-2.893937e+001
4.987403e+000	-3.920727e+001
4.771211e+000	-5.500505e+001
4.808755e+000	-5.895272e+001
5.150785e+000	-4.868008e+001
5.086827e+000	-5.736814e+001
5.276612e+000	-5.420567e+001
5.601728e+000	-4.472296e+001
5.487029e+000	-5.578078e+001
5.372331e+000	-6.683860e+001
5.426788e+000	-6.999636e+001
5.515073e+000	-7.157426e+001
5.840188e+000	-6.209155e+001
6.199130e+000	-5.102900e+001
6.304339e+000	-5.181655e+001
6.071225e+000	-6.840468e+001
5.838120e+000	-8.499239e+001
6.146312e+000	-7.630003e+001
6.505255e+000	-6.523748e+001
6.627377e+000	-6.523511e+001
6.749498e+000	-6.523275e+001
6.854707e+000	-6.602031e+001
6.892250e+000	-6.996798e+001
6.743714e+000	-8.260608e+001
7.001165e+000	-7.628349e+001
7.207865e+000	-7.233108e+001
7.346901e+000	-7.153880e+001
7.485946e+000	-7.074608e+001
7.557317e+000	-7.311391e+001
7.527196e+000	-8.022170e+001
7.260255e+000	-9.838966e+001
6.993314e+000	-1.165576e+002
7.064695e+000	-1.189250e+002
7.322126e+000	-1.126033e+002
7.613415e+000	-1.047004e+002
7.718622e+000	-1.054880e+002
7.756165e+000	-1.094357e+002
8.165849e+000	-9.600336e+001
8.457137e+000	-8.810049e+001
8.613086e+000	-8.651828e+001
8.972028e+000	-7.545573e+001
9.161815e+000	-7.229325e+001
9.402353e+000	-6.676057e+001
9.676716e+000	-5.964806e+001
9.748088e+000	-6.201589e+001
9.751794e+000	-6.754385e+001
9.670932e+000	-7.702138e+001
9.877632e+000	-7.306897e+001
9.999755e+000	-7.306662e+001
9.732814e+000	-9.123458e+001
9.719606e+000	-9.755245e+001
9.723323e+000	-1.030800e+002
1.021759e+001	-8.569762e+001
1.055961e+001	-7.542499e+001
1.022501e+001	-9.675308e+001
9.890412e+000	-1.180807e+002
1.002945e+001	-1.172884e+002
1.040530e+001	-1.054360e+002
1.064583e+001	-9.990374e+001
1.078488e+001	-9.911101e+001
1.060250e+001	-1.133294e+002
1.053855e+001	-1.220170e+002
1.086366e+001	-1.125348e+002
1.110420e+001	-1.070021e+002
1.105716e+001	-1.148998e+002
1.106087e+001	-1.204277e+002
1.128449e+001	-1.156850e+002
1.144044e+001	-1.141028e+002
1.119042e+001	-1.314804e+002
1.109263e+001	-1.417487e+002
1.146850e+001	-1.298958e+002
1.184436e+001	-1.180429e+002
1.213564e+001	-1.101405e+002
1.241000e+001	-1.030279e+002
1.263362e+001	-9.828563e+001
1.258658e+001	-1.061833e+002
1.245497e+001	-1.180311e+002
1.247559e+001	-1.227691e+002
1.280070e+001	-1.132868e+002
1.322731e+001	-9.906373e+001
1.350168e+001	-9.195120e+001
1.347156e+001	-9.905899e+001
1.355984e+001	-1.006369e+002
1.393570e+001	-8.878445e+001
1.405782e+001	-8.878207e+001
1.387547e+001	-1.029996e+002
1.371002e+001	-1.164276e+002
1.391671e+001	-1.124756e+002
1.408959e+001	-1.101026e+002
1.407638e+001	-1.164205e+002
1.424925e+001	-1.140484e+002
1.425295e+001	-1.195763e+002
1.422283e+001	-1.266841e+002
1.468328e+001	-1.108807e+002
1.488998e+001	-1.069288e+002
1.479220e+001	-1.171962e+002
1.515114e+001	-1.061337e+002
1.537476e+001	-1.013914e+002
1.551379e+001	-1.005991e+002
1.556825e+001	-1.037568e+002
1.563963e+001	-1.061242e+002
1.569409e+001	-1.092820e+002
1.541022e+001	-1.282403e+002
1.534628e+001	-1.369279e+002
1.585747e+001	-1.187548e+002
1.623332e+001	-1.069028e+002
1.642310e+001	-1.037403e+002
1.668055e+001	-9.741768e+001
1.676885e+001	-9.899515e+001
1.678947e+001	-1.037332e+002
1.675936e+001	-1.108405e+002
1.676306e+001	-1.163685e+002
1.671603e+001	-1.242662e+002
1.690580e+001	-1.211042e+002
1.721400e+001	-1.124118e+002
1.731921e+001	-1.131994e+002
1.701845e+001	-1.329467e+002
1.683608e+001	-1.471646e+002
1.675520e+001	-1.566431e+002
1.667434e+001	-1.661206e+002
1.691488e+001	-1.605879e+002
1.713848e+001	-1.558461e+002
1.739593e+001	-1.495235e+002
1.775489e+001	-1.384605e+002
1.797849e+001	-1.337186e+002
1.777921e+001	-1.487265e+002
1.776601e+001	-1.550443e+002
1.793889e+001	-1.526713e+002
1.826399e+001	-1.431891e+002
1.882593e+001	-1.226462e+002
1.876198e+001	-1.313338e+002
1.885027e+001	-1.329113e+002
1.912464e+001	-1.257987e+002
1.924676e+001	-1.257964e+002
1.906440e+001	-1.400143e+002
1.908502e+001	-1.447523e+002
1.942704e+001	-1.344801e+002
1.924467e+001	-1.486981e+002
1.923147e+001	-1.550160e+002
1.950583e+001	-1.479034e+002
1.937423e+001	-1.597507e+002
1.920878e+001	-1.731788e+002
1.929707e+001	-1.747562e+002
1.946994e+001	-1.723841e+002
1.982889e+001	-1.613211e+002
2.013708e+001	-1.526288e+002
2.009005e+001	-1.605265e+002
2.005993e+001	-1.676343e+002
2.013129e+001	-1.700025e+002
2.043950e+001	-1.613093e+002
2.057853e+001	-1.605170e+002
2.066681e+001	-1.620954e+002
2.053521e+001	-1.739427e+002
2.065733e+001	-1.739403e+002
2.086402e+001	-1.699883e+002
2.101999e+001	-1.684052e+002
2.129435e+001	-1.612927e+002
2.148413e+001	-1.581307e+002
2.138635e+001	-1.683982e+002
2.140697e+001	-1.731362e+002
2.179975e+001	-1.604934e+002
2.219251e+001	-1.478514e+002
2.224698e+001	-1.510087e+002
2.235219e+001	-1.517963e+002
2.245740e+001	-1.525838e+002
2.263026e+001	-1.502117e+002
2.303995e+001	-1.367790e+002
2.319590e+001	-1.351968e+002
2.355485e+001	-1.241338e+002
2.393070e+001	-1.122818e+002
2.432348e+001	-9.963892e+001
2.422570e+001	-1.099064e+002
2.417867e+001	-1.178041e+002
2.425003e+001	-1.201724e+002
2.449057e+001	-1.146397e+002
2.474802e+001	-1.083171e+002
2.481940e+001	-1.106845e+002
2.489076e+001	-1.130528e+002
2.492832e+001	-1.170000e+002
2.491511e+001	-1.233179e+002
2.525713e+001	-1.130457e+002
2.566682e+001	-9.961292e+001
2.553522e+001	-1.114602e+002
2.538668e+001	-1.240983e+002
2.559337e+001	-1.201464e+002
2.580008e+001	-1.161935e+002
2.588838e+001	-1.177710e+002
2.609507e+001	-1.138190e+002
2.630178e+001	-1.098662e+002
2.628857e+001	-1.161840e+002
2.634302e+001	-1.193422e+002
2.607609e+001	-1.375098e+002
2.597829e+001	-1.477781e+002
2.623574e+001	-1.414555e+002
2.649319e+001	-1.351329e+002
2.664914e+001	-1.335507e+002
2.695735e+001	-1.248575e+002
2.709639e+001	-1.240652e+002
2.726925e+001	-1.216931e+002
2.781427e+001	-1.019401e+002
2.775032e+001	-1.106277e+002
2.731422e+001	-1.366962e+002
2.703035e+001	-1.556545e+002
2.727089e+001	-1.501219e+002
2.778208e+001	-1.319487e+002
2.819178e+001	-1.185160e+002
2.824623e+001	-1.216742e+002
2.863901e+001	-1.090313e+002
2.911635e+001	-9.243892e+001
2.903549e+001	-1.019165e+002
2.915761e+001	-1.019141e+002
2.941506e+001	-9.559194e+001
2.940186e+001	-1.019094e+002
2.947323e+001	-1.042772e+002
2.991675e+001	-8.926462e+001
3.010653e+001	-8.610214e+001
2.997492e+001	-9.794988e+001
2.991096e+001	-1.066379e+002
3.005001e+001	-1.058452e+002
3.035820e+001	-9.715286e+001
3.037883e+001	-1.018905e+002
3.034871e+001	-1.089982e+002
3.008176e+001	-1.271667e+002
2.995016e+001	-1.390140e+002
3.008919e+001	-1.382217e+002
3.039738e+001	-1.295293e+002
3.063792e+001	-1.239966e+002
3.067546e+001	-1.279448e+002
3.072992e+001	-1.311021e+002
3.115653e+001	-1.168794e+002
3.144781e+001	-1.089770e+002
3.146843e+001	-1.137150e+002
3.116765e+001	-1.334632e+002
3.098529e+001	-1.476812e+002
3.115817e+001	-1.453082e+002
3.151710e+001	-1.342461e+002
3.175764e+001	-1.287134e+002
3.191359e+001	-1.271312e+002
3.190038e+001	-1.334491e+002
3.181952e+001	-1.429266e+002
3.189090e+001	-1.452940e+002
3.223292e+001	-1.350218e+002
3.250728e+001	-1.279093e+002
3.257867e+001	-1.302767e+002
3.244704e+001	-1.421249e+002
3.231544e+001	-1.539722e+002
3.267437e+001	-1.429100e+002
3.325322e+001	-1.215772e+002
3.330769e+001	-1.247345e+002
3.337905e+001	-1.271028e+002
3.368726e+001	-1.184096e+002
3.370788e+001	-1.231476e+002
3.366085e+001	-1.310453e+002
3.349540e+001	-1.444733e+002
3.360061e+001	-1.452609e+002
3.365506e+001	-1.484191e+002
3.391251e+001	-1.420965e+002
3.406846e+001	-1.405143e+002
3.419058e+001	-1.405119e+002
3.426196e+001	-1.428793e+002
3.428258e+001	-1.476173e+002
3.410021e+001	-1.618353e+002
3.412086e+001	-1.665724e+002
3.425989e+001	-1.657801e+002
3.443276e+001	-1.634080e+002
3.469021e+001	-1.570854e+002
3.511681e+001	-1.428628e+002
3.520510e+001	-1.444402e+002
3.490433e+001	-1.641885e+002
3.500953e+001	-1.649760e+002
3.519931e+001	-1.618140e+002
3.547368e+001	-1.547015e+002
3.578189e+001	-1.460082e+002
3.570101e+001	-1.554867e+002
3.572164e+001	-1.602238e+002
3.599601e+001	-1.531113e+002
3.618579e+001	-1.499493e+002
3.632482e+001	-1.491570e+002
3.634546e+001	-1.538941e+002
3.639991e+001	-1.570523e+002
3.657277e+001	-1.546802e+002
3.655959e+001	-1.609972e+002
3.652946e+001	-1.681050e+002
3.683765e+001	-1.594126e+002
3.682445e+001	-1.657305e+002
3.657443e+001	-1.831081e+002
3.688262e+001	-1.744157e+002
3.703857e+001	-1.728336e+002
3.704228e+001	-1.783615e+002
3.701216e+001	-1.854693e+002
3.703280e+001	-1.902064e+002
3.715492e+001	-1.902041e+002
3.732778e+001	-1.878319e+002
3.748373e+001	-1.862498e+002
3.747053e+001	-1.925676e+002
3.771106e+001	-1.870349e+002
3.793469e+001	-1.822922e+002
3.797222e+001	-1.862403e+002
3.833117e+001	-1.751773e+002
3.857169e+001	-1.696455e+002
3.849083e+001	-1.791230e+002
3.852838e+001	-1.830703e+002
3.875198e+001	-1.783284e+002
3.885719e+001	-1.791159e+002
3.886090e+001	-1.846439e+002
3.872930e+001	-1.964912e+002
3.863150e+001	-2.067595e+002
3.883821e+001	-2.028067e+002
3.912949e+001	-1.949043e+002
3.957301e+001	-1.798917e+002
3.967822e+001	-1.806792e+002
3.958042e+001	-1.909476e+002
3.983788e+001	-1.846250e+002
3.985852e+001	-1.893621e+002
3.986222e+001	-1.948901e+002
3.973060e+001	-2.067383e+002
3.985272e+001	-2.067359e+002
4.002560e+001	-2.043629e+002
4.016464e+001	-2.035706e+002
4.045592e+001	-1.956682e+002
4.059495e+001	-1.948759e+002
4.080164e+001	-1.909239e+002
4.117751e+001	-1.790710e+002
4.131655e+001	-1.782787e+002
4.111727e+001	-1.932866e+002
4.105332e+001	-2.019742e+002
4.119235e+001	-2.011819e+002
4.131448e+001	-2.011796e+002
4.123362e+001	-2.106571e+002
4.138957e+001	-2.090749e+002
4.142710e+001	-2.130230e+002
4.143082e+001	-2.185501e+002
4.160369e+001	-2.161780e+002
4.170890e+001	-2.169655e+002
4.196635e+001	-2.106429e+002
4.220686e+001	-2.051111e+002
4.246431e+001	-1.987885e+002
4.248496e+001	-2.035257e+002
4.264090e+001	-2.019435e+002
4.271229e+001	-2.043109e+002
4.264832e+001	-2.129994e+002
4.253363e+001	-2.240568e+002
4.277416e+001	-2.185241e+002
4.293011e+001	-2.169419e+002
4.315372e+001	-2.122000e+002
4.330969e+001	-2.106169e+002
4.346564e+001	-2.090347e+002
4.341860e+001	-2.169324e+002
4.350690e+001	-2.185099e+002
4.384892e+001	-2.082377e+002
4.424169e+001	-1.955949e+002
4.458371e+001	-1.853227e+002
4.460435e+001	-1.900598e+002
4.428666e+001	-2.105980e+002
4.396897e+001	-2.311362e+002
4.397268e+001	-2.366641e+002
4.426396e+001	-2.287617e+002
4.423383e+001	-2.358695e+002
4.437287e+001	-2.350772e+002
4.461341e+001	-2.295445e+002
4.495543e+001	-2.192723e+002
4.514522e+001	-2.161094e+002
4.547033e+001	-2.066271e+002
4.547404e+001	-2.121551e+002
4.524093e+001	-2.287428e+002
4.527848e+001	-2.326900e+002
4.511303e+001	-2.461180e+002
4.523516e+001	-2.461157e+002
4.530652e+001	-2.484839e+002
4.561473e+001	-2.397907e+002
4.610899e+001	-2.224084e+002
4.646794e+001	-2.113454e+002
4.652239e+001	-2.145035e+002
4.667834e+001	-2.129214e+002
4.703729e+001	-2.018584e+002
4.707482e+001	-2.058065e+002
4.699396e+001	-2.152840e+002
4.704843e+001	-2.184413e+002
4.735662e+001	-2.097490e+002
4.736033e+001	-2.152769e+002
4.741480e+001	-2.184342e+002
4.750307e+001	-2.200126e+002
4.757445e+001	-2.223800e+002
4.756125e+001	-2.286978e+002
4.761571e+001	-2.318551e+002
4.745026e+001	-2.452832e+002
4.764004e+001	-2.421211e+002
4.804973e+001	-2.286884e+002
4.779972e+001	-2.460660e+002
4.738052e+001	-2.713446e+002
4.743499e+001	-2.745019e+002
4.799692e+001	-2.539590e+002
4.832203e+001	-2.444767e+002
4.852872e+001	-2.405247e+002
4.895533e+001	-2.263021e+002
4.929737e+001	-2.160290e+002
4.953790e+001	-2.104963e+002
4.947394e+001	-2.191848e+002
4.924083e+001	-2.357725e+002
4.909229e+001	-2.484107e+002
4.899452e+001	-2.586781e+002
4.925197e+001	-2.523555e+002
4.932333e+001	-2.547238e+002
