    nm         	pN
0.000000e+000	6.446622e+002
1.558668e-001	6.462406e+002
3.455435e-001	6.493979e+002
3.830765e-001	6.454497e+002
2.684288e-001	6.343943e+002
2.383230e-001	6.272872e+002
2.082196e-001	6.201802e+002
1.443052e-001	6.114942e+002
6.348642e-002	6.020187e+002
1.686200e-001	6.012276e+002
2.061530e-001	5.972794e+002
1.591441e-001	5.893829e+002
1.290395e-001	5.822759e+002
3.018095e-001	5.846437e+002
5.760292e-001	5.917494e+002
4.783061e-001	5.814844e+002
3.805640e-001	5.712185e+002
5.026198e-001	5.712178e+002
5.570582e-001	5.680592e+002
6.791152e-001	5.680585e+002
1.054782e+000	5.799021e+002
1.058486e+000	5.743740e+002
8.424104e-001	5.585816e+002
9.982772e-001	5.601600e+002
1.120335e+000	5.601594e+002
1.208582e+000	5.585797e+002
1.043221e+000	5.451558e+002
1.080735e+000	5.412067e+002
1.168983e+000	5.396271e+002
1.189591e+000	5.348885e+002
1.142584e+000	5.269920e+002
1.129383e+000	5.206744e+002
1.420506e+000	5.285696e+002
1.627107e+000	5.325174e+002
1.597002e+000	5.254103e+002
1.296383e+000	5.056695e+002
1.333917e+000	5.017214e+002
1.439050e+000	5.009304e+002
1.493488e+000	4.977717e+002
1.733897e+000	5.032984e+002
2.143373e+000	5.167210e+002
2.282335e+000	5.175098e+002
2.116973e+000	5.040859e+002
1.833260e+000	4.851347e+002
1.836984e+000	4.796075e+002
2.060469e+000	4.843438e+002
2.131812e+000	4.819746e+002
1.966451e+000	4.685508e+002
2.139221e+000	4.709185e+002
2.396536e+000	4.772348e+002
2.467879e+000	4.748656e+002
2.251803e+000	4.590732e+002
2.221698e+000	4.519662e+002
2.276118e+000	4.488067e+002
2.415079e+000	4.495955e+002
2.587869e+000	4.519642e+002
2.709928e+000	4.519636e+002
2.815080e+000	4.511734e+002
3.004755e+000	4.543307e+002
3.042270e+000	4.503817e+002
2.995260e+000	4.424851e+002
2.914442e+000	4.330096e+002
2.901242e+000	4.266921e+002
3.074013e+000	4.290599e+002
3.179165e+000	4.282697e+002
3.267413e+000	4.266901e+002
3.271118e+000	4.211620e+002
3.443909e+000	4.235308e+002
3.667394e+000	4.282671e+002
3.755642e+000	4.266875e+002
3.928414e+000	4.290553e+002
4.219557e+000	4.369514e+002
4.307784e+000	4.353709e+002
4.226967e+000	4.258954e+002
4.230671e+000	4.203673e+002
4.251299e+000	4.156296e+002
4.339529e+000	4.140491e+002
4.410871e+000	4.116800e+002
4.380766e+000	4.045729e+002
4.384471e+000	3.990449e+002
4.388176e+000	3.935168e+002
4.493328e+000	3.927267e+002
4.513957e+000	3.879890e+002
4.534567e+000	3.832505e+002
4.369205e+000	3.698265e+002
