    nm         	pN
0.000000e+000	4.561183e+002
3.433257e-002	4.520547e+002
3.940553e-002	4.466360e+002
5.911909e-002	4.418954e+002
5.655457e-003	4.337656e+002
-3.910972e-003	4.276689e+002
5.970038e-002	4.249614e+002
1.525707e-001	4.236090e+002
1.430055e-001	4.175123e+002
1.041801e-001	4.100605e+002
1.092542e-001	4.046419e+002
1.289666e-001	3.999012e+002
1.925588e-001	3.971928e+002
1.830121e-001	3.910970e+002
1.588267e-001	3.843232e+002
2.077801e-001	3.809368e+002
1.982334e-001	3.748410e+002
2.618250e-001	3.721326e+002
2.522783e-001	3.660368e+002
2.573525e-001	3.606181e+002
2.624255e-001	3.551995e+002
2.967592e-001	3.511360e+002
2.725732e-001	3.443621e+002
2.922670e-001	3.396206e+002
2.241825e-001	3.308137e+002
3.609513e-001	3.314944e+002
4.099233e-001	3.281088e+002
3.710984e-001	3.206571e+002
3.322736e-001	3.132053e+002
2.788099e-001	3.050755e+002
3.131617e-001	3.010128e+002
3.035965e-001	2.949162e+002
3.233088e-001	2.901755e+002
3.283824e-001	2.847568e+002
4.505117e-001	2.847595e+002
4.555859e-001	2.793409e+002
4.460201e-001	2.732442e+002
5.096308e-001	2.705366e+002
5.293246e-001	2.657951e+002
5.636572e-001	2.617316e+002
4.809537e-001	2.522476e+002
5.006469e-001	2.475060e+002
5.935173e-001	2.461536e+002
6.132308e-001	2.414129e+002
6.622022e-001	2.380274e+002
6.087383e-001	2.298976e+002
5.552935e-001	2.217687e+002
6.042661e-001	2.183832e+002
5.947002e-001	2.122865e+002
5.997732e-001	2.068678e+002
6.048473e-001	2.014491e+002
5.952815e-001	1.953525e+002
6.588929e-001	1.926450e+002
7.224851e-001	1.899365e+002
7.714565e-001	1.865510e+002
8.057896e-001	1.824874e+002
7.962430e-001	1.763917e+002
7.427793e-001	1.682619e+002
7.771311e-001	1.641992e+002
7.383062e-001	1.567474e+002
7.580000e-001	1.520059e+002
7.630735e-001	1.465872e+002
7.388875e-001	1.398134e+002
7.732207e-001	1.357499e+002
8.221926e-001	1.323643e+002
9.150630e-001	1.310119e+002
8.469786e-001	1.222050e+002
7.349970e-001	1.113650e+002
7.839683e-001	1.079794e+002
8.183015e-001	1.039159e+002
9.257921e-001	1.032406e+002
9.308656e-001	9.782194e+001
9.505785e-001	9.308128e+001
9.410127e-001	8.698461e+001
9.168267e-001	8.021082e+001
9.804381e-001	7.750329e+001
1.029391e+000	7.411687e+001
9.466867e-001	6.463283e+001
9.810199e-001	6.056929e+001
1.161668e+000	6.328223e+001
1.210640e+000	5.989670e+001
1.230352e+000	5.515603e+001
1.220787e+000	4.905937e+001
1.284398e+000	4.635183e+001
1.274833e+000	4.025516e+001
1.309184e+000	3.619250e+001
1.284980e+000	2.941783e+001
1.319331e+000	2.535517e+001
1.353665e+000	2.129163e+001
1.402637e+000	1.790609e+001
1.436969e+000	1.384254e+001
1.427403e+000	7.745871e+000
1.388579e+000	2.940860e-001
1.349773e+000	-7.156799e+000
1.354847e+000	-1.257547e+001
1.359921e+000	-1.799413e+001
1.408874e+000	-2.138056e+001
1.457845e+000	-2.476610e+001
1.462919e+000	-3.018477e+001
1.453372e+000	-3.628054e+001
1.473066e+000	-4.102210e+001
1.551297e+000	-4.305251e+001
1.702706e+000	-4.169380e+001
1.722399e+000	-4.643535e+001
1.742111e+000	-5.117601e+001
1.688648e+000	-5.930580e+001
1.664463e+000	-6.607958e+001
1.698795e+000	-7.014313e+001
1.733147e+000	-7.420579e+001
1.782118e+000	-7.759132e+001
1.816452e+000	-8.165488e+001
1.806886e+000	-8.775154e+001
1.855858e+000	-9.113708e+001
1.890190e+000	-9.520063e+001
1.939163e+000	-9.858617e+001
1.973496e+000	-1.026497e+002
1.963949e+000	-1.087455e+002
2.071440e+000	-1.094208e+002
2.076514e+000	-1.148395e+002
2.096227e+000	-1.195801e+002
2.086661e+000	-1.256768e+002
2.091734e+000	-1.310954e+002
2.082188e+000	-1.371912e+002
2.043362e+000	-1.446430e+002
2.048436e+000	-1.500617e+002
2.068129e+000	-1.548032e+002
2.146381e+000	-1.568328e+002
2.209972e+000	-1.595412e+002
2.229685e+000	-1.642819e+002
2.220119e+000	-1.703785e+002
2.195933e+000	-1.771523e+002
2.244906e+000	-1.805378e+002
2.220701e+000	-1.873125e+002
2.255053e+000	-1.913752e+002
2.304025e+000	-1.947607e+002
2.279819e+000	-2.015354e+002
2.284894e+000	-2.069541e+002
2.319245e+000	-2.110167e+002
2.309679e+000	-2.171134e+002
2.241597e+000	-2.259203e+002
2.290568e+000	-2.293058e+002
2.310262e+000	-2.340474e+002
2.256817e+000	-2.421763e+002
2.261891e+000	-2.475949e+002
2.281585e+000	-2.523365e+002
2.286658e+000	-2.577552e+002
2.306371e+000	-2.624958e+002
2.399240e+000	-2.638482e+002
2.404314e+000	-2.692669e+002
2.424008e+000	-2.740084e+002
2.458360e+000	-2.780711e+002
2.521953e+000	-2.807795e+002
2.497767e+000	-2.875533e+002
2.546739e+000	-2.909388e+002
2.551812e+000	-2.963575e+002
2.615403e+000	-2.990659e+002
2.649756e+000	-3.031286e+002
2.684089e+000	-3.071921e+002
2.674523e+000	-3.132888e+002
2.635698e+000	-3.207406e+002
2.640772e+000	-3.261592e+002
2.733643e+000	-3.275117e+002
2.724096e+000	-3.336074e+002
2.699891e+000	-3.403821e+002
2.719604e+000	-3.451228e+002
2.768576e+000	-3.485083e+002
2.744390e+000	-3.552821e+002
2.764084e+000	-3.600236e+002
2.769158e+000	-3.654423e+002
2.788871e+000	-3.701830e+002
2.852462e+000	-3.728914e+002
2.828276e+000	-3.796652e+002
2.862611e+000	-3.837287e+002
2.911581e+000	-3.871143e+002
2.916655e+000	-3.925329e+002
2.877830e+000	-3.999847e+002
2.882905e+000	-4.054034e+002
2.873358e+000	-4.114992e+002
2.922329e+000	-4.148847e+002
2.956662e+000	-4.189483e+002
3.020254e+000	-4.216567e+002
3.025328e+000	-4.270753e+002
3.059680e+000	-4.311380e+002
3.108634e+000	-4.345244e+002
3.142985e+000	-4.385871e+002
3.148058e+000	-4.440057e+002
3.123854e+000	-4.507804e+002
3.128927e+000	-4.561991e+002
3.148641e+000	-4.609397e+002
3.124455e+000	-4.677135e+002
3.158788e+000	-4.717771e+002
3.163861e+000	-4.771957e+002
3.242091e+000	-4.792262e+002
3.334963e+000	-4.805786e+002
3.325397e+000	-4.866753e+002
3.315850e+000	-4.927710e+002
3.218486e+000	-5.029340e+002
3.238202e+000	-5.076746e+002
3.316432e+000	-5.097050e+002
3.321505e+000	-5.151237e+002
3.355838e+000	-5.191872e+002
3.390191e+000	-5.232499e+002
3.409884e+000	-5.279914e+002
3.444237e+000	-5.320541e+002
3.463928e+000	-5.367957e+002
3.439744e+000	-5.435694e+002
3.386280e+000	-5.516992e+002
3.449892e+000	-5.544067e+002
3.411066e+000	-5.618586e+002
3.430779e+000	-5.665992e+002
3.552908e+000	-5.665965e+002
3.572602e+000	-5.713380e+002
3.592315e+000	-5.760787e+002
3.670547e+000	-5.781091e+002
3.675620e+000	-5.835278e+002
3.651434e+000	-5.903016e+002
3.597969e+000	-5.984314e+002
3.661581e+000	-6.011389e+002
3.798331e+000	-6.004591e+002
3.788784e+000	-6.065549e+002
3.706062e+000	-6.160398e+002
3.740392e+000	-6.201034e+002
3.745468e+000	-6.255220e+002
3.779821e+000	-6.295846e+002
3.770253e+000	-6.356813e+002
3.702170e+000	-6.444882e+002
3.721864e+000	-6.492297e+002
3.800113e+000	-6.512593e+002
3.805189e+000	-6.566779e+002
3.751724e+000	-6.648077e+002
3.771437e+000	-6.695484e+002
3.776510e+000	-6.749671e+002
3.796204e+000	-6.797086e+002
3.815917e+000	-6.844493e+002
3.791731e+000	-6.912231e+002
3.826064e+000	-6.952866e+002
3.992092e+000	-6.932508e+002
4.041064e+000	-6.966363e+002
4.119294e+000	-6.986667e+002
4.299942e+000	-6.959539e+002
4.509869e+000	-6.918848e+002
4.558842e+000	-6.952704e+002
4.549276e+000	-7.013671e+002
4.583626e+000	-7.054298e+002
4.661858e+000	-7.074601e+002
4.696191e+000	-7.115237e+002
4.789062e+000	-7.128761e+002
4.823393e+000	-7.169397e+002
4.799210e+000	-7.237134e+002
4.775024e+000	-7.304872e+002
4.809355e+000	-7.345508e+002
4.770532e+000	-7.420025e+002
4.687809e+000	-7.514874e+002
4.751419e+000	-7.541950e+002
4.756493e+000	-7.596137e+002
4.820085e+000	-7.623221e+002
4.971474e+000	-7.609642e+002
5.078982e+000	-7.616387e+002
5.098678e+000	-7.663802e+002
5.015973e+000	-7.758642e+002
4.947891e+000	-7.846711e+002
4.909065e+000	-7.921229e+002
4.958035e+000	-7.955085e+002
5.094784e+000	-7.948287e+002
5.173016e+000	-7.968591e+002
5.295147e+000	-7.968564e+002
5.373377e+000	-7.988868e+002
5.612564e+000	-7.934627e+002
5.646914e+000	-7.975254e+002
5.564194e+000	-8.070102e+002
5.613164e+000	-8.103958e+002
5.662134e+000	-8.137814e+002
6.047638e+000	-8.015808e+002
6.608730e+000	-7.812478e+002
7.125929e+000	-7.629478e+002
8.184504e+000	-7.195742e+002
9.418656e+000	-6.680690e+002
1.104788e+001	-5.982665e+002
1.317460e+001	-5.054226e+002
1.439413e+001	-4.545944e+002
1.477963e+001	-4.423939e+002
1.494566e+001	-4.403581e+002
1.505315e+001	-4.410334e+002
1.518992e+001	-4.403527e+002
1.516573e+001	-4.471264e+002
1.527322e+001	-4.478018e+002
1.543925e+001	-4.457659e+002
1.576623e+001	-4.362756e+002
1.713208e+001	-3.786710e+002
1.842477e+001	-3.244546e+002
1.957112e+001	-2.770156e+002
2.058580e+001	-2.356751e+002
2.126395e+001	-2.099207e+002
2.182505e+001	-1.895877e+002
2.226909e+001	-1.746760e+002
2.240584e+001	-1.739962e+002
2.224995e+001	-1.868693e+002
2.244526e+001	-1.834775e+002
2.316729e+001	-1.556908e+002
2.372838e+001	-1.353578e+002
2.418704e+001	-1.197690e+002
2.442623e+001	-1.143449e+002
2.435815e+001	-1.231518e+002
2.415837e+001	-1.380581e+002
2.417808e+001	-1.427988e+002
2.435875e+001	-1.400849e+002
2.459791e+001	-1.346618e+002
2.499805e+001	-1.217832e+002
2.533967e+001	-1.116149e+002
2.522769e+001	-1.224549e+002
2.508643e+001	-1.346509e+002
2.504762e+001	-1.421018e+002
2.537459e+001	-1.326124e+002
2.539430e+001	-1.373531e+002
2.531158e+001	-1.468380e+002
2.541909e+001	-1.475124e+002
2.589239e+001	-1.312456e+002
2.605839e+001	-1.292107e+002
2.593179e+001	-1.407278e+002
2.609782e+001	-1.386920e+002
2.632236e+001	-1.339459e+002
2.644449e+001	-1.339432e+002
2.675684e+001	-1.251309e+002
2.674729e+001	-1.312267e+002
2.660603e+001	-1.434227e+002
2.658185e+001	-1.501965e+002
2.680641e+001	-1.454496e+002
2.707485e+001	-1.386704e+002
2.718235e+001	-1.393457e+002
2.711426e+001	-1.481526e+002
2.725103e+001	-1.474719e+002
2.751948e+001	-1.406927e+002
2.777328e+001	-1.345915e+002
2.808564e+001	-1.257783e+002
2.848576e+001	-1.129006e+002
2.835916e+001	-1.244178e+002
2.823254e+001	-1.359358e+002
2.844247e+001	-1.318669e+002
2.875481e+001	-1.230545e+002
2.905253e+001	-1.149193e+002
2.914538e+001	-1.162727e+002
2.922362e+001	-1.183031e+002
2.947744e+001	-1.122010e+002
2.958493e+001	-1.128763e+002
