    nm         	pN
0.000000e+000	5.806035e+002
7.309253e-002	5.783154e+002
-1.222828e-003	5.691409e+002
2.273176e-002	5.645572e+002
3.030980e-002	5.592085e+002
5.130011e-003	5.523295e+002
1.273581e-001	5.523368e+002
1.185572e-001	5.462229e+002
1.097575e-001	5.401091e+002
5.181992e-002	5.316997e+002
5.939797e-002	5.263510e+002
8.335374e-002	5.217674e+002
1.564463e-001	5.194792e+002
1.312653e-001	5.126001e+002
7.814365e-003	5.011302e+002
-5.012207e-002	4.927209e+002
-5.892294e-002	4.866070e+002
-8.410393e-002	4.797279e+002
-1.092825e-001	4.728489e+002
-8.532675e-002	4.682653e+002
-1.223423e-002	4.659771e+002
-5.379353e-002	4.583329e+002
-9.535224e-002	4.506887e+002
-1.205314e-001	4.438097e+002
-8.019675e-002	4.399912e+002
-8.899702e-002	4.338774e+002
-9.779789e-002	4.277635e+002
-1.393572e-001	4.201192e+002
-2.464304e-001	4.094144e+002
-2.224740e-001	4.048308e+002
-2.312743e-001	3.987169e+002
-1.909396e-001	3.948985e+002
-1.506049e-001	3.910801e+002
-7.751298e-002	3.887919e+002
-1.190711e-001	3.811477e+002
-2.097660e-001	3.712080e+002
-2.349452e-001	3.643290e+002
-2.928828e-001	3.559196e+002
-2.689264e-001	3.513360e+002
-8.118266e-002	3.544040e+002
-8.998471e-002	3.482901e+002
-1.315428e-001	3.406459e+002
-1.403431e-001	3.345320e+002
-1.327663e-001	3.291833e+002
-1.415671e-001	3.230694e+002
-1.995048e-001	3.146600e+002
-1.919267e-001	3.093113e+002
-1.515920e-001	3.054928e+002
-1.440140e-001	3.001441e+002
-2.183299e-001	2.909696e+002
-2.762664e-001	2.825603e+002
-3.505829e-001	2.733857e+002
-4.085199e-001	2.649763e+002
-3.681852e-001	2.611579e+002
-3.114716e-001	2.581046e+002
-2.547574e-001	2.550514e+002
-2.471800e-001	2.497026e+002
-1.740880e-001	2.474145e+002
-1.501311e-001	2.428309e+002
-1.916892e-001	2.351867e+002
-2.332485e-001	2.275425e+002
-2.584271e-001	2.206635e+002
-3.327436e-001	2.114889e+002
-4.234379e-001	2.015493e+002
-4.649966e-001	1.939051e+002
-4.737975e-001	1.877912e+002
-3.843272e-001	1.862682e+002
-2.948558e-001	1.847452e+002
-3.036567e-001	1.786313e+002
-3.124581e-001	1.725174e+002
-2.557439e-001	1.694642e+002
-2.154092e-001	1.656457e+002
-3.224824e-001	1.549409e+002
-3.149044e-001	1.495922e+002
-2.745697e-001	1.457737e+002
-2.833706e-001	1.396598e+002
-2.430359e-001	1.358414e+002
-1.863223e-001	1.327881e+002
-1.296081e-001	1.297349e+002
-1.547885e-001	1.228558e+002
-1.963472e-001	1.152116e+002
-2.051480e-001	1.090977e+002
-1.975700e-001	1.037489e+002
-2.227498e-001	9.686988e+001
-2.806874e-001	8.846052e+001
-1.257015e-001	8.999815e+001
-1.985231e-002	8.924035e+001
-7.778875e-002	8.083103e+001
-1.029685e-001	7.395197e+001
-1.445273e-001	6.630775e+001
-2.229797e-002	6.631509e+001
9.993013e-002	6.632244e+001
-2.352198e-002	5.485247e+001
-8.145842e-002	4.644311e+001
1.390408e-001	5.104134e+001
2.448912e-001	5.028354e+001
1.214391e-001	3.881357e+001
6.350143e-002	3.040420e+001
2.512452e-001	3.347220e+001
5.208812e-001	4.036588e+001
6.103526e-001	3.884293e+001
6.506885e-001	3.502452e+001
6.910220e-001	3.120606e+001
8.787658e-001	3.427405e+001
9.354794e-001	3.122074e+001
7.628917e-001	1.745532e+001
6.885764e-001	8.280801e+000
8.108044e-001	8.288146e+000
8.347602e-001	3.704531e+000
9.078527e-001	1.416415e+000
1.111975e+000	5.249559e+000
