    nm         	pN
0.000000e+000	5.026946e+002
-4.146365e-002	4.950548e+002
1.131765e-001	4.965763e+002
8.805018e-002	4.896997e+002
7.926951e-002	4.835868e+002
1.195127e-001	4.797641e+002
1.924448e-001	4.774685e+002
3.634247e-001	4.797533e+002
4.036714e-001	4.759307e+002
3.295236e-001	4.667641e+002
3.043979e-001	4.598875e+002
2.465892e-001	4.514842e+002
2.214641e-001	4.446077e+002
4.905005e-001	4.514734e+002
6.288004e-001	4.522315e+002
4.565953e-001	4.384840e+002
3.824457e-001	4.293172e+002
2.756132e-001	4.186236e+002
2.014648e-001	4.094569e+002
2.417068e-001	4.056342e+002
3.309792e-001	4.041019e+002
3.385376e-001	3.987523e+002
4.441539e-001	3.979836e+002
5.824490e-001	3.987415e+002
5.409841e-001	3.911017e+002
5.812273e-001	3.872789e+002
5.887906e-001	3.819295e+002
5.963502e-001	3.765799e+002
4.895170e-001	3.658863e+002
3.990241e-001	3.559561e+002
3.738990e-001	3.490796e+002
4.468311e-001	3.467840e+002
4.870743e-001	3.429612e+002
4.946375e-001	3.376118e+002
4.695124e-001	3.307353e+002
4.934159e-001	3.261493e+002
5.826871e-001	3.246170e+002
5.085387e-001	3.154503e+002
4.343849e-001	3.062833e+002
3.929207e-001	2.986435e+002
4.985364e-001	2.978748e+002
6.041473e-001	2.971058e+002
5.299989e-001	2.879391e+002
6.192701e-001	2.864068e+002
7.902494e-001	2.886916e+002
8.468370e-001	2.856325e+002
5.275556e-001	2.650140e+002
4.043780e-001	2.535568e+002
6.570748e-001	2.596592e+002
6.809736e-001	2.550729e+002
6.395087e-001	2.474331e+002
6.143883e-001	2.405568e+002
8.017120e-001	2.436052e+002
8.256155e-001	2.390191e+002
8.495143e-001	2.344329e+002
8.243939e-001	2.275566e+002
6.195047e-001	2.122821e+002
5.780392e-001	2.046423e+002
7.326788e-001	2.061638e+002
7.238981e-001	2.000508e+002
9.439066e-001	2.046261e+002
8.207290e-001	1.931689e+002
6.648672e-001	1.801849e+002
7.214548e-001	1.771257e+002
7.943869e-001	1.748301e+002
8.836588e-001	1.732978e+002
8.585336e-001	1.664213e+002
8.497530e-001	1.603084e+002
9.717084e-001	1.603030e+002
1.240745e+000	1.671687e+002
1.052199e+000	1.526577e+002
8.799932e-001	1.389101e+002
9.038967e-001	1.343241e+002
9.768283e-001	1.320285e+002
1.000732e+000	1.274424e+002
1.139027e+000	1.282003e+002
1.015850e+000	1.167432e+002
1.154150e+000	1.175013e+002
1.227077e+000	1.152055e+002
1.283665e+000	1.121463e+002
1.258539e+000	1.052698e+002
1.233420e+000	9.839356e+001
1.240978e+000	9.304394e+001
1.150485e+000	8.311367e+001
1.256101e+000	8.234494e+001
1.083900e+000	6.859757e+001
1.124143e+000	6.477485e+001
1.213415e+000	6.324255e+001
1.286342e+000	6.094672e+001
1.408297e+000	6.094132e+001
1.415861e+000	5.559192e+001
1.505133e+000	5.405964e+001
1.529036e+000	4.947358e+001
1.340490e+000	3.496265e+001
1.446102e+000	3.419370e+001
1.829530e+000	4.640338e+001
1.984170e+000	4.792487e+001
2.008073e+000	4.333881e+001
2.081005e+000	4.104319e+001
2.251984e+000	4.332800e+001
2.422968e+000	4.561304e+001
2.365159e+000	3.720966e+001
2.241982e+000	2.575250e+001
2.429305e+000	2.880087e+001
2.355157e+000	1.963417e+001
2.231980e+000	8.177012e+000
2.255883e+000	3.590948e+000
2.394183e+000	4.349103e+000
2.483454e+000	2.816819e+000
2.638095e+000	4.338305e+000
2.694682e+000	1.279126e+000
2.734925e+000	-2.543583e+000
2.971277e+000	2.795213e+000
2.913468e+000	-5.608161e+000
2.806636e+000	-1.630176e+001
2.797855e+000	-2.241470e+001
2.609309e+000	-3.692562e+001
2.649552e+000	-4.074836e+001
2.673456e+000	-4.533441e+001
2.566623e+000	-5.602801e+001
2.590526e+000	-6.061407e+001
2.777849e+000	-5.756570e+001
2.997858e+000	-5.299045e+001
3.103469e+000	-5.375940e+001
3.111033e+000	-5.910879e+001
3.102248e+000	-6.522195e+001
3.011759e+000	-7.515200e+001
2.904921e+000	-8.584582e+001
2.847117e+000	-9.424898e+001
2.985412e+000	-9.349106e+001
3.025660e+000	-9.731355e+001
2.886138e+000	-1.095343e+002
2.877357e+000	-1.156472e+002
3.228101e+000	-1.049644e+002
3.513483e+000	-9.733516e+001
3.406645e+000	-1.080290e+002
3.446893e+000	-1.118515e+002
3.389084e+000	-1.202549e+002
3.412987e+000	-1.248409e+002
3.306154e+000	-1.355345e+002
3.542501e+000	-1.301959e+002
3.729825e+000	-1.271476e+002
3.704705e+000	-1.340238e+002
3.777632e+000	-1.363197e+002
3.981300e+000	-1.325078e+002
4.184964e+000	-1.286961e+002
4.241552e+000	-1.317552e+002
4.232771e+000	-1.378682e+002
