    nm         	pN
0.000000e+000	5.134520e+002
-8.799685e-003	5.073382e+002
-9.948564e-002	4.973989e+002
-9.190759e-002	4.920502e+002
-2.446845e-003	4.905267e+002
-4.399961e-002	4.828828e+002
-3.670862e-003	4.790641e+002
3.905994e-003	4.737153e+002
-3.764677e-002	4.660713e+002
-6.282419e-002	4.591924e+002
-8.800041e-002	4.523135e+002
-3.129275e-002	4.492600e+002
-4.009421e-002	4.431460e+002
-8.164757e-002	4.355021e+002
-1.395769e-001	4.270931e+002
-8.287099e-002	4.240394e+002
-9.786787e-003	4.217509e+002
-1.858647e-002	4.156371e+002
5.366926e-003	4.110534e+002
2.932092e-002	4.064697e+002
2.051945e-002	4.003558e+002
-8.654007e-002	3.896516e+002
1.929781e-002	3.888932e+002
2.687288e-002	3.835444e+002
-6.381010e-002	3.736052e+002
-3.985611e-002	3.690215e+002
-6.503412e-002	3.621426e+002
2.442663e-002	3.606191e+002
1.466405e-001	3.606258e+002
2.197247e-001	3.583373e+002
1.781725e-001	3.506934e+002
-1.077270e-002	3.361638e+002
-1.833414e-001	3.223992e+002
-1.430108e-001	3.185806e+002
-2.009425e-001	3.101715e+002
-3.898859e-001	2.956420e+002
-3.495548e-001	2.918233e+002
-9.632686e-002	2.979505e+002
1.405239e-001	3.033126e+002
2.463618e-001	3.025543e+002
2.703158e-001	2.979706e+002
2.287613e-001	2.903265e+002
4.001077e-001	2.926285e+002
3.913062e-001	2.865146e+002
1.368537e-001	2.689247e+002
1.935613e-001	2.658712e+002
4.304122e-001	2.712333e+002
5.198729e-001	2.697098e+002
6.093342e-001	2.681864e+002
4.531451e-001	2.551870e+002
2.641993e-001	2.406574e+002
2.226442e-001	2.330134e+002
2.465982e-001	2.284297e+002
3.360589e-001	2.269062e+002
4.582733e-001	2.269129e+002
4.986039e-001	2.230943e+002
4.898054e-001	2.169805e+002
4.482502e-001	2.093364e+002
4.230740e-001	2.024576e+002
4.470280e-001	1.978739e+002
5.201092e-001	1.955852e+002
5.768169e-001	1.925317e+002
4.861345e-001	1.825925e+002
3.626961e-001	1.711232e+002
2.392600e-001	1.596539e+002
1.485746e-001	1.497147e+002
2.216588e-001	1.474262e+002
4.257566e-001	1.512582e+002
5.971006e-001	1.535601e+002
5.391713e-001	1.451511e+002
3.993557e-001	1.329166e+002
3.414264e-001	1.245076e+002
4.145106e-001	1.222191e+002
3.893326e-001	1.153402e+002
4.132866e-001	1.107565e+002
3.881110e-001	1.038776e+002
2.482954e-001	9.164316e+001
1.412335e-001	8.093887e+001
2.306943e-001	7.941543e+001
4.511709e-001	8.401259e+001
3.441096e-001	7.330829e+001
3.025568e-001	6.566436e+001
3.101319e-001	6.031550e+001
3.177094e-001	5.496674e+001
4.071701e-001	5.344330e+001
3.492384e-001	4.503419e+001
3.895719e-001	4.121568e+001
5.936673e-001	4.504755e+001
6.176207e-001	4.046386e+001
4.450544e-001	2.669944e+001
4.853831e-001	2.288069e+001
7.713647e-001	3.053799e+001
1.024597e+000	3.666539e+001
1.212318e+000	3.973232e+001
1.400039e+000	4.279925e+001
1.292974e+000	3.209484e+001
1.316929e+000	2.751116e+001
1.357262e+000	2.369263e+001
1.184691e+000	9.927985e+000
