    nm         	pN
0.000000e+000	6.121997e+002
1.219544e-001	6.121957e+002
1.229810e-001	6.080560e+002
7.218221e-002	6.021439e+002
1.077592e-001	5.991858e+002
3.968196e-002	5.926828e+002
-2.839039e-002	5.861799e+002
-9.646599e-002	5.796770e+002
-1.127145e-001	5.749465e+002
-9.441106e-002	5.713977e+002
-1.106596e-001	5.666672e+002
-1.960119e-001	5.595733e+002
-1.431566e-001	5.572062e+002
-1.421315e-001	5.530664e+002
-1.583800e-001	5.483359e+002
-1.919037e-001	5.430146e+002
-1.390532e-001	5.406473e+002
-2.589527e-001	5.323720e+002
-3.270282e-001	5.258690e+002
-3.605519e-001	5.205477e+002
-4.113507e-001	5.146356e+002
-3.930505e-001	5.110867e+002
-4.092974e-001	5.063562e+002
-4.428211e-001	5.010349e+002
-4.763464e-001	4.957136e+002
-4.580429e-001	4.921648e+002
-4.397444e-001	4.886158e+002
-4.041641e-001	4.856578e+002
-4.549630e-001	4.797457e+002
-5.230386e-001	4.732427e+002
-5.565622e-001	4.679214e+002
-5.037093e-001	4.655542e+002
-4.508539e-001	4.631870e+002
-5.362055e-001	4.560932e+002
-5.870067e-001	4.501810e+002
-6.550815e-001	4.436781e+002
-6.022286e-001	4.413108e+002
-6.012003e-001	4.371712e+002
-5.483474e-001	4.348040e+002
-5.645959e-001	4.300735e+002
-6.153971e-001	4.241613e+002
-7.007487e-001	4.170675e+002
-7.169980e-001	4.123370e+002
-7.850704e-001	4.058341e+002
-8.013197e-001	4.011036e+002
-8.002922e-001	3.969639e+002
-6.783362e-001	3.969600e+002
-6.427609e-001	3.940019e+002
-5.726287e-001	3.922256e+002
-6.234308e-001	3.863133e+002
-7.260551e-001	3.786288e+002
-8.632338e-001	3.697626e+002
-8.622079e-001	3.656228e+002
-8.439044e-001	3.620740e+002
-9.465304e-001	3.543894e+002
-9.455046e-001	3.502497e+002
-9.099251e-001	3.472917e+002
-8.743481e-001	3.443336e+002
-9.251470e-001	3.384215e+002
-9.759474e-001	3.325094e+002
-9.921968e-001	3.277789e+002
-1.008444e+000	3.230484e+002
-9.555915e-001	3.206811e+002
-1.006391e+000	3.147690e+002
-1.057191e+000	3.088569e+002
-8.661333e-001	3.112162e+002
-7.787268e-001	3.100307e+002
-8.122513e-001	3.047093e+002
-8.976029e-001	2.976155e+002
-9.484041e-001	2.917034e+002
-9.646518e-001	2.869729e+002
-9.636243e-001	2.828332e+002
-1.031699e+000	2.763303e+002
-1.099775e+000	2.698273e+002
-1.012371e+000	2.686417e+002
-9.249650e-001	2.674562e+002
-9.412143e-001	2.627256e+002
-1.026565e+000	2.556319e+002
-1.025538e+000	2.514922e+002
-1.041788e+000	2.467617e+002
-9.716564e-001	2.449853e+002
-9.360794e-001	2.420273e+002
-9.177776e-001	2.384784e+002
-1.003127e+000	2.313847e+002
-1.071203e+000	2.248817e+002
-1.052901e+000	2.213328e+002
-1.051873e+000	2.171932e+002
-1.050846e+000	2.130534e+002
-9.979935e-001	2.106862e+002
-9.624140e-001	2.077282e+002
-9.441122e-001	2.041793e+002
-1.046740e+000	1.964947e+002
-1.166641e+000	1.882193e+002
-1.200166e+000	1.828980e+002
-1.199138e+000	1.787583e+002
-1.284490e+000	1.716645e+002
-1.283462e+000	1.675249e+002
-1.230608e+000	1.651577e+002
-1.195031e+000	1.621996e+002
-1.159453e+000	1.592415e+002
-1.141149e+000	1.556927e+002
-1.243777e+000	1.480081e+002
-1.260025e+000	1.432776e+002
-1.241724e+000	1.397287e+002
-1.206145e+000	1.367707e+002
-1.291496e+000	1.296769e+002
-1.255917e+000	1.267189e+002
-1.220340e+000	1.237608e+002
-1.167486e+000	1.213936e+002
-1.235562e+000	1.148907e+002
-1.286361e+000	1.089785e+002
-1.337161e+000	1.030664e+002
-1.267031e+000	1.012900e+002
-1.214179e+000	9.892277e+001
-1.282254e+000	9.241981e+001
-1.229400e+000	9.005258e+001
-1.211099e+000	8.650371e+001
-1.106418e+000	8.590895e+001
-1.070839e+000	8.295094e+001
-1.104363e+000	7.762962e+001
-1.103336e+000	7.348992e+001
-1.154137e+000	6.757779e+001
-1.204935e+000	6.166566e+001
-1.186634e+000	5.811680e+001
-1.099229e+000	5.693120e+001
-1.115478e+000	5.220071e+001
-1.183554e+000	4.569774e+001
-1.147975e+000	4.273971e+001
-1.164223e+000	3.800921e+001
-1.180472e+000	3.327872e+001
-1.213996e+000	2.795740e+001
-1.282071e+000	2.145444e+001
-1.367422e+000	1.436067e+001
-1.400946e+000	9.039354e+000
-1.296267e+000	8.444574e+000
-1.208861e+000	7.259003e+000
-1.225109e+000	2.528511e+000
-1.275910e+000	-3.383635e+000
-1.257606e+000	-6.932472e+000
-1.222029e+000	-9.890535e+000
-1.324655e+000	-1.757513e+001
-1.289078e+000	-2.053316e+001
-1.253500e+000	-2.349121e+001
-1.148819e+000	-2.408597e+001
-1.044138e+000	-2.468072e+001
-1.077663e+000	-3.000205e+001
