    nm         	pN
0.000000e+000	6.251861e+002
1.830830e-002	6.216375e+002
7.116530e-002	6.192704e+002
1.067455e-001	6.163124e+002
1.077754e-001	6.121728e+002
5.134889e-003	6.044877e+002
-6.294558e-002	5.979846e+002
-7.919571e-002	5.932541e+002
-2.633871e-002	5.908870e+002
-5.986562e-002	5.855655e+002
-1.106693e-001	5.796533e+002
-1.096426e-001	5.755136e+002
-1.777296e-001	5.690102e+002
-1.421429e-001	5.660525e+002
-8.928754e-002	5.636853e+002
-1.228161e-001	5.583639e+002
-2.254485e-001	5.506791e+002
-2.244234e-001	5.465393e+002
-2.925088e-001	5.400360e+002
-2.223718e-001	5.382599e+002
-2.558971e-001	5.329385e+002
-2.548704e-001	5.287988e+002
-3.229525e-001	5.222957e+002
-3.737627e-001	5.163832e+002
-3.554560e-001	5.128344e+002
-4.408165e-001	5.057403e+002
-4.743450e-001	5.004189e+002
-5.251471e-001	4.945067e+002
-6.105124e-001	4.874124e+002
-5.749257e-001	4.844546e+002
-5.047919e-001	4.826784e+002
-4.346517e-001	4.809024e+002
-4.336250e-001	4.767627e+002
-4.153232e-001	4.732138e+002
-4.315750e-001	4.684832e+002
-4.305475e-001	4.643435e+002
-4.122408e-001	4.607948e+002
-4.803262e-001	4.542915e+002
-5.484050e-001	4.477884e+002
-5.646575e-001	4.430578e+002
-5.981837e-001	4.377364e+002
-5.453283e-001	4.353693e+002
-4.924656e-001	4.330024e+002
-5.605509e-001	4.264991e+002
-6.459090e-001	4.194050e+002
-7.485487e-001	4.117200e+002
-7.993524e-001	4.058077e+002
-8.501586e-001	3.998954e+002
-8.836838e-001	3.945740e+002
-8.308285e-001	3.922069e+002
-7.779674e-001	3.898399e+002
-7.769375e-001	3.857003e+002
-7.586365e-001	3.821514e+002
-7.057787e-001	3.797843e+002
-7.220248e-001	3.750539e+002
-8.419428e-001	3.667779e+002
-9.273042e-001	3.596838e+002
-9.781070e-001	3.537716e+002
-9.598052e-001	3.502227e+002
-9.587769e-001	3.460831e+002
-9.231935e-001	3.431252e+002
-9.221677e-001	3.389855e+002
-9.556930e-001	3.336641e+002
-1.041057e+000	3.265699e+002
-1.074585e+000	3.212484e+002
-1.194500e+000	3.129726e+002
-1.245307e+000	3.070602e+002
-1.261556e+000	3.023297e+002
-1.225973e+000	2.993718e+002
-1.190390e+000	2.964139e+002
-1.189364e+000	2.922742e+002
-1.205614e+000	2.875437e+002
-1.118198e+000	2.863585e+002
-1.134451e+000	2.816279e+002
-1.219812e+000	2.745337e+002
-1.253340e+000	2.692123e+002
-1.200479e+000	2.668453e+002
-1.285839e+000	2.597512e+002
-1.232981e+000	2.573841e+002
-1.162844e+000	2.556080e+002
-1.265483e+000	2.479230e+002
-1.281733e+000	2.431924e+002
-1.280704e+000	2.390529e+002
-1.262400e+000	2.355040e+002
-1.347760e+000	2.284099e+002
-1.450400e+000	2.207249e+002
-1.449371e+000	2.165853e+002
-1.500177e+000	2.106729e+002
-1.516427e+000	2.059424e+002
-1.567234e+000	2.000300e+002
-1.618041e+000	1.941176e+002
-1.582458e+000	1.911598e+002
-1.598707e+000	1.864292e+002
-1.649512e+000	1.805169e+002
-1.700318e+000	1.746046e+002
-1.699292e+000	1.704649e+002
-1.732821e+000	1.651434e+002
-1.697237e+000	1.621856e+002
-1.661654e+000	1.592277e+002
-1.712461e+000	1.533153e+002
-1.745989e+000	1.479938e+002
-1.710406e+000	1.450360e+002
-1.726656e+000	1.403054e+002
-1.812016e+000	1.332113e+002
-1.862823e+000	1.272989e+002
-1.965462e+000	1.196139e+002
-1.998987e+000	1.142926e+002
-1.980687e+000	1.107437e+002
-1.910549e+000	1.089675e+002
-1.926799e+000	1.042370e+002
-2.012156e+000	9.714300e+001
-1.976577e+000	9.418501e+001
-1.975551e+000	9.004530e+001
-1.836303e+000	9.063275e+001
-1.783441e+000	8.826580e+001
-1.816968e+000	8.294435e+001
-1.971439e+000	7.348670e+001
-2.125910e+000	6.402906e+001
-2.124885e+000	5.988934e+001
-2.141133e+000	5.515882e+001
-2.105553e+000	5.220083e+001
-2.156359e+000	4.628851e+001
-2.155332e+000	4.214885e+001
-2.067917e+000	4.096364e+001
-2.136000e+000	3.446040e+001
-2.117694e+000	3.091165e+001
-2.030280e+000	2.972638e+001
-1.977421e+000	2.735933e+001
-1.993671e+000	2.262880e+001
-2.009921e+000	1.789821e+001
-2.043448e+000	1.257681e+001
-1.956036e+000	1.139149e+001
-2.041395e+000	4.297439e+000
-2.109477e+000	-2.205743e+000
-2.125729e+000	-6.936334e+000
-2.141977e+000	-1.166686e+001
-2.175508e+000	-1.698837e+001
-2.191759e+000	-2.171896e+001
-2.087067e+000	-2.231330e+001
-2.086039e+000	-2.645296e+001
-2.050455e+000	-2.941083e+001
-2.049430e+000	-3.355054e+001
-2.186624e+000	-4.241733e+001
-2.081931e+000	-4.301166e+001
-2.080905e+000	-4.715138e+001
-2.097154e+000	-5.188191e+001
-2.303457e+000	-6.311216e+001
-2.319707e+000	-6.784275e+001
-2.197738e+000	-6.784622e+001
-2.075767e+000	-6.784969e+001
-2.074741e+000	-7.198936e+001
-2.039159e+000	-7.494728e+001
-2.141796e+000	-8.263221e+001
-2.227160e+000	-8.972643e+001
-2.260687e+000	-9.504783e+001
-2.294214e+000	-1.003693e+002
-2.345018e+000	-1.062816e+002
-2.257604e+000	-1.074668e+002
-2.170191e+000	-1.086521e+002
-2.082776e+000	-1.098373e+002
-1.995361e+000	-1.110226e+002
-2.011609e+000	-1.157531e+002
-1.993307e+000	-1.193019e+002
-1.957724e+000	-1.222598e+002
-2.060361e+000	-1.299448e+002
-1.903839e+000	-1.287665e+002
-1.298097e+000	-1.122252e+002
-1.055184e+000	-1.080924e+002
-8.295511e-001	-1.045506e+002
-5.002511e-001	-9.746347e+001
-1.536758e-001	-8.978548e+001
1.929059e-001	-8.210733e+001
4.530940e-001	-7.738376e+001
2.122344e-001	-8.979591e+001
2.320995e-002	-1.004353e+002
7.498938e-001	-7.975771e+001
1.562965e+000	-5.612573e+001
1.926817e+000	-4.785688e+001
1.755069e+000	-5.790539e+001
1.911593e+000	-5.672713e+001
2.465503e+000	-4.195840e+001
2.760246e+000	-3.605303e+001
2.864940e+000	-3.664736e+001
2.865965e+000	-4.078708e+001
2.625109e+000	-5.319912e+001
2.747078e+000	-5.320260e+001
3.059101e+000	-4.670629e+001
3.250180e+000	-4.434624e+001
3.493095e+000	-4.021347e+001
3.736005e+000	-3.608081e+001
3.892530e+000	-3.490249e+001
3.910834e+000	-3.845128e+001
3.687253e+000	-5.027252e+001
3.964722e+000	-4.495795e+001
4.432240e+000	-3.314378e+001
4.709708e+000	-2.782922e+001
4.607071e+000	-3.551420e+001
4.020661e+000	-5.974405e+001
3.676137e+000	-7.570147e+001
3.763553e+000	-7.688667e+001
3.954632e+000	-7.452662e+001
4.335766e+000	-6.566674e+001
4.613232e+000	-6.035228e+001
4.752478e+000	-5.976489e+001
4.926281e+000	-5.799570e+001
5.030974e+000	-5.859005e+001
5.152943e+000	-5.859353e+001
5.240357e+000	-5.977879e+001
5.189554e+000	-6.569105e+001
5.069636e+000	-7.396701e+001
5.001554e+000	-8.047021e+001
5.054415e+000	-8.283715e+001
5.314604e+000	-7.811357e+001
5.436575e+000	-7.811703e+001
5.074771e+000	-9.466538e+001
5.144910e+000	-9.644146e+001
5.163213e+000	-9.999031e+001
5.250629e+000	-1.011755e+002
5.562650e+000	-9.467928e+001
5.615512e+000	-9.704623e+001
5.461041e+000	-1.065039e+002
5.392958e+000	-1.130071e+002
5.549480e+000	-1.118289e+002
5.360456e+000	-1.224682e+002
5.637922e+000	-1.171538e+002
5.967222e+000	-1.100666e+002
6.400186e+000	-9.943418e+001
6.833154e+000	-8.880163e+001
6.851460e+000	-9.235037e+001
6.679709e+000	-1.023990e+002
6.490685e+000	-1.130384e+002
6.716318e+000	-1.094966e+002
7.132005e+000	-9.945502e+001
7.858689e+000	-7.877744e+001
8.412599e+000	-6.400870e+001
8.655508e+000	-5.987604e+001
8.829311e+000	-5.810686e+001
9.124056e+000	-5.220148e+001
9.436079e+000	-4.570519e+001
9.454382e+000	-4.925398e+001
9.317190e+000	-5.812075e+001
9.214553e+000	-6.580567e+001
9.163746e+000	-7.171806e+001
9.302993e+000	-7.113067e+001
9.701402e+000	-6.167997e+001
9.754264e+000	-6.404692e+001
9.807121e+000	-6.641403e+001
9.946372e+000	-6.582652e+001
9.981953e+000	-6.878445e+001
1.000026e+001	-7.233324e+001
1.010495e+001	-7.292759e+001
1.064158e+001	-5.874982e+001
1.078083e+001	-5.816244e+001
1.041902e+001	-7.471072e+001
1.012633e+001	-8.889543e+001
1.016192e+001	-9.185329e+001
1.050849e+001	-8.417531e+001
1.087235e+001	-7.590641e+001
1.114982e+001	-7.059184e+001
1.127179e+001	-7.059531e+001
1.123826e+001	-7.591683e+001
1.092829e+001	-9.069240e+001
1.099843e+001	-9.246847e+001
1.136228e+001	-8.419963e+001
1.167430e+001	-7.770333e+001
1.170989e+001	-8.066125e+001
1.157269e+001	-8.952798e+001
1.143550e+001	-9.839475e+001
1.136742e+001	-1.048980e+002
1.157578e+001	-1.019470e+002
1.155952e+001	-1.066775e+002
1.192338e+001	-9.840864e+001
1.244273e+001	-8.482175e+001
1.265109e+001	-8.187078e+001
1.237568e+001	-9.546466e+001
1.249764e+001	-9.546814e+001
1.277511e+001	-9.015369e+001
1.308713e+001	-8.365739e+001
1.327821e+001	-8.129727e+001
1.331380e+001	-8.425520e+001
1.336666e+001	-8.662220e+001
1.359229e+001	-8.308031e+001
1.374882e+001	-8.190204e+001
1.378440e+001	-8.485996e+001
1.383726e+001	-8.722696e+001
1.395923e+001	-8.723044e+001
1.402936e+001	-8.900657e+001
1.385762e+001	-9.905508e+001
1.387592e+001	-1.026039e+002
1.403244e+001	-1.014256e+002
1.405075e+001	-1.049744e+002
1.422455e+001	-1.032052e+002
1.474390e+001	-8.961829e+001
1.486588e+001	-8.962175e+001
1.462502e+001	-1.020339e+002
1.476426e+001	-1.014465e+002
1.498990e+001	-9.790461e+001
1.509459e+001	-9.849895e+001
1.488829e+001	-1.097293e+002
1.504481e+001	-1.085509e+002
1.516678e+001	-1.085544e+002
1.489137e+001	-1.221483e+002
1.503062e+001	-1.215609e+002
1.541175e+001	-1.127011e+002
1.530911e+001	-1.203861e+002
1.512008e+001	-1.310255e+002
1.519022e+001	-1.328016e+002
1.553680e+001	-1.251235e+002
1.603887e+001	-1.121276e+002
1.626451e+001	-1.085857e+002
1.657653e+001	-1.020894e+002
1.706133e+001	-8.968428e+001
1.718330e+001	-8.968775e+001
1.732255e+001	-8.910037e+001
1.735813e+001	-9.205823e+001
1.723821e+001	-1.003342e+002
1.730835e+001	-1.021103e+002
1.753398e+001	-9.856842e+001
1.765595e+001	-9.857189e+001
1.729415e+001	-1.151202e+002
1.700146e+001	-1.293049e+002
1.736532e+001	-1.210360e+002
1.757367e+001	-1.180851e+002
1.781659e+001	-1.139523e+002
1.807678e+001	-1.092288e+002
1.800869e+001	-1.157319e+002
1.794061e+001	-1.222351e+002
1.804530e+001	-1.228295e+002
