    nm         	pN
0.000000e+000	5.384276e+002
1.220761e-001	5.384278e+002
7.122535e-002	5.325139e+002
2.037459e-002	5.266000e+002
5.599052e-002	5.236433e+002
1.088962e-001	5.212779e+002
9.262822e-002	5.165467e+002
-6.197574e-002	5.070845e+002
-7.823885e-002	5.023535e+002
-9.450683e-002	4.976223e+002
-1.280597e-001	4.923000e+002
-1.443277e-001	4.875689e+002
-1.260064e-001	4.840207e+002
-9.039210e-002	4.810639e+002
-1.412445e-001	4.751499e+002
-1.748022e-001	4.698275e+002
-1.046003e-001	4.680535e+002
-1.208666e-001	4.633224e+002
-1.717158e-001	4.574086e+002
-2.225665e-001	4.514947e+002
-1.523670e-001	4.497207e+002
-2.377998e-001	4.426242e+002
-2.367739e-001	4.384844e+002
-1.838690e-001	4.361190e+002
-2.174268e-001	4.307965e+002
-3.720332e-001	4.213342e+002
-4.747630e-001	4.136461e+002
-4.737331e-001	4.095065e+002
-5.072908e-001	4.041840e+002
-4.889679e-001	4.006359e+002
-5.744055e-001	3.935391e+002
-6.252546e-001	3.876253e+002
-5.723489e-001	3.852599e+002
-5.540260e-001	3.817117e+002
-5.875830e-001	3.763893e+002
-6.211440e-001	3.710667e+002
-6.547017e-001	3.657442e+002
-6.882586e-001	3.604218e+002
-7.563983e-001	3.539166e+002
-7.553709e-001	3.497770e+002
-7.716380e-001	3.450459e+002
-8.051926e-001	3.397235e+002
-7.695823e-001	3.367666e+002
-7.685548e-001	3.326269e+002
-8.021126e-001	3.273044e+002
-8.356663e-001	3.219821e+002
-8.346405e-001	3.178424e+002
-8.336130e-001	3.137027e+002
-8.325863e-001	3.095630e+002
-9.007260e-001	3.030579e+002
-8.132327e-001	3.018753e+002
-8.294999e-001	2.971442e+002
-7.765958e-001	2.947787e+002
-7.582713e-001	2.912306e+002
-7.745417e-001	2.864994e+002
-8.426806e-001	2.799942e+002
-8.935321e-001	2.740803e+002
-8.925022e-001	2.699407e+002
-9.260592e-001	2.646183e+002
-9.423231e-001	2.598873e+002
-9.240067e-001	2.563389e+002
-9.056854e-001	2.527907e+002
-1.008412e+000	2.451027e+002
-1.024676e+000	2.403716e+002
-1.058233e+000	2.350492e+002
-1.160963e+000	2.273611e+002
-1.159936e+000	2.232214e+002
-1.107028e+000	2.208560e+002
-1.088707e+000	2.173078e+002
-1.122265e+000	2.119853e+002
-1.138529e+000	2.072543e+002
-1.172086e+000	2.019318e+002
-1.240231e+000	1.954265e+002
-1.256494e+000	1.906955e+002
-1.238172e+000	1.871473e+002
-1.254442e+000	1.824161e+002
-1.322580e+000	1.759110e+002
-1.390722e+000	1.694058e+002
-1.441577e+000	1.634917e+002
-1.405959e+000	1.605351e+002
-1.318467e+000	1.593525e+002
-1.352028e+000	1.540299e+002
-1.420170e+000	1.475247e+002
-1.453728e+000	1.422022e+002
-1.418117e+000	1.392453e+002
-1.451671e+000	1.339229e+002
-1.485228e+000	1.286005e+002
-1.484202e+000	1.244608e+002
