    nm         	pN
0.000000e+000	5.158944e+002
-1.627285e-002	5.111631e+002
-4.983709e-002	5.058404e+002
-8.341432e-002	5.005173e+002
4.114729e-003	4.993360e+002
-2.946087e-002	4.940129e+002
-1.149252e-001	4.869152e+002
-7.929959e-002	4.839588e+002
-9.073292e-003	4.821857e+002
2.655886e-002	4.792295e+002
1.028439e-002	4.744982e+002
-4.058423e-002	4.685837e+002
-1.260527e-001	4.614859e+002
-1.250284e-001	4.573461e+002
-1.931941e-001	4.508401e+002
-1.402722e-001	4.484752e+002
-7.004591e-002	4.467021e+002
-1.036110e-001	4.413794e+002
-3.338385e-002	4.396063e+002
-1.015560e-001	4.331001e+002
-1.178297e-001	4.283687e+002
-8.220484e-002	4.254123e+002
-8.116764e-002	4.212729e+002
-1.493398e-001	4.147667e+002
-2.002141e-001	4.088520e+002
-1.299886e-001	4.070789e+002
-7.705940e-002	4.047142e+002
-7.603519e-002	4.005745e+002
-1.614987e-001	3.934768e+002
-1.950687e-001	3.881540e+002
-2.459373e-001	3.822395e+002
-1.930145e-001	3.798746e+002
-2.784846e-001	3.727768e+002
-3.120562e-001	3.674538e+002
-2.764232e-001	3.644977e+002
-2.062042e-001	3.627243e+002
-1.878699e-001	3.591765e+002
-2.387450e-001	3.532618e+002
-2.896128e-001	3.473474e+002
-2.539815e-001	3.443912e+002
-2.356594e-001	3.408430e+002
-2.865345e-001	3.349283e+002
-2.854981e-001	3.307889e+002
-2.844739e-001	3.266491e+002
-2.834432e-001	3.225096e+002
-3.343118e-001	3.165951e+002
-3.851804e-001	3.106806e+002
-5.052503e-001	3.023994e+002
-5.042269e-001	2.982596e+002
-5.550947e-001	2.923452e+002
-4.848619e-001	2.905723e+002
-4.146421e-001	2.887990e+002
-3.790107e-001	2.858428e+002
-3.260888e-001	2.834779e+002
-3.596587e-001	2.781550e+002
-4.278244e-001	2.716490e+002
-3.403011e-001	2.704675e+002
-2.873727e-001	2.681028e+002
-2.690449e-001	2.645548e+002
-3.372162e-001	2.580486e+002
-3.534834e-001	2.533174e+002
-2.832636e-001	2.515441e+002
-2.649301e-001	2.479963e+002
-2.639059e-001	2.438565e+002
-2.801731e-001	2.391254e+002
-3.310417e-001	2.332109e+002
-3.646189e-001	2.278878e+002
-4.500809e-001	2.207902e+002
-3.798619e-001	2.190169e+002
-2.231356e-001	2.202021e+002
-2.394028e-001	2.154709e+002
-3.075750e-001	2.089647e+002
-4.276448e-001	2.006835e+002
-3.747164e-001	1.983189e+002
-3.909901e-001	1.935875e+002
-4.245608e-001	1.882646e+002
-3.716316e-001	1.859000e+002
-3.014053e-001	1.841269e+002
-1.965784e-001	1.835371e+002
-1.090550e-001	1.823556e+002
-5.612581e-002	1.799910e+002
-3.779802e-002	1.764430e+002
-8.867313e-002	1.705283e+002
-8.764242e-002	1.663887e+002
-6.931464e-002	1.628407e+002
3.550580e-002	1.622507e+002
1.403335e-001	1.616610e+002
-6.623062e-002	1.504218e+002
-9.980135e-002	1.450989e+002
-6.417569e-002	1.421425e+002
-9.773993e-002	1.368198e+002
-4.481152e-002	1.344551e+002
8.110403e-003	1.320902e+002
-1.119595e-001	1.238091e+002
-1.282266e-001	1.190779e+002
-1.617974e-001	1.137550e+002
-1.607732e-001	1.096152e+002
-9.054767e-002	1.078422e+002
-3.761845e-002	1.054775e+002
1.530996e-002	1.031129e+002
-9.628901e-004	9.838152e+001
-1.723006e-002	9.365039e+001
1.839479e-002	9.069396e+001
3.672257e-002	8.714596e+001
5.505035e-002	8.359795e+001
-1.312182e-002	7.709169e+001
-1.209111e-002	7.295213e+001
6.236668e-003	6.940414e+001
7.266568e-003	6.526457e+001
-9.007095e-003	6.053322e+001
-4.257783e-002	5.521031e+001
-7.614937e-002	4.988740e+001
-1.616186e-001	4.278957e+001
-2.297835e-001	3.628354e+001
-1.249631e-001	3.569358e+001
-1.066353e-001	3.214558e+001
-1.229016e-001	2.741445e+001
-1.218782e-001	2.327467e+001
-1.554490e-001	1.795176e+001
-1.544191e-001	1.381219e+001
-1.879898e-001	8.489276e+000
-2.734590e-001	1.391450e+000
-3.243260e-001	-4.523016e+000
-2.195056e-001	-5.112968e+000
-1.319765e-001	-6.294271e+000
-1.828435e-001	-1.220875e+001
-1.126237e-001	-1.398205e+001
9.501069e-003	-1.398022e+001
4.513160e-002	-1.693643e+001
9.806164e-002	-1.930109e+001
2.028821e-001	-1.989104e+001
2.212098e-001	-2.343904e+001
1.876391e-001	-2.876195e+001
1.540684e-001	-3.408486e+001
1.031998e-001	-3.999933e+001
1.388254e-001	-4.295577e+001
2.090582e-001	-4.472863e+001
3.830750e-001	-4.295211e+001
2.976107e-001	-5.004972e+001
3.332363e-001	-5.300615e+001
4.726590e-001	-5.241276e+001
3.871898e-001	-5.951058e+001
3.363212e-001	-6.542506e+001
3.892496e-001	-6.778970e+001
5.113744e-001	-6.778788e+001
6.507971e-001	-6.719449e+001
7.037255e-001	-6.955914e+001
7.566474e-001	-7.192401e+001
7.230767e-001	-7.724692e+001
7.068103e-001	-8.197804e+001
5.348403e-001	-9.203414e+001
3.974725e-001	-1.009069e+002
4.676988e-001	-1.026800e+002
5.898236e-001	-1.026781e+002
6.427537e-001	-1.050428e+002
7.302762e-001	-1.062243e+002
7.140099e-001	-1.109554e+002
5.766421e-001	-1.198282e+002
5.430698e-001	-1.251511e+002
5.095007e-001	-1.304740e+002
4.759283e-001	-1.357969e+002
4.423527e-001	-1.411200e+002
5.125839e-001	-1.428929e+002
6.347103e-001	-1.428911e+002
1.033624e+000	-1.334231e+002
1.311444e+000	-1.280965e+002
1.779561e+000	-1.162619e+002
2.178476e+000	-1.067939e+002
2.594694e+000	-9.673416e+001
2.837914e+000	-9.259093e+001
2.925438e+000	-9.377246e+001
2.839967e+000	-1.008703e+002
2.771802e+000	-1.073763e+002
2.755529e+000	-1.121077e+002
2.843052e+000	-1.132892e+002
3.086272e+000	-1.091460e+002
3.415997e+000	-1.020443e+002
3.451623e+000	-1.050007e+002
3.262355e+000	-1.156484e+002
3.124988e+000	-1.245211e+002
3.229816e+000	-1.251108e+002
3.300035e+000	-1.268841e+002
3.456761e+000	-1.256990e+002
3.492391e+000	-1.286552e+002
3.614518e+000	-1.286533e+002
3.805837e+000	-1.262850e+002
3.893362e+000	-1.274666e+002
3.877087e+000	-1.321979e+002
3.757024e+000	-1.404789e+002
3.740757e+000	-1.452100e+002
3.966671e+000	-1.416585e+002
4.365586e+000	-1.321906e+002
4.556914e+000	-1.298221e+002
4.679038e+000	-1.298202e+002
4.662764e+000	-1.345516e+002
4.611897e+000	-1.404660e+002
4.872420e+000	-1.357310e+002
5.254031e+000	-1.268549e+002
5.843249e+000	-1.108786e+002
5.982671e+000	-1.102852e+002
6.381585e+000	-1.008172e+002
6.866999e+000	-8.839100e+001
7.300515e+000	-7.773968e+001
7.595633e+000	-7.182155e+001
7.856156e+000	-6.708654e+001
7.960984e+000	-6.767627e+001
7.927413e+000	-7.299919e+001
8.014936e+000	-7.418071e+001
7.825670e+000	-8.482836e+001
7.688302e+000	-9.370110e+001
8.156419e+000	-8.186644e+001
8.589928e+000	-7.121535e+001
8.417966e+000	-8.127121e+001
8.384395e+000	-8.659413e+001
8.887112e+000	-7.357612e+001
9.389819e+000	-6.055855e+001
9.304356e+000	-6.765615e+001
9.201583e+000	-7.534576e+001
9.756192e+000	-6.055306e+001
1.008592e+001	-5.345135e+001
1.000044e+001	-6.054940e+001
9.741986e+000	-7.356331e+001
9.864111e+000	-7.356148e+001
9.830540e+000	-7.888439e+001
1.010836e+001	-7.355782e+001
1.083597e+001	-5.284881e+001
1.113108e+001	-4.693068e+001
1.085532e+001	-6.053660e+001
1.066605e+001	-7.118425e+001
1.094387e+001	-6.585767e+001
1.127360e+001	-5.875597e+001
1.151681e+001	-5.461274e+001
1.134485e+001	-6.466883e+001
1.106908e+001	-7.827453e+001
1.157180e+001	-6.525674e+001
1.235130e+001	-4.277281e+001
1.254263e+001	-4.040429e+001
1.237066e+001	-5.046038e+001
1.249278e+001	-5.045854e+001
1.270141e+001	-4.749845e+001
1.239104e+001	-6.228750e+001
1.214987e+001	-7.471029e+001
1.253149e+001	-6.583389e+001
1.293041e+001	-5.636570e+001
1.306983e+001	-5.577231e+001
1.326116e+001	-5.340378e+001
1.321029e+001	-5.931847e+001
1.319402e+001	-6.404961e+001
1.366213e+001	-5.221516e+001
1.404375e+001	-4.333876e+001
1.466756e+001	-2.617936e+001
1.520487e+001	-1.197822e+001
1.529240e+001	-1.315973e+001
1.487824e+001	-3.149862e+001
1.392779e+001	-6.817841e+001
1.330604e+001	-9.361695e+001
1.337627e+001	-9.539002e+001
1.375788e+001	-8.651362e+001
1.446819e+001	-6.639618e+001
1.486710e+001	-5.692822e+001
1.492003e+001	-5.929287e+001
1.537085e+001	-4.804999e+001
1.576977e+001	-3.858180e+001
1.592649e+001	-3.739685e+001
1.556423e+001	-5.396080e+001
1.523657e+001	-6.934141e+001
1.547979e+001	-6.519819e+001
1.567111e+001	-6.282988e+001
1.600083e+001	-5.572840e+001
1.641704e+001	-4.566887e+001
1.641808e+001	-4.980822e+001
1.631530e+001	-5.749783e+001
1.612604e+001	-6.814548e+001
1.617897e+001	-7.051013e+001
1.643948e+001	-6.577534e+001
1.656161e+001	-6.577352e+001
1.675293e+001	-6.340498e+001
1.654636e+001	-7.464442e+001
1.691068e+001	-6.635959e+001
1.724040e+001	-5.925810e+001
1.722414e+001	-6.398923e+001
1.706947e+001	-7.345353e+001
1.748568e+001	-6.339401e+001
1.752131e+001	-6.635044e+001
1.757424e+001	-6.871508e+001
1.754067e+001	-7.403800e+001
1.736870e+001	-8.409409e+001
1.747352e+001	-8.468382e+001
1.759565e+001	-8.468199e+001
1.754478e+001	-9.059647e+001
1.754580e+001	-9.473626e+001
1.789283e+001	-8.704298e+001
1.780736e+001	-9.414081e+001
1.782569e+001	-9.768881e+001
1.808620e+001	-9.295402e+001
1.829483e+001	-8.999393e+001
1.853805e+001	-8.585071e+001
1.857367e+001	-8.880715e+001
1.860930e+001	-9.176336e+001
1.852383e+001	-9.886119e+001
1.840377e+001	-1.071421e+002
1.869889e+001	-1.012240e+002
1.890750e+001	-9.826413e+001
1.871824e+001	-1.089118e+002
1.852898e+001	-1.195592e+002
1.865110e+001	-1.195574e+002
1.866942e+001	-1.231056e+002
1.867046e+001	-1.272452e+002
1.896557e+001	-1.213270e+002
1.938179e+001	-1.112673e+002
1.946931e+001	-1.124488e+002
1.936655e+001	-1.201382e+002
1.955787e+001	-1.177699e+002
1.962810e+001	-1.195428e+002
1.966373e+001	-1.224992e+002
1.954365e+001	-1.307804e+002
1.935439e+001	-1.414280e+002
1.945922e+001	-1.420177e+002
1.939105e+001	-1.485238e+002
1.911529e+001	-1.621297e+002
1.951420e+001	-1.526617e+002
1.984392e+001	-1.455603e+002
1.965465e+001	-1.562079e+002
1.982867e+001	-1.544312e+002
2.014110e+001	-1.479212e+002
2.003832e+001	-1.556109e+002
2.010856e+001	-1.573837e+002
2.035177e+001	-1.532405e+002
2.057769e+001	-1.496891e+002
2.040573e+001	-1.597449e+002
2.049325e+001	-1.609265e+002
2.045968e+001	-1.662494e+002
2.016662e+001	-1.804466e+002
1.999465e+001	-1.905027e+002
2.025518e+001	-1.857677e+002
2.096548e+001	-1.656503e+002
2.089731e+001	-1.721565e+002
2.075994e+001	-1.810293e+002
2.115886e+001	-1.715611e+002
2.098690e+001	-1.816172e+002
2.100522e+001	-1.851652e+002
2.123114e+001	-1.816135e+002
2.147437e+001	-1.774703e+002
2.182138e+001	-1.697772e+002
2.203001e+001	-1.668171e+002
2.189264e+001	-1.756899e+002
2.168607e+001	-1.869291e+002
2.177360e+001	-1.881106e+002
2.198222e+001	-1.851505e+002
2.222544e+001	-1.810073e+002
2.215727e+001	-1.875136e+002
2.184691e+001	-2.023026e+002
2.198634e+001	-2.017090e+002
2.202196e+001	-2.046654e+002
2.217869e+001	-2.034803e+002
2.214512e+001	-2.088032e+002
2.218074e+001	-2.117596e+002
2.244126e+001	-2.070246e+002
2.242499e+001	-2.117559e+002
2.227033e+001	-2.212203e+002
2.265194e+001	-2.123438e+002
2.286057e+001	-2.093838e+002
2.287889e+001	-2.129320e+002
2.293182e+001	-2.152966e+002
2.288095e+001	-2.212111e+002
2.281278e+001	-2.277174e+002
2.283110e+001	-2.312654e+002
2.297053e+001	-2.306719e+002
2.312726e+001	-2.294867e+002
2.338778e+001	-2.247518e+002
2.323311e+001	-2.342161e+002
2.314764e+001	-2.413140e+002
2.335626e+001	-2.383539e+002
2.335729e+001	-2.424936e+002
2.318532e+001	-2.525496e+002
2.318635e+001	-2.566893e+002
2.311818e+001	-2.631955e+002
2.330950e+001	-2.608271e+002
2.376032e+001	-2.495841e+002
2.421114e+001	-2.383411e+002
2.431596e+001	-2.389310e+002
2.450728e+001	-2.365627e+002
2.502730e+001	-2.229531e+002
2.540891e+001	-2.140767e+002
2.599812e+001	-1.981006e+002
2.693332e+001	-1.702920e+002
2.734954e+001	-1.602322e+002
2.757546e+001	-1.566806e+002
2.787058e+001	-1.507624e+002
2.823490e+001	-1.424776e+002
2.839162e+001	-1.412926e+002
2.884244e+001	-1.300495e+002
2.967384e+001	-1.057907e+002
3.047064e+001	-8.271497e+001
3.081766e+001	-7.502193e+001
3.093979e+001	-7.502009e+001
3.126950e+001	-6.791862e+001
3.191062e+001	-5.016764e+001
3.208464e+001	-4.839090e+001
3.187807e+001	-5.963012e+001
3.139472e+001	-8.033569e+001
3.136114e+001	-8.565861e+001
3.212336e+001	-6.376602e+001
3.260876e+001	-5.134002e+001
3.311148e+001	-3.832200e+001
3.338930e+001	-3.299543e+001
3.300974e+001	-5.015118e+001
3.287237e+001	-5.902392e+001
3.292530e+001	-6.138857e+001
3.256304e+001	-7.795252e+001
3.244297e+001	-8.623370e+001
3.254780e+001	-8.682344e+001
3.286021e+001	-8.031374e+001
3.344942e+001	-6.433768e+001
3.396944e+001	-5.072810e+001
3.397046e+001	-5.486789e+001
3.367741e+001	-6.906515e+001
3.379953e+001	-6.906332e+001
3.400815e+001	-6.610345e+001
3.376699e+001	-7.852580e+001
3.361232e+001	-8.799032e+001
3.371714e+001	-8.858028e+001
3.421986e+001	-7.556226e+001
3.437658e+001	-7.437731e+001
3.442950e+001	-7.674195e+001
3.465543e+001	-7.319008e+001
3.521004e+001	-5.839737e+001
3.564355e+001	-4.774628e+001
3.566188e+001	-5.129427e+001
3.540342e+001	-6.430841e+001
3.523145e+001	-7.436449e+001
3.545737e+001	-7.081284e+001
3.561410e+001	-6.962766e+001
3.573622e+001	-6.962583e+001
3.530476e+001	-8.855650e+001
3.508090e+001	-1.003873e+002
3.523763e+001	-9.920209e+001
3.544625e+001	-9.624200e+001
3.555107e+001	-9.683196e+001
3.589809e+001	-8.913891e+001
3.612401e+001	-8.558725e+001
3.610774e+001	-9.031838e+001
3.619526e+001	-9.149989e+001
3.609250e+001	-9.918929e+001
3.598973e+001	-1.068787e+002
3.619835e+001	-1.039188e+002
3.632048e+001	-1.039170e+002
3.652910e+001	-1.009569e+002
3.661662e+001	-1.021384e+002
3.642736e+001	-1.127861e+002
3.622079e+001	-1.240253e+002
3.636021e+001	-1.234319e+002
3.700132e+001	-1.056809e+002
3.734834e+001	-9.798786e+001
3.736668e+001	-1.015356e+002
3.738500e+001	-1.050836e+002
3.736873e+001	-1.098150e+002
3.745625e+001	-1.109965e+002
3.752648e+001	-1.127696e+002
3.757941e+001	-1.151342e+002
3.790912e+001	-1.080327e+002
3.778906e+001	-1.163137e+002
3.759979e+001	-1.269616e+002
3.756622e+001	-1.322845e+002
3.770564e+001	-1.316911e+002
3.815646e+001	-1.204480e+002
3.836508e+001	-1.174881e+002
3.821041e+001	-1.269524e+002
3.805575e+001	-1.364167e+002
3.824707e+001	-1.340484e+002
3.833460e+001	-1.352297e+002
3.888921e+001	-1.204370e+002
3.914973e+001	-1.157020e+002
3.909886e+001	-1.216167e+002
3.901339e+001	-1.287145e+002
3.908361e+001	-1.304876e+002
3.929224e+001	-1.275275e+002
3.958736e+001	-1.216094e+002
3.962299e+001	-1.245656e+002
3.993540e+001	-1.180559e+002
3.991913e+001	-1.227873e+002
3.964337e+001	-1.363930e+002
3.971359e+001	-1.381660e+002
3.992222e+001	-1.352059e+002
4.011354e+001	-1.328376e+002
4.046056e+001	-1.251446e+002
4.066918e+001	-1.221845e+002
4.070480e+001	-1.251409e+002
4.120752e+001	-1.121231e+002
4.110475e+001	-1.198125e+002
4.088088e+001	-1.316435e+002
4.062243e+001	-1.446575e+002
4.032936e+001	-1.588552e+002
4.076288e+001	-1.482036e+002
4.112719e+001	-1.399190e+002
4.145691e+001	-1.328175e+002
4.147524e+001	-1.363655e+002
4.114758e+001	-1.517463e+002
4.111401e+001	-1.570691e+002
4.125343e+001	-1.564756e+002
4.115066e+001	-1.641653e+002
4.139389e+001	-1.600218e+002
4.184470e+001	-1.487789e+002
4.207062e+001	-1.452273e+002
4.193325e+001	-1.541000e+002
4.191698e+001	-1.588314e+002
4.193532e+001	-1.623791e+002
4.184984e+001	-1.694772e+002
4.157408e+001	-1.830829e+002
4.169620e+001	-1.830811e+002
4.173183e+001	-1.860375e+002
4.213075e+001	-1.765693e+002
4.247777e+001	-1.688762e+002
4.234040e+001	-1.777490e+002
4.194354e+001	-1.954963e+002
4.189267e+001	-2.014108e+002
4.255108e+001	-1.830682e+002
4.310569e+001	-1.682755e+002
4.295102e+001	-1.777399e+002
4.257146e+001	-1.948956e+002
4.257249e+001	-1.990352e+002
4.250432e+001	-2.055412e+002
4.233235e+001	-2.155975e+002
4.254097e+001	-2.126374e+002
4.287070e+001	-2.055357e+002
4.292362e+001	-2.079006e+002
4.316684e+001	-2.037574e+002
4.353116e+001	-1.954725e+002
4.344569e+001	-2.025703e+002
4.346402e+001	-2.061184e+002
4.375914e+001	-2.002000e+002
4.408885e+001	-1.930987e+002
4.443588e+001	-1.854055e+002
4.478289e+001	-1.777124e+002
4.487041e+001	-1.788939e+002
4.473305e+001	-1.877667e+002
4.440539e+001	-2.031473e+002
4.463131e+001	-1.995956e+002
4.537621e+001	-1.782950e+002
4.580973e+001	-1.676435e+002
4.591456e+001	-1.682335e+002
4.607128e+001	-1.670483e+002
4.619341e+001	-1.670464e+002
4.629823e+001	-1.676362e+002
4.671444e+001	-1.575767e+002
4.697497e+001	-1.528417e+002
4.692409e+001	-1.587564e+002
4.685593e+001	-1.652624e+002
4.711644e+001	-1.605276e+002
4.735967e+001	-1.563842e+002
4.765479e+001	-1.504660e+002
4.772501e+001	-1.522391e+002
4.757035e+001	-1.617034e+002
4.743298e+001	-1.705762e+002
4.739941e+001	-1.758991e+002
4.785023e+001	-1.646562e+002
4.857783e+001	-1.439470e+002
4.882105e+001	-1.398037e+002
4.838959e+001	-1.587344e+002
4.797543e+001	-1.770733e+002
4.813216e+001	-1.758881e+002
4.820238e+001	-1.776612e+002
4.822071e+001	-1.812092e+002
4.832554e+001	-1.817989e+002
4.853416e+001	-1.788390e+002
4.879468e+001	-1.741040e+002
4.874381e+001	-1.800185e+002
4.869294e+001	-1.859332e+002
4.869397e+001	-1.900728e+002
4.890259e+001	-1.871129e+002
4.935341e+001	-1.758698e+002
4.954473e+001	-1.735015e+002
4.928626e+001	-1.865156e+002
4.937379e+001	-1.876971e+002
4.927102e+001	-1.953865e+002
4.923745e+001	-2.007095e+002
4.927308e+001	-2.036659e+002
4.920491e+001	-2.101719e+002
4.934433e+001	-2.095785e+002
4.967405e+001	-2.024770e+002
4.981347e+001	-2.018837e+002
4.984910e+001	-2.048399e+002
5.085350e+001	-1.746647e+002
5.248068e+001	-1.231904e+002
5.341589e+001	-9.538149e+001
5.403970e+001	-7.822209e+001
5.475000e+001	-5.810463e+001
5.488943e+001	-5.751124e+001
5.461366e+001	-7.111716e+001
5.423410e+001	-8.827290e+001
5.411403e+001	-9.655387e+001
5.432265e+001	-9.359377e+001
5.442748e+001	-9.418372e+001
5.475720e+001	-8.708202e+001
5.550210e+001	-6.578144e+001
5.539933e+001	-7.347083e+001
5.489868e+001	-9.476798e+001
5.491701e+001	-9.831597e+001
5.548891e+001	-8.293170e+001
5.619923e+001	-6.281403e+001
5.616565e+001	-6.813695e+001
5.594179e+001	-7.996795e+001
5.592552e+001	-8.469907e+001
5.613414e+001	-8.173921e+001
5.632546e+001	-7.937090e+001
5.646489e+001	-7.877728e+001
5.629292e+001	-8.883337e+001
5.622475e+001	-9.533941e+001
5.638147e+001	-9.415446e+001
5.638250e+001	-9.829402e+001
5.643543e+001	-1.006587e+002
5.648835e+001	-1.030235e+002
5.626449e+001	-1.148543e+002
5.649041e+001	-1.113027e+002
5.680284e+001	-1.047927e+002
5.702876e+001	-1.012411e+002
5.709898e+001	-1.030144e+002
5.710001e+001	-1.071540e+002
5.736053e+001	-1.024189e+002
5.763835e+001	-9.709237e+001
5.748369e+001	-1.065567e+002
5.719061e+001	-1.207544e+002
5.753764e+001	-1.130611e+002
5.785006e+001	-1.065512e+002
5.786839e+001	-1.100992e+002
5.816350e+001	-1.041810e+002
5.835482e+001	-1.018127e+002
5.835586e+001	-1.059523e+002
5.856447e+001	-1.029924e+002
5.877310e+001	-1.000323e+002
5.875683e+001	-1.047635e+002
5.867135e+001	-1.118615e+002
5.894918e+001	-1.065347e+002
5.924430e+001	-1.006166e+002
5.933182e+001	-1.017981e+002
5.945395e+001	-1.017963e+002
5.945498e+001	-1.059358e+002
5.942141e+001	-1.112587e+002
5.961273e+001	-1.088904e+002
5.968295e+001	-1.106635e+002
5.978778e+001	-1.112533e+002
5.997910e+001	-1.088849e+002
6.020502e+001	-1.053333e+002
5.994657e+001	-1.183474e+002
6.012058e+001	-1.165707e+002
6.046760e+001	-1.088776e+002
6.072813e+001	-1.041426e+002
6.064266e+001	-1.112404e+002
6.041878e+001	-1.230715e+002
6.066202e+001	-1.189280e+002
6.076684e+001	-1.195180e+002
6.085435e+001	-1.206995e+002
6.111489e+001	-1.159643e+002
6.080452e+001	-1.307535e+002
6.078825e+001	-1.354849e+002
6.111797e+001	-1.283834e+002
6.165528e+001	-1.141823e+002
6.193310e+001	-1.088557e+002
6.162274e+001	-1.236447e+002
6.143348e+001	-1.342924e+002
6.115771e+001	-1.478981e+002
6.119334e+001	-1.508545e+002
6.128086e+001	-1.520360e+002
6.129919e+001	-1.555840e+002
6.142131e+001	-1.555822e+002
6.175103e+001	-1.484807e+002
6.221915e+001	-1.366461e+002
6.242777e+001	-1.336862e+002
6.237690e+001	-1.396007e+002
6.267202e+001	-1.336825e+002
6.269035e+001	-1.372305e+002
6.282977e+001	-1.366369e+002
6.298649e+001	-1.354519e+002
6.291832e+001	-1.419580e+002
6.252147e+001	-1.597053e+002
6.281658e+001	-1.537871e+002
6.312901e+001	-1.472772e+002
6.304354e+001	-1.543751e+002
6.320026e+001	-1.531899e+002
6.325318e+001	-1.555547e+002
6.297742e+001	-1.691607e+002
6.282275e+001	-1.786250e+002
6.275459e+001	-1.851310e+002
6.294591e+001	-1.827627e+002
6.346592e+001	-1.691533e+002
6.372644e+001	-1.644184e+002
6.390047e+001	-1.626416e+002
6.400529e+001	-1.632313e+002
6.400632e+001	-1.673709e+002
6.424954e+001	-1.632277e+002
6.442356e+001	-1.614509e+002
6.414780e+001	-1.750569e+002
6.390663e+001	-1.874794e+002
6.409796e+001	-1.851109e+002
6.444498e+001	-1.774178e+002
6.489579e+001	-1.661750e+002
6.451623e+001	-1.833307e+002
6.437886e+001	-1.922035e+002
6.476048e+001	-1.833270e+002
6.488260e+001	-1.833252e+002
6.486633e+001	-1.880564e+002
6.490196e+001	-1.910126e+002
6.483379e+001	-1.975188e+002
6.464452e+001	-2.081665e+002
6.485315e+001	-2.052064e+002
6.514827e+001	-1.992883e+002
6.509740e+001	-2.052027e+002
6.553091e+001	-1.945517e+002
6.596442e+001	-1.839003e+002
6.603465e+001	-1.856734e+002
6.613948e+001	-1.862632e+002
6.641730e+001	-1.809366e+002
6.647022e+001	-1.833014e+002
6.655775e+001	-1.844827e+002
6.673177e+001	-1.827060e+002
6.669821e+001	-1.880289e+002
6.687223e+001	-1.862522e+002
6.702896e+001	-1.850670e+002
6.673589e+001	-1.992645e+002
6.639092e+001	-2.152371e+002
6.653035e+001	-2.146435e+002
6.696386e+001	-2.039921e+002
6.712059e+001	-2.028070e+002
6.694862e+001	-2.128631e+002
6.693235e+001	-2.175944e+002
6.727937e+001	-2.099011e+002
6.745339e+001	-2.081244e+002
6.745442e+001	-2.122642e+002
6.755925e+001	-2.128539e+002
6.764677e+001	-2.140352e+002
6.785540e+001	-2.110754e+002
6.756233e+001	-2.252728e+002
6.747686e+001	-2.323705e+002
6.749519e+001	-2.359186e+002
6.761731e+001	-2.359168e+002
6.787783e+001	-2.311818e+002
6.782697e+001	-2.370964e+002
6.765500e+001	-2.471524e+002
6.793282e+001	-2.418258e+002
6.850473e+001	-2.264415e+002
6.899015e+001	-2.140151e+002
6.961395e+001	-1.968559e+002
7.077405e+001	-1.613558e+002
7.158815e+001	-1.376885e+002
7.205626e+001	-1.258541e+002
7.287037e+001	-1.021866e+002
7.342499e+001	-8.739388e+001
7.366820e+001	-8.325066e+001
7.417091e+001	-7.023286e+001
7.455254e+001	-6.135625e+001
7.472655e+001	-5.957972e+001
7.502168e+001	-5.366137e+001
7.512650e+001	-5.425132e+001
7.519672e+001	-5.602441e+001
7.507666e+001	-6.430536e+001
7.490469e+001	-7.436145e+001
7.507872e+001	-7.258449e+001
7.507975e+001	-7.672427e+001
7.506348e+001	-8.145562e+001
7.546240e+001	-7.198744e+001
7.568831e+001	-6.843577e+001
7.601803e+001	-6.133429e+001
7.655534e+001	-4.713337e+001
7.705806e+001	-3.411536e+001
7.671309e+001	-5.008775e+001
7.666223e+001	-5.600245e+001
7.683624e+001	-5.422571e+001
7.678538e+001	-6.014018e+001
7.689020e+001	-6.072992e+001
7.713342e+001	-5.658670e+001
7.739395e+001	-5.185169e+001
7.730848e+001	-5.894952e+001
7.729221e+001	-6.368087e+001
7.748353e+001	-6.131234e+001
7.769215e+001	-5.835246e+001
7.758938e+001	-6.604186e+001
7.752121e+001	-7.254790e+001
7.750494e+001	-7.727925e+001
7.785196e+001	-6.958619e+001
7.837197e+001	-5.597683e+001
7.880548e+001	-4.532552e+001
7.897951e+001	-4.354856e+001
7.884215e+001	-5.242130e+001
