    nm         	pN
0.000000e+000	4.921070e+002
1.047686e-001	4.914412e+002
1.232031e-001	4.874533e+002
1.071002e-001	4.821364e+002
3.919628e-002	4.748262e+002
5.826841e-003	4.688449e+002
-4.480625e-002	4.621992e+002
1.290307e-001	4.641912e+002
1.301943e-001	4.595387e+002
4.502962e-002	4.515643e+002
-2.287579e-002	4.442540e+002
6.462703e-002	4.429238e+002
-3.278368e-003	4.356135e+002
-8.844309e-002	4.276391e+002
-8.728018e-002	4.229866e+002
-1.704173e-002	4.209921e+002
-6.768132e-002	4.143462e+002
-1.528475e-001	4.063718e+002
-1.516831e-001	4.017193e+002
-2.964868e-002	4.017179e+002
6.051646e-003	3.983943e+002
-1.005125e-002	3.930774e+002
4.292065e-002	3.904185e+002
1.822209e-001	3.910815e+002
1.488529e-001	3.851002e+002
1.188498e-002	3.751324e+002
3.031443e-002	3.711443e+002
1.350823e-001	3.704785e+002
1.535183e-001	3.664906e+002
3.381544e-002	3.571872e+002
1.771398e-002	3.518703e+002
-5.018637e-002	3.445603e+002
-1.008260e-001	3.379144e+002
-8.239073e-002	3.339265e+002
-6.395622e-002	3.299386e+002
-8.005913e-002	3.246217e+002
-1.997613e-001	3.153183e+002
-9.499190e-002	3.146525e+002
-4.202576e-002	3.119933e+002
-2.359126e-002	3.080054e+002
-9.149594e-002	3.006952e+002
-1.421305e-001	2.940495e+002
-1.409668e-001	2.893970e+002
-1.915999e-001	2.827514e+002
-1.213636e-001	2.807568e+002
-5.113097e-002	2.787620e+002
1.835167e-003	2.761029e+002
1.238696e-001	2.761015e+002
2.143259e-002	2.674624e+002
-1.193541e-002	2.614812e+002
-9.710014e-002	2.535068e+002
-7.867140e-002	2.495186e+002
-8.433680e-003	2.475241e+002
-4.180168e-002	2.415428e+002
-7.516968e-002	2.355615e+002
9.866151e-002	2.375533e+002
3.243024e-001	2.415386e+002
1.355305e-001	2.295774e+002
-3.597412e-002	2.182807e+002
-1.211446e-001	2.103061e+002
-2.235759e-001	2.016673e+002
-2.569439e-001	1.956860e+002
-2.730461e-001	1.903691e+002
-1.337458e-001	1.910321e+002
2.282031e-002	1.923594e+002
1.103238e-001	1.910292e+002
1.287584e-001	1.870413e+002
4.358713e-002	1.790667e+002
4.475654e-002	1.744144e+002
8.045109e-002	1.710907e+002
8.162050e-002	1.664383e+002
1.345866e-001	1.637792e+002
1.702862e-001	1.604557e+002
1.887215e-001	1.564678e+002
1.208161e-001	1.491575e+002
3.464569e-001	1.531428e+002
6.584248e-001	1.604500e+002
6.250575e-001	1.544688e+002
5.744230e-001	1.478231e+002
4.719867e-001	1.391841e+002
3.868154e-001	1.312094e+002
4.743190e-001	1.298793e+002
5.100193e-001	1.265557e+002
5.111822e-001	1.219032e+002
4.950865e-001	1.165866e+002
3.235812e-001	1.052898e+002
2.556758e-001	9.797955e+001
4.122476e-001	9.930712e+001
4.652138e-001	9.664797e+001
5.009141e-001	9.332443e+001
5.538802e-001	9.066528e+001
4.514439e-001	8.202626e+001
4.353410e-001	7.670937e+001
5.401096e-001	7.604357e+001
6.448790e-001	7.537779e+001
7.151110e-001	7.338301e+001
6.299455e-001	6.540860e+001
7.519800e-001	6.540719e+001
8.049461e-001	6.274804e+001
8.233806e-001	5.876012e+001
9.454157e-001	5.875871e+001
1.015648e+000	5.676395e+001
7.578083e-001	4.214507e+001
8.107744e-001	3.948591e+001
1.001877e+000	4.214224e+001
9.685092e-001	3.616097e+001
1.038741e+000	3.416620e+001
1.229845e+000	3.682253e+001
1.351879e+000	3.682112e+001
1.439382e+000	3.549095e+001
1.336946e+000	2.685193e+001
1.199978e+000	1.688415e+001
1.460149e+000	2.219823e+001
1.685784e+000	2.618332e+001
1.704218e+000	2.219541e+001
1.739914e+000	1.887166e+001
1.620210e+000	9.568257e+000
1.742245e+000	9.566847e+000
1.847014e+000	8.901063e+000
1.727312e+000	-4.023304e-001
1.676679e+000	-7.047982e+000
1.626044e+000	-1.369363e+001
1.730808e+000	-1.435964e+001
1.921911e+000	-1.170332e+001
2.009415e+000	-1.303349e+001
2.096911e+000	-1.436388e+001
2.011746e+000	-2.233829e+001
1.874779e+000	-3.230607e+001
1.927745e+000	-3.496522e+001
2.015242e+000	-3.629561e+001
