    nm         	pN
0.000000e+000	5.388970e+002
1.047686e-001	5.382312e+002
1.404668e-001	5.349076e+002
5.529774e-002	5.269330e+002
9.099878e-002	5.236095e+002
1.266969e-001	5.202859e+002
2.426279e-002	5.116469e+002
-6.090050e-002	5.036726e+002
2.659439e-002	5.023421e+002
1.050014e-002	4.970255e+002
-5.740381e-002	4.897153e+002
-3.897075e-002	4.857273e+002
-1.068733e-001	4.784172e+002
-1.229704e-001	4.731005e+002
-1.045417e-001	4.691124e+002
-1.206374e-001	4.637957e+002
-2.058057e-001	4.558212e+002
-2.046442e-001	4.511686e+002
-2.207392e-001	4.458520e+002
-2.368421e-001	4.405351e+002
-2.011418e-001	4.372115e+002
-2.690400e-001	4.299016e+002
-3.024072e-001	4.239203e+002
-3.530454e-001	4.172745e+002
-4.382094e-001	4.093001e+002
-3.852433e-001	4.066410e+002
-3.495444e-001	4.033174e+002
-3.656458e-001	3.980005e+002
-3.644829e-001	3.933480e+002
-3.115125e-001	3.906890e+002
-3.103495e-001	3.860365e+002
-3.609812e-001	3.793909e+002
-3.770834e-001	3.740740e+002
-4.795175e-001	3.654351e+002
-5.301513e-001	3.587894e+002
-5.980481e-001	3.514795e+002
-5.796201e-001	3.474913e+002
-5.957165e-001	3.421747e+002
-6.636197e-001	3.348645e+002
-6.797219e-001	3.295476e+002
-6.440223e-001	3.262240e+002
-7.291848e-001	3.182497e+002
-8.316197e-001	3.096108e+002
-8.304561e-001	3.049583e+002
-8.465525e-001	2.996416e+002
-8.626539e-001	2.943248e+002
-9.132871e-001	2.876791e+002
-8.430565e-001	2.856843e+002
-7.900918e-001	2.830251e+002
-8.579900e-001	2.757151e+002
-8.395613e-001	2.717270e+002
-8.556577e-001	2.664103e+002
-9.580918e-001	2.577714e+002
-1.008724e+000	2.511258e+002
-1.024826e+000	2.458089e+002
-1.109995e+000	2.378343e+002
-1.108826e+000	2.331821e+002
-1.038596e+000	2.311872e+002
-9.856308e-001	2.285280e+002
-1.036264e+000	2.218824e+002
-1.086896e+000	2.152368e+002
-1.102998e+000	2.099199e+002
-1.032768e+000	2.079251e+002
-1.031599e+000	2.032728e+002
-1.030436e+000	1.986203e+002
-1.150135e+000	1.893170e+002
-1.200768e+000	1.826714e+002
-1.251401e+000	1.760258e+002
-1.215702e+000	1.727022e+002
-1.283604e+000	1.653920e+002
-1.230634e+000	1.627330e+002
-1.194934e+000	1.594095e+002
-1.176506e+000	1.554213e+002
-1.158071e+000	1.514334e+002
-1.105107e+000	1.487742e+002
-1.034876e+000	1.467794e+002
-1.120040e+000	1.388050e+002
-1.153407e+000	1.328238e+002
-1.204039e+000	1.261782e+002
-1.220142e+000	1.208613e+002
-1.270774e+000	1.142157e+002
-1.235075e+000	1.108921e+002
-1.251176e+000	1.055752e+002
-1.250013e+000	1.009227e+002
-1.179778e+000	9.892810e+001
-1.144077e+000	9.560455e+001
-1.211981e+000	8.829435e+001
-1.331681e+000	7.899106e+001
-1.416850e+000	7.101649e+001
-1.329348e+000	6.968624e+001
-1.138250e+000	7.234242e+001
-1.068020e+000	7.034757e+001
-1.239515e+000	5.905119e+001
-1.341949e+000	5.041226e+001
-1.288984e+000	4.775307e+001
-1.322352e+000	4.177183e+001
-1.321188e+000	3.711931e+001
-1.268224e+000	3.446012e+001
-1.284319e+000	2.914346e+001
-1.334958e+000	2.249762e+001
-1.385591e+000	1.585201e+001
-1.349890e+000	1.252846e+001
-1.400523e+000	5.882845e+000
-1.451157e+000	-7.627564e-001
-1.449993e+000	-5.415275e+000
-1.483360e+000	-1.139652e+001
-1.568523e+000	-1.937085e+001
-1.584626e+000	-2.468773e+001
-1.600727e+000	-3.000462e+001
-1.582293e+000	-3.399254e+001
-1.632926e+000	-4.063815e+001
-1.666292e+000	-4.661939e+001
-1.665130e+000	-5.127191e+001
-1.733027e+000	-5.858189e+001
-1.662797e+000	-6.057672e+001
-1.558031e+000	-6.124260e+001
-1.643199e+000	-6.921716e+001
-1.572963e+000	-7.121178e+001
-1.433666e+000	-7.054892e+001
-1.449769e+000	-7.586581e+001
-1.569468e+000	-8.516910e+001
-1.533769e+000	-8.849266e+001
-1.532605e+000	-9.314517e+001
-1.548702e+000	-9.846183e+001
-1.547538e+000	-1.031144e+002
-1.529104e+000	-1.071023e+002
-1.562470e+000	-1.130835e+002
-1.613104e+000	-1.197291e+002
-1.629206e+000	-1.250460e+002
-1.610772e+000	-1.290339e+002
-1.626873e+000	-1.343508e+002
-1.504842e+000	-1.343523e+002
-1.520944e+000	-1.396692e+002
-1.588842e+000	-1.469792e+002
-1.622209e+000	-1.529604e+002
-1.603780e+000	-1.569486e+002
-1.550809e+000	-1.596076e+002
-1.549647e+000	-1.642601e+002
-1.513948e+000	-1.675836e+002
-1.443716e+000	-1.695785e+002
-1.373481e+000	-1.715731e+002
-1.337781e+000	-1.748966e+002
-1.181219e+000	-1.735694e+002
-1.162784e+000	-1.775574e+002
-1.299756e+000	-1.875252e+002
-1.315852e+000	-1.928419e+002
-1.262887e+000	-1.955011e+002
-1.175391e+000	-1.968316e+002
-9.497562e-001	-1.928464e+002
-8.104588e-001	-1.921836e+002
-6.884265e-001	-1.921851e+002
-7.735970e-001	-2.001597e+002
-7.724261e-001	-2.048120e+002
-6.331287e-001	-2.041491e+002
-7.700945e-001	-2.141168e+002
-9.588613e-001	-2.260778e+002
-9.576977e-001	-2.307303e+002
-8.011295e-001	-2.294028e+002
-6.445670e-001	-2.280756e+002
-6.261325e-001	-2.320635e+002
-7.631040e-001	-2.420314e+002
-6.238009e-001	-2.413684e+002
-5.708362e-001	-2.440276e+002
-7.078005e-001	-2.539952e+002
-5.685031e-001	-2.533324e+002
