    nm         	pN
0.000000e+000	2.785291e+002
1.047088e-001	2.778610e+002
8.862029e-002	2.725447e+002
8.978321e-002	2.678922e+002
7.368896e-002	2.625756e+002
-6.320758e-002	2.526105e+002
-1.655905e-001	2.439736e+002
-1.471654e-001	2.399853e+002
-1.287403e-001	2.359970e+002
-1.448345e-001	2.306804e+002
-1.091522e-001	2.273562e+002
-1.942791e-001	2.193833e+002
-2.276294e-001	2.134027e+002
-1.919478e-001	2.100784e+002
-2.252989e-001	2.040978e+002
-2.068730e-001	2.001096e+002
-1.884483e-001	1.961213e+002
-1.700289e-001	1.921328e+002
-8.257153e-002	1.908008e+002
-6.415182e-002	1.868123e+002
-9.750251e-002	1.808317e+002
-6.182094e-002	1.775075e+002
-7.790942e-002	1.721911e+002
-9.400294e-002	1.668746e+002
-1.963862e-001	1.582376e+002
-1.952179e-001	1.535853e+002
-1.767982e-001	1.495968e+002
-2.446625e-001	1.422881e+002
-1.399479e-001	1.416202e+002
-8.700957e-002	1.389600e+002
-1.721361e-001	1.309871e+002
-2.745194e-001	1.223501e+002
-3.078701e-001	1.163695e+002
-3.067014e-001	1.117172e+002
-3.055388e-001	1.070646e+002
-3.043705e-001	1.024123e+002
-3.549834e-001	9.576747e+001
-3.538151e-001	9.111516e+001
-3.699089e-001	8.579858e+001
-3.514838e-001	8.181030e+001
-3.675781e-001	7.649373e+001
-3.836723e-001	7.117715e+001
-3.825036e-001	6.652484e+001
-3.985975e-001	6.120827e+001
-3.974292e-001	5.655596e+001
-4.307799e-001	5.057535e+001
-4.986500e-001	4.326646e+001
-4.457112e-001	4.060624e+001
-4.617997e-001	3.528990e+001
-4.433803e-001	3.130139e+001
-4.076980e-001	2.797714e+001
-3.892729e-001	2.398887e+001
-4.743994e-001	1.601594e+001
-5.422637e-001	8.707261e+000
-6.446466e-001	7.030032e-002
-6.779973e-001	-5.910297e+000
-6.078021e-001	-7.906473e+000
-6.238906e-001	-1.322283e+001
-6.572413e-001	-1.920344e+001
-7.941436e-001	-2.916869e+001
-8.620072e-001	-3.647736e+001
-7.918127e-001	-3.847354e+001
-6.525788e-001	-3.781313e+001
-7.031917e-001	-4.445799e+001
-7.537996e-001	-5.110264e+001
-7.181173e-001	-5.442689e+001
-6.134027e-001	-5.509477e+001
-5.259511e-001	-5.642692e+001
-5.075260e-001	-6.041520e+001
-5.753903e-001	-6.772387e+001
-5.569709e-001	-7.171238e+001
-6.075780e-001	-7.835702e+001
-6.754424e-001	-8.566569e+001
-7.950817e-001	-9.496668e+001
-8.284332e-001	-1.009473e+002
-7.582373e-001	-1.029435e+002
-6.362663e-001	-1.029473e+002
-5.660711e-001	-1.049435e+002
-5.303895e-001	-1.082677e+002
-4.601886e-001	-1.102637e+002
-5.280587e-001	-1.175726e+002
-5.786658e-001	-1.242172e+002
-6.292729e-001	-1.308619e+002
-4.900455e-001	-1.302017e+002
-2.645286e-001	-1.262211e+002
-1.425569e-001	-1.262250e+002
-1.241325e-001	-1.302133e+002
-1.747397e-001	-1.368579e+002
-2.426032e-001	-1.441666e+002
-2.932168e-001	-1.508114e+002
-2.575353e-001	-1.541357e+002
-2.908860e-001	-1.601163e+002
-3.932689e-001	-1.687533e+002
-4.266138e-001	-1.747336e+002
-4.254509e-001	-1.793862e+002
-4.070265e-001	-1.833745e+002
-3.540878e-001	-1.860347e+002
-3.011491e-001	-1.886949e+002
-3.344997e-001	-1.946755e+002
-2.815610e-001	-1.973357e+002
-2.458787e-001	-2.006599e+002
-2.274543e-001	-2.046482e+002
-2.953237e-001	-2.119571e+002
-1.733519e-001	-2.119610e+002
-1.031524e-001	-2.139569e+002
-1.019902e-001	-2.186095e+002
-8.356441e-002	-2.225978e+002
5.566374e-002	-2.219376e+002
2.639234e-001	-2.186211e+002
2.823493e-001	-2.226093e+002
3.352880e-001	-2.252696e+002
2.674172e-001	-2.325784e+002
3.893889e-001	-2.325823e+002
6.666815e-001	-2.266094e+002
8.231719e-001	-2.252850e+002
7.898212e-001	-2.312656e+002
8.082456e-001	-2.352539e+002
7.403763e-001	-2.425627e+002
5.689597e-001	-2.538561e+002
4.493196e-001	-2.631571e+002
4.159703e-001	-2.691377e+002
4.516526e-001	-2.724619e+002
4.355641e-001	-2.777782e+002
4.712450e-001	-2.811025e+002
5.932167e-001	-2.811064e+002
8.359892e-001	-2.764618e+002
9.579609e-001	-2.764656e+002
9.073538e-001	-2.831103e+002
8.049701e-001	-2.917472e+002
8.061395e-001	-2.963995e+002
8.763347e-001	-2.983957e+002
9.983050e-001	-2.983996e+002
1.016731e+000	-3.023878e+002
9.833787e-001	-3.083685e+002
9.672859e-001	-3.136850e+002
1.037481e+000	-3.156812e+002
1.073163e+000	-3.190055e+002
1.126102e+000	-3.216657e+002
1.110008e+000	-3.269822e+002
1.076657e+000	-3.329629e+002
1.060567e+000	-3.382792e+002
1.113506e+000	-3.409394e+002
1.131932e+000	-3.449277e+002
1.081317e+000	-3.515726e+002
1.220553e+000	-3.509122e+002
1.169940e+000	-3.575570e+002
1.136589e+000	-3.635376e+002
1.310336e+000	-3.615491e+002
1.346017e+000	-3.648734e+002
1.398956e+000	-3.675336e+002
1.520927e+000	-3.675374e+002
1.401287e+000	-3.768384e+002
1.488745e+000	-3.781704e+002
1.662486e+000	-3.761821e+002
1.680911e+000	-3.801704e+002
1.526753e+000	-3.907997e+002
1.631465e+000	-3.914676e+002
1.667147e+000	-3.947919e+002
1.702830e+000	-3.981161e+002
1.893833e+000	-3.954636e+002
1.929515e+000	-3.987879e+002
1.809875e+000	-4.080888e+002
1.828295e+000	-4.120773e+002
1.950266e+000	-4.120812e+002
2.003210e+000	-4.147412e+002
2.142438e+000	-4.140810e+002
2.333441e+000	-4.114285e+002
2.455413e+000	-4.114323e+002
2.680929e+000	-4.074518e+002
2.802899e+000	-4.074557e+002
2.683261e+000	-4.167566e+002
2.632654e+000	-4.234013e+002
2.651072e+000	-4.273898e+002
2.824819e+000	-4.254013e+002
3.102112e+000	-4.194284e+002
3.241340e+000	-4.187682e+002
3.449599e+000	-4.154517e+002
4.037537e+000	-3.975253e+002
4.487408e+000	-3.849116e+002
4.661154e+000	-3.829232e+002
4.765868e+000	-3.835911e+002
5.491870e+000	-3.603520e+002
6.821896e+000	-3.138701e+002
8.048376e+000	-2.713727e+002
8.636312e+000	-2.534463e+002
8.982638e+000	-2.448170e+002
9.173634e+000	-2.421648e+002
9.416415e+000	-2.375199e+002
9.987095e+000	-2.202575e+002
1.067858e+001	-1.983467e+002
1.162893e+001	-1.664747e+002
1.207880e+001	-1.538608e+002
1.220077e+001	-1.538647e+002
1.232275e+001	-1.538686e+002
1.232391e+001	-1.585211e+002
1.258394e+001	-1.532122e+002
1.263688e+001	-1.558724e+002
1.263805e+001	-1.605250e+002
1.286357e+001	-1.565442e+002
1.305457e+001	-1.538917e+002
