    nm         	pN
0.000000e+000	4.913698e+002
1.737583e-001	4.933587e+002
1.231469e-001	4.867139e+002
1.588321e-001	4.833898e+002
2.462938e-001	4.820580e+002
1.439014e-001	4.734207e+002
4.151057e-002	4.647834e+002
5.993642e-002	4.607952e+002
7.836010e-002	4.568068e+002
6.226802e-002	4.514903e+002
2.891445e-002	4.455096e+002
-2.169989e-002	4.388647e+002
6.576182e-002	4.375330e+002
1.359656e-001	4.355371e+002
6.809342e-002	4.282281e+002
-5.155534e-002	4.189268e+002
-3.313165e-002	4.149384e+002
2.552079e-003	4.116143e+002
-4.805865e-002	4.049695e+002
-1.331895e-001	3.969964e+002
-2.183232e-001	3.890232e+002
-3.034540e-001	3.810501e+002
-3.540662e-001	3.744053e+002
-3.356411e-001	3.704170e+002
-2.654379e-001	3.684211e+002
-2.124956e-001	3.657611e+002
-2.285877e-001	3.604446e+002
-1.411260e-001	3.591128e+002
-1.399602e-001	3.544604e+002
-1.733131e-001	3.484797e+002
-1.894080e-001	3.431631e+002
-1.709822e-001	3.391748e+002
-2.215965e-001	3.325299e+002
-2.204307e-001	3.278775e+002
-2.365235e-001	3.225610e+002
-3.043957e-001	3.152520e+002
-2.859721e-001	3.112637e+002
-2.675455e-001	3.072754e+002
-2.318632e-001	3.039512e+002
-2.479560e-001	2.986347e+002
-1.777522e-001	2.966388e+002
-1.075512e-001	2.946429e+002
-8.912394e-002	2.906547e+002
-1.569969e-001	2.833457e+002
-1.213124e-001	2.800215e+002
-8.562726e-002	2.766974e+002
-1.017222e-001	2.713808e+002
-1.523344e-001	2.647360e+002
-1.856880e-001	2.587552e+002
-2.017837e-001	2.534386e+002
-2.178757e-001	2.481221e+002
-1.821906e-001	2.447980e+002
-1.810284e-001	2.401454e+002
-2.316398e-001	2.335006e+002
-2.995113e-001	2.261917e+002
-3.673821e-001	2.188828e+002
-4.179964e-001	2.122379e+002
-3.477926e-001	2.102420e+002
-3.466268e-001	2.055896e+002
-3.282031e-001	2.016012e+002
-3.788146e-001	1.949565e+002
-4.639454e-001	1.869833e+002
-4.627825e-001	1.823308e+002
-3.925787e-001	1.803350e+002
-3.223748e-001	1.783391e+002
-2.176545e-001	1.776715e+002
-2.164895e-001	1.730190e+002
-1.462849e-001	1.710232e+002
-1.106005e-001	1.676990e+002
-2.129921e-001	1.590618e+002
-1.945655e-001	1.550735e+002
-1.588839e-001	1.517493e+002
-1.059380e-001	1.490894e+002
-2.773676e-001	1.377955e+002
-3.797592e-001	1.291582e+002
-2.577781e-001	1.291547e+002
-2.393515e-001	1.251665e+002
-3.935204e-001	1.145369e+002
-4.268740e-001	1.085561e+002
-4.602268e-001	1.025754e+002
-4.418039e-001	9.858710e+001
-3.888579e-001	9.592717e+001
-3.359149e-001	9.326711e+001
-4.728258e-001	8.330155e+001
-5.234373e-001	7.665674e+001
-4.187141e-001	7.598919e+001
-2.622172e-001	7.731389e+001
-2.610514e-001	7.266146e+001
-3.461823e-001	6.468838e+001
-3.277550e-001	6.070015e+001
-2.920705e-001	5.737602e+001
-2.736497e-001	5.338758e+001
-2.897389e-001	4.807118e+001
-3.576147e-001	4.076206e+001
-3.219296e-001	3.743793e+001
-2.172071e-001	3.677037e+001
-1.124839e-001	3.610280e+001
-7.679945e-002	3.277867e+001
-1.964554e-001	2.347707e+001
-1.089908e-001	2.214542e+001
6.477039e-002	2.413444e+001
3.420861e-001	3.010820e+001
4.640672e-001	3.010472e+001
1.718187e-001	1.416180e+001
3.110641e-001	1.482264e+001
6.056378e-001	2.146049e+001
7.103602e-001	2.079293e+001
8.495999e-001	2.145354e+001
6.954282e-001	1.082377e+001
5.412622e-001	1.942285e-001
6.114632e-001	-1.801725e+000
6.816699e-001	-3.797465e+000
4.929824e-001	-1.575541e+001
2.697719e-001	-2.904175e+001
2.364183e-001	-3.502246e+001
4.274374e-001	-3.236936e+001
4.113432e-001	-3.768599e+001
2.916930e-001	-4.698735e+001
3.964155e-001	-4.765493e+001
4.493585e-001	-5.031497e+001
7.611958e-001	-4.301281e+001
1.090285e+000	-3.504679e+001
1.264046e+000	-3.305777e+001
1.127138e+000	-4.302324e+001
7.485954e-001	-6.228681e+001
5.253906e-001	-7.557293e+001
4.575213e-001	-8.288182e+001
5.277222e-001	-8.487778e+001
4.943687e-001	-9.085849e+001
5.645696e-001	-9.285445e+001
6.520342e-001	-9.418610e+001
7.740145e-001	-9.418957e+001
1.103105e+000	-8.622355e+001
1.535755e+000	-7.427255e+001
1.744032e+000	-7.095536e+001
1.641645e+000	-7.959242e+001
1.556512e+000	-8.756563e+001
1.402341e+000	-9.819540e+001
1.558844e+000	-9.687047e+001
1.836160e+000	-9.089671e+001
2.078953e+000	-8.625135e+001
1.873006e+000	-9.887338e+001
1.874175e+000	-1.035257e+002
2.116968e+000	-9.888033e+001
2.411541e+000	-9.224248e+001
2.706121e+000	-8.560441e+001
2.638246e+000	-9.291351e+001
2.725710e+000	-9.424516e+001
2.916730e+000	-9.159207e+001
2.641745e+000	-1.068707e+002
2.522097e+000	-1.161720e+002
2.506001e+000	-1.214887e+002
2.386351e+000	-1.307900e+002
2.594628e+000	-1.274729e+002
2.958240e+000	-1.181784e+002
3.011182e+000	-1.208385e+002
2.926049e+000	-1.288117e+002
2.961734e+000	-1.321358e+002
3.031940e+000	-1.341315e+002
3.033103e+000	-1.387841e+002
3.034272e+000	-1.434364e+002
3.052692e+000	-1.474248e+002
3.122899e+000	-1.494206e+002
3.124061e+000	-1.540731e+002
3.194262e+000	-1.560691e+002
3.471578e+000	-1.500953e+002
3.645339e+000	-1.481063e+002
3.542948e+000	-1.567436e+002
3.803005e+000	-1.514339e+002
3.873205e+000	-1.534299e+002
3.667260e+000	-1.660519e+002
3.910058e+000	-1.614063e+002
4.204632e+000	-1.547685e+002
4.154021e+000	-1.614133e+002
4.655708e+000	-1.468057e+002
6.072139e+000	-9.699902e+001
6.884495e+000	-7.043698e+001
7.110030e+000	-6.645572e+001
7.421862e+000	-5.915377e+001
7.440289e+000	-6.314200e+001
7.337897e+000	-7.177928e+001
7.390839e+000	-7.443934e+001
7.357486e+000	-8.042005e+001
7.358655e+000	-8.507235e+001
7.912117e+000	-6.847252e+001
8.620919e+000	-4.589523e+001
9.416012e+000	-1.999750e+001
9.468955e+000	-2.265754e+001
8.814270e+000	-5.254697e+001
9.074321e+000	-4.723752e+001
9.317120e+000	-4.259194e+001
9.266509e+000	-4.923673e+001
8.939744e+000	-6.650783e+001
8.561207e+000	-8.577118e+001
8.665924e+000	-8.643897e+001
8.943239e+000	-8.046520e+001
9.444927e+000	-6.585764e+001
9.877576e+000	-5.390664e+001
1.003408e+001	-5.258172e+001
1.032865e+001	-4.594387e+001
1.046789e+001	-4.528326e+001
1.027920e+001	-5.724120e+001
1.019407e+001	-6.521440e+001
1.017798e+001	-7.053080e+001
1.073144e+001	-5.393096e+001
1.093972e+001	-5.061377e+001
1.063022e+001	-6.722056e+001
1.047605e+001	-7.785033e+001
1.080514e+001	-6.988408e+001
1.144490e+001	-4.996359e+001
1.173948e+001	-4.332552e+001
1.156805e+001	-5.461937e+001
1.148292e+001	-6.259256e+001
1.169119e+001	-5.927539e+001
1.221014e+001	-4.400373e+001
1.238390e+001	-4.201471e+001
1.228151e+001	-5.065200e+001
1.259335e+001	-4.334984e+001
1.261177e+001	-4.733829e+001
1.249212e+001	-5.663965e+001
1.273492e+001	-5.199407e+001
1.308127e+001	-4.336374e+001
1.297888e+001	-5.200102e+001
1.301457e+001	-5.532515e+001
1.339543e+001	-4.536664e+001
1.341386e+001	-4.935487e+001
1.355310e+001	-4.869426e+001
1.386493e+001	-4.139232e+001
1.440114e+001	-2.545635e+001
1.448860e+001	-2.678822e+001
1.416184e+001	-4.405932e+001
1.395589e+001	-5.668135e+001
1.412965e+001	-5.469234e+001
1.485571e+001	-3.145096e+001
1.470154e+001	-4.208073e+001
1.423671e+001	-6.466475e+001
1.460032e+001	-5.537032e+001
1.542993e+001	-2.814419e+001
1.553465e+001	-2.881198e+001
1.541500e+001	-3.811335e+001
1.550246e+001	-3.944500e+001
1.583156e+001	-3.147876e+001
1.584998e+001	-3.546720e+001
1.557500e+001	-5.074581e+001
1.554164e+001	-5.672653e+001
1.571540e+001	-5.473751e+001
1.587190e+001	-5.341281e+001
1.606292e+001	-5.075971e+001
1.625394e+001	-4.810661e+001
1.627237e+001	-5.209484e+001
1.649790e+001	-4.811356e+001
1.705137e+001	-3.151351e+001
1.717335e+001	-3.151698e+001
1.708822e+001	-3.949017e+001
1.707212e+001	-4.480680e+001
1.690069e+001	-5.610065e+001
1.705719e+001	-5.477573e+001
1.700658e+001	-6.142052e+001
1.673160e+001	-7.669914e+001
1.688810e+001	-7.537444e+001
1.732075e+001	-6.342343e+001
1.732191e+001	-6.807575e+001
1.747841e+001	-6.675104e+001
1.782476e+001	-5.812072e+001
1.813660e+001	-5.081877e+001
1.824132e+001	-5.148634e+001
1.793182e+001	-6.809312e+001
1.788120e+001	-7.473814e+001
1.774429e+001	-8.470360e+001
1.800435e+001	-7.939392e+001
1.835071e+001	-7.076359e+001
1.895595e+001	-5.217127e+001
1.942311e+001	-3.889210e+001
1.932072e+001	-4.752938e+001
1.906299e+001	-6.214390e+001
1.896061e+001	-7.078096e+001
1.873740e+001	-8.406730e+001
1.861775e+001	-9.336868e+001
1.910218e+001	-7.942520e+001
1.979372e+001	-5.751222e+001
2.022637e+001	-4.556122e+001
2.027931e+001	-4.822127e+001
2.024596e+001	-5.420198e+001
1.979838e+001	-7.612191e+001
1.928177e+001	-1.006984e+002
1.935197e+001	-1.026944e+002
1.950847e+001	-1.013694e+002
1.971675e+001	-9.805226e+001
2.014940e+001	-8.610127e+001
2.021960e+001	-8.809723e+001
2.022076e+001	-9.274976e+001
2.017015e+001	-9.939456e+001
2.005050e+001	-1.086959e+002
2.018974e+001	-1.080353e+002
2.057061e+001	-9.807658e+001
2.079615e+001	-9.409531e+001
2.084909e+001	-9.675535e+001
2.062589e+001	-1.100415e+002
2.033365e+001	-1.259842e+002
2.066274e+001	-1.180182e+002
2.125072e+001	-1.000899e+002
2.175241e+001	-8.548234e+001
2.194343e+001	-8.282925e+001
2.189281e+001	-8.947405e+001
2.173864e+001	-1.001038e+002
2.154995e+001	-1.120618e+002
2.117142e+001	-1.313251e+002
2.129340e+001	-1.313286e+002
2.170878e+001	-1.200419e+002
2.208966e+001	-1.100832e+002
2.240149e+001	-1.027812e+002
2.241992e+001	-1.067695e+002
2.223123e+001	-1.187274e+002
2.193899e+001	-1.346701e+002
2.221630e+001	-1.286963e+002
2.282154e+001	-1.101040e+002
2.327145e+001	-9.748893e+001
2.313454e+001	-1.074544e+002
2.296312e+001	-1.187482e+002
2.292976e+001	-1.247290e+002
2.299996e+001	-1.267249e+002
2.305290e+001	-1.293850e+002
2.322667e+001	-1.273960e+002
2.353850e+001	-1.200940e+002
2.338433e+001	-1.307236e+002
2.317839e+001	-1.433456e+002
2.342118e+001	-1.387002e+002
2.359494e+001	-1.367112e+002
2.347529e+001	-1.460126e+002
2.361453e+001	-1.453520e+002
2.411622e+001	-1.307444e+002
2.432449e+001	-1.274272e+002
2.451551e+001	-1.247741e+002
2.474105e+001	-1.207928e+002
2.484577e+001	-1.214604e+002
2.479516e+001	-1.281052e+002
2.479632e+001	-1.327577e+002
2.483201e+001	-1.360819e+002
2.491947e+001	-1.374135e+002
2.497242e+001	-1.400736e+002
2.481824e+001	-1.507034e+002
2.457778e+001	-1.646536e+002
2.452717e+001	-1.712984e+002
2.463189e+001	-1.719661e+002
2.485743e+001	-1.679847e+002
