    nm         	pN
0.000000e+000	6.704617e+002
9.169213e-002	6.641944e+002
-4.511371e-002	6.485336e+002
-2.390562e-001	6.305238e+002
-2.235224e-001	6.211257e+002
-1.318505e-001	6.148576e+002
-2.877037e-001	5.984137e+002
-5.577816e-001	5.772740e+002
-6.184291e-001	5.647440e+002
-5.457816e-001	5.576938e+002
-5.683601e-001	5.467288e+002
-7.051659e-001	5.310680e+002
-8.990868e-001	5.130591e+002
-8.645286e-001	5.044430e+002
-6.966768e-001	5.013067e+002
-8.144596e-001	4.864279e+002
-1.027425e+000	4.676361e+002
-1.088073e+000	4.551061e+002
-9.392654e-001	4.511869e+002
-8.285503e-001	4.457016e+002
-9.463101e-001	4.308238e+002
-1.159277e+000	4.120319e+002
-1.162810e+000	4.018499e+002
-1.033027e+000	3.971486e+002
-9.984692e-001	3.885325e+002
-1.192411e+000	3.705228e+002
-1.405377e+000	3.517310e+002
-1.275615e+000	3.470287e+002
-1.202968e+000	3.399785e+002
-1.320750e+000	3.250998e+002
-1.495625e+000	3.078739e+002
-1.594362e+000	2.937780e+002
-1.350352e+000	2.937726e+002
-1.525227e+000	2.765467e+002
-1.643010e+000	2.616679e+002
-1.646521e+000	2.514867e+002
-1.478670e+000	2.483504e+002
-1.348908e+000	2.436482e+002
-1.504760e+000	2.272044e+002
-1.660612e+000	2.107605e+002
-1.607009e+000	2.029274e+002
-1.382043e+000	2.021390e+002
-1.328442e+000	1.943059e+002
-1.655656e+000	1.708173e+002
-1.640144e+000	1.614182e+002
-1.567496e+000	1.543680e+002
-1.666235e+000	1.402722e+002
-1.707836e+000	1.285251e+002
-1.597098e+000	1.230408e+002
-1.505428e+000	1.167727e+002
-1.489894e+000	1.073745e+002
-1.322064e+000	1.042373e+002
-1.554074e+000	8.466259e+001
-1.481428e+000	7.761239e+001
-1.275507e+000	7.604107e+001
-1.412313e+000	6.038019e+001
-1.530074e+000	4.550227e+001
-1.419357e+000	4.001709e+001
-1.537118e+000	2.513916e+001
