    nm         	pN
0.000000e+000	6.303868e+002
-4.165012e-002	6.186378e+002
-1.023651e-001	6.061051e+002
-1.630842e-001	5.935721e+002
-1.475450e-001	5.841742e+002
-1.129463e-001	5.755598e+002
-1.927235e-001	5.622434e+002
-2.534372e-001	5.497107e+002
-3.332185e-001	5.363942e+002
-4.129957e-001	5.230777e+002
-4.355850e-001	5.121124e+002
-5.153649e-001	4.987958e+002
-5.570164e-001	4.870468e+002
-5.224149e-001	4.784325e+002
-5.640691e-001	4.666834e+002
-6.247835e-001	4.541506e+002
-5.711185e-001	4.463201e+002
-6.699613e-001	4.322199e+002
-6.162964e-001	4.243893e+002
-6.770154e-001	4.118564e+002
-7.567927e-001	3.985400e+002
-7.793806e-001	3.875746e+002
-8.972883e-001	3.726907e+002
-9.198769e-001	3.617253e+002
-9.424654e-001	3.507599e+002
-1.060370e+000	3.358761e+002
-1.121085e+000	3.233434e+002
-1.143674e+000	3.123780e+002
-1.185327e+000	3.006289e+002
-1.169789e+000	2.912309e+002
-1.211443e+000	2.794818e+002
-1.214969e+000	2.693001e+002
-1.237558e+000	2.583347e+002
-1.355462e+000	2.434509e+002
-1.320863e+000	2.348365e+002
-1.362515e+000	2.230874e+002
-1.442293e+000	2.097710e+002
-1.407693e+000	2.011567e+002
-1.506535e+000	1.870565e+002
-1.586315e+000	1.737400e+002
-1.685157e+000	1.596398e+002
-1.650555e+000	1.510256e+002
-1.673143e+000	1.400602e+002
-1.657607e+000	1.306621e+002
-1.661134e+000	1.204804e+002
-1.702785e+000	1.087314e+002
-1.801627e+000	9.463122e+001
-1.862340e+000	8.209856e+001
-1.770551e+000	7.583528e+001
-2.002839e+000	5.624914e+001
-1.891982e+000	5.076974e+001
-1.723939e+000	4.764127e+001
-2.013412e+000	2.570419e+001
-2.074132e+000	1.317131e+001
-2.039529e+000	4.557095e+000
-2.043054e+000	-5.624614e+000
-1.855950e+000	-7.969434e+000
-1.573522e+000	-6.395577e+000
-1.882065e+000	-2.911653e+001
-1.828400e+000	-3.694710e+001
-1.774735e+000	-4.477765e+001
-1.740131e+000	-5.339186e+001
-1.114572e+000	-3.771173e+001
-1.480299e+000	-6.278361e+001
-9.691173e-001	-5.180555e+001
-5.341895e-001	-4.396232e+001
2.248161e-001	-2.279621e+001
-1.218495e-001	-4.708445e+001
-3.731933e-001	-6.745401e+001
4.542576e-003	-6.196193e+001
9.923095e-001	-3.139140e+001
9.697202e-001	-4.235677e+001
1.175888e+000	-4.391795e+001
1.096112e+000	-5.723425e+001
1.912305e+000	-3.371720e+001
2.309108e+000	-2.744125e+001
1.981505e+000	-5.094584e+001
2.244869e+000	-5.015564e+001
2.508227e+000	-4.936565e+001
2.428447e+000	-6.268219e+001
2.463050e+000	-7.129639e+001
2.783595e+000	-6.815547e+001
2.570376e+000	-8.695774e+001
