    nm         	pN
0.000000e+000	6.176488e+002
1.554054e-002	6.082509e+002
-2.610958e-002	5.965019e+002
-6.775969e-002	5.847529e+002
-5.222995e-002	5.753546e+002
-7.481381e-002	5.643894e+002
-1.164653e-001	5.526404e+002
-1.199910e-001	5.424587e+002
-1.997777e-001	5.291419e+002
-2.223602e-001	5.181768e+002
-2.830779e-001	5.056439e+002
-3.628538e-001	4.923276e+002
-3.663808e-001	4.821458e+002
-3.889742e-001	4.711803e+002
-5.068738e-001	4.562966e+002
-5.104008e-001	4.461149e+002
-5.329941e-001	4.351493e+002
-6.318369e-001	4.210491e+002
-6.925546e-001	4.085163e+002
-7.342061e-001	3.967672e+002
-7.377325e-001	3.865855e+002
-7.031243e-001	3.779715e+002
-7.638428e-001	3.654386e+002
-8.054929e-001	3.536896e+002
-8.090200e-001	3.435079e+002
-8.697383e-001	3.309750e+002
-9.685804e-001	3.168748e+002
-9.530399e-001	3.074770e+002
-9.565663e-001	2.972952e+002
-1.017285e+000	2.847624e+002
-1.097060e+000	2.714460e+002
-1.176846e+000	2.581293e+002
-1.180372e+000	2.479476e+002
-1.183899e+000	2.377658e+002
-1.225549e+000	2.260168e+002
-1.267201e+000	2.142678e+002
-1.251659e+000	2.048699e+002
-1.293310e+000	1.931209e+002
-1.315904e+000	1.821553e+002
-1.300363e+000	1.727575e+002
-1.418274e+000	1.578734e+002
-1.440857e+000	1.469083e+002
-1.463452e+000	1.359427e+002
-1.486034e+000	1.249775e+002
-1.356120e+000	1.202815e+002
-1.378715e+000	1.093159e+002
-1.553806e+000	9.208118e+001
-1.500141e+000	8.425061e+001
-1.637107e+000	6.858315e+001
-1.469069e+000	6.545447e+001
-1.644160e+000	4.821969e+001
-1.495179e+000	4.430759e+001
-1.498706e+000	3.412587e+001
-1.483165e+000	2.472801e+001
-1.524826e+000	1.297854e+001
-1.433026e+000	6.715724e+000
-1.360304e+000	-3.314045e-001
-1.306639e+000	-8.161972e+000
-1.176726e+000	-1.285795e+001
-1.142118e+000	-2.147193e+001
-1.012204e+000	-2.616790e+001
-1.263554e+000	-4.653770e+001
-1.019257e+000	-4.653136e+001
-1.099033e+000	-5.984768e+001
-7.594196e-001	-5.592285e+001
-7.629454e-001	-6.610459e+001
-6.330316e-001	-7.080056e+001
-6.937507e-001	-8.333344e+001
-5.447693e-001	-8.724555e+001
-3.385960e-001	-8.880649e+001
-2.277404e-001	-9.428589e+001
-3.647069e-001	-1.099534e+002
-1.966687e-001	-1.130821e+002
-2.192526e-001	-1.240472e+002
-1.309004e-002	-1.256086e+002
7.871011e-002	-1.318714e+002
1.895563e-001	-1.373513e+002
6.816762e-001	-1.271568e+002
6.019016e-001	-1.404731e+002
3.696187e-001	-1.600591e+002
6.139165e-001	-1.600527e+002
1.182285e+000	-1.467237e+002
1.369391e+000	-1.490685e+002
2.204651e+000	-1.247675e+002
2.277383e+000	-1.318142e+002
2.235721e+000	-1.435637e+002
2.232206e+000	-1.537450e+002
2.323994e+000	-1.600083e+002
2.835172e+000	-1.490304e+002
3.556049e+000	-1.294318e+002
3.914730e+000	-1.247231e+002
4.464042e+000	-1.121775e+002
4.327075e+000	-1.278450e+002
4.628553e+000	-1.254879e+002
5.292248e+000	-1.082400e+002
5.727177e+000	-1.003967e+002
5.933350e+000	-1.019577e+002
6.196704e+000	-1.011679e+002
6.707892e+000	-9.018958e+001
6.894998e+000	-9.253439e+001
7.120227e+000	-9.331191e+001
7.002328e+000	-1.081955e+002
7.017868e+000	-1.175934e+002
7.204974e+000	-1.199382e+002
7.449271e+000	-1.199318e+002
7.293236e+000	-1.363832e+002
7.289709e+000	-1.465649e+002
7.419623e+000	-1.512609e+002
7.454233e+000	-1.598749e+002
8.308549e+000	-1.347905e+002
9.429757e+000	-9.873414e+001
9.369038e+000	-1.112670e+002
9.346455e+000	-1.222322e+002
9.285738e+000	-1.347651e+002
9.606294e+000	-1.316237e+002
9.755273e+000	-1.355358e+002
9.904254e+000	-1.394479e+002
1.014855e+001	-1.394415e+002
1.073598e+001	-1.253291e+002
1.054182e+001	-1.433477e+002
1.055736e+001	-1.527456e+002
1.085885e+001	-1.503881e+002
1.142722e+001	-1.370591e+002
1.161433e+001	-1.394034e+002
1.166799e+001	-1.472344e+002
1.208386e+001	-1.401746e+002
1.282381e+001	-1.197921e+002
1.386875e+001	-8.687079e+001
1.516154e+001	-4.376096e+001
1.565366e+001	-3.356653e+001
1.580264e+001	-3.747864e+001
1.602787e+001	-3.825615e+001
1.585278e+001	-5.549093e+001
1.605895e+001	-5.705187e+001
1.639856e+001	-5.312706e+001
1.711944e+001	-3.352843e+001
1.728748e+001	-3.665710e+001
1.707426e+001	-5.545917e+001
1.691823e+001	-7.191051e+001
1.699095e+001	-7.895765e+001
1.738775e+001	-7.268168e+001
1.772737e+001	-6.875688e+001
1.741884e+001	-9.147740e+001
1.833034e+001	-6.404183e+001
1.853652e+001	-6.560279e+001
1.874269e+001	-6.716373e+001
1.881541e+001	-7.421087e+001
1.881188e+001	-8.439259e+001
1.880836e+001	-9.457431e+001
1.975800e+001	-6.557102e+001
1.943040e+001	-8.907541e+001
1.933156e+001	-1.031756e+002
1.940428e+001	-1.102227e+002
2.010610e+001	-9.140752e+001
2.010258e+001	-1.015892e+002
2.000373e+001	-1.156894e+002
2.026709e+001	-1.148997e+002
2.056858e+001	-1.125421e+002
2.151822e+001	-8.353884e+001
2.275381e+001	-4.278019e+001
2.282653e+001	-4.982732e+001
2.312802e+001	-4.746981e+001
2.341044e+001	-4.589617e+001
2.384537e+001	-3.805289e+001
2.374653e+001	-5.215308e+001
2.387645e+001	-5.684861e+001
2.408262e+001	-5.840999e+001
2.364063e+001	-8.661672e+001
2.413275e+001	-7.642228e+001
2.456768e+001	-6.857902e+001
2.519325e+001	-5.289840e+001
2.564724e+001	-4.427170e+001
2.596780e+001	-4.113032e+001
2.581176e+001	-5.758167e+001
2.567480e+001	-7.324914e+001
2.567127e+001	-8.343087e+001
2.644934e+001	-6.148107e+001
2.663644e+001	-6.382588e+001
2.682355e+001	-6.617069e+001
2.744911e+001	-5.049051e+001
2.725495e+001	-6.850915e+001
2.717517e+001	-8.182546e+001
2.690477e+001	-1.029787e+002
2.726344e+001	-9.827045e+001
2.762212e+001	-9.356178e+001
2.798080e+001	-8.885310e+001
2.763413e+001	-1.131414e+002
2.801187e+001	-1.076493e+002
2.846586e+001	-9.902212e+001
2.916767e+001	-8.020735e+001
2.906883e+001	-9.430753e+001
2.935125e+001	-9.273389e+001
2.923335e+001	-1.076175e+002
2.942046e+001	-1.099623e+002
2.981727e+001	-1.036863e+002
2.988999e+001	-1.107335e+002
2.990553e+001	-1.201313e+002
3.028326e+001	-1.146392e+002
3.031787e+001	-1.232532e+002
3.021903e+001	-1.373534e+002
3.088271e+001	-1.201059e+002
3.049793e+001	-1.459615e+002
3.081847e+001	-1.428205e+002
3.129153e+001	-1.334095e+002
3.199334e+001	-1.145948e+002
3.143699e+001	-1.475034e+002
3.137627e+001	-1.600362e+002
3.150618e+001	-1.647322e+002
3.201737e+001	-1.537539e+002
3.266200e+001	-1.372899e+002
3.401196e+001	-9.182934e+001
3.553350e+001	-3.931531e+001
3.652127e+001	-8.744723e+000
3.640336e+001	-2.362876e+001
3.620920e+001	-4.164741e+001
3.710165e+001	-1.499528e+001
3.738407e+001	-1.342164e+001
3.730430e+001	-2.673795e+001
3.709107e+001	-4.554045e+001
3.716381e+001	-5.258715e+001
3.798000e+001	-2.907006e+001
3.791928e+001	-4.160294e+001
3.812545e+001	-4.316388e+001
3.884633e+001	-2.356525e+001
3.914782e+001	-2.120774e+001
3.876303e+001	-4.706328e+001
3.959829e+001	-2.276233e+001
3.991883e+001	-1.962139e+001
3.980093e+001	-3.450499e+001
3.974022e+001	-4.703788e+001
3.988920e+001	-5.094998e+001
4.024787e+001	-4.624176e+001
4.073999e+001	-3.604732e+001
4.056490e+001	-5.328210e+001
4.069481e+001	-5.797807e+001
4.078660e+001	-6.424133e+001
4.114528e+001	-5.953265e+001
4.169459e+001	-4.698706e+001
4.163388e+001	-5.951995e+001
4.191629e+001	-5.794631e+001
4.223685e+001	-5.480492e+001
4.274803e+001	-4.382707e+001
4.259201e+001	-6.027797e+001
4.323662e+001	-4.381437e+001
4.313778e+001	-5.791455e+001
4.319145e+001	-6.574511e+001
4.328323e+001	-7.200838e+001
4.385161e+001	-5.867892e+001
4.426748e+001	-5.161952e+001
4.435926e+001	-5.788279e+001
4.485139e+001	-4.768836e+001
4.471442e+001	-6.335583e+001
4.480621e+001	-6.961910e+001
4.445954e+001	-9.390737e+001
4.460852e+001	-9.781947e+001
4.561536e+001	-6.646502e+001
4.563089e+001	-7.586331e+001
4.528422e+001	-1.001516e+002
4.615762e+001	-7.428287e+001
4.628753e+001	-7.897884e+001
4.634120e+001	-8.680941e+001
4.614704e+001	-1.048280e+002
4.637227e+001	-1.056056e+002
4.678814e+001	-9.854573e+001
4.676555e+001	-1.095113e+002
4.706704e+001	-1.071538e+002
4.738758e+001	-1.040129e+002
4.738405e+001	-1.141946e+002
4.760929e+001	-1.149717e+002
4.773921e+001	-1.196676e+002
4.785006e+001	-1.251470e+002
4.809436e+001	-1.251407e+002
4.809083e+001	-1.353224e+002
4.825888e+001	-1.384506e+002
4.934196e+001	-1.039621e+002
5.116851e+001	-3.890878e+001
5.169876e+001	-2.714706e+001
5.205743e+001	-2.243838e+001
5.192047e+001	-3.810585e+001
5.216476e+001	-3.809950e+001
5.172278e+001	-6.630622e+001
5.284399e+001	-3.024989e+001
5.305015e+001	-3.181127e+001
5.358041e+001	-2.004910e+001
5.323374e+001	-4.433737e+001
5.334459e+001	-4.981721e+001
5.324575e+001	-6.391739e+001
5.362349e+001	-5.842485e+001
5.468751e+001	-2.471967e+001
5.455054e+001	-4.038715e+001
5.490921e+001	-3.567891e+001
5.522977e+001	-3.253754e+001
5.518812e+001	-4.428655e+001
5.537522e+001	-4.663136e+001
5.560046e+001	-4.740887e+001
5.567319e+001	-5.445557e+001
5.568872e+001	-6.385387e+001
5.671461e+001	-3.171600e+001
5.669202e+001	-4.268115e+001
5.663131e+001	-5.521403e+001
5.691373e+001	-5.364039e+001
5.713897e+001	-5.441746e+001
5.755483e+001	-4.735806e+001
5.755130e+001	-5.753979e+001
5.773842e+001	-5.988416e+001
5.870712e+001	-3.009745e+001
5.803637e+001	-6.770881e+001
5.845224e+001	-6.064897e+001
5.844872e+001	-7.083069e+001
5.808298e+001	-9.590282e+001
5.891824e+001	-7.160185e+001
5.927692e+001	-6.689317e+001
5.942590e+001	-7.080528e+001
5.968927e+001	-7.001506e+001
6.027670e+001	-5.590218e+001
6.090227e+001	-4.022199e+001
6.061279e+001	-6.215909e+001
6.045676e+001	-7.861044e+001
6.052948e+001	-8.565758e+001
6.130755e+001	-6.370778e+001
6.185686e+001	-5.116219e+001
6.206303e+001	-5.272313e+001
6.221201e+001	-5.663523e+001
6.215129e+001	-6.916812e+001
6.260530e+001	-6.054098e+001
6.292584e+001	-5.740004e+001
6.381829e+001	-3.074792e+001
6.465355e+001	-6.446953e+000
6.432595e+001	-2.995135e+001
6.432242e+001	-4.013307e+001
6.517674e+001	-1.504869e+001
6.620263e+001	1.708918e+001
6.640880e+001	1.552824e+001
6.581432e+001	-1.894809e+001
6.624924e+001	-1.110482e+001
6.691294e+001	6.143083e+000
6.706192e+001	2.230978e+000
6.734435e+001	3.804632e+000
6.787459e+001	1.556635e+001
6.766136e+001	-3.236150e+000
6.773409e+001	-1.028284e+001
6.832153e+001	3.830040e+000
6.869926e+001	9.322132e+000
6.901983e+001	1.246353e+001
6.920693e+001	1.011872e+001
6.906996e+001	-5.548751e+000
6.940957e+001	-1.623943e+000
6.986356e+001	7.002731e+000
6.961221e+001	-1.336706e+001
7.035216e+001	7.015435e+000
7.002456e+001	-1.648894e+001
7.063106e+001	-1.592190e+000
7.097067e+001	2.332618e+000
7.060494e+001	-2.273950e+001
7.107799e+001	-1.332895e+001
7.170356e+001	2.351668e+000
7.211943e+001	9.411069e+000
7.299281e+001	3.527932e+001
7.236019e+001	-7.642942e-001
7.250917e+001	-4.676399e+000
7.317287e+001	1.257150e+001
7.282620e+001	-1.171674e+001
7.343270e+001	3.179552e+000
7.363887e+001	1.618613e+000
7.354003e+001	-1.248156e+001
7.393683e+001	-6.205585e+000
7.406675e+001	-1.090156e+001
7.444449e+001	-5.409012e+000
7.501286e+001	7.919995e+000
7.548591e+001	1.733055e+001
7.546333e+001	6.365401e+000
7.582200e+001	1.107364e+001
7.604724e+001	1.029657e+001
7.653937e+001	2.049099e+001
7.634521e+001	2.472358e+000
7.617010e+001	-1.476285e+001
7.652879e+001	-1.005417e+001
7.700184e+001	-6.436161e-001
7.692206e+001	-1.395992e+001
7.712823e+001	-1.552087e+001
7.769660e+001	-2.191851e+000
7.801715e+001	9.490757e-001
7.808988e+001	-6.097599e+000
7.802917e+001	-1.863049e+001
7.871192e+001	-5.991476e-001
7.901340e+001	1.758352e+000
7.895269e+001	-1.077452e+001
7.957826e+001	4.906091e+000
7.925065e+001	-1.859873e+001
7.987621e+001	-2.918549e+000
7.975831e+001	-1.780216e+001
7.988822e+001	-2.249813e+001
8.083786e+001	6.505141e+000
8.087247e+001	-2.109272e+000
8.077362e+001	-1.620946e+001
8.084636e+001	-2.325615e+001
8.097627e+001	-2.795213e+001
8.148745e+001	-1.697426e+001
8.197956e+001	-6.779839e+000
8.180448e+001	-2.401462e+001
8.246816e+001	-6.767135e+000
8.282684e+001	-2.058458e+000
8.299489e+001	-5.186693e+000
8.344887e+001	3.439981e+000
8.325472e+001	-1.457864e+001
8.325119e+001	-2.476036e+001
8.410552e+001	3.244492e-001
8.433075e+001	-4.530505e-001
8.428910e+001	-1.220207e+001
8.481934e+001	-4.403469e-001
8.481582e+001	-1.062208e+001
8.559388e+001	1.132771e+001
8.633383e+001	3.171022e+001
8.612061e+001	1.290815e+001
8.649835e+001	1.840026e+001
8.636138e+001	2.732787e+000
8.603377e+001	-2.077204e+001
8.688810e+001	4.312775e+000
8.709427e+001	2.751837e+000
8.749108e+001	9.027811e+000
8.813569e+001	2.549141e+001
8.799873e+001	9.823942e+000
8.788083e+001	-5.059658e+000
8.801074e+001	-9.755632e+000
8.846474e+001	-1.128491e+000
8.889967e+001	6.714756e+000
8.933460e+001	1.455803e+001
8.948358e+001	1.064592e+001
8.919410e+001	-1.129116e+001
8.960997e+001	-4.231774e+000
8.993052e+001	-1.090381e+000
9.047982e+001	1.145476e+001
9.049536e+001	2.056892e+000
9.052997e+001	-6.557521e+000
9.140334e+001	1.931072e+001
9.208611e+001	3.734251e+001
9.193008e+001	2.089116e+001
9.175498e+001	3.655954e+000
9.167520e+001	-9.660349e+000
9.197669e+001	-7.302837e+000
9.212567e+001	-1.121494e+001
9.242716e+001	-8.857430e+000
9.196611e+001	-3.784801e+001
9.268698e+001	-1.824938e+001
9.298847e+001	-1.589187e+001
9.334715e+001	-1.118319e+001
9.399178e+001	5.280853e+000
9.433139e+001	9.205661e+000
9.491883e+001	2.331855e+001
9.514406e+001	2.254102e+001
9.475927e+001	-3.314511e+000
9.479387e+001	-1.192894e+001
9.536224e+001	1.400059e+000
9.577811e+001	8.459902e+000
9.546957e+001	-1.426105e+001
9.586637e+001	-7.985078e+000
9.550065e+001	-3.305676e+001
9.580213e+001	-3.069969e+001
9.610362e+001	-2.834217e+001
9.672917e+001	-1.266199e+001
9.720224e+001	-3.250993e+000
9.790405e+001	1.556376e+001
9.841524e+001	2.654207e+001
9.839265e+001	1.557646e+001
9.840819e+001	6.178612e+000
9.798527e+001	-2.124422e+001
9.866802e+001	-3.212882e+000
9.940796e+001	1.716961e+001
9.940444e+001	6.987889e+000
9.953435e+001	2.291914e+000
1.004077e+002	2.816017e+001
1.002326e+002	1.092540e+001
1.005723e+002	1.485021e+001
1.007594e+002	1.250540e+001
1.007940e+002	3.890964e+000
1.010955e+002	6.248488e+000
1.012826e+002	3.903668e+000
1.012600e+002	-7.061469e+000
1.013518e+002	-1.332474e+001
1.018248e+002	-3.914172e+000
1.021263e+002	-1.556661e+000
1.020465e+002	-1.487297e+001
1.021383e+002	-2.113625e+001
1.025161e+002	-1.564414e+001
1.034466e+002	1.257526e+001
1.035956e+002	8.663160e+000
1.031155e+002	-2.111084e+001
1.041033e+002	9.459732e+000
1.041379e+002	8.453079e-001
1.041343e+002	-9.336401e+000
1.046074e+002	7.414205e-002
1.050233e+002	7.133986e+000
1.051532e+002	2.438012e+000
1.051878e+002	-6.176413e+000
1.054702e+002	-4.602317e+000
1.057145e+002	-4.595971e+000
1.062448e+002	7.165739e+000
1.062031e+002	-4.583267e+000
