    nm         	pN
0.000000e+000	5.924434e+002
3.458924e-002	5.838286e+002
-7.050074e-003	5.720800e+002
-2.962719e-002	5.611152e+002
-1.475180e-001	5.462319e+002
-1.510329e-001	5.360506e+002
-2.689008e-001	5.211683e+002
-2.915009e-001	5.102025e+002
-3.522037e-001	4.976702e+002
-3.557173e-001	4.874890e+002
-3.973580e-001	4.757404e+002
-4.961852e-001	4.616409e+002
-4.806379e-001	4.522433e+002
-4.079445e-001	4.451950e+002
-5.448760e-001	4.295290e+002
-4.721630e-001	4.224815e+002
-5.328652e-001	4.099492e+002
-6.126086e-001	3.966342e+002
-6.161451e-001	3.864521e+002
-6.768480e-001	3.739198e+002
-6.613007e-001	3.645222e+002
-7.601280e-001	3.504227e+002
-7.255395e-001	3.418079e+002
-8.052829e-001	3.284929e+002
-9.231724e-001	3.136097e+002
-8.695216e-001	3.057785e+002
-8.349331e-001	2.971637e+002
-9.528016e-001	2.822814e+002
-1.032567e+000	2.689655e+002
-1.036082e+000	2.587842e+002
-9.633679e-001	2.517367e+002
-1.005008e+000	2.399882e+002
-1.065711e+000	2.274559e+002
-1.183601e+000	2.125727e+002
-1.206178e+000	2.016078e+002
-1.133464e+000	1.945603e+002
-1.079813e+000	1.867292e+002
-1.159578e+000	1.734133e+002
-1.220281e+000	1.608810e+002
-1.204733e+000	1.514835e+002
-1.246373e+000	1.397349e+002
-1.154619e+000	1.334702e+002
-1.253424e+000	1.193715e+002
-1.276023e+000	1.084057e+002
-1.222372e+000	1.005746e+002
-1.206824e+000	9.117700e+001
-1.305653e+000	7.707743e+001
-1.366354e+000	6.454519e+001
-1.255516e+000	5.906504e+001
-1.259053e+000	4.888292e+001
-1.110111e+000	4.496922e+001
-1.056459e+000	3.713808e+001
-9.265793e-001	3.244072e+001
-1.025385e+000	1.834204e+001
-1.067026e+000	6.593468e+000
-9.562078e-001	1.112442e+000
-1.055014e+000	-1.298622e+001
-9.060713e-001	-1.689993e+001
-6.046720e-001	-1.454608e+001
-8.559564e-001	-3.491320e+001
-4.402027e-001	-2.785824e+001
-1.769076e-001	-2.707084e+001
