    nm         	pN
0.000000e+000	5.577832e+002
1.128057e-001	5.503896e+002
1.273160e-001	5.374624e+002
1.254319e-001	5.236122e+002
1.726955e-001	5.125289e+002
2.527459e-001	5.032912e+002
2.672227e-001	4.903621e+002
2.817319e-001	4.774349e+002
2.962407e-001	4.645076e+002
3.435053e-001	4.534243e+002
4.235557e-001	4.441867e+002
4.380335e-001	4.312576e+002
4.361488e-001	4.174074e+002
4.342647e-001	4.035573e+002
4.979213e-001	3.933968e+002
5.451858e-001	3.823135e+002
5.433017e-001	3.684633e+002
6.069587e-001	3.583029e+002
6.378609e-001	3.462984e+002
7.178803e-001	3.370591e+002
7.487825e-001	3.250546e+002
7.305044e-001	3.102816e+002
7.449822e-001	2.973526e+002
7.758844e-001	2.853481e+002
8.395414e-001	2.751877e+002
8.868055e-001	2.641043e+002
8.685279e-001	2.493313e+002
9.649723e-001	2.410166e+002
1.110564e+000	2.354687e+002
1.190615e+000	2.262311e+002
1.155944e+000	2.105352e+002
1.170453e+000	1.976079e+002
1.152175e+000	1.828349e+002
1.297768e+000	1.772870e+002
1.361425e+000	1.671265e+002
1.343148e+000	1.523535e+002
1.324870e+000	1.375805e+002
1.339347e+000	1.246514e+002
1.403004e+000	1.144909e+002
1.417514e+000	1.015636e+002
1.350087e+000	8.402379e+001
1.430106e+000	7.478441e+001
1.477402e+000	6.370286e+001
1.672143e+000	6.092178e+001
1.506388e+000	3.784650e+001
1.602832e+000	2.953178e+001
1.682851e+000	2.029240e+001
1.730147e+000	9.210844e+000
1.793804e+000	-9.496087e-001
1.906611e+000	-8.343236e+000
1.871940e+000	-2.403913e+001
1.919235e+000	-3.512068e+001
2.113977e+000	-3.790175e+001
2.505405e+000	-2.961020e+001
2.880410e+000	-2.224327e+001
2.993248e+000	-2.963514e+001
3.204381e+000	-3.149334e+001
3.251646e+000	-4.257667e+001
3.315303e+000	-5.273713e+001
3.723095e+000	-4.352448e+001
3.491798e+000	-7.028946e+001
4.161788e+000	-4.631624e+001
4.258232e+000	-5.463097e+001
4.289103e+000	-6.663716e+001
