    nm         	nN
0.000000e+000	6.009785e-001
-2.129092e-002	5.889774e-001
-1.255273e-001	5.732261e-001
-1.302286e-001	5.619751e-001
-1.017618e-001	5.522238e-001
-7.328400e-002	5.424729e-001
-2.106983e-001	5.252215e-001
-1.822217e-001	5.154706e-001
-1.537451e-001	5.057197e-001
-2.414005e-001	4.907181e-001
-2.792810e-001	4.779669e-001
-3.337493e-001	4.644658e-001
-4.213967e-001	4.494646e-001
-4.758656e-001	4.359634e-001
-5.137448e-001	4.232124e-001
-5.516340e-001	4.104608e-001
-5.563353e-001	3.992098e-001
-5.942146e-001	3.864588e-001
-6.984516e-001	3.707074e-001
-7.529198e-001	3.572063e-001
-8.239875e-001	3.429547e-001
-8.784564e-001	3.294535e-001
-9.495136e-001	3.152024e-001
-9.210376e-001	3.054514e-001
-9.091487e-001	2.949505e-001
-9.968060e-001	2.799488e-001
-9.849183e-001	2.694479e-001
-1.039387e+000	2.559468e-001
-1.077266e+000	2.431957e-001
-1.081967e+000	2.319447e-001
-1.136436e+000	2.184435e-001
-1.257271e+000	2.019418e-001
-1.228794e+000	1.921909e-001
-1.266673e+000	1.794398e-001
-1.321142e+000	1.659386e-001
-1.325843e+000	1.546876e-001
-1.347144e+000	1.426862e-001
-1.418201e+000	1.284350e-001
-1.439492e+000	1.164339e-001
-1.444194e+000	1.051829e-001
-1.548429e+000	8.943166e-002
-1.569720e+000	7.743061e-002
-1.541253e+000	6.767926e-002
-1.595722e+000	5.417813e-002
-1.699958e+000	3.842685e-002
-1.721248e+000	2.642580e-002
-1.725949e+000	1.517481e-002
-1.813606e+000	1.731313e-004
-1.834896e+000	-1.182790e-002
-1.939132e+000	-2.757917e-002
-1.927245e+000	-3.808013e-002
-1.865589e+000	-4.633092e-002
-1.903468e+000	-5.908201e-002
-1.875002e+000	-6.883336e-002
-1.946059e+000	-8.308455e-002
-1.967350e+000	-9.508559e-002
-2.021819e+000	-1.085867e-001
-1.910395e+000	-1.145874e-001
-2.047810e+000	-1.318388e-001
-2.019342e+000	-1.415901e-001
-2.057222e+000	-1.543412e-001
-2.260994e+000	-1.745928e-001
-2.132981e+000	-1.798434e-001
-2.170861e+000	-1.925945e-001
-2.241928e+000	-2.068461e-001
-2.213452e+000	-2.165970e-001
-2.251331e+000	-2.293481e-001
-2.305800e+000	-2.428492e-001
-2.293912e+000	-2.533502e-001
-2.414736e+000	-2.698515e-001
-2.518983e+000	-2.856032e-001
-2.573453e+000	-2.991044e-001
-2.627920e+000	-3.126055e-001
-2.616032e+000	-3.231064e-001
-2.587557e+000	-3.328574e-001
-2.691800e+000	-3.486091e-001
-2.713091e+000	-3.606101e-001
-2.817328e+000	-3.763614e-001
-2.772260e+000	-3.853622e-001
-2.810141e+000	-3.981133e-001
-2.748486e+000	-4.063641e-001
-2.819553e+000	-4.206158e-001
-2.774488e+000	-4.296166e-001
-2.845545e+000	-4.438678e-001
-2.866834e+000	-4.558688e-001
-2.987660e+000	-4.723701e-001
-2.992371e+000	-4.836216e-001
-2.997072e+000	-4.948726e-001
-3.051543e+000	-5.083738e-001
-3.155779e+000	-5.241250e-001
-3.193657e+000	-5.368761e-001
-3.214958e+000	-5.488776e-001
-3.252836e+000	-5.616287e-001
-3.274127e+000	-5.736298e-001
-3.262238e+000	-5.841307e-001
