    nm         	pN
0.000000e+000	5.982740e+002
4.508953e-002	5.892742e+002
-4.260516e-002	5.742709e+002
-8.050654e-002	5.615188e+002
-1.184067e-001	5.487668e+002
-1.563056e-001	5.360148e+002
-2.108064e-001	5.225122e+002
-2.819004e-001	5.082594e+002
-3.032024e-001	4.962578e+002
-4.406904e-001	4.790031e+002
-4.287973e-001	4.685024e+002
-4.335010e-001	4.572513e+002
-4.714049e-001	4.444991e+002
-5.424989e-001	4.302463e+002
-5.969991e-001	4.167437e+002
-5.685084e-001	4.069934e+002
-6.064073e-001	3.942415e+002
-6.609081e-001	3.807389e+002
-6.988070e-001	3.679869e+002
-7.864980e-001	3.529837e+002
-7.912067e-001	3.417324e+002
-8.623008e-001	3.274795e+002
-8.338094e-001	3.177293e+002
-9.547004e-001	3.012250e+002
-9.428067e-001	2.907243e+002
-1.030503e+000	2.757209e+002
-1.084999e+000	2.622185e+002
-1.106301e+000	2.502169e+002
-1.127607e+000	2.382152e+002
-1.165505e+000	2.254632e+002
-1.269798e+000	2.097093e+002
-1.241308e+000	1.999591e+002
-1.295804e+000	1.864567e+002
-1.366903e+000	1.722037e+002
-1.355009e+000	1.617030e+002
-1.459298e+000	1.459493e+002
-1.480604e+000	1.339476e+002
-1.584893e+000	1.181939e+002
-1.539803e+000	1.091941e+002
-1.561110e+000	9.719233e+001
-1.648801e+000	8.218909e+001
-1.537321e+000	7.619098e+001
-1.625019e+000	6.118751e+001
-1.729308e+000	4.543385e+001
-1.717418e+000	3.493295e+001
-1.788512e+000	2.068014e+001
-1.793216e+000	9.429033e+000
-1.947302e+000	-8.576127e+000
-1.918811e+000	-1.832637e+001
-1.989910e+000	-3.257941e+001
-1.961417e+000	-4.232965e+001
-2.082305e+000	-5.883376e+001
-2.120207e+000	-7.158593e+001
-2.091716e+000	-8.133617e+001
-2.146213e+000	-9.483856e+001
-2.217311e+000	-1.090916e+002
-2.238613e+000	-1.210931e+002
-2.243317e+000	-1.323442e+002
-2.414001e+000	-1.510998e+002
-2.418703e+000	-1.623509e+002
-2.340425e+000	-1.698501e+002
-2.411519e+000	-1.841029e+002
-2.466015e+000	-1.976053e+002
-2.537114e+000	-2.118583e+002
-2.475427e+000	-2.201078e+002
-2.563118e+000	-2.351110e+002
-2.634218e+000	-2.493640e+002
-2.688713e+000	-2.628664e+002
-2.743214e+000	-2.763690e+002
-2.830906e+000	-2.913723e+002
-2.819012e+000	-3.018729e+002
-2.790525e+000	-3.116234e+002
-2.811827e+000	-3.236249e+002
-2.849725e+000	-3.363769e+002
-2.788044e+000	-3.446265e+002
-2.842541e+000	-3.581289e+002
-2.880438e+000	-3.708808e+002
-2.901744e+000	-3.828826e+002
-2.889851e+000	-3.933833e+002
-2.894555e+000	-4.046344e+002
-2.915860e+000	-4.166361e+002
-3.003551e+000	-4.316394e+002
-2.975061e+000	-4.413896e+002
-3.046160e+000	-4.556426e+002
-3.084058e+000	-4.683946e+002
-3.121960e+000	-4.811468e+002
-3.126667e+000	-4.923979e+002
-3.147967e+000	-5.043994e+002
-3.136072e+000	-5.149001e+002
-3.207171e+000	-5.291531e+002
-3.294862e+000	-5.441563e+002
-3.266374e+000	-5.539068e+002
-3.387262e+000	-5.704109e+002
-3.292381e+000	-5.771594e+002
-3.380077e+000	-5.921629e+002
-3.384781e+000	-6.034140e+002
-3.389482e+000	-6.146651e+002
-3.327803e+000	-6.229148e+002
-3.282713e+000	-6.319146e+002
-3.320614e+000	-6.446665e+002
-3.358514e+000	-6.574187e+002
-3.379814e+000	-6.694202e+002
-3.401118e+000	-6.814218e+002
-3.356033e+000	-6.904218e+002
-3.493517e+000	-7.076763e+002
-3.481624e+000	-7.181770e+002
-3.519527e+000	-7.309292e+002
-3.574024e+000	-7.444316e+002
-3.645120e+000	-7.586846e+002
-3.566839e+000	-7.661836e+002
-3.671127e+000	-7.819372e+002
-3.642635e+000	-7.916874e+002
-3.614147e+000	-8.014379e+002
-3.618853e+000	-8.126891e+002
-3.656754e+000	-8.254410e+002
-3.761047e+000	-8.411949e+002
-3.749151e+000	-8.516955e+002
-3.803653e+000	-8.651982e+002
-3.841553e+000	-8.779502e+002
-3.896047e+000	-8.914525e+002
-3.900756e+000	-9.027039e+002
-3.922057e+000	-9.147054e+002
-3.959955e+000	-9.274573e+002
-3.881674e+000	-9.349564e+002
-3.853186e+000	-9.447068e+002
-3.857887e+000	-9.559579e+002
-2.883329e+000	-9.229335e+002
5.178438e+000	-5.694744e+002
1.211157e+001	-2.670446e+002
1.428115e+001	-1.799892e+002
1.406068e+001	-2.009959e+002
1.412236e+001	-2.092455e+002
1.536249e+001	-1.642141e+002
1.613787e+001	-1.401951e+002
1.614977e+001	-1.506957e+002
1.611187e+001	-1.634477e+002
1.662169e+001	-1.514355e+002
1.671657e+001	-1.581841e+002
1.644630e+001	-1.814422e+002
1.703912e+001	-1.656777e+002
1.681864e+001	-1.866846e+002
1.751104e+001	-1.664175e+002
1.826982e+001	-1.431489e+002
1.876305e+001	-1.318870e+002
1.831021e+001	-1.633998e+002
1.868725e+001	-1.573911e+002
1.864935e+001	-1.701433e+002
1.856165e+001	-1.851465e+002
1.895529e+001	-1.783874e+002
1.906677e+001	-1.843855e+002
1.944381e+001	-1.783767e+002
1.935612e+001	-1.933800e+002
1.953399e+001	-1.963763e+002
2.024298e+001	-1.753591e+002
2.038766e+001	-1.798563e+002
2.023357e+001	-1.978613e+002
2.024546e+001	-2.083622e+002
2.039014e+001	-2.128594e+002
2.016967e+001	-2.338661e+002
2.111103e+001	-2.023426e+002
2.255032e+001	-1.483062e+002
2.347509e+001	-1.175331e+002
2.426707e+001	-9.276348e+001
2.525823e+001	-5.898868e+001
2.618299e+001	-2.821560e+001
2.665962e+001	-1.770429e+001
2.632296e+001	-4.396417e+001
2.703196e+001	-2.294665e+001
2.707704e+001	-3.194670e+001
2.683997e+001	-5.370378e+001
2.715062e+001	-5.069676e+001
2.766044e+001	-3.868459e+001
2.778852e+001	-4.393227e+001
2.841453e+001	-2.666689e+001
2.827704e+001	-4.392163e+001
2.860429e+001	-4.016418e+001
2.846680e+001	-5.741871e+001
2.887704e+001	-4.990911e+001
2.913790e+001	-4.915336e+001
2.906680e+001	-6.340618e+001
