    nm         	pN
0.000000e+000	4.008324e+002
-5.444431e-002	3.873324e+002
-4.257201e-002	3.768307e+002
-8.043533e-002	3.640803e+002
-1.348809e-001	3.505803e+002
-8.983369e-002	3.415785e+002
-9.453256e-002	3.303277e+002
-1.489781e-001	3.168276e+002
-1.868512e-001	3.040768e+002
-1.583863e-001	2.943253e+002
-2.294140e-001	2.800755e+002
-2.838590e-001	2.665754e+002
-1.559025e-001	2.613223e+002
-1.937652e-001	2.485720e+002
-2.150562e-001	2.365709e+002
-3.358299e-001	2.200719e+002
-2.907831e-001	2.110702e+002
-2.789003e-001	2.005690e+002
-2.504354e-001	1.908175e+002
-2.385524e-001	1.803164e+002
-1.935153e-001	1.713142e+002
-1.153040e-001	1.638119e+002
-1.365857e-001	1.518113e+002
-1.081208e-001	1.420598e+002
-2.620584e-001	1.240614e+002
-2.999217e-001	1.113111e+002
-3.377948e-001	9.856026e+001
-2.761655e-001	9.030826e+001
-4.466853e-001	7.156010e+001
-5.011302e-001	5.806003e+001
-4.063370e-001	5.130747e+001
-4.276187e-001	3.930684e+001
-2.499254e-001	3.630247e+001
-7.222173e-002	3.329854e+001
-9.350344e-002	2.129792e+001
-6.503848e-002	1.154646e+001
-1.360656e-001	-2.703329e+000
-4.127241e-002	-9.455884e+000
-9.571794e-002	-2.295597e+001
-2.662470e-001	-4.170456e+001
-2.543643e-001	-5.220575e+001
-1.098250e-001	-5.670912e+001
-9.794288e-002	-6.721030e+001
-1.026418e-001	-7.846120e+001
-1.239229e-001	-9.046183e+001
-6.229407e-002	-9.871383e+001
8.223600e-002	-1.032177e+002
7.753589e-002	-1.144686e+002
1.723291e-001	-1.212211e+002
4.495256e-001	-1.197267e+002
8.096306e-001	-1.144836e+002
1.020498e+000	-1.159881e+002
1.098708e+000	-1.234904e+002
1.923120e+000	-9.725459e+001
2.531957e+000	-8.076565e+001
2.858898e+000	-7.702206e+001
2.771289e+000	-9.202159e+001
2.915828e+000	-9.652496e+001
3.408591e+000	-8.528411e+001
4.050591e+000	-6.729572e+001
3.979563e+000	-8.154553e+001
4.057774e+000	-8.904781e+001
4.749520e+000	-6.881026e+001
5.192536e+000	-5.981858e+001
5.950610e+000	-3.658212e+001
6.045404e+000	-4.333468e+001
5.957794e+000	-5.833421e+001
5.986260e+000	-6.808565e+001
6.064469e+000	-7.558793e+001
6.706470e+000	-5.759955e+001
6.917337e+000	-5.910403e+001
6.879474e+000	-7.185438e+001
7.189834e+000	-6.886051e+001
8.246385e+000	-3.212900e+001
8.424088e+000	-3.513292e+001
8.303314e+000	-5.163191e+001
8.464435e+000	-5.538555e+001
8.343663e+000	-7.188453e+001
8.670605e+000	-6.814093e+001
8.649323e+000	-8.014156e+001
9.175248e+000	-6.740127e+001
9.270042e+000	-7.415381e+001
9.829131e+000	-5.991405e+001
1.037164e+001	-4.642403e+001
1.026745e+001	-6.217329e+001
1.044515e+001	-6.517721e+001
1.057311e+001	-7.043031e+001
1.073423e+001	-7.418396e+001
1.091193e+001	-7.718789e+001
1.103989e+001	-8.244098e+001
1.138341e+001	-7.794767e+001
1.177668e+001	-7.120516e+001
1.160616e+001	-8.995332e+001
1.224816e+001	-7.196494e+001
1.202790e+001	-9.296227e+001
1.306787e+001	-5.698048e+001
1.351088e+001	-4.798880e+001
1.368859e+001	-5.099273e+001
1.389945e+001	-5.249721e+001
1.392792e+001	-6.224866e+001
1.392322e+001	-7.349957e+001
1.398485e+001	-8.175156e+001
1.402990e+001	-9.075329e+001
1.490404e+001	-6.226876e+001
1.491593e+001	-7.276994e+001
1.467908e+001	-9.451699e+001
1.484020e+001	-9.827065e+001
1.534954e+001	-8.628007e+001
1.565990e+001	-8.328619e+001
