    nm         	nN
0.000000e+000	6.303132e-001
4.506498e-002	6.213123e-001
-2.599102e-002	6.070612e-001
-1.302360e-001	5.913096e-001
-2.344724e-001	5.755583e-001
-1.894062e-001	5.665574e-001
-2.272855e-001	5.538063e-001
-2.485752e-001	5.418053e-001
-2.864557e-001	5.290542e-001
-2.248097e-001	5.208030e-001
-2.792774e-001	5.073019e-001
-2.839799e-001	4.960508e-001
-4.048034e-001	4.795496e-001
-3.929164e-001	4.690486e-001
-3.644392e-001	4.592977e-001
-4.023283e-001	4.465462e-001
-3.904394e-001	4.360453e-001
-4.614972e-001	4.217941e-001
-4.993765e-001	4.090430e-001
-5.372558e-001	3.962919e-001
-5.917339e-001	3.827904e-001
-5.964352e-001	3.715394e-001
-6.509041e-001	3.580382e-001
-5.726593e-001	3.505375e-001
-6.437171e-001	3.362863e-001
-7.313634e-001	3.212851e-001
-8.356083e-001	3.055334e-001
-8.071317e-001	2.957825e-001
-7.786551e-001	2.860316e-001
-7.833564e-001	2.747806e-001
-8.046461e-001	2.627795e-001
-8.093474e-001	2.515285e-001
-8.804145e-001	2.372769e-001
-8.685269e-001	2.267760e-001
-9.229945e-001	2.132749e-001
-9.111069e-001	2.027739e-001
-9.655751e-001	1.892728e-001
-9.536875e-001	1.787719e-001
-9.418096e-001	1.682705e-001
-1.012867e+000	1.540193e-001
-1.034157e+000	1.420183e-001
-1.005680e+000	1.322674e-001
-1.176272e+000	1.135159e-001
-1.280517e+000	9.776424e-002
-1.285218e+000	8.651325e-002
-1.256741e+000	7.676235e-002
-1.261442e+000	6.551135e-002
-1.249555e+000	5.501041e-002
-1.337201e+000	4.000920e-002
-1.308734e+000	3.025784e-002
-1.280257e+000	2.050694e-002
-1.334725e+000	7.005825e-003
-1.322837e+000	-3.495118e-003
-1.344127e+000	-1.549615e-002
-1.348829e+000	-2.674714e-002
-1.419896e+000	-4.099875e-002
-1.374830e+000	-4.999962e-002
-1.379531e+000	-6.125061e-002
-1.533534e+000	-7.925198e-002
-1.488467e+000	-8.825285e-002
-1.559535e+000	-1.025044e-001
-1.580825e+000	-1.145055e-001
-1.635293e+000	-1.280066e-001
-1.673172e+000	-1.407577e-001
-1.628106e+000	-1.497586e-001
-1.632807e+000	-1.610095e-001
-1.720464e+000	-1.760112e-001
-1.725165e+000	-1.872622e-001
-1.763043e+000	-2.000133e-001
-1.800924e+000	-2.127643e-001
-1.822214e+000	-2.247654e-001
-1.843503e+000	-2.367664e-001
-1.964339e+000	-2.532682e-001
-1.969039e+000	-2.645191e-001
-2.073274e+000	-2.802704e-001
-2.061386e+000	-2.907713e-001
-2.016321e+000	-2.997722e-001
-2.004443e+000	-3.102736e-001
-2.058910e+000	-3.237747e-001
-2.063612e+000	-3.350257e-001
-2.101492e+000	-3.477768e-001
-2.089604e+000	-3.582777e-001
-2.044537e+000	-3.672786e-001
-2.215139e+000	-3.860304e-001
-2.136894e+000	-3.935312e-001
-2.241131e+000	-4.092825e-001
-2.196064e+000	-4.182833e-001
-2.250534e+000	-4.317845e-001
-2.222056e+000	-4.415354e-001
-2.259946e+000	-4.542869e-001
-2.231468e+000	-4.640378e-001
-2.269349e+000	-4.767889e-001
-2.274050e+000	-4.880399e-001
-2.262162e+000	-4.985408e-001
-2.366396e+000	-5.142921e-001
-2.288161e+000	-5.217933e-001
-2.425577e+000	-5.390446e-001
-2.363920e+000	-5.472954e-001
-2.434977e+000	-5.615466e-001
-2.472855e+000	-5.742977e-001
-2.560514e+000	-5.892993e-001
-2.482268e+000	-5.968001e-001
-2.503559e+000	-6.088012e-001
-2.541439e+000	-6.215523e-001
-2.629083e+000	-6.365534e-001
-2.666964e+000	-6.493045e-001
-2.704854e+000	-6.620561e-001
-2.709556e+000	-6.733070e-001
-2.714257e+000	-6.845580e-001
-2.768725e+000	-6.980592e-001
-2.756836e+000	-7.085601e-001
-2.811304e+000	-7.220612e-001
-2.816015e+000	-7.333126e-001
-2.837306e+000	-7.453136e-001
-2.858597e+000	-7.573147e-001
-2.863298e+000	-7.685657e-001
-2.917764e+000	-7.820668e-001
-2.939054e+000	-7.940679e-001
-2.960355e+000	-8.060694e-001
-3.031415e+000	-8.203205e-001
-3.069290e+000	-8.330716e-001
-3.040815e+000	-8.428225e-001
-2.979160e+000	-8.510733e-001
-3.066807e+000	-8.660745e-001
-3.088098e+000	-8.780756e-001
-3.109387e+000	-8.900766e-001
-3.097518e+000	-9.005784e-001
-3.151988e+000	-9.140796e-001
-3.156680e+000	-9.253301e-001
-3.177968e+000	-9.373311e-001
-3.149500e+000	-9.470824e-001
-3.137614e+000	-9.575835e-001
-3.208681e+000	-9.718351e-001
-3.196793e+000	-9.823360e-001
-3.184905e+000	-9.928369e-001
-3.272552e+000	-1.007838e+000
-3.327019e+000	-1.021339e+000
-3.331713e+000	-1.032590e+000
-3.336422e+000	-1.043841e+000
-3.341133e+000	-1.055093e+000
-3.528313e+000	-1.074594e+000
-3.483247e+000	-1.083595e+000
-3.504538e+000	-1.095596e+000
-3.559006e+000	-1.109097e+000
-3.480762e+000	-1.116598e+000
-3.535230e+000	-1.130099e+000
-3.606299e+000	-1.144351e+000
-3.594408e+000	-1.154852e+000
-3.565923e+000	-1.164602e+000
-3.703346e+000	-1.181854e+000
-3.774413e+000	-1.196105e+000
-3.812284e+000	-1.208856e+000
-3.734040e+000	-1.216357e+000
-3.788507e+000	-1.229858e+000
-3.842975e+000	-1.243359e+000
-3.781328e+000	-1.251610e+000
-3.752865e+000	-1.261362e+000
-3.724377e+000	-1.271112e+000
-3.729088e+000	-1.282364e+000
-3.750379e+000	-1.294365e+000
-3.838023e+000	-1.309366e+000
-3.776381e+000	-1.317617e+000
-3.880605e+000	-1.333368e+000
-3.752600e+000	-1.338619e+000
