    nm         	nN
0.000000e+000	5.902994e-001
1.189317e-002	5.797987e-001
2.378511e-002	5.692979e-001
-1.411504e-002	5.565459e-001
-2.221870e-003	5.460452e-001
-4.011956e-002	5.332932e-001
-7.801972e-002	5.205412e-001
-9.932168e-002	5.085397e-001
-3.031889e-001	4.882837e-001
-2.912970e-001	4.777830e-001
-2.794038e-001	4.672823e-001
-3.339003e-001	4.537799e-001
-3.717986e-001	4.410279e-001
-4.262951e-001	4.275255e-001
-4.973873e-001	4.132728e-001
-5.352856e-001	4.005209e-001
-5.399906e-001	3.892697e-001
-5.944871e-001	3.757673e-001
-5.991915e-001	3.645162e-001
-6.702837e-001	3.502634e-001
-6.749887e-001	3.390123e-001
-7.460810e-001	3.247595e-001
-7.839793e-001	3.120076e-001
-8.052818e-001	3.000060e-001
-8.265838e-001	2.880044e-001
-8.644828e-001	2.752525e-001
-9.687683e-001	2.594990e-001
-1.006668e+000	2.467470e-001
-1.077759e+000	2.324942e-001
-1.032674e+000	2.234943e-001
-1.153557e+000	2.069903e-001
-1.125068e+000	1.972400e-001
-1.229354e+000	1.814864e-001
-1.267254e+000	1.687344e-001
-1.305152e+000	1.559825e-001
-1.293260e+000	1.454817e-001
-1.397547e+000	1.297282e-001
-1.435445e+000	1.169762e-001
-1.556328e+000	1.004723e-001
-1.594227e+000	8.772033e-002
-1.598932e+000	7.646918e-002
-1.653428e+000	6.296681e-002
-1.707922e+000	4.946449e-002
-1.662837e+000	4.046451e-002
-1.800317e+000	2.321018e-002
-1.838216e+000	1.045818e-002
-1.909308e+000	-3.794513e-003
-1.880820e+000	-1.354494e-002
-2.018299e+000	-3.079927e-002
-2.039601e+000	-4.280080e-002
-2.044306e+000	-5.405196e-002
-2.015816e+000	-6.380231e-002
-2.136700e+000	-8.030627e-002
-2.174599e+000	-9.305825e-002
-2.179304e+000	-1.043094e-001
-2.233800e+000	-1.178118e-001
-2.321488e+000	-1.328149e-001
-2.342792e+000	-1.448165e-001
-2.364092e+000	-1.568180e-001
-2.385395e+000	-1.688196e-001
-2.456487e+000	-1.830723e-001
-2.444596e+000	-1.935731e-001
-2.499090e+000	-2.070754e-001
-2.536989e+000	-2.198274e-001
-2.541695e+000	-2.310786e-001
-2.596191e+000	-2.445810e-001
-2.634087e+000	-2.573328e-001
-2.688584e+000	-2.708352e-001
-2.709888e+000	-2.828368e-001
-2.830770e+000	-2.993407e-001
