    nm         	pN
0.000000e+000	4.109410e+002
-4.768857e-003	3.996869e+002
-2.635996e-002	3.876723e+002
-9.841229e-002	3.733761e+002
-1.536448e-001	3.598405e+002
-1.752359e-001	3.478258e+002
-2.136481e-001	3.350507e+002
-2.520571e-001	3.222756e+002
-3.577539e-001	3.064583e+002
-2.952381e-001	2.982464e+002
-2.831847e-001	2.877529e+002
-3.888809e-001	2.719356e+002
-4.272931e-001	2.591605e+002
-4.488835e-001	2.471459e+002
-4.704722e-001	2.351313e+002
-5.593477e-001	2.200746e+002
-5.977595e-001	2.072994e+002
-6.361713e-001	1.945242e+002
-6.577594e-001	1.825097e+002
-6.625291e-001	1.712557e+002
-6.504776e-001	1.607621e+002
-7.057077e-001	1.472265e+002
-6.768345e-001	1.374935e+002
-7.488893e-001	1.231973e+002
-8.882288e-001	1.058589e+002
-9.098168e-001	9.384438e+001
-1.032335e+000	7.726652e+001
-9.529985e-001	6.981513e+001
-9.577654e-001	5.856116e+001
-9.961769e-001	4.578602e+001
-1.118695e+000	2.920815e+001
-1.140286e+000	1.719353e+001
-1.060947e+000	9.742265e+000
-1.015252e+000	7.698029e-001
-1.087307e+000	-1.352643e+001
-1.108895e+000	-2.554093e+001
-1.180949e+000	-3.983718e+001
-1.219361e+000	-5.261233e+001
-1.308237e+000	-6.766911e+001
-1.228897e+000	-7.512039e+001
-1.368237e+000	-9.245878e+001
-1.356185e+000	-1.029523e+002
-1.310488e+000	-1.119247e+002
-1.247970e+000	-1.201365e+002
-1.320027e+000	-1.344328e+002
-1.425722e+000	-1.502500e+002
-1.464136e+000	-1.630253e+002
-1.384797e+000	-1.704766e+002
-1.406385e+000	-1.824911e+002
-1.528906e+000	-1.990691e+002
-1.516850e+000	-2.095625e+002
-1.437512e+000	-2.170138e+002
-1.543211e+000	-2.328312e+002
-1.564799e+000	-2.448457e+002
-1.636851e+000	-2.591418e+002
-1.641623e+000	-2.703960e+002
-1.663211e+000	-2.824105e+002
-1.718442e+000	-2.959461e+002
-1.790499e+000	-3.102425e+002
-1.795267e+000	-3.214964e+002
-1.800032e+000	-3.327504e+002
-1.855268e+000	-3.462862e+002
-1.843214e+000	-3.567796e+002
-1.831160e+000	-3.672731e+002
-1.852753e+000	-3.792878e+002
-1.823877e+000	-3.890207e+002
-1.912756e+000	-4.040776e+002
-1.917523e+000	-4.153316e+002
-1.922290e+000	-4.265855e+002
-1.943883e+000	-4.386003e+002
-1.948650e+000	-4.498542e+002
-1.970238e+000	-4.618687e+002
-1.958188e+000	-4.723624e+002
-1.878849e+000	-4.798136e+002
-1.833153e+000	-4.887860e+002
-1.905204e+000	-5.030821e+002
-1.960441e+000	-5.166180e+002
-2.032492e+000	-5.309141e+002
-2.205476e+000	-5.497736e+002
-2.227064e+000	-5.617882e+002
-2.282296e+000	-5.753238e+002
-2.270245e+000	-5.858174e+002
-2.291833e+000	-5.978319e+002
-2.313424e+000	-6.098465e+002
-2.351837e+000	-6.226217e+002
-2.339782e+000	-6.331151e+002
-2.378198e+000	-6.458904e+002
-2.382965e+000	-6.571444e+002
-2.253163e+000	-6.623140e+002
-2.375675e+000	-6.788917e+002
-2.464555e+000	-6.939487e+002
-2.368395e+000	-7.006394e+002
-2.389983e+000	-7.126539e+002
-2.411576e+000	-7.246686e+002
-2.433164e+000	-7.366831e+002
-2.522041e+000	-7.517400e+002
-2.476345e+000	-7.607123e+002
-2.363363e+000	-7.666425e+002
-2.485878e+000	-7.832203e+002
-2.389723e+000	-7.899112e+002
-2.327204e+000	-7.981230e+002
-2.348792e+000	-8.101375e+002
-2.454492e+000	-8.259550e+002
-2.476080e+000	-8.379695e+002
-2.093959e+000	-8.317310e+002
-2.048263e+000	-8.407034e+002
-1.834353e+000	-8.420703e+002
-1.519518e+000	-8.388740e+002
2.924191e-001	-7.679892e+002
5.300410e+000	-5.526009e+002
1.140179e+001	-2.877770e+002
1.555189e+001	-1.111764e+002
1.667415e+001	-7.147406e+001
1.717402e+001	-5.991169e+001
1.688329e+001	-8.409497e+001
1.679442e+001	-9.915174e+001
1.788304e+001	-6.097037e+001
1.774370e+001	-7.830878e+001
1.807535e+001	-7.435195e+001
1.857523e+001	-6.278959e+001
