    nm         	nN
0.000000e+000	6.744320e-001
-3.750358e-002	6.616979e-001
-1.242762e-001	6.467362e-001
-9.608813e-002	6.369723e-001
-1.828620e-001	6.220105e-001
-1.546690e-001	6.122468e-001
-2.742942e-001	5.957997e-001
-2.953728e-001	5.838082e-001
-3.821515e-001	5.688462e-001
-3.868062e-001	5.575974e-001
-3.914596e-001	5.463485e-001
-4.618146e-001	5.321291e-001
-4.007739e-001	5.238505e-001
-5.039716e-001	5.081462e-001
-5.414776e-001	4.954120e-001
-5.789800e-001	4.826780e-001
-6.000585e-001	4.706865e-001
-6.047175e-001	4.594374e-001
-5.765245e-001	4.496737e-001
-7.454224e-001	4.309988e-001
-7.993474e-001	4.175223e-001
-8.532736e-001	4.040457e-001
-9.236286e-001	3.898263e-001
-9.611310e-001	3.770922e-001
-9.822138e-001	3.651006e-001
-9.211718e-001	3.568220e-001
-9.258271e-001	3.455731e-001
-9.797527e-001	3.320965e-001
-1.017260e+000	3.193623e-001
-1.021914e+000	3.081134e-001
-1.125117e+000	2.924088e-001
-1.129771e+000	2.811600e-001
-1.265816e+000	2.639705e-001
-1.286899e+000	2.519788e-001
-1.340825e+000	2.385022e-001
-1.361908e+000	2.265106e-001
-1.350139e+000	2.160043e-001
-1.371217e+000	2.040128e-001
-1.408723e+000	1.912786e-001
-1.446226e+000	1.785446e-001
-1.533000e+000	1.635828e-001
-1.570506e+000	1.508486e-001
-1.558738e+000	1.403423e-001
-1.612663e+000	1.268657e-001
-1.551627e+000	1.185869e-001
-1.654824e+000	1.028826e-001
-1.708749e+000	8.940595e-002
-1.713409e+000	7.815687e-002
-1.734488e+000	6.616541e-002
-1.821266e+000	5.120344e-002
-1.875192e+000	3.772685e-002
-1.961965e+000	2.276512e-002
-2.032320e+000	8.545717e-003
-2.053399e+000	-3.445721e-003
-2.156600e+000	-1.915025e-002
-2.062712e+000	-2.594369e-002
-2.165908e+000	-4.164799e-002
-2.137720e+000	-5.141195e-002
-2.142375e+000	-6.266084e-002
-2.179877e+000	-7.539484e-002
-2.299503e+000	-9.184197e-002
-2.222038e+000	-9.937797e-002
-2.308812e+000	-1.143397e-001
-2.329894e+000	-1.263314e-001
-2.482364e+000	-1.442634e-001
-2.421324e+000	-1.525420e-001
-2.508101e+000	-1.675040e-001
-2.562027e+000	-1.809806e-001
-2.550262e+000	-1.914871e-001
-2.637037e+000	-2.064488e-001
-2.625267e+000	-2.169551e-001
-2.662774e+000	-2.296894e-001
-2.733124e+000	-2.439086e-001
-2.787050e+000	-2.573852e-001
-2.890253e+000	-2.730897e-001
-2.960603e+000	-2.873089e-001
-2.998110e+000	-3.000431e-001
-2.969915e+000	-3.098068e-001
-2.958147e+000	-3.203131e-001
-2.995652e+000	-3.330473e-001
-3.033156e+000	-3.457814e-001
-3.103504e+000	-3.600006e-001
-3.124588e+000	-3.719923e-001
-3.211359e+000	-3.869539e-001
-3.150320e+000	-3.952325e-001
-3.204250e+000	-4.087094e-001
-3.373143e+000	-4.273840e-001
-3.262837e+000	-4.334351e-001
-3.382458e+000	-4.498819e-001
-3.436383e+000	-4.633585e-001
-3.424617e+000	-4.738651e-001
-3.445697e+000	-4.858566e-001
-3.450352e+000	-4.971054e-001
-3.455011e+000	-5.083545e-001
-3.541784e+000	-5.233162e-001
-3.595716e+000	-5.367931e-001
-3.551098e+000	-5.458142e-001
-3.522905e+000	-5.555780e-001
-3.658955e+000	-5.727677e-001
-3.745728e+000	-5.877294e-001
-3.766808e+000	-5.997209e-001
-3.689347e+000	-6.072571e-001
-3.776119e+000	-6.222188e-001
-3.797199e+000	-6.342103e-001
-3.834706e+000	-6.469445e-001
-3.855784e+000	-6.589360e-001
-3.844016e+000	-6.694423e-001
-3.930793e+000	-6.844043e-001
-3.935448e+000	-6.956531e-001
-3.972953e+000	-7.083873e-001
-4.076151e+000	-7.240916e-001
-4.179348e+000	-7.397959e-001
-4.184003e+000	-7.510448e-001
-4.287211e+000	-7.667497e-001
-4.275440e+000	-7.772559e-001
-4.312942e+000	-7.899900e-001
-4.383292e+000	-8.042091e-001
-4.371522e+000	-8.147154e-001
-4.326906e+000	-8.237366e-001
-4.397267e+000	-8.379562e-001
-4.434769e+000	-8.506902e-001
-4.422998e+000	-8.611965e-001
-4.427656e+000	-8.724454e-001
-4.530851e+000	-8.881497e-001
-4.568360e+000	-9.008841e-001
-4.605863e+000	-9.136182e-001
-4.676213e+000	-9.278373e-001
-4.631600e+000	-9.368586e-001
-4.636252e+000	-9.481074e-001
-4.657327e+000	-9.600988e-001
-4.793384e+000	-9.772887e-001
-4.732341e+000	-9.855673e-001
-4.753421e+000	-9.975588e-001
-4.840196e+000	-1.012521e+000
-4.894121e+000	-1.025997e+000
-4.865928e+000	-1.035761e+000
-4.821317e+000	-1.044782e+000
-4.858820e+000	-1.057516e+000
-4.863477e+000	-1.068765e+000
-4.917402e+000	-1.082242e+000
-4.922059e+000	-1.093491e+000
-4.844593e+000	-1.101027e+000
-4.931373e+000	-1.115989e+000
-4.936030e+000	-1.127238e+000
-5.088496e+000	-1.145170e+000
-5.109575e+000	-1.157161e+000
-5.212773e+000	-1.172866e+000
-5.217440e+000	-1.184115e+000
-5.172820e+000	-1.193136e+000
-5.161049e+000	-1.203642e+000
-5.034311e+000	-1.208951e+000
-5.170359e+000	-1.226140e+000
-5.142166e+000	-1.235904e+000
-5.146833e+000	-1.247153e+000
-5.102212e+000	-1.256174e+000
-5.074019e+000	-1.265938e+000
-5.111521e+000	-1.278672e+000
-4.804119e+000	-1.275812e+000
5.965340e+000	-7.999297e-001
2.005245e+001	-1.740465e-001
2.288914e+001	-5.682921e-002
2.373853e+001	-2.946426e-002
