    nm         	nN
0.000000e+000	4.682879e-001
4.508708e-002	4.592879e-001
1.399626e-001	4.525391e-001
1.186631e-001	4.405377e-001
-6.861337e-002	4.210319e-001
-5.671959e-002	4.105312e-001
-6.142398e-002	3.992801e-001
-3.293386e-002	3.895297e-001
-1.206212e-001	3.745267e-001
-1.585177e-001	3.617748e-001
-1.964239e-001	3.490225e-001
-2.011271e-001	3.377714e-001
-1.394437e-001	3.295219e-001
-2.603243e-001	3.130181e-001
-2.650275e-001	3.017670e-001
-3.693106e-001	2.860136e-001
-3.740241e-001	2.747620e-001
-3.289371e-001	2.657621e-001
-3.668341e-001	2.530103e-001
-3.383440e-001	2.432599e-001
-3.762405e-001	2.305081e-001
-4.473315e-001	2.162554e-001
-4.852378e-001	2.035031e-001
-4.899416e-001	1.922520e-001
-5.444344e-001	1.787498e-001
-5.657345e-001	1.667483e-001
-5.372444e-001	1.569980e-001
-7.245214e-001	1.374922e-001
-6.628380e-001	1.292426e-001
-7.173314e-001	1.157404e-001
-6.556480e-001	1.074908e-001
-6.769481e-001	9.548935e-002
-6.484580e-001	8.573903e-002
-6.863643e-001	7.298672e-002
-7.408577e-001	5.948446e-002
-6.625779e-001	5.198531e-002
-6.174909e-001	4.298538e-002
-6.221946e-001	3.173429e-002
-7.098814e-001	1.673125e-002
-7.145944e-001	5.479724e-003
-7.358939e-001	-6.521751e-003
-7.903873e-001	-2.002401e-002
-8.448807e-001	-3.352626e-002
-7.500040e-001	-4.027502e-002
-7.879017e-001	-5.302689e-002
-9.253885e-001	-7.028154e-002
-9.798820e-001	-8.378379e-002
-9.181979e-001	-9.203333e-002
-9.063047e-001	-1.025340e-001
-9.607981e-001	-1.160363e-001
-1.098285e+000	-1.332909e-001
-1.053198e+000	-1.422909e-001
-1.074499e+000	-1.542923e-001
-1.145588e+000	-1.685450e-001
-1.233275e+000	-1.835480e-001
-1.287768e+000	-1.970503e-001
-1.292482e+000	-2.083018e-001
-1.330379e+000	-2.210537e-001
-1.368275e+000	-2.338056e-001
-1.422770e+000	-2.473078e-001
-1.410875e+000	-2.578085e-001
-1.365789e+000	-2.668084e-001
-1.403696e+000	-2.795608e-001
-1.391801e+000	-2.900614e-001
-1.529278e+000	-3.073156e-001
-1.533982e+000	-3.185667e-001
-1.605074e+000	-3.328194e-001
-1.559996e+000	-3.418198e-001
-1.581296e+000	-3.538213e-001
-1.569403e+000	-3.643220e-001
-1.540911e+000	-3.740722e-001
-1.529018e+000	-3.845730e-001
-1.633302e+000	-4.003264e-001
-1.770791e+000	-4.175811e-001
-1.775493e+000	-4.288321e-001
-1.780196e+000	-4.400832e-001
-1.851286e+000	-4.543358e-001
-1.905779e+000	-4.678381e-001
-1.893886e+000	-4.783388e-001
-1.882003e+000	-4.888400e-001
-1.986286e+000	-5.045934e-001
-1.990990e+000	-5.158445e-001
-2.012291e+000	-5.278459e-001
-2.016992e+000	-5.390970e-001
-2.038302e+000	-5.510990e-001
-2.009812e+000	-5.608493e-001
-2.097498e+000	-5.758523e-001
-2.168592e+000	-5.901050e-001
-2.140100e+000	-5.998553e-001
-2.144801e+000	-6.111063e-001
-2.215903e+000	-6.253594e-001
-2.204012e+000	-6.358602e-001
-2.241907e+000	-6.486121e-001
-2.246608e+000	-6.598631e-001
-2.234715e+000	-6.703638e-001
-2.322404e+000	-6.853669e-001
-2.293923e+000	-6.951176e-001
-2.398207e+000	-7.108710e-001
-2.402910e+000	-7.221221e-001
-2.308032e+000	-7.288709e-001
-2.412318e+000	-7.446243e-001
-2.466822e+000	-7.581271e-001
-2.471524e+000	-7.693781e-001
-2.409840e+000	-7.776276e-001
-2.547317e+000	-7.948818e-001
-2.585214e+000	-8.076337e-001
-2.656304e+000	-8.218863e-001
-2.644420e+000	-8.323875e-001
-2.665721e+000	-8.443890e-001
-2.653828e+000	-8.548898e-001
-2.724917e+000	-8.691424e-001
-2.862394e+000	-8.863965e-001
-2.767518e+000	-8.931453e-001
-2.772230e+000	-9.043968e-001
-2.859918e+000	-9.193999e-001
-2.914410e+000	-9.329021e-001
-2.968905e+000	-9.464044e-001
-2.857433e+000	-9.524028e-001
-2.895328e+000	-9.651546e-001
-2.949830e+000	-9.786573e-001
-2.987727e+000	-9.914092e-001
-2.876253e+000	-9.974075e-001
-2.847765e+000	-1.007158e+000
-2.885663e+000	-1.019910e+000
-2.940155e+000	-1.033412e+000
-2.944866e+000	-1.044663e+000
-2.883184e+000	-1.052913e+000
-2.854694e+000	-1.062663e+000
-2.875995e+000	-1.074665e+000
-2.714729e+000	-1.078412e+000
-2.271322e+000	-1.069403e+000
-1.944092e+000	-1.065646e+000
-6.874348e-001	-1.019867e+000
2.129312e+000	-9.035517e-001
3.037435e+000	-8.735310e-001
5.655024e+000	-7.662203e-001
1.034722e+001	-5.651101e-001
1.269926e+001	-4.698051e-001
1.450361e+001	-3.992635e-001
1.687225e+001	-3.032085e-001
1.754801e+001	-2.836937e-001
1.751011e+001	-2.964456e-001
1.765478e+001	-3.009432e-001
1.864589e+001	-2.671705e-001
1.922207e+001	-2.521580e-001
2.014678e+001	-2.213873e-001
2.078935e+001	-2.033732e-001
2.138214e+001	-1.876099e-001
2.230685e+001	-1.568392e-001
2.220257e+001	-1.725927e-001
2.229744e+001	-1.793414e-001
2.239232e+001	-1.860902e-001
2.276934e+001	-1.800824e-001
2.279783e+001	-1.898327e-001
2.221223e+001	-2.273478e-001
2.280501e+001	-2.115849e-001
2.319863e+001	-2.048267e-001
2.367524e+001	-1.943160e-001
2.393608e+001	-1.935609e-001
2.388158e+001	-2.070636e-001
2.405944e+001	-2.100604e-001
2.451945e+001	-2.003002e-001
2.434877e+001	-2.190556e-001
2.454323e+001	-2.213021e-001
2.566711e+001	-1.815263e-001
2.599434e+001	-1.777696e-001
2.579048e+001	-1.980254e-001
2.603473e+001	-1.980206e-001
2.603002e+001	-2.092722e-001
2.569338e+001	-2.355310e-001
2.613679e+001	-2.265216e-001
2.624826e+001	-2.325200e-001
2.627675e+001	-2.422703e-001
2.675335e+001	-2.317601e-001
2.693121e+001	-2.347569e-001
2.710907e+001	-2.377538e-001
2.745290e+001	-2.332467e-001
2.774694e+001	-2.309908e-001
2.784181e+001	-2.377396e-001
2.775412e+001	-2.527426e-001
2.806476e+001	-2.497363e-001
2.890649e+001	-2.227176e-001
2.898477e+001	-2.302167e-001
2.929540e+001	-2.272104e-001
2.940688e+001	-2.332088e-001
2.938557e+001	-2.452103e-001
2.941407e+001	-2.549606e-001
2.967491e+001	-2.542055e-001
3.005193e+001	-2.481977e-001
2.984807e+001	-2.684534e-001
3.042425e+001	-2.534409e-001
3.046933e+001	-2.624408e-001
3.033185e+001	-2.796955e-001
3.170468e+001	-2.286639e-001
3.189914e+001	-2.309103e-001
3.214339e+001	-2.309055e-001
3.281915e+001	-2.113907e-001
3.276465e+001	-2.248930e-001
3.305869e+001	-2.226371e-001
3.278844e+001	-2.458944e-001
3.306588e+001	-2.443889e-001
3.307778e+001	-2.548896e-001
3.315606e+001	-2.623887e-001
3.345009e+001	-2.601328e-001
3.342878e+001	-2.721348e-001
3.395518e+001	-2.593730e-001
3.413304e+001	-2.623698e-001
3.412833e+001	-2.736213e-001
3.423980e+001	-2.796197e-001
3.478280e+001	-2.661075e-001
3.507684e+001	-2.638516e-001
3.691438e+001	-1.918091e-001
3.873532e+001	-1.205171e-001
3.899617e+001	-1.197619e-001
3.912424e+001	-1.250099e-001
3.875440e+001	-1.527700e-001
3.908163e+001	-1.490133e-001
3.937567e+001	-1.467574e-001
3.998505e+001	-1.302437e-001
4.019610e+001	-1.317397e-001
4.047354e+001	-1.302342e-001
4.065139e+001	-1.332315e-001
4.072967e+001	-1.407306e-001
4.117309e+001	-1.317208e-001
4.193184e+001	-1.084540e-001
4.169478e+001	-1.302105e-001
4.195563e+001	-1.294554e-001
4.215008e+001	-1.317018e-001
4.252710e+001	-1.256940e-001
4.238962e+001	-1.429486e-001
4.253428e+001	-1.474462e-001
4.291130e+001	-1.414384e-001
4.340451e+001	-1.301774e-001
4.348278e+001	-1.376770e-001
4.397599e+001	-1.264160e-001
4.410406e+001	-1.316639e-001
4.411594e+001	-1.421651e-001
4.480831e+001	-1.218994e-001
4.470402e+001	-1.376533e-001
4.473251e+001	-1.474036e-001
4.496016e+001	-1.481493e-001
4.508823e+001	-1.533973e-001
4.548184e+001	-1.466390e-001
4.592525e+001	-1.376296e-001
4.528988e+001	-1.773955e-001
4.591585e+001	-1.601318e-001
4.597753e+001	-1.683813e-001
4.605581e+001	-1.758805e-001
4.646602e+001	-1.683719e-001
4.619578e+001	-1.916292e-001
4.667238e+001	-1.811190e-001
4.802861e+001	-1.308378e-001
4.855500e+001	-1.180765e-001
4.893202e+001	-1.120686e-001
4.932564e+001	-1.053104e-001
4.928775e+001	-1.180622e-001
4.916685e+001	-1.345665e-001
4.907917e+001	-1.495695e-001
4.972174e+001	-1.315550e-001
4.978342e+001	-1.398050e-001
4.992809e+001	-1.443026e-001
5.050428e+001	-1.292897e-001
5.059914e+001	-1.360389e-001
5.117533e+001	-1.210259e-001
5.087188e+001	-1.457844e-001
5.113273e+001	-1.450293e-001
5.139357e+001	-1.442742e-001
5.170421e+001	-1.412679e-001
5.213101e+001	-1.330089e-001
5.205992e+001	-1.472615e-001
5.217140e+001	-1.532599e-001
5.251523e+001	-1.487528e-001
5.227817e+001	-1.705094e-001
5.224027e+001	-1.832612e-001
5.283305e+001	-1.674983e-001
5.302751e+001	-1.697448e-001
5.297301e+001	-1.832470e-001
5.361558e+001	-1.652330e-001
5.462329e+001	-1.307099e-001
5.488413e+001	-1.299548e-001
5.489602e+001	-1.404559e-001
5.538922e+001	-1.291949e-001
5.571646e+001	-1.254382e-001
5.564535e+001	-1.396913e-001
5.623814e+001	-1.239280e-001
5.633302e+001	-1.306768e-001
5.614574e+001	-1.501826e-001
5.677171e+001	-1.329189e-001
5.671722e+001	-1.464212e-001
5.662953e+001	-1.614242e-001
5.763724e+001	-1.269011e-001
5.759933e+001	-1.396535e-001
5.781039e+001	-1.411495e-001
5.813762e+001	-1.373928e-001
5.868061e+001	-1.238807e-001
5.907423e+001	-1.171224e-001
5.989936e+001	-9.085408e-002
6.017680e+001	-8.934857e-002
6.012231e+001	-1.028508e-001
6.036656e+001	-1.028461e-001
6.041164e+001	-1.118460e-001
6.048992e+001	-1.193452e-001
6.055161e+001	-1.275947e-001
6.097842e+001	-1.193357e-001
6.128905e+001	-1.163294e-001
6.120136e+001	-1.313324e-001
6.161158e+001	-1.238238e-001
6.213797e+001	-1.110625e-001
6.276395e+001	-9.379880e-002
6.274264e+001	-1.058003e-001
6.265496e+001	-1.208033e-001
6.273324e+001	-1.283025e-001
6.277831e+001	-1.373028e-001
6.376942e+001	-1.035302e-001
6.386430e+001	-1.102789e-001
6.390938e+001	-1.192789e-001
6.392128e+001	-1.297796e-001
6.429830e+001	-1.237717e-001
6.494087e+001	-1.057577e-001
6.561663e+001	-8.624283e-002
6.619281e+001	-7.123032e-002
6.602214e+001	-8.998530e-002
6.593445e+001	-1.049883e-001
6.662681e+001	-8.472310e-002
6.697064e+001	-8.021604e-002
6.724808e+001	-7.871052e-002
6.730976e+001	-8.696006e-002
6.755401e+001	-8.695532e-002
6.701821e+001	-1.222188e-001
6.784335e+001	-9.595052e-002
6.823696e+001	-8.919229e-002
6.808289e+001	-1.071969e-001
6.932294e+001	-6.216883e-002
6.896970e+001	-8.917807e-002
6.815175e+001	-1.371986e-001
6.859517e+001	-1.281888e-001
6.927093e+001	-1.086740e-001
6.891769e+001	-1.356837e-001
6.967645e+001	-1.124164e-001
7.010325e+001	-1.041574e-001
7.013174e+001	-1.139077e-001
7.016023e+001	-1.236581e-001
7.055385e+001	-1.168998e-001
7.091428e+001	-1.116424e-001
7.129130e+001	-1.056345e-001
7.178449e+001	-9.437397e-002
7.181298e+001	-1.041243e-001
7.154274e+001	-1.273816e-001
7.162100e+001	-1.348812e-001
7.208101e+001	-1.251209e-001
7.227548e+001	-1.273674e-001
7.255291e+001	-1.258619e-001
