    nm         	pN
0.000000e+000	6.047811e+002
6.172823e-002	5.965336e+002
4.041153e-002	5.845314e+002
-3.073041e-002	5.702764e+002
9.743352e-002	5.650326e+002
2.628299e-002	5.507773e+002
-7.807742e-002	5.350204e+002
-1.634919e-002	5.267728e+002
-1.207084e-001	5.110160e+002
-1.254146e-001	4.997648e+002
-2.131756e-001	4.847584e+002
-1.680566e-001	4.757599e+002
-1.561536e-001	4.652597e+002
-1.442525e-001	4.547593e+002
-1.655673e-001	4.427572e+002
-2.533179e-001	4.277513e+002
-2.746432e-001	4.157486e+002
-3.291771e-001	4.022445e+002
-3.671006e-001	3.894915e+002
-3.551988e-001	3.789911e+002
-4.263408e-001	3.647362e+002
-4.974925e-001	3.504807e+002
-5.520259e-001	3.369767e+002
-5.235148e-001	3.272273e+002
-5.282217e-001	3.159761e+002
-4.664935e-001	3.077285e+002
-4.878096e-001	2.957263e+002
-4.426998e-001	2.867274e+002
-4.640146e-001	2.747253e+002
-4.188950e-001	2.657269e+002
-4.402105e-001	2.537247e+002
-5.279611e-001	2.387188e+002
-5.658857e-001	2.259656e+002
-6.204289e-001	2.124611e+002
-6.417444e-001	2.004590e+002
-6.132334e-001	1.907096e+002
-6.677667e-001	1.772055e+002
-6.392557e-001	1.674562e+002
-6.439625e-001	1.562049e+002
-6.818965e-001	1.434513e+002
-7.364304e-001	1.299473e+002
-6.913102e-001	1.209489e+002
-6.295819e-001	1.127014e+002
-6.176802e-001	1.022010e+002
-6.223864e-001	9.094980e+001
-5.938767e-001	8.120041e+001
-5.985927e-001	6.994872e+001
-6.863426e-001	5.494280e+001
-6.744409e-001	4.444249e+001
-5.628862e-001	3.844779e+001
-5.842017e-001	2.644560e+001
-5.722999e-001	1.594529e+001
-6.434517e-001	1.689870e+000
-6.813764e-001	-1.106323e+001
-5.864297e-001	-1.780888e+001
-5.579187e-001	-2.755826e+001
-5.460170e-001	-3.805857e+001
-6.669854e-001	-5.456635e+001
-6.883106e-001	-6.656898e+001
-6.431916e-001	-7.556742e+001
-5.814634e-001	-8.381493e+001
-6.193869e-001	-9.656805e+001
-6.240943e-001	-1.078193e+002
-6.121914e-001	-1.183196e+002
-5.006379e-001	-1.243143e+002
-5.883977e-001	-1.393207e+002
-6.097131e-001	-1.513229e+002
-6.144206e-001	-1.625741e+002
-5.859096e-001	-1.723235e+002
-4.909629e-001	-1.790691e+002
-4.790611e-001	-1.895694e+002
-4.837784e-001	-2.008211e+002
-5.383111e-001	-2.143252e+002
-4.599737e-001	-2.218217e+002
-4.480719e-001	-2.323221e+002
-4.527781e-001	-2.435733e+002
-4.907029e-001	-2.563264e+002
-3.625402e-001	-2.615702e+002
-6.828759e-002	-2.593046e+002
1.429188e-001	-2.607937e+002
2.378643e-001	-2.675394e+002
3.161919e-001	-2.750364e+002
2.782672e-001	-2.877895e+002
7.718244e-001	-2.765127e+002
6.010296e-001	-2.952733e+002
3.638002e-001	-3.170376e+002
4.753537e-001	-3.230324e+002
5.869096e-001	-3.290271e+002
7.649000e-001	-3.320180e+002
1.208628e+000	-3.229940e+002
1.303575e+000	-3.297397e+002
1.730696e+000	-3.214667e+002
1.991731e+000	-3.207029e+002
2.202937e+000	-3.221921e+002
2.397536e+000	-3.244321e+002
2.293165e+000	-3.401894e+002
2.404721e+000	-3.461841e+002
2.615927e+000	-3.476732e+002
2.976615e+000	-3.424039e+002
3.586442e+000	-3.258701e+002
3.947128e+000	-3.206008e+002
4.656598e+000	-2.995619e+002
5.598602e+000	-2.680094e+002
5.859635e+000	-2.672458e+002
5.921354e+000	-2.754937e+002
7.793449e+000	-2.018890e+002
9.333367e+000	-1.433029e+002
1.070720e+001	-9.222616e+001
1.086858e+001	-9.596807e+001
1.089709e+001	-1.057174e+002
1.114152e+001	-1.057047e+002
1.198386e+001	-7.865829e+001
1.292586e+001	-4.710584e+001
1.320350e+001	-4.559121e+001
1.422854e+001	-1.028454e+001
1.419061e+001	-2.303765e+001
1.375408e+001	-5.381319e+001
1.419781e+001	-4.478921e+001
1.455850e+001	-3.951990e+001
1.450396e+001	-5.302396e+001
1.499752e+001	-4.174719e+001
1.529177e+001	-3.948161e+001
1.515419e+001	-5.674033e+001
1.568097e+001	-4.396169e+001
1.579252e+001	-4.995639e+001
1.583764e+001	-5.895483e+001
1.579971e+001	-7.170840e+001
1.626005e+001	-6.193349e+001
1.625534e+001	-7.318473e+001
1.659942e+001	-6.866636e+001
1.727568e+001	-4.912887e+001
1.831732e+001	-1.307127e+001
1.834584e+001	-2.282064e+001
1.819165e+001	-4.083030e+001
1.828660e+001	-4.757594e+001
1.793310e+001	-7.459724e+001
1.819413e+001	-7.383355e+001
1.852160e+001	-7.006611e+001
1.893211e+001	-6.254400e+001
1.911010e+001	-6.553498e+001
1.928809e+001	-6.852595e+001
1.966538e+001	-6.250570e+001
1.985998e+001	-6.474574e+001
2.017084e+001	-6.172924e+001
2.023257e+001	-6.997675e+001
2.092544e+001	-4.968832e+001
2.128613e+001	-4.441902e+001
2.129803e+001	-5.491933e+001
2.112723e+001	-7.368035e+001
2.145470e+001	-6.991292e+001
2.186521e+001	-6.239081e+001
2.202659e+001	-6.613272e+001
2.238728e+001	-6.086342e+001
2.316319e+001	-3.682032e+001
2.350727e+001	-3.230195e+001
2.386795e+001	-2.703264e+001
2.424525e+001	-2.101241e+001
2.424054e+001	-3.226365e+001
2.423583e+001	-4.351489e+001
2.467957e+001	-3.449092e+001
2.499043e+001	-3.147441e+001
2.493589e+001	-4.497847e+001
2.516371e+001	-4.571664e+001
2.560744e+001	-3.669266e+001
2.570238e+001	-4.343830e+001
2.657794e+001	-1.489003e+001
2.655663e+001	-2.689222e+001
2.600382e+001	-6.292473e+001
2.664687e+001	-4.488910e+001
2.657572e+001	-5.914454e+001
2.660423e+001	-6.889391e+001
2.728049e+001	-4.935641e+001
2.755813e+001	-4.784178e+001
2.796864e+001	-4.031967e+001
2.859507e+001	-2.303542e+001
2.805888e+001	-5.831656e+001
2.865209e+001	-4.253418e+001
2.874704e+001	-4.927982e+001
2.890842e+001	-5.302173e+001
2.875422e+001	-7.103183e+001
2.936405e+001	-5.449807e+001
2.939255e+001	-6.424788e+001
2.973663e+001	-5.972951e+001
3.028002e+001	-4.619950e+001
3.035836e+001	-5.369607e+001
3.095157e+001	-3.791369e+001
3.124582e+001	-3.564812e+001
3.112485e+001	-5.215590e+001
3.115335e+001	-6.190572e+001
