    nm         	nN
0.000000e+000	2.122353e-001
-7.634368e-002	2.000624e-001
-4.285675e-002	1.920611e-001
-1.191884e-001	1.798886e-001
-1.955324e-001	1.677157e-001
-1.840116e-001	1.588801e-001
-1.724908e-001	1.500445e-001
-2.927550e-001	1.362033e-001
-2.373016e-001	1.290364e-001
-2.916795e-001	1.176978e-001
-2.801583e-001	1.088622e-001
-2.906038e-001	9.919229e-002
-3.669353e-001	8.701982e-002
-3.993467e-001	7.651555e-002
-4.976452e-001	6.350873e-002
-4.641583e-001	5.550746e-002
-4.306710e-001	4.750621e-002
-4.630824e-001	3.700194e-002
-5.394261e-001	2.482901e-002
-5.718258e-001	1.432519e-002
-5.822711e-001	4.655264e-003
-6.366483e-001	-6.683320e-003
-6.690601e-001	-1.718759e-002
-7.234260e-001	-2.852575e-002
-7.558367e-001	-3.902999e-002
-7.443159e-001	-4.786559e-002
-8.206479e-001	-6.003807e-002
-9.409246e-001	-7.387970e-002
-8.635054e-001	-8.021229e-002
-9.398491e-001	-9.238522e-002
-9.063497e-001	-1.003860e-001
-8.948405e-001	-1.092221e-001
-9.492064e-001	-1.205602e-001
-1.025538e+000	-1.327327e-001
-9.920632e-001	-1.407344e-001
-1.090361e+000	-1.537412e-001
-1.100795e+000	-1.634107e-001
-1.133218e+000	-1.739154e-001
-1.077753e+000	-1.810819e-001
-1.110176e+000	-1.915866e-001
-1.208475e+000	-2.045934e-001
-1.196941e+000	-2.134286e-001
-1.207398e+000	-2.230989e-001
-1.217832e+000	-2.327684e-001
-1.250256e+000	-2.432732e-001
-1.238723e+000	-2.521083e-001
-1.315054e+000	-2.642807e-001
-1.369445e+000	-2.756199e-001
-1.335944e+000	-2.836206e-001
-1.346403e+000	-2.932910e-001
-1.400767e+000	-3.046292e-001
-1.433167e+000	-3.151329e-001
-1.421658e+000	-3.239690e-001
-1.476024e+000	-3.353071e-001
-1.464516e+000	-3.441432e-001
-1.540848e+000	-3.563157e-001
-1.507348e+000	-3.643165e-001
-1.649578e+000	-3.789920e-001
-1.616103e+000	-3.869937e-001
-1.626535e+000	-3.966631e-001
-1.615028e+000	-4.054992e-001
-1.713326e+000	-4.185060e-001
-1.767690e+000	-4.298442e-001
-1.756183e+000	-4.386803e-001
-1.744649e+000	-4.475154e-001
-1.777073e+000	-4.580201e-001
-1.787505e+000	-4.676896e-001
-1.819905e+000	-4.781934e-001
-1.852328e+000	-4.886981e-001
-1.906695e+000	-5.000363e-001
-1.785356e+000	-5.047007e-001
-1.861686e+000	-5.168731e-001
-1.872143e+000	-5.265435e-001
-1.904543e+000	-5.370473e-001
-1.827136e+000	-5.433803e-001
-1.881501e+000	-5.547185e-001
-1.957833e+000	-5.668910e-001
-2.034165e+000	-5.790635e-001
-2.022656e+000	-5.878995e-001
-2.055056e+000	-5.984033e-001
-2.153353e+000	-6.114101e-001
-2.163811e+000	-6.210805e-001
-2.174245e+000	-6.307500e-001
-2.250600e+000	-6.429234e-001
-2.217101e+000	-6.509242e-001
-2.359332e+000	-6.655997e-001
-2.391755e+000	-6.761044e-001
-2.402189e+000	-6.857739e-001
-2.412621e+000	-6.954433e-001
-2.401113e+000	-7.042794e-001
-2.433513e+000	-7.147832e-001
-2.531809e+000	-7.277900e-001
-2.542270e+000	-7.374604e-001
-2.552700e+000	-7.471299e-001
-2.563157e+000	-7.568002e-001
-2.661458e+000	-7.698071e-001
-2.584051e+000	-7.761402e-001
-2.660380e+000	-7.883126e-001
-2.692780e+000	-7.988164e-001
-2.681273e+000	-8.076525e-001
-2.669738e+000	-8.164876e-001
-2.768039e+000	-8.294945e-001
-2.844394e+000	-8.416678e-001
-2.854825e+000	-8.513373e-001
-2.777417e+000	-8.576703e-001
-2.875719e+000	-8.706772e-001
-2.974017e+000	-8.836840e-001
-2.962504e+000	-8.925200e-001
-2.929006e+000	-9.005208e-001
-2.983372e+000	-9.118589e-001
-3.037761e+000	-9.231980e-001
-3.048198e+000	-9.328676e-001
-2.992756e+000	-9.400349e-001
-3.047122e+000	-9.513731e-001
-3.079522e+000	-9.618769e-001
-3.133908e+000	-9.732158e-001
-3.188274e+000	-9.845540e-001
-3.176744e+000	-9.933893e-001
-3.187201e+000	-1.003060e+000
-3.307466e+000	-1.016901e+000
-3.317896e+000	-1.026570e+000
-3.306387e+000	-1.035406e+000
-3.294855e+000	-1.044241e+000
-3.415145e+000	-1.058084e+000
-3.447545e+000	-1.068587e+000
-3.414046e+000	-1.076588e+000
-3.468433e+000	-1.087927e+000
-3.347070e+000	-1.092591e+000
-3.445391e+000	-1.105598e+000
-3.345994e+000	-1.111096e+000
-3.290553e+000	-1.118263e+000
-3.432783e+000	-1.132939e+000
-3.421277e+000	-1.141775e+000
-3.365809e+000	-1.148941e+000
-3.266436e+000	-1.154440e+000
-3.210971e+000	-1.161607e+000
-3.199459e+000	-1.170443e+000
-3.165960e+000	-1.178443e+000
-3.066587e+000	-1.183942e+000
-2.791484e+000	-1.182766e+000
-2.208876e+000	-1.169910e+000
4.309553e-002	-1.093648e+000
1.116895e+001	-6.803310e-001
2.310750e+001	-2.361456e-001
2.562304e+001	-1.498718e-001
2.631548e+001	-1.328443e-001
2.650272e+001	-1.350056e-001
2.686569e+001	-1.304923e-001
2.694310e+001	-1.368253e-001
2.737196e+001	-1.298090e-001
2.760314e+001	-1.303017e-001
2.790021e+001	-1.282913e-001
2.764815e+001	-1.471385e-001
2.785735e+001	-1.484655e-001
2.833015e+001	-1.397805e-001
2.818789e+001	-1.544569e-001
2.846300e+001	-1.532809e-001
2.851846e+001	-1.604473e-001
2.850801e+001	-1.701177e-001
2.893688e+001	-1.631014e-001
2.888251e+001	-1.744395e-001
2.931135e+001	-1.674241e-001
2.954252e+001	-1.679167e-001
3.008122e+001	-1.567287e-001
2.985113e+001	-1.747416e-001
3.014820e+001	-1.727312e-001
3.068687e+001	-1.615441e-001
3.115967e+001	-1.528590e-001
3.141281e+001	-1.525174e-001
3.149022e+001	-1.588504e-001
3.196299e+001	-1.501663e-001
3.175487e+001	-1.673448e-001
3.192016e+001	-1.703396e-001
3.221723e+001	-1.683292e-001
3.275591e+001	-1.571421e-001
3.325065e+001	-1.476236e-001
3.321825e+001	-1.581275e-001
3.301012e+001	-1.753060e-001
3.293379e+001	-1.874784e-001
3.353836e+001	-1.737883e-001
3.374757e+001	-1.751153e-001
3.411053e+001	-1.706020e-001
3.431974e+001	-1.719290e-001
3.457288e+001	-1.715873e-001
3.473815e+001	-1.745830e-001
3.518899e+001	-1.667323e-001
3.502479e+001	-1.822421e-001
3.514613e+001	-1.869065e-001
3.559694e+001	-1.790567e-001
3.576223e+001	-1.820515e-001
3.632288e+001	-1.700300e-001
3.609278e+001	-1.880429e-001
3.562108e+001	-2.152325e-001
3.589619e+001	-2.140565e-001
3.617129e+001	-2.128805e-001
3.609493e+001	-2.250539e-001
3.626023e+001	-2.280487e-001
3.642550e+001	-2.310444e-001
3.705204e+001	-2.165199e-001
3.851325e+001	-1.702924e-001
3.999643e+001	-1.232306e-001
3.998599e+001	-1.329001e-001
3.999752e+001	-1.417352e-001
4.073389e+001	-1.230391e-001
4.125060e+001	-1.126863e-001
4.139391e+001	-1.165163e-001
4.144938e+001	-1.236827e-001
4.179035e+001	-1.200047e-001
4.228512e+001	-1.104853e-001
4.236253e+001	-1.168183e-001
4.336249e+001	-8.811009e-002
4.436244e+001	-5.940279e-002
4.483521e+001	-5.071866e-002
4.480281e+001	-6.122249e-002
4.424325e+001	-9.174946e-002
4.443049e+001	-9.391081e-002
4.507899e+001	-7.855201e-002
4.531017e+001	-7.904467e-002
4.488240e+001	-1.045656e-001
4.535517e+001	-9.588153e-002
4.611351e+001	-7.635102e-002
4.671808e+001	-6.266088e-002
4.666372e+001	-7.399902e-002
4.674112e+001	-8.033207e-002
4.719196e+001	-7.248135e-002
4.775260e+001	-6.045989e-002
4.772020e+001	-7.096371e-002
4.768780e+001	-8.146750e-002
4.805075e+001	-7.695507e-002
4.804031e+001	-8.662455e-002
4.835935e+001	-8.377989e-002
4.887606e+001	-7.342708e-002
4.864596e+001	-9.143993e-002
4.931643e+001	-7.524677e-002
4.965744e+001	-7.156777e-002
4.938341e+001	-9.124927e-002
4.880188e+001	-1.226106e-001
