    nm         	pN
0.000000e+000	1.916402e+002
-1.821998e-001	1.754466e+002
-1.709358e-001	1.666013e+002
2.058039e-001	1.716377e+002
5.825192e-001	1.766731e+002
6.798014e-001	1.710950e+002
1.966219e-001	1.434693e+002
5.303640e-001	1.468726e+002
8.211092e-001	1.486427e+002
1.047359e+000	1.479630e+002
1.058647e+000	1.391186e+002
8.119510e-001	1.204752e+002
1.339157e+000	1.312268e+002
1.414940e+000	1.248320e+002
1.340209e+000	1.127204e+002
1.458990e+000	1.079588e+002
2.222680e+000	1.276926e+002
2.749886e+000	1.384441e+002
2.417196e+000	1.165345e+002
2.106005e+000	9.544139e+001
2.031298e+000	8.333063e+001
2.494032e+000	9.163333e+001
2.655786e+000	8.850397e+001
2.753044e+000	8.292491e+001
3.065288e+000	8.551158e+001
3.528022e+000	9.381427e+001
3.689775e+000	9.068492e+001
3.529074e+000	7.530786e+001
3.991785e+000	8.360966e+001
4.110565e+000	7.884807e+001
4.422785e+000	8.143383e+001
4.305081e+000	6.768994e+001
4.079884e+000	4.986317e+001
4.349131e+000	5.081670e+001
4.682873e+000	5.421993e+001
4.844627e+000	5.109059e+001
4.984882e+000	4.714468e+001
5.770071e+000	6.769506e+001
5.910326e+000	6.374914e+001
5.556162e+000	4.102383e+001
6.040370e+000	5.014219e+001
6.073157e+000	4.211431e+001
5.589977e+000	1.448866e+001
6.590151e+000	4.320479e+001
6.665910e+000	3.680914e+001
6.397717e+000	1.734922e+001
6.602467e+000	1.585303e+001
6.850216e+000	1.598998e+001
7.484938e+000	3.082526e+001
8.033642e+000	4.239332e+001
8.066404e+000	3.436454e+001
8.034695e+000	2.388694e+001
8.260945e+000	2.320731e+001
9.003136e+000	4.212455e+001
9.379876e+000	4.716095e+001
9.068684e+000	2.606789e+001
9.380928e+000	2.865455e+001
9.822140e+000	3.613977e+001
9.596943e+000	1.831300e+001
9.672727e+000	1.191826e+001
1.004944e+001	1.695375e+001
9.845745e+000	-5.642937e-002
9.706542e+000	-1.461690e+001
1.006178e+001	-1.039709e+001
1.035253e+001	-8.626990e+000
1.072927e+001	-3.590607e+000
1.031058e+001	-2.876653e+001
1.010689e+001	-4.577673e+001
1.102107e+001	-2.032689e+001
1.098933e+001	-3.080540e+001
1.119408e+001	-3.230160e+001
1.103338e+001	-4.767864e+001
1.141012e+001	-4.264226e+001
1.180836e+001	-3.678930e+001
1.218508e+001	-3.175380e+001
1.243282e+001	-3.161685e+001
1.210016e+001	-5.352559e+001
1.204693e+001	-6.482066e+001
1.263865e+001	-5.161853e+001
1.325185e+001	-3.760073e+001
1.332761e+001	-4.399638e+001
1.353236e+001	-4.549257e+001
1.345765e+001	-5.760334e+001
1.308197e+001	-8.114612e+001
1.341571e+001	-7.774286e+001
1.383545e+001	-7.107333e+001
1.414769e+001	-6.848667e+001
1.445993e+001	-6.589999e+001
1.475068e+001	-6.412989e+001
1.491243e+001	-6.725924e+001
1.464424e+001	-8.671915e+001
1.487049e+001	-8.739878e+001
1.498925e+001	-9.216126e+001
1.538748e+001	-8.630830e+001
1.557074e+001	-8.862108e+001
1.592598e+001	-8.440126e+001
1.580827e+001	-9.814516e+001
1.609902e+001	-9.637505e+001
1.638974e+001	-9.460586e+001
1.661599e+001	-9.528549e+001
1.613283e+001	-1.229102e+002
1.678903e+001	-1.072593e+002
1.731626e+001	-9.650688e+001
1.728453e+001	-1.069854e+002
1.738181e+001	-1.125636e+002
1.709212e+001	-1.328400e+002
1.749033e+001	-1.269880e+002
1.743712e+001	-1.382822e+002
1.779236e+001	-1.340623e+002
1.806161e+001	-1.331088e+002
1.856732e+001	-1.231739e+002
1.860010e+001	-1.312018e+002
1.932080e+001	-1.131011e+002
1.900960e+001	-1.341942e+002
1.960131e+001	-1.209929e+002
2.019301e+001	-1.077917e+002
2.026879e+001	-1.141865e+002
2.012959e+001	-1.287469e+002
