    nm         	pN
0.000000e+000	3.369244e+002
-2.219098e-001	3.192225e+002
-1.260481e-001	3.135904e+002
-1.996873e-001	3.015202e+002
2.074998e-003	2.999105e+002
2.462072e-001	2.999101e+002
3.208840e-001	2.934733e+002
3.319839e-001	2.846217e+002
3.219222e-001	2.749664e+002
2.483049e-001	2.628970e+002
4.288830e-001	2.604827e+002
3.764280e-001	2.492171e+002
7.476686e-001	2.540446e+002
5.045745e-001	2.355381e+002
4.733275e-001	2.250780e+002
6.750899e-001	2.234683e+002
6.650279e-001	2.138129e+002
8.879755e-001	2.130079e+002
6.660657e-001	1.953060e+002
5.712412e-001	1.824311e+002
4.552551e-001	1.687524e+002
5.299322e-001	1.623157e+002
8.799651e-001	1.663377e+002
1.357130e+000	1.751885e+002
1.135220e+000	1.574866e+002
1.209874e+000	1.510490e+002
1.157442e+000	1.397843e+002
1.253281e+000	1.341513e+002
1.349143e+000	1.285192e+002
1.211972e+000	1.140359e+002
1.244256e+000	1.059889e+002
1.297749e+000	9.874753e+001
1.435956e+000	9.472385e+001
1.341156e+000	8.184987e+001
1.352256e+000	7.299827e+001
1.448094e+000	6.736529e+001
1.480401e+000	5.931922e+001
1.555055e+000	5.288159e+001
1.396700e+000	3.759362e+001
1.704386e+000	4.000720e+001
1.715509e+000	3.115648e+001
2.023172e+000	3.356916e+001
2.097849e+000	2.713242e+001
2.172503e+000	2.069478e+001
2.331896e+000	1.747577e+001
2.491313e+000	1.425764e+001
2.544782e+000	7.015352e+000
2.704174e+000	3.796336e+000
2.609374e+000	-9.077651e+000
3.022984e+000	-2.640799e+000
3.203562e+000	-5.055156e+000
3.002837e+000	-2.195242e+001
2.971567e+000	-3.241334e+001
3.067429e+000	-3.804544e+001
2.909073e+000	-5.333340e+001
2.962542e+000	-6.057569e+001
3.185490e+000	-6.138074e+001
3.111873e+000	-7.345008e+001
3.207711e+000	-7.908306e+001
3.303574e+000	-8.471516e+001
3.505336e+000	-8.632486e+001
3.389350e+000	-1.000035e+002
3.612298e+000	-1.008085e+002
3.898776e+000	-9.920052e+001
4.227648e+000	-9.598229e+001
4.217585e+000	-1.056377e+002
4.080415e+000	-1.201210e+002
4.112699e+000	-1.281679e+002
4.335647e+000	-1.289730e+002
4.262030e+000	-1.410423e+002
4.357869e+000	-1.466753e+002
4.919773e+000	-1.346058e+002
4.867317e+000	-1.458714e+002
4.475952e+000	-1.700097e+002
4.762454e+000	-1.684008e+002
4.858294e+000	-1.740338e+002
4.678753e+000	-1.901264e+002
4.711037e+000	-1.981733e+002
4.870453e+000	-2.013914e+002
5.072216e+000	-2.030012e+002
5.083316e+000	-2.118527e+002
5.348632e+000	-2.110485e+002
5.741058e+000	-2.054163e+002
6.006375e+000	-2.046120e+002
6.059845e+000	-2.118543e+002
6.176892e+000	-2.166818e+002
6.548109e+000	-2.118551e+002
6.665155e+000	-2.166825e+002
6.697439e+000	-2.247295e+002
6.602638e+000	-2.376035e+002
6.550207e+000	-2.488681e+002
6.751968e+000	-2.504779e+002
6.826622e+000	-2.569155e+002
7.113124e+000	-2.553066e+002
7.187778e+000	-2.617442e+002
7.304826e+000	-2.665717e+002
9.540211e+000	-1.909389e+002
1.050458e+001	-1.635827e+002
1.079108e+001	-1.619738e+002
1.069628e+001	-1.748478e+002
1.060148e+001	-1.877218e+002
1.112099e+001	-1.772626e+002
1.136512e+001	-1.772630e+002
