    nm         	pN
0.000000e+000	3.459528e+002
1.621678e-001	3.428392e+002
1.088001e-001	3.315390e+002
1.201156e-001	3.226956e+002
1.960689e-001	3.163073e+002
2.073858e-001	3.074639e+002
2.617851e-001	3.002570e+002
2.731021e-001	2.914136e+002
1.982038e-001	2.792956e+002
1.017289e-001	2.663580e+002
2.423668e-001	2.624267e+002
2.967669e-001	2.552197e+002
3.080823e-001	2.463763e+002
2.116074e-001	2.334388e+002
2.013700e-001	2.237767e+002
2.988770e-001	2.182071e+002
2.670870e-001	2.077265e+002
2.352960e-001	1.972458e+002
3.112489e-001	1.908575e+002
4.087558e-001	1.852879e+002
4.416257e-001	1.772631e+002
4.529185e-001	1.684189e+002
4.642350e-001	1.595755e+002
4.755278e-001	1.507313e+002
7.670162e-001	1.525296e+002
7.783328e-001	1.436862e+002
7.680720e-001	1.340233e+002
6.716205e-001	1.210866e+002
4.458480e-001	1.032380e+002
6.080150e-001	1.001244e+002
7.917602e-001	9.783029e+001
7.814990e-001	8.816738e+001
7.281548e-001	7.686803e+001
8.041081e-001	7.047974e+001
5.998895e-001	5.344976e+001
7.405033e-001	4.951747e+001
9.242477e-001	4.722340e+001
1.021755e+000	4.165378e+001
9.899640e-001	3.117310e+001
1.130578e+000	2.724080e+001
1.163424e+000	1.921518e+001
1.174741e+000	1.037183e+001
1.121397e+000	-9.275118e-001
1.175797e+000	-8.134448e+000
1.337964e+000	-1.124808e+001
1.370834e+000	-1.927279e+001
1.425233e+000	-2.647973e+001
1.371889e+000	-3.777908e+001
1.490949e+000	-4.253003e+001
1.782438e+000	-4.073169e+001
1.923052e+000	-4.466399e+001
1.955922e+000	-5.268869e+001
2.506029e+000	-4.106732e+001
3.120797e+000	-2.698996e+001
2.765727e+000	-4.974967e+001
3.315835e+000	-3.812829e+001
3.952156e+000	-2.323228e+001
4.351413e+000	-1.734063e+001
3.953212e+000	-4.173857e+001
4.632640e+000	-2.520523e+001
4.730148e+000	-3.077484e+001
4.892338e+000	-3.388758e+001
4.300179e+000	-6.565257e+001
4.677859e+000	-6.058049e+001
5.206436e+000	-4.977687e+001
5.519478e+000	-4.715988e+001
5.595432e+000	-5.354815e+001
5.326552e+000	-7.303411e+001
5.402505e+000	-7.942240e+001
5.737101e+000	-7.598675e+001
6.287232e+000	-6.436446e+001
6.169203e+000	-7.812070e+001
7.128828e+000	-5.094476e+001
7.010823e+000	-6.470009e+001
7.496270e+000	-5.553470e+001
8.175698e+000	-3.900136e+001
7.863711e+000	-6.012466e+001
8.004349e+000	-6.405604e+001
8.597564e+000	-5.079735e+001
8.630410e+000	-5.882295e+001
8.189127e+000	-8.485729e+001
8.308186e+000	-8.960826e+001
8.685889e+000	-8.453527e+001
8.826503e+000	-8.846757e+001
8.924010e+000	-9.403719e+001
8.999987e+000	-1.004246e+002
9.269922e+000	-9.944489e+001
9.561410e+000	-9.764656e+001
9.400298e+000	-1.130392e+002
9.497805e+000	-1.186088e+002
1.024189e+001	-9.961951e+001
1.016700e+001	-1.117375e+002
1.004897e+001	-1.254938e+002
9.995623e+000	-1.367931e+002
1.013624e+001	-1.407254e+002
1.053549e+001	-1.348338e+002
1.033128e+001	-1.518637e+002
1.027793e+001	-1.631631e+002
1.082804e+001	-1.515417e+002
1.120574e+001	-1.464687e+002
1.188517e+001	-1.299354e+002
1.282322e+001	-1.035790e+002
1.335180e+001	-9.277540e+001
1.355707e+001	-9.425171e+001
1.348215e+001	-1.063706e+002
1.353657e+001	-1.135767e+002
1.363408e+001	-1.191463e+002
1.429195e+001	-1.034316e+002
1.419550e+001	-1.163683e+002
1.394818e+001	-1.350356e+002
1.391638e+001	-1.455163e+002
1.453115e+001	-1.314389e+002
1.538301e+001	-1.083563e+002
1.548052e+001	-1.139259e+002
1.611684e+001	-9.902986e+001
1.578330e+001	-1.209718e+002
1.607479e+001	-1.191735e+002
1.643094e+001	-1.149192e+002
1.663621e+001	-1.163955e+002
1.636733e+001	-1.358814e+002
1.631399e+001	-1.471808e+002
1.643305e+001	-1.519317e+002
1.685386e+001	-1.452214e+002
1.660653e+001	-1.638887e+002
1.644542e+001	-1.792814e+002
1.669380e+001	-1.791204e+002
1.743789e+001	-1.601310e+002
1.762161e+001	-1.624260e+002
1.754671e+001	-1.745440e+002
1.753645e+001	-1.842070e+002
1.791416e+001	-1.791340e+002
1.783926e+001	-1.912520e+002
1.780744e+001	-2.017336e+002
1.796963e+001	-2.048463e+002
1.770075e+001	-2.243323e+002
1.784137e+001	-2.282646e+002
1.806820e+001	-2.289222e+002
1.805796e+001	-2.385842e+002
1.906067e+001	-2.097719e+002
1.935216e+001	-2.079735e+002
1.938500e+001	-2.159991e+002
1.963338e+001	-2.158381e+002
2.104561e+001	-1.714712e+002
2.357852e+001	-8.453747e+001
2.404244e+001	-7.618984e+001
2.474342e+001	-5.883784e+001
2.492714e+001	-6.113281e+001
2.500312e+001	-6.752020e+001
2.548857e+001	-5.835481e+001
2.590938e+001	-5.164450e+001
2.594222e+001	-5.967010e+001
2.647078e+001	-4.886739e+001
2.704246e+001	-3.642645e+001
2.675203e+001	-5.673109e+001
2.672024e+001	-6.721178e+001
2.720568e+001	-5.804639e+001
2.790667e+001	-4.069438e+001
2.804728e+001	-4.462667e+001
2.808015e+001	-5.265138e+001
2.744489e+001	-8.605367e+001
2.816742e+001	-6.788301e+001
2.854510e+001	-6.281094e+001
2.851331e+001	-7.329162e+001
2.848152e+001	-8.377231e+001
2.907473e+001	-7.051362e+001
2.936622e+001	-6.871528e+001
2.989477e+001	-5.791257e+001
2.966900e+001	-7.576120e+001
3.024066e+001	-6.332118e+001
3.023042e+001	-7.298320e+001
3.011242e+001	-8.673853e+001
3.074874e+001	-7.184250e+001
3.104023e+001	-7.004417e+001
3.100844e+001	-8.052486e+001
3.069646e+001	-1.016482e+002
3.126812e+001	-8.920812e+001
3.183978e+001	-7.676808e+001
3.150626e+001	-9.870912e+001
3.147445e+001	-1.091907e+002
3.215387e+001	-9.265737e+001
3.231604e+001	-9.577102e+001
3.221959e+001	-1.087077e+002
3.251108e+001	-1.069093e+002
3.256550e+001	-1.141154e+002
3.281388e+001	-1.139544e+002
3.295450e+001	-1.178867e+002
3.322443e+001	-1.169070e+002
3.310643e+001	-1.306623e+002
3.339792e+001	-1.288640e+002
3.317214e+001	-1.467126e+002
3.320499e+001	-1.547382e+002
3.330249e+001	-1.603079e+002
3.389573e+001	-1.470483e+002
3.407946e+001	-1.493432e+002
3.415541e+001	-1.557315e+002
3.436068e+001	-1.572078e+002
3.411336e+001	-1.758751e+002
3.425400e+001	-1.798065e+002
3.491187e+001	-1.640918e+002
3.561285e+001	-1.467398e+002
3.607675e+001	-1.383931e+002
3.574323e+001	-1.603341e+002
3.588384e+001	-1.642664e+002
3.636929e+001	-1.551011e+002
3.653146e+001	-1.582147e+002
3.665054e+001	-1.629648e+002
3.743774e+001	-1.423381e+002
3.824646e+001	-1.208937e+002
3.858106e+001	-1.174580e+002
3.831218e+001	-1.369440e+002
3.879765e+001	-1.277777e+002
3.904603e+001	-1.276167e+002
3.897111e+001	-1.397356e+002
3.896087e+001	-1.493976e+002
3.899372e+001	-1.574232e+002
3.937142e+001	-1.523502e+002
3.972757e+001	-1.480959e+002
4.001906e+001	-1.462976e+002
4.061227e+001	-1.330389e+002
4.163654e+001	-1.034079e+002
4.266082e+001	-7.377595e+001
4.267211e+001	-8.262021e+001
4.268343e+001	-9.146357e+001
4.316888e+001	-8.229820e+001
4.365435e+001	-7.313190e+001
4.368719e+001	-8.115750e+001
4.395713e+001	-8.017784e+001
4.366670e+001	-1.004825e+002
4.408751e+001	-9.377216e+001
4.476694e+001	-7.723881e+001
4.454116e+001	-9.508745e+001
4.444471e+001	-1.080241e+002
4.501637e+001	-9.558408e+001
4.539407e+001	-9.051110e+001
4.566401e+001	-8.953143e+001
4.567530e+001	-9.837569e+001
4.562196e+001	-1.096750e+002
4.595655e+001	-1.062394e+002
4.670064e+001	-8.725005e+001
4.705677e+001	-8.299664e+001
4.704653e+001	-9.265866e+001
4.703627e+001	-1.023216e+002
4.743553e+001	-9.642995e+001
4.729597e+001	-1.110039e+002
