    nm         	pN
0.000000e+000	6.114103e+002
-2.255821e-002	6.004462e+002
8.816776e-002	5.949614e+002
8.465555e-002	5.847803e+002
-1.409070e-002	5.706841e+002
-5.569625e-002	5.589369e+002
-2.113537e-002	5.503210e+002
-4.369493e-002	5.393568e+002
-6.625313e-002	5.283927e+002
-1.649994e-001	5.142964e+002
-2.066049e-001	5.025493e+002
-2.291631e-001	4.915852e+002
-2.707687e-001	4.798380e+002
-3.504676e-001	4.665248e+002
-3.349331e-001	4.571267e+002
-2.813263e-001	4.492937e+002
-2.467661e-001	4.406778e+002
-1.550881e-001	4.344099e+002
-1.966937e-001	4.226628e+002
-2.192519e-001	4.116986e+002
-2.418108e-001	4.007345e+002
-2.262972e-001	3.913355e+002
-2.107844e-001	3.819365e+002
-2.904617e-001	3.686242e+002
-3.320672e-001	3.568771e+002
-3.736735e-001	3.451299e+002
-3.391132e-001	3.365139e+002
-3.807181e-001	3.247668e+002
-4.032986e-001	3.138017e+002
-4.639292e-001	3.012725e+002
-3.341573e-001	2.965707e+002
-4.519502e-001	2.816914e+002
-4.173684e-001	2.730763e+002
-5.161140e-001	2.589801e+002
-4.053887e-001	2.534953e+002
-3.708069e-001	2.448803e+002
-3.743407e-001	2.346982e+002
-3.588271e-001	2.252993e+002
-4.194577e-001	2.127700e+002
-4.039449e-001	2.033710e+002
-2.741722e-001	1.986692e+002
-3.157778e-001	1.869220e+002
-2.431249e-001	1.798721e+002
-2.847298e-001	1.681249e+002
-3.644294e-001	1.548117e+002
-3.489158e-001	1.454127e+002
-3.333807e-001	1.360146e+002
-3.940336e-001	1.234845e+002
-3.404267e-001	1.156515e+002
-3.249132e-001	1.062525e+002
-3.855661e-001	9.372232e+001
-3.129119e-001	8.667238e+001
-4.306825e-001	7.179404e+001
-2.247455e-001	7.022345e+001
-3.615634e-001	5.456209e+001
-4.412624e-001	4.124890e+001
-3.114904e-001	3.654712e+001
-2.959552e-001	2.714901e+001
-2.423484e-001	1.931605e+001
-2.458822e-001	9.134041e+000
-9.706286e-002	5.215279e+000
5.175646e-002	1.296518e+000
3.148342e-001	2.074962e+000
3.493951e-001	-6.541005e+000
2.506705e-001	-2.063632e+001
3.042774e-001	-2.846928e+001
1.293660e-001	-4.569667e+001
4.305168e-001	-4.335307e+001
5.793348e-001	-4.727183e+001
4.806102e-001	-6.136717e+001
3.818653e-001	-7.546337e+001
4.735655e-001	-8.173030e+001
5.271724e-001	-8.956325e+001
5.617319e-001	-9.817924e+001
5.772455e-001	-1.075782e+002
8.593706e-001	-1.060168e+002
1.160520e+000	-1.036732e+002
1.042749e+000	-1.185515e+002
1.286781e+000	-1.185561e+002
1.169009e+000	-1.334344e+002
1.413041e+000	-1.334390e+002
1.485695e+000	-1.404889e+002
1.310782e+000	-1.577163e+002
1.688100e+000	-1.522415e+002
1.570328e+000	-1.671199e+002
1.395416e+000	-1.843472e+002
1.601376e+000	-1.859170e+002
1.902526e+000	-1.835734e+002
1.765708e+000	-1.992347e+002
1.819316e+000	-2.070677e+002
1.891969e+000	-2.141176e+002
2.002695e+000	-2.196024e+002
2.208654e+000	-2.211722e+002
2.281286e+000	-2.282230e+002
2.163514e+000	-2.431013e+002
