    nm         	pN
0.000000e+000	6.383514e+002
3.454198e-002	6.297347e+002
-2.606772e-002	6.172063e+002
-6.764492e-002	6.054603e+002
-1.282560e-001	5.929318e+002
-2.078928e-001	5.796212e+002
-2.494699e-001	5.678752e+002
-2.529903e-001	5.576937e+002
-3.326243e-001	5.443832e+002
-3.551758e-001	5.334194e+002
-4.348099e-001	5.201088e+002
-5.144480e-001	5.067982e+002
-4.989413e-001	4.973989e+002
-6.166349e-001	4.825237e+002
-6.772392e-001	4.699955e+002
-6.427027e-001	4.613786e+002
-6.842799e-001	4.496326e+002
-7.639180e-001	4.363219e+002
-7.864674e-001	4.253582e+002
-9.041611e-001	4.104830e+002
-9.076808e-001	4.003016e+002
-9.873196e-001	3.869909e+002
-1.047924e+000	3.744627e+002
-1.013388e+000	3.658457e+002
-1.131082e+000	3.509705e+002
-1.191687e+000	3.384423e+002
-1.195208e+000	3.282608e+002
-1.274846e+000	3.149501e+002
-1.259338e+000	3.055509e+002
-1.377033e+000	2.906757e+002
-1.456665e+000	2.773652e+002
-1.422129e+000	2.687483e+002
-1.615941e+000	2.507439e+002
-1.581400e+000	2.421271e+002
-1.565892e+000	2.327279e+002
-1.664559e+000	2.186350e+002
-1.668078e+000	2.084535e+002
-1.690627e+000	1.974898e+002
-1.751232e+000	1.849616e+002
-1.716696e+000	1.763446e+002
-1.739245e+000	1.653809e+002
-1.742765e+000	1.551994e+002
-1.765314e+000	1.442357e+002
-1.940097e+000	1.270136e+002
-1.905557e+000	1.183968e+002
-2.023250e+000	1.035216e+002
-2.045799e+000	9.255791e+001
-1.992235e+000	8.472319e+001
-1.900604e+000	7.845341e+001
-1.999271e+000	6.436048e+001
-2.059880e+000	5.183204e+001
-2.158547e+000	3.773909e+001
-2.028860e+000	3.303382e+001
-1.994318e+000	2.441708e+001
-2.131045e+000	8.759423e+000
-2.096505e+000	1.426792e-001
-2.004879e+000	-6.127308e+000
-2.027428e+000	-1.709102e+001
-2.069003e+000	-2.883699e+001
-1.882233e+000	-3.119552e+001
-1.885752e+000	-4.137698e+001
-2.231800e+000	-6.563983e+001
-1.645412e+000	-5.157001e+001
-9.638754e-001	-3.358870e+001
-6.438960e-001	-3.047104e+001
-6.664447e-001	-4.143476e+001
-8.792860e-001	-6.022142e+001
-9.208619e-001	-7.196738e+001
-6.806304e-002	-4.694539e+001
-2.618800e-001	-6.495002e+001
5.148051e-001	-4.305703e+001
1.063134e+000	-3.055192e+001
7.741749e-001	-5.246780e+001
5.613349e-001	-7.125446e+001
1.490252e+000	-4.310324e+001
