    nm         	pN
0.000000e+000	8.305935e+002
-4.162041e-002	8.188457e+002
-1.022936e-001	8.063147e+002
-8.676788e-002	7.969162e+002
-5.219350e-002	7.883008e+002
-9.381661e-002	7.765529e+002
-1.735425e-001	7.632386e+002
-2.151656e-001	7.514908e+002
-1.996359e-001	7.420924e+002
-1.841102e-001	7.326940e+002
-2.638361e-001	7.193797e+002
-3.054579e-001	7.076318e+002
-4.042325e-001	6.935345e+002
-5.030085e-001	6.794370e+002
-5.446302e-001	6.676892e+002
-5.481559e-001	6.575075e+002
-6.088318e-001	6.449764e+002
-6.314048e-001	6.340116e+002
-6.349292e-001	6.238300e+002
-6.765510e-001	6.120822e+002
-7.372282e-001	5.995510e+002
-6.645456e-001	5.925022e+002
-6.871240e-001	5.815373e+002
-7.668445e-001	5.682232e+002
-9.227720e-001	5.517762e+002
-1.040597e+000	5.368957e+002
-9.488694e-001	5.306299e+002
-9.333397e-001	5.212316e+002
-9.940169e-001	5.087004e+002
-1.054693e+000	4.961692e+002
-1.134420e+000	4.828549e+002
-1.156988e+000	4.718904e+002
-1.198610e+000	4.601425e+002
-1.278341e+000	4.468280e+002
-1.319963e+000	4.350802e+002
-1.304433e+000	4.256819e+002
-1.346056e+000	4.139340e+002
-1.368634e+000	4.029690e+002
-1.429312e+000	3.904378e+002
-1.470934e+000	3.786900e+002
-1.512556e+000	3.669422e+002
-1.497025e+000	3.575439e+002
-1.576758e+000	3.442293e+002
-1.656477e+000	3.309153e+002
-1.640946e+000	3.215170e+002
-1.606373e+000	3.129016e+002
-1.628953e+000	3.019366e+002
-1.708672e+000	2.886225e+002
-1.750295e+000	2.768747e+002
-1.791918e+000	2.651268e+002
-1.719245e+000	2.580777e+002
-1.760867e+000	2.463298e+002
-1.840589e+000	2.330157e+002
-1.825068e+000	2.236170e+002
-1.904789e+000	2.103029e+002
-1.889259e+000	2.009047e+002
-1.949936e+000	1.883735e+002
-1.934405e+000	1.789752e+002
-2.033180e+000	1.648778e+002
-1.998607e+000	1.562624e+002
-1.964032e+000	1.476470e+002
-2.043753e+000	1.343329e+002
-2.180626e+000	1.186692e+002
-2.165107e+000	1.092705e+002
-2.130522e+000	1.006555e+002
-2.191199e+000	8.812436e+001
-2.232821e+000	7.637651e+001
-2.217302e+000	6.697777e+001
-2.182717e+000	5.836281e+001
-2.148143e+000	4.974742e+001
-2.246919e+000	3.565001e+001
-2.250442e+000	2.546838e+001
-2.292065e+000	1.372052e+001
-2.238436e+000	5.888462e+000
-2.203862e+000	-2.726931e+000
-2.378833e+000	-1.995678e+001
-2.363314e+000	-2.935552e+001
-2.252532e+000	-3.483803e+001
-2.256057e+000	-4.501965e+001
-2.392930e+000	-6.068328e+001
-2.358356e+000	-6.929869e+001
-2.399979e+000	-8.104654e+001
-2.384448e+000	-9.044483e+001
-2.426071e+000	-1.021927e+002
-2.410551e+000	-1.115914e+002
-2.471217e+000	-1.241222e+002
-2.455697e+000	-1.335209e+002
-2.306818e+000	-1.374372e+002
-2.386540e+000	-1.507513e+002
-2.256714e+000	-1.554509e+002
-1.879224e+000	-1.499689e+002
-1.749398e+000	-1.546685e+002
-1.848175e+000	-1.687660e+002
-1.299237e+000	-1.562358e+002
-1.283717e+000	-1.656345e+002
-1.382491e+000	-1.797319e+002
-1.424113e+000	-1.914798e+002
-1.446682e+000	-2.024443e+002
-1.316859e+000	-2.071439e+002
-1.377534e+000	-2.196751e+002
-1.362002e+000	-2.290734e+002
-1.175026e+000	-2.314234e+002
-1.559554e+000	-2.572682e+002
-1.467826e+000	-2.635340e+002
-1.414200e+000	-2.713661e+002
-1.474874e+000	-2.838973e+002
-1.630805e+000	-3.003442e+002
-1.139020e+000	-2.901636e+002
-8.567797e-001	-2.885975e+002
-9.174569e-001	-3.011286e+002
-8.257283e-001	-3.073945e+002
-8.628998e-002	-2.870328e+002
7.864988e-001	-2.611890e+002
8.401245e-001	-2.690211e+002
1.312857e+000	-2.596238e+002
1.652239e+000	-2.557085e+002
2.601233e+000	-2.267319e+002
3.397813e+000	-2.040210e+002
3.451442e+000	-2.118531e+002
3.733682e+000	-2.102869e+002
5.578034e+000	-1.445020e+002
6.336517e+000	-1.233573e+002
6.561604e+000	-1.241407e+002
6.615232e+000	-1.319728e+002
6.764111e+000	-1.358891e+002
7.522594e+000	-1.147444e+002
8.147728e+000	-9.908180e+001
8.620470e+000	-8.968407e+001
8.502639e+000	-1.045648e+002
8.384810e+000	-1.194456e+002
8.343188e+000	-1.311934e+002
8.606373e+000	-1.304106e+002
9.250560e+000	-1.139646e+002
8.846980e+000	-1.405927e+002
8.729150e+000	-1.554734e+002
9.068529e+000	-1.515582e+002
9.960373e+000	-1.249311e+002
