    nm         	pN
0.000000e+000	4.631452e+002
-1.768058e-001	4.458399e+002
-2.188766e-001	4.340736e+002
-2.416798e-001	4.230994e+002
-2.067442e-001	4.144989e+002
-2.103051e-001	4.043157e+002
-2.908614e-001	3.909673e+002
-3.329200e-001	3.792015e+002
-3.942339e-001	3.666442e+002
-3.977947e-001	3.564610e+002
-5.361027e-001	3.407384e+002
-6.166591e-001	3.273900e+002
-6.394745e-001	3.164153e+002
-6.622907e-001	3.054406e+002
-4.540979e-001	3.039627e+002
-5.539089e-001	2.898227e+002
-5.767128e-001	2.788484e+002
-5.610305e-001	2.694564e+002
-6.030897e-001	2.576906e+002
-5.296449e-001	2.506732e+002
-6.872070e-001	2.341590e+002
-7.292655e-001	2.223932e+002
-7.520816e-001	2.114185e+002
-7.363885e-001	2.020269e+002
-8.169448e-001	1.886785e+002
-9.552644e-001	1.729554e+002
-8.818189e-001	1.659380e+002
-8.083849e-001	1.589202e+002
-8.504434e-001	1.471544e+002
-8.732481e-001	1.361801e+002
-8.768096e-001	1.259970e+002
-8.226187e-001	1.181880e+002
-9.031858e-001	1.048391e+002
-9.452444e-001	9.307334e+001
-8.525564e-001	8.684703e+001
-8.368626e-001	7.745544e+001
-7.441747e-001	7.122913e+001
-8.632396e-001	5.629760e+001
-7.320430e-001	5.165439e+001
-7.356039e-001	4.147125e+001
-7.584193e-001	3.049655e+001
-8.197210e-001	1.793966e+001
-9.580405e-001	2.216589e+000
-8.845951e-001	-4.800806e+000
-6.186614e-001	-3.904982e+000
-7.184622e-001	-1.804452e+001
-5.102810e-001	-1.952289e+001
-5.330849e-001	-3.049714e+001
-5.558997e-001	-4.147182e+001
-2.899566e-001	-4.057554e+001
1.448629e-002	-3.809662e+001
-5.473296e-001	-7.122971e+001
-5.508904e-001	-8.141285e+001
-2.079504e-001	-7.735129e+001
1.157451e-001	-7.408082e+001
1.891784e-001	-8.109868e+001
5.087105e-002	-9.682130e+001
-2.029411e-001	-1.172923e+002
-1.487509e-001	-1.251013e+002
2.711846e-001	-1.178744e+002
6.333785e-001	-1.130213e+002
8.993230e-001	-1.121250e+002
1.531010e+000	-9.619295e+001
1.315696e+000	-1.150813e+002
1.427639e+000	-1.205161e+002
1.866828e+000	-1.124977e+002
2.229021e+000	-1.076446e+002
2.437214e+000	-1.091225e+002
2.645396e+000	-1.106008e+002
2.911340e+000	-1.097046e+002
3.697029e+000	-8.744146e+001
4.174715e+000	-7.784040e+001
4.151912e+000	-8.881464e+001
4.360103e+000	-9.029257e+001
4.780039e+000	-8.306570e+001
5.161476e+000	-7.742150e+001
5.408167e+000	-7.731676e+001
5.250613e+000	-9.383050e+001
5.073797e+000	-1.111362e+002
5.532240e+000	-1.023263e+002
5.836683e+000	-9.984735e+001
6.006366e+000	-1.029084e+002
6.099055e+000	-1.091347e+002
6.249496e+000	-1.129868e+002
6.534682e+000	-1.112994e+002
6.896876e+000	-1.064463e+002
7.066571e+000	-1.095069e+002
7.024512e+000	-1.212727e+002
6.789944e+000	-1.409526e+002
6.882632e+000	-1.471789e+002
7.533575e+000	-1.304553e+002
8.184517e+000	-1.137316e+002
9.124208e+000	-8.513746e+001
8.851153e+000	-1.063996e+002
9.059334e+000	-1.078780e+002
9.113524e+000	-1.156869e+002
9.360215e+000	-1.155822e+002
9.760907e+000	-1.091464e+002
1.002685e+001	-1.082502e+002
1.065854e+001	-9.231806e+001
1.088597e+001	-9.300489e+001
1.088241e+001	-1.031880e+002
1.074411e+001	-1.189106e+002
1.168380e+001	-9.031650e+001
1.173799e+001	-9.812546e+001
1.179218e+001	-1.059344e+002
1.232762e+001	-9.395917e+001
1.217005e+001	-1.104733e+002
1.264775e+001	-1.008718e+002
1.302919e+001	-9.522763e+001
1.312188e+001	-1.014539e+002
1.306056e+001	-1.140113e+002
1.321100e+001	-1.178634e+002
1.313045e+001	-1.312118e+002
1.353114e+001	-1.247761e+002
1.402808e+001	-1.143835e+002
1.392827e+001	-1.285234e+002
1.440596e+001	-1.189224e+002
1.542264e+001	-8.716296e+001
1.464908e+001	-1.290008e+002
1.501128e+001	-1.241477e+002
1.512321e+001	-1.295829e+002
1.506191e+001	-1.421398e+002
1.567434e+001	-1.269993e+002
1.605579e+001	-1.213546e+002
1.585972e+001	-1.394519e+002
1.620267e+001	-1.353899e+002
1.706536e+001	-1.099614e+002
1.723505e+001	-1.130220e+002
1.676948e+001	-1.421983e+002
1.691993e+001	-1.460504e+002
1.712812e+001	-1.475283e+002
1.760580e+001	-1.379273e+002
1.777550e+001	-1.409878e+002
1.779118e+001	-1.503798e+002
1.796088e+001	-1.534404e+002
1.799581e+001	-1.620409e+002
1.847351e+001	-1.524394e+002
1.879719e+001	-1.491694e+002
1.912088e+001	-1.458994e+002
1.896333e+001	-1.624131e+002
1.911377e+001	-1.662652e+002
1.941820e+001	-1.637867e+002
1.995365e+001	-1.518111e+002
1.964209e+001	-1.746563e+002
2.023527e+001	-1.603068e+002
2.021246e+001	-1.712815e+002
2.003565e+001	-1.885868e+002
2.030159e+001	-1.876910e+002
2.106803e+001	-1.662190e+002
2.150722e+001	-1.582005e+002
2.183091e+001	-1.549305e+002
2.238560e+001	-1.421637e+002
2.224729e+001	-1.578864e+002
2.260949e+001	-1.530333e+002
2.275993e+001	-1.568854e+002
2.296811e+001	-1.583638e+002
2.261806e+001	-1.827912e+002
2.274924e+001	-1.874348e+002
2.313068e+001	-1.817906e+002
2.335813e+001	-1.824770e+002
