    nm         	pN
0.000000e+000	3.580057e+002
3.458991e-002	3.493909e+002
8.824136e-002	3.415598e+002
8.474938e-003	3.282438e+002
2.400130e-002	3.188454e+002
-1.763869e-002	3.070968e+002
-2.115427e-002	2.969155e+002
-4.375367e-002	2.859497e+002
-8.539366e-002	2.742012e+002
-8.890857e-002	2.640199e+002
-1.305492e-001	2.522713e+002
-1.912521e-001	2.397391e+002
-2.328931e-001	2.279904e+002
-2.745331e-001	2.162419e+002
-3.352366e-001	2.037096e+002
-2.815845e-001	1.958785e+002
-3.422877e-001	1.833462e+002
-3.458026e-001	1.731650e+002
-3.684020e-001	1.621992e+002
-4.100423e-001	1.504506e+002
-4.135572e-001	1.402693e+002
-4.742605e-001	1.277371e+002
-4.587341e-001	1.183386e+002
-3.860198e-001	1.112912e+002
-4.085976e-001	1.003262e+002
-4.121341e-001	9.014412e+001
-5.681290e-001	7.369437e+001
-5.907075e-001	6.272945e+001
-4.989296e-001	5.646569e+001
-5.024668e-001	4.628355e+001
-4.488147e-001	3.845244e+001
-4.904554e-001	2.670384e+001
-4.558662e-001	1.808906e+001
-5.546731e-001	3.990334e+000
-3.866877e-001	8.594933e-001
-4.283283e-001	-1.088908e+001
-4.127804e-001	-2.028666e+001
-3.781911e-001	-2.890144e+001
-2.864355e-001	-3.516609e+001
-3.471168e-001	-4.769747e+001
-3.125282e-001	-5.631225e+001
-2.017098e-001	-6.179323e+001
-1.671205e-001	-7.040801e+001
-7.534332e-002	-7.667177e+001
7.360023e-002	-8.058541e+001
-1.395827e-001	-9.938618e+001
-2.574533e-001	-1.142686e+002
4.397169e-002	-1.119137e+002
6.312514e-001	-9.780727e+001
5.705485e-001	-1.103395e+002
7.385543e-001	-1.134695e+002
9.256249e-001	-1.158158e+002
6.933784e-001	-1.354002e+002
7.279893e-001	-1.440141e+002
5.338672e-001	-1.620312e+002
1.178336e+000	-1.455737e+002
1.860908e+000	-1.275498e+002
1.647745e+000	-1.463497e+002
2.044462e+000	-1.400774e+002
2.955744e+000	-1.126511e+002
3.809860e+000	-8.757501e+001
3.558571e+000	-1.079422e+002
3.764682e+000	-1.095057e+002
3.627750e+000	-1.251718e+002
4.005404e+000	-1.196831e+002
3.944700e+000	-1.322154e+002
4.112686e+000	-1.353462e+002
4.013879e+000	-1.494450e+002
4.086594e+000	-1.564924e+002
4.235537e+000	-1.604060e+002
4.155771e+000	-1.737220e+002
4.590592e+000	-1.658831e+002
4.415533e+000	-1.831166e+002
4.678833e+000	-1.823290e+002
4.599066e+000	-1.956450e+002
4.519323e+000	-2.089600e+002
4.611078e+000	-2.152247e+002
4.512271e+000	-2.293234e+002
4.527797e+000	-2.387219e+002
5.038848e+000	-2.277492e+002
5.149688e+000	-2.332293e+002
5.355799e+000	-2.347928e+002
5.523806e+000	-2.379228e+002
6.911548e+000	-1.909091e+002
7.517912e+000	-1.760181e+002
8.619779e+000	-1.407569e+002
9.187996e+000	-1.274341e+002
1.006117e+001	-1.015744e+002
1.106775e+001	-7.023064e+001
1.188374e+001	-4.672189e+001
1.214704e+001	-4.593436e+001
1.235317e+001	-4.749696e+001
1.206376e+001	-6.943155e+001
1.251764e+001	-6.080905e+001
1.270469e+001	-6.315622e+001
1.319670e+001	-5.296637e+001
1.353623e+001	-4.904503e+001
1.378046e+001	-4.904118e+001
1.427245e+001	-3.885222e+001
1.442139e+001	-4.276585e+001
1.455130e+001	-4.746226e+001
1.500516e+001	-3.884065e+001
1.557340e+001	-2.551700e+001
1.602728e+001	-1.689450e+001
1.615716e+001	-2.159181e+001
1.523883e+001	-6.938142e+001
1.569271e+001	-6.075893e+001
1.597507e+001	-5.918772e+001
1.627648e+001	-5.683373e+001
1.650165e+001	-5.761355e+001
1.617413e+001	-8.111459e+001
1.678048e+001	-6.622448e+001
1.717719e+001	-5.995211e+001
1.726895e+001	-6.621677e+001
1.808494e+001	-4.270801e+001
1.867224e+001	-2.860068e+001
1.861154e+001	-4.113294e+001
1.809343e+001	-7.246896e+001
1.877600e+001	-5.444503e+001
1.886778e+001	-6.070879e+001
1.852120e+001	-8.499352e+001
1.948967e+001	-5.521626e+001
1.942897e+001	-6.774852e+001
1.963508e+001	-6.931201e+001
2.012709e+001	-5.912217e+001
2.016168e+001	-6.773695e+001
2.006285e+001	-8.183657e+001
2.036427e+001	-7.948169e+001
2.087532e+001	-6.850907e+001
2.098614e+001	-7.399003e+001
2.144003e+001	-6.536754e+001
2.162710e+001	-6.771381e+001
2.147110e+001	-8.416357e+001
2.173440e+001	-8.337604e+001
2.178805e+001	-9.120715e+001
2.201323e+001	-9.198696e+001
2.216217e+001	-9.590060e+001
2.280664e+001	-7.944313e+001
2.284123e+001	-8.805791e+001
2.279959e+001	-9.980651e+001
2.292947e+001	-1.045038e+002
2.300218e+001	-1.115512e+002
2.309394e+001	-1.178159e+002
2.345253e+001	-1.131109e+002
2.350618e+001	-1.209420e+002
2.355983e+001	-1.287731e+002
2.412807e+001	-1.154494e+002
2.412454e+001	-1.256316e+002
2.433064e+001	-1.271951e+002
2.447959e+001	-1.311087e+002
2.483818e+001	-1.264037e+002
2.491089e+001	-1.334511e+002
2.511701e+001	-1.350146e+002
2.585677e+001	-1.146397e+002
2.604384e+001	-1.169860e+002
2.632620e+001	-1.154148e+002
2.687535e+001	-1.028757e+002
2.715771e+001	-1.013044e+002
2.709701e+001	-1.138367e+002
2.711254e+001	-1.232352e+002
2.726148e+001	-1.271488e+002
2.765820e+001	-1.208764e+002
2.767372e+001	-1.302749e+002
2.753679e+001	-1.459410e+002
2.768573e+001	-1.498546e+002
2.791091e+001	-1.506344e+002
2.800268e+001	-1.568982e+002
2.788482e+001	-1.717806e+002
2.809093e+001	-1.733441e+002
2.844952e+001	-1.686391e+002
2.831258e+001	-1.843052e+002
2.863305e+001	-1.811675e+002
2.891541e+001	-1.795963e+002
2.896904e+001	-1.874283e+002
2.907988e+001	-1.929084e+002
2.919070e+001	-1.983893e+002
2.945400e+001	-1.976018e+002
2.912648e+001	-2.211028e+002
2.965660e+001	-2.093465e+002
2.940531e+001	-2.297138e+002
2.959238e+001	-2.320600e+002
2.977943e+001	-2.344072e+002
2.973779e+001	-2.461558e+002
2.990579e+001	-2.492858e+002
3.026438e+001	-2.445807e+002
3.197613e+001	-1.842473e+002
3.378317e+001	-1.199964e+002
3.391305e+001	-1.246937e+002
3.400481e+001	-1.309583e+002
3.445869e+001	-1.223358e+002
3.495070e+001	-1.121460e+002
3.561421e+001	-9.490573e+001
3.604905e+001	-8.706601e+001
3.566434e+001	-1.129181e+002
